,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,brand_owner,traceability_code
0,Samyang Ramen Räk smak - 3oz (85g),7350035210138,Orientaliska nudlar,3 oz (85 g),"['Plastic', 'Aluminium']","['Samyang Ramen', 'Samyang Foods', 'Bergqvist']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['Sans conservateurs'],['South Korea'],['Willys'],"['France', 'Suède']","['Nudel: Vetemjöl', 'palmolja', 'modifierad tapioka stärkelse', 'salt', 'sojaböns olja', 'surhetsreglerande medel ', 'E501', 'E500', 'E339', 'E330', 'sockerlösning ', 'E420', 'förtjockningsmedel ', 'E412', 'emulgeringsmedel ', 'E322', 'E452', 'E450', '\rBuljongpåse: Salt', 'glukos', 'smakförstärkare ', 'E621', 'E631', 'E627', 'smaksättning ', 'räk krydda - blötdjur', 'hydrolyserat vegetabiliskt protein', 'socker', 'kryddor ', 'torkad walesisk lök', 'lökpulver', 'vitpepparpulver', 'ingefärapulver', 'vitlökspulver', 'färg ', 'E150b', 'rispulver', 'maltodextrin', 'sojaböns olja', 'syra ', 'E296']","['E501 - Carbonates de potassium', 'E500 - Carbonates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E420 - Sorbitol', 'E412 - Gomme de guar', 'E322 - Lécithines', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E150b - Caramel de sulfite caustique', 'E296 - Acide malique']","['Crustacés', 'Gluten', 'Mollusques', 'Soja', 'sv:Räk', 'sv:Sojaböns', 'sv:räk', 'sv:sojaböns']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1770,+46%,?,,1770 kj(423 kcal),+40%,"18,8",+62%,"9,4",+78%,"54,1",+34%,0,-100%,"11,7",+84%,"2,2",-16%,"0,88",-16%,,,,,,,,,,,,,,,,,,,,,,,,,
1,Vitaminb12 50CL Pomelo DP16 - Vitamin Well,7350042710195,,,,['Vitamin Well'],['Boissons'],,,,['France'],"['edientes agua manantial', 'fructosa', 'acidulantes ', 'écidoc', 'sodio', ' extracto de baya de saüco extracto de C âctdo félico', 'B12', 'biotina', 'mineral de potasio', 'aroma de pomelo • stabilizador ', 'pectina', 'colorante ', 'caramelo']",,,[],,?,,17,-70%,71 kj(17 kcal),-71%,0,-100%,0,-100%,"4,2",-63%,"4,2",-56%,0,-100%,"0,025",-40%,"0,01",-40%,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,6,-22%,D,-22%,,,,,,,,,,,,,
2,Vitamin well reload - 500ml,7350042710539,,500ml,"['Bouteille', 'Plastique']",['Vitamin Well'],"['Boissons', 'Boisson vitaminée']",['Sans conservateurs'],,,['France'],"['Eau de source', 'fructose', ""correcteur d'acidité "", 'acide citrique', 'vitamines ', 'D3', 'E', 'niacine', 'acide folique', 'B12', 'biotine', 'acide pantothénique', ' ', 'magnésium', 'zinc', 'sélénium', 'arôme citron', 'arôme citron vert']",['E330 - Acide citrique'],,['Sans huile de palme'],4,71,-75%,17,-70%,71 kj(17 kcal),-71%,0,-100%,0,-100%,"4,2",-63%,"4,2",-56%,0,-100%,"0,025",-40%,"0,01",-40%,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,6,-22%,D,-22%,,,,,,,,,,,,,
3,Vitamin Well Upgrade,7350042712007,,,,['Vitamin well'],,,,,['France'],[],,,[],,?,,17,,71 kj(17 kcal),,0,,0,,"4,2",,"4,2",,0,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nice cream - Njle - 285g,7350068291944,Nice Cream Lemon,285 g,"['Pot', 'Carton', 'surgelé']",['Njle'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au citron']",,,,['France'],"['Eau', 'protéines de lait', 'fibres ', 'inuline', 'édulcorants ', 'sorbitol', 'acésulfame-k', 'aspartame', 'huile de coco', 'émulsifiant ', ""mono et diglycérides végétaux d'acides gras"", 'stabilisants ', 'gomme de caroube', 'carraghénane', 'arôme naturel de citron', 'concentré de carthame', 'lactase']","['E420 - Sorbitol', 'E950 - Acésulfame K', 'E951 - Aspartame', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,?,,121,-28%,506 kj(121 kcal),-28%,"4,2",-28%,"3,9",-8%,"9,8",-64%,"1,4",-93%,"10,7",+586%,"0,8",+662%,"0,32",+662%,4.2 g,en quantité modérée,3.9 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en quantité modérée,2,-78%,B,-78%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,
5,Noa Active Herbs,7350076401403,,,,['Noa'],['Boisson à base de plantes'],['Sans conservateurs'],,,['France'],"['Eau,fructose', 'jus pomme concentre ', '69%', 'jus de citron concentré ', '39%', 'jus de canneberge concentré ', '1%', 'extrait de mélisse', 'arôme naturel', 'colorant de patates douces-anthocyanines', 'colorant concentré de pomme']",,,[],4,?,,18,,75 kj(18 kcal),,0,,0,,"4,5",,"4,5",,0,,0,,0,,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en faible quantité,0 g,en faible quantité,-5,,A,,,,,,,,,,,,,,
6,Magnum almond,7355956065638,,,,,,['en:gluten-free'],,,['France'],[],,,[],,?,,332,,1389 kj(332 kcal),,21,,13,,30,,29,,5,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ketchup - Lidl - 500ml,7376633056565,,500 ml,,['Lidl'],,"['Sans arômes artificiels', 'Sans conservateurs']",,,['France'],[],,,[],,?,,112,,469 kj(112 kcal),,"0,1",,"0,1",,"23,8",,"23,4",,"1,7",,"2,93",,"1,172",,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chips Lättsaltade Lantchips -,7392659002003,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,,"['France', 'Suède']",[],,,[],,?,,500,-6%,2092 kj(500 kcal),-6%,27,-17%,"2,7",-13%,56,+9%,"0,8",-43%,"8,3",+39%,"1,2",-8%,"0,48",-8%,27 g,en quantité élevée,2.7 g,en quantité modérée,0.8 g,en faible quantité,1.2 g,en quantité modérée,13,+15%,D,+15%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,
9,Oatly Cream 250 ML x 1,7394376614699,,,['composite-carton'],['Oatly'],,,,,['France'],[],,,[],,?,,145,,607 kj(145 kcal),,?,,3,,?,,"3,5",,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Frijoles volteados,7410030501393,,,,,,,,,['France'],[],,,[],,?,,187,,782 kj(187 kcal),,7,,"0,3",,23,,3,,8,,"0,573",,"0,229",,,,,,,,,,,,,,,,,,,,,,,,,,
11,Nocilla,74119936,,,,['Nocilla'],,,,,['France'],[],,,[],,?,,547,,2289 kj(547 kcal),,32,,11,,58,,56,,5,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ananas,7441029614466,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",,,,['France'],[],,,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,B,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,
13,Pâte de piment Antillais - ho la la... ça pique - Mister choc - 120g,7441056106071,Piment rouge,120g,['Bocal'],"['Mister choc', 'Mister Ho']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sauces', 'Piments', 'Sauces pimentées', 'Sauces piquantes antillaises']",,['Costa Rica'],['Lidl'],['France'],"['Piments Antillais', 'gingembre', 'huile', 'sel', 'combava']",,,"[""Pourrait contenir de l'huile de palme""]",3,?,,260,+210%,1088 kj(260 kcal),+205%,23,+468%,"3,5",+433%,12,+65%,"1,7",-19%,"0,9",-70%,"5,5",+69%,"2,2",+69%,23 g,en quantité élevée,3.5 g,en quantité modérée,1.7 g,en faible quantité,5.5 g,en quantité élevée,,,,,B,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,['Costa Rica'],,,,
14,Rhum - ron barcelo - 700ml,7461323129350,,700ml,,['ron barcelo'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,,,['France'],[],,,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,
15,Gamesa Barras De Coco,7501000669509,,,,['Gamesa'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,"['France', 'Espagne']",[],,['Soja'],[],,?,,390,-18%,1632 kj(390 kcal),-18%,12,-42%,6,-41%,66,+3%,24,-19%,6,-8%,"4,5",+664%,"1,8",+664%,12 g,en quantité modérée,6 g,en quantité élevée,24 g,en quantité élevée,4.5 g,en quantité élevée,21,+6%,E,+6%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,
16,Salsa guacamole frasco 240 g - Herdez,7501003105431,,,,['Herdez'],"['Epicerie', 'Sauces', 'Salsas verdes', 'Guacamoles']",,,,"['France', 'Singapour', 'Espagne']","['AGUA', 'TOMATE VERDE', 'ACEITE VEGETAL', 'CHILE', 'AGUACATE', 'CEBOLLA', 'CILANTRO', 'SOBORIZANTE ARTIFICIAL', 'JUGO DE AJO EN POLVO', 'ERITORBATO DE sodio', 'goma xantana', 'ácido ascórbico', 'ácido cítrico', 'colorantes artificiales ', 'tartrazina', 'amarillo ocaso', 'azul brillante']","['E415 - Gomme xanthane', 'E330 - Acide citrique', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",,"[""Pourrait contenir de l'huile de palme""]",4,?,,178,+10%,745 kj(178 kcal),+12%,18,+46%,"2,4",-7%,"3,6",-41%,"2,4",+17%,"1,8",+3%,"0,57",-48%,"0,228",-48%,18 g,en quantité modérée,2.4 g,en quantité modérée,2.4 g,en faible quantité,0.57 g,en quantité modérée,4,-20%,C,-20%,C,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,,,,
17,Cereal Froot Loops Kelloggs,7501008015339,,,,,,,,,['France'],[],,,[],,?,,130,,544 kj(130 kcal),,1,,"0,5",,28,,12,,2,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,
18,Salsa Picante Para Botana 370 ml - La costena,7501017004751,,,,['La costena'],,['en:Made in Mexico'],,,['France'],"['Hecho en México por: Conservas La Costefia', 'S', 'A', ' de 268', 'Col', ' Santa Maria TUIpetlac', ' Edo', ' De Méx', 'México INGREDIENTES: vinagre', 'sal yodada', 'condimentos', 'mezcla de ', 'hiles', 'especias', 'carboxanletjlqlylosg,h sorbato de potasio al conservador', 'goma xantanq3 de limén', 'écido citrico', 'benzoato de sodio al 0', '02141! Agitese bien antes de usòyïèfii después de @Marca Registrada', ' Lote y fecha de consumo indicados en el']",,,[],,?,,25,,105 kj(25 kcal),,"0,56",,0,,"4,35",,0,,"0,62",,"0,727",,"0,291",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mexican Salsa Sauce - La Costeña - 250gr,7501017005918,,250 gr,['bocal verre'],['La Costeña'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates pimentées']",,['Mexique'],['Auchan'],"['France', 'Suisse']","['Tomate', 'mélange de piments', 'oignon', 'sel iodé ,coriandre', 'vinaigre', 'exhausteur de goût : glutamate monosodique']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,[],4,60,-70%,40,-33%,60 kj(40 kcal),-76%,0,-100%,0,-100%,8,+11%,0,-100%,1,-30%,"1,3",+7%,"0,52",+7%,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.3 g,en quantité modérée,2,-20%,B,-20%,A,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,http://www.lacostena.com.mx/es/category/salsas/?type=product,,,
20,Salsa Chile Hab Rojo - El Yucateco - 120ml,7501017660018,Salsa de chile habanero,120 ml,['Botella de cristal'],['El Yucateco'],"['Epicerie', 'Sauces', 'Chile habanero']",,['México'],"['Walmart', 'Bodega aurrera', 'Soriana', 'La comer']","['France', 'Mexique']","['AGUA', 'CHILES HABANEROS', 'TOMATE', 'SALYODADA', 'ESPECIAS', 'ACÉTICO', 'GOMA XANTANA', 'CiTRlCO', 'BENZOATO DE COMO CONSERVADOR Y FD&C ROJO No', ' 40', ' MARCA REGISTRADA UTILIZADA BAJO LICENCIA DE PRIAMO J', 'GAMBOA S', 'A', ' DE C', 'V']",['E415 - Gomme xanthane'],,[],4,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"8,85",+266%,"3,54",+266%,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,8.85 g,en quantité élevée,10,-14%,C,-14%,,,,,,,,,['Mexique'],,,,
21,Salsa Verde Clemente Jacques 370ML Envàs De Vidre,7501052473505,,,,['Clemente Jacques'],"['Epicerie', 'Sauces', 'Salsas verdes']",,,,"['France', 'Espagne']","['Tomate verte', 'eau', 'piment', 'oignon', 'condiment', 'sel yodee', 'coriandre', ""vinaigre blanc d'alcool de canne à sucre"", 'ail', 'épaississant ', 'gomme xantène', 'gomme guar', 'cmc', 'gomme arabique et carragène', ' acide citrique', 'benzoate de sodium', 'sorbate de potassium', 'edta disosique']","['E412 - Gomme de guar', 'E466 - Carboxyméthylcellulose', ""E414 - Gomme d'acacia"", 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,[],4,?,,28,-88%,117 kj(28 kcal),-88%,0,-100%,0,-100%,4,-60%,"2,8",-57%,"1,4",-48%,"0,728",-70%,"0,291",-70%,0 g,en faible quantité,0 g,en faible quantité,2.8 g,en faible quantité,0.728 g,en quantité modérée,-2,-117%,A,-117%,,,,,,,,,,,,,
22,Bierre sans Alcool - Corona Cero - Cervecería Modelo - 355ml,7501064197031,,355 ml,,['Cervecería Modelo'],"['Boissons', 'Boissons alcoolisées', 'Bières']",['Sans alcool'],,,['France'],[],,,[],,?,,39.4,-10%,165 kj(39 kcal),-11%,0,-100%,0,-100%,"9,86",+153%,"3,38",+273%,"0,254",-36%,"0,317",+1894%,"0,127",+1894%,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,
23,Jamon serrano reserva,7501576252167,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,['France'],[],,,[],,?,,210,-12%,879 kj(210 kcal),-12%,"9,8",-22%,"3,5",-25%,"0,7",-3%,"0,7",+57%,30,-1%,5,+7%,2,+7%,9.8 g,en quantité modérée,3.5 g,en quantité modérée,0.7 g,en faible quantité,5 g,en quantité élevée,15,-9%,D,-9%,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,
24,Tortillas de harina integrales,7502270330045,,,,,,,,,['France'],[],,,[],,?,,292,,1222 kj(292 kcal),,"10,8",,"3,6",,48,,0,,8,,"0,644",,"0,258",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Crème Fraîche Légère - Yoplait,7533904077975,,,"['Pot', 'Plastique', 'Frais']",['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']","['Point Vert', 'en:Lait-francais-french-milk']",['France'],,['France'],"['Crème légère à 15 % de matières grasses - Amidon transformé de maïs • Ferments lactiques ', 'lait']",['E14XX - Amidons modifiés'],['Lait'],['Non végétalien'],4,?,,165,+2%,690 kj(165 kcal),+4%,"14,6",+4%,"9,8",+4%,"5,6",+3%,"3,5",-10%,"2,8",+1%,"0,11",+2%,"0,044",+2%,14.6 g,en quantité modérée,9.8 g,en quantité élevée,3.5 g,en faible quantité,0.11 g,en faible quantité,11,+12%,D,+12%,B,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['France'],,,,
26,Petits garnis chèvre tomate  - Findus,7582718001379,,,"['Carton', 'surgelé']",['Findus'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes']","['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,,['France'],[],,,['Sans huile de palme'],,942,+55%,?,,942 kj(225 kcal),+50%,"8,2",+17%,"4,2",+62%,29,+121%,"5,2",+149%,"7,2",+7%,"1,5",+97%,"0,6",+97%,8.2 g,en quantité modérée,4.2 g,en quantité modérée,5.2 g,en quantité modérée,1.5 g,en quantité modérée,10,+313%,C,+313%,,,,,,,,,,,,,
27,Chocolate,7593712000510,,,,,,,,,['France'],[],,,[],,?,,160,,669 kj(160 kcal),,9,,0,,0,,0,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BLOND torino Caramelise - Camille Bloch - 100g,7610008009511,,100 g,,['Camille Bloch'],,['Fabriqué en Suisse'],,,"['France', 'Suisse']",[],,,[],,2391,,?,,2391 kj(571 kcal),,37,,20,,51,,49,,8,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ragusa noir - Camille Bloch - 132g (12 * 11g),7610008009993,Confiserie au chocolat noir fourré praliné et noisettes entières,132g (12 * 11g),['boîte carton'],"['Camille Bloch', 'Ragusa']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",,['Suisse'],['Cactus'],"['France', 'Luxembourg', 'Suisse']","['Sucre', 'pâte de cacao', 'noisettes ', 'dont 9% entières', 'graisse de coco', 'poudre de lait entier', 'poudre de cacao', 'farine de soja', 'beurre de cacao', 'beurre fondu', 'émulsifiant: lécithine de soja', 'extrait pur de vanille', ' Chocolat 27%', 'fourré praliné 64%', ' Chocolat: 60% cacao minimum']",['E322i - Lécithine'],"['Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,2340,+6%,?,,2340 kj(559 kcal),+7%,39,+28%,17,+3%,40,-25%,35,-26%,8,+31%,"0,01",-95%,"0,004",-95%,39 g,en quantité élevée,17 g,en quantité élevée,35 g,en quantité élevée,0.01 g,en faible quantité,23,-5%,E,-5%,,,,,,,,,['Suisse'],,,,
30,Kirsch - Camille Bloch - 100g e,7610008630005,Chocolat au Lait Suisse Fourré Kirsch Liquide,100 g e,"['Carton', 'Aluminium']",['Camille Bloch'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats à la liqueur', 'Chocolats suisses']","['Point Vert', 'Fabriqué en Suisse']",['Suisse'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'poudre de lait entier', 'sirop de glucose', 'kirsch ', '10%', 'pâte de cacao', 'poudre de lait écrémé', 'dextrose', 'eau', 'arôme naturel kirsch', 'émulsifiant : lécithine de soja', 'extrait pur de vanille']",['E322i - Lécithine'],"['Lait', 'Soja']",['Non végétalien'],4,1897,-1%,?,,1897 kj(453 kcal),-2%,23,-2%,14,-3%,56,+2%,55,+8%,5,+14%,"0,01",-85%,"0,004",-85%,23 g,en quantité élevée,14 g,en quantité élevée,55 g,en quantité élevée,0.01 g,en faible quantité,25,+2%,E,+2%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
31,Landjäger - Bell - 200g,7610011002295,,200 g,,['Bell'],"['Viandes', 'Charcuteries', 'Saucissons']",,,,"['France', 'Allemagne', 'Suisse']","['viande de bœuf 89 g', 'lard', 'couennes', 'viande de porc 4 g', 'sel nitrité ', 'sel de cuisine', 'conservateur [E 250]', 'épices', 'dextrose', 'sirop de glucose', 'antioxydant ', 'E 301', 'E 300']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2300,+41%,?,,2300 kj(550 kcal),+42%,50,+63%,"0,1",-99%,1,-54%,"0,5",-62%,26,+3%,"3,9",-7%,"1,56",-7%,50 g,en quantité élevée,0.1 g,en faible quantité,0.5 g,en faible quantité,3.9 g,en quantité élevée,16,-32%,D,-32%,,,,,,,,,,,,,
32,Muesli - Familia - 50g,7610023002818,,50 g,,['Familia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['Bio', 'Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,"['France', 'Suisse']","[' complète di orge ', 'Europe', 'l blé ', 'CH', 'blé de soja', 'émulsifiant lécithine morceaux de dattes1010 AIR', 'BR', ' ', 'morceau\\de dattes', 'farine de riz', 'flocons de fruits ', 'farine complète ', 'blé', 'seigle', 'orge', 'pulpe de dattest pommes', 'purée de bananes}', 'pulpe de dattes ', 'TN', 'chips de noix de coco 3% ', 'LK', 'morceaux de pomme 3% ', 'l', 'flocons de noix de coco', 'aronias séchés 2 % ', 'CH', 'huile de tournesol', 'framboises lyophilisées 1 % ', ""Europe de l'Est"", 'sel de table', ' Céréales: 75%', 'dont céréales complètes', ' 100 0%', ' Peut contenir du lait', 'des aman - des', 'des noisettes', 'des noix les ingrédients agricoles hoviennent de cultures Mo\\ogiques et répondent aux des directives de Bio']",,['Gluten'],"['Végétalien', 'Végétarien']",3,1720,+1%,?,,1720 kj(411 kcal),+3%,9,-15%,4,+48%,67,+9%,14,-22%,10,+4%,"0,18",+24%,"0,072",+24%,9 g,en quantité modérée,4 g,en quantité modérée,14 g,en quantité élevée,0.18 g,en faible quantité,6,+75%,C,+75%,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
33,"Sandwich Glacé, Glacé - Nestlé - 75ml",7610026426635,,75 ml,,['Nestlé'],,,,,"['France', 'Suisse']","['Lait écrémé', 'farine de blé', 'sucre', 'huile de noix de coco', 'sirop de glucose', 'petit-lait en poudre', 'amidon de maïs', 'sirop de glucose-fructose', 'cacao maigre en poudre', 'lait maigre en poudre', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", 'lécithine de soja', 'sel de cuisine', 'poudres à lever ', 'bicarbonate de sodium', ""carbonates d'ammonium"", 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'concentrés de plantes', 'fruits et légumes colorants ', 'carotte', 'carthame', 'courge', 'citron', 'arôme naturel de vanille', 'arôme naturel']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503 - Carbonates d'ammonium"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,631,,?,,631 kj(151 kcal),,"5,4",,"4,6",,"22,7",,12,,"2,7",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,
34,Haricots fins - Denner,7610029024753,,,['Conserve'],['Denner'],,,,['Denner'],"['France', 'Suisse']",[],,,[],,?,,32,,134 kj(32 kcal),,"0,5",,"0,5",,4,,1,,2,,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,,,
35,Popcorn - Denner,7610029116083,,,,['Denner'],"['Snacks', 'Popcorn']",,,['Denner'],"['France', 'Suisse']",[],,,[],,?,,413,-6%,1728 kj(413 kcal),-6%,16,0%,3,-36%,55,-13%,1,-95%,8,+20%,2,+120%,"0,8",+120%,16 g,en quantité modérée,3 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,15,+8%,D,+8%,B,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,
36,Nuss Stängeli - Denner,7610029125986,,,,['Denner'],['Biscuits et gâteaux'],,,['Denner'],"['France', 'Suisse']","['farine de froment', 'sucre', 'noisettes 30%', ""blanc d'oeuf en poudre "", ""d'élevage au sol"", 'protéines lactiques ', 'contiennent du lactose', ""poudre à lever: carbonates d'ammonium"", ""extrait de malt d'orge"", "" Peut contenir des traces de sésame et d'autres fruits à coque "", 'noix']","[""E503 - Carbonates d'ammonium""]","['Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],4,?,,466,+8%,1950 kj(466 kcal),+8%,18,-6%,"1,5",-82%,64,+12%,34,+17%,10,+69%,"0,08",-86%,"0,032",-86%,18 g,en quantité modérée,1.5 g,en quantité modérée,34 g,en quantité élevée,0.08 g,en faible quantité,13,-30%,D,-30%,,,,,,,,,,,,,
37,Soft Aprikosen Getrocknet - Denner - 200g,7610029159189,,200 g,['angebrochene packung'],['Denner'],,,,['Denner'],"['France', 'Suisse']",[],,,[],,?,,243,,1017 kj(243 kcal),,"0,5",,"0,5",,54,,38,,"1,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
38,Microwave Pop Corn salé - Denner - 3x 100g,7610029160659,,3 x 100 g,['Carton'],['Denner'],"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",,,['Denner'],"['France', 'Suisse']","['Grains de maïs pour popcorn 84%', 'huile de palme', ' sel de cuisine']",,,['Huile de palme'],3,1690,-7%,?,,1690 kj(404 kcal),-10%,17,+10%,"7,5",+104%,51,-25%,1,-97%,9,+57%,"2,4",+913%,"0,96",+913%,17 g,en quantité modérée,7.5 g,en quantité élevée,1 g,en faible quantité,2.4 g,en quantité élevée,17,+31%,D,+31%,B,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,['Huile de palme'],,
