,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
0,Poulet - Moutarde à l'ancienne - Fleury Michon - 150g,3302740046957,150 g,"['Film en plastique', 'Barquette en carton']",['Fleury Michon'],"['Nutriscore', 'Nutriscore C']","['FR 85.140.001 CE', 'Meilleraie-Tillay (Vendée, France)']",['France'],"['Filet de poulet 82%', ""moutarde\xa0à l'ancienne 5"", '5% ', ' eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'moutarde 4', '9% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'eau', 'huile de colza', 'sel', 'fécule de manioc', 'curry', 'colorant : lutéine', 'conservateur : nitrite de sodium']","['E161b - Lutéine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Moutarde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,604,?,604 kj(144 kcal),"4,9","0,7","1,2","< 0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Poulet - Citron & touche de Thym - Fleury Michon - 150g,3302740046964,150 g,"['Film en plastique', 'Barquette en carton']",['Fleury Michon'],"['Nutriscore', 'Nutriscore C']","['FR 85.140.001 CE', 'Meilleraie-Tillay (Vendée, France)']",['France'],"['Filet de poulet 86%', ""huile d'olive"", 'zeste et jus de citron 2', '1%', 'fécule de manioc', 'sel', 'thym 0', '4%', 'colorant : lutéine', 'poivre', 'conservateur : nitrite de sodium']","['E161b - Lutéine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,608,?,608 kj(145 kcal),"4,2","1,1","1,6","< 0,5",25,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jambon à l’ancienne,2602657022565,,,,,,['France'],[],,,[],,?,3.1,13 kj(3 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bacche Di Goji,8018699018116,,,,,,['France'],[],,,[],,?,365,1527 kj(365 kcal),"3,4","0,6",66,64,13,"0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Luxury cookie triple chocolate,8010247010139,,,,,,['France'],[],,,[],,?,485,2029 kj(485 kcal),22,15,64,35,"6,43","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Danao pêche abricot,2957664319969,,,,,,['France'],[],,,[],,?,43,180 kj(43 kcal),"0,1",0,"9,3","8,7","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Miel d’Acacia,3377517600021,,,,,,['France'],[],,,[],,?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Recette de saucisses fumées aux légumes verts Ô P’tits Légumes - Madrange - 330g,3180940089116,330 g,"['sous vide', 'Sachet', 'Plastique']",['Madrange'],"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Nutriscore', 'Nutriscore B', ""Saveurs de l'Année"", ""Saveurs de l'Année 2021""]","['EMB 95280', ""Goussainville (Val-d'Oise, France)"", 'FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)""]",['France'],"['Viande de porc 49%', 'brocolis 8,9%', 'petits pois 7,4%', 'épinards 6,4%', 'haricots verts 6,4%', 'courgettes 5,5%', 'pois cassés cuits 3,5% ', 'eau', 'pois cassés 1,5%', 'huile de colza', 'oignons grillés 2,5%', 'bouillon de porc déshydraté', 'arôme naturel', 'sel de mer et minéraux de mer ', 'potassium', 'magnésium', 'calcium', 'fibres végétales', 'fécule de pomme de terre', 'sucre de canne', 'échalote 1,0%', 'persil 1,0%', 'ciboulette 0,7%', 'bouillon ', 'blette', 'acérola', 'carotte', 'muscade 0,02%', 'ferments', '\r Porc français élevé sans antibiotique dès la fin du sevrage ', '42e jour', '\rBrocolis', 'petits pois', 'épinards', 'haricots verts', 'courgettes', 'oignons grillés', 'bouillon de porc déshydraté', 'échalote', 'persil', 'ciboulette origine UE', '\rPois cassés cuits origine UE et non UE', '\rMuscade origine non UE']",,,"['Non végétalien', 'Non végétarien']",4,804,193,804 kj(193 kcal),12,"4,2","7,6","2,3",12,"1,1","0,44",D,SAUCISSES CUITES FUMÉES AUX LÉGUMES,"['Viandes', 'Plats préparés', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Légumes préparés', 'Saucisses de Strasbourg', 'Knacks industrielles', 'Saucisses fumées']","['France', 'Union européenne', 'Non Union Européenne']",['France'],https://www.madrange.fr/nos-produits/recette-de-saucisses-fumees-aux-legumes-verts/,12 g,en quantité modérée,4.2 g,en quantité modérée,2.3 g,en faible quantité,1.1 g,en quantité modérée,-32%,-33%,-34%,-51%,-56%,+523%,+225%,-23%,-48%,-48%,2,-90%,B,-90%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,
8,"Confiture arrisanale chataignes, pommes, coings",3760280470081,,,,,,['France'],[],,,[],,?,307,1284 kj(307 kcal),15,"0,1",74,54,"0,8","11,33","4,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chardon marie,3400933356750,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chorizo,2204496029066,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sape di sapori miele di acacia,8003100872012,,,,,,['France'],[],,,[],,?,322,1347 kj(322 kcal),0,0,80,80,"0,6","0,1","0,04",B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.1 g,en faible quantité,,+11%,+11%,-100%,-100%,+3%,+13%,+73%,+537%,+537%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
12,Cakes Raisins - Bijou - 20emballages individuels,,20 emballages individuels,"['Boîte carton', 'Boîte en carton']",['Bijou'],"['Sans colorants artificiels', 'Sans huile de palme', 'Blé français filière responsable', 'Oeufs français issus de poules élevées en plein air']",['EM87187B'],"['France', 'Qatar']","['Farine de blé 24%', 'sirop de glucose-fructose', 'œufs de poules élevées en plein air 13%', 'huile de colza', 'raisins secs', 'sucre', 'pastèque', 'rhum', 'stabilisant : glycérol', 'écorce de cédrat', 'bigarreaux', ""écorce d'orange"", 'poudres à lever : carbonates de sodium - citrates de sodium ', 'blé', 'sel', 'lait écrémé en poudre', 'gluten de blé', 'concentré de fruits et légumes', 'fibres végétales', ""arôme naturel d'orange"", ""correcteur d'acidité : acide citrique"", 'conservateur : anhydride sulfureux', ' Peut contenir des traces de soja et de fruits à coque']","['E422 - Glycérol', 'E500 - Carbonates de sodium', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,1627,387,1627 kj(387 kcal),15,"1,8",57,33,"5,1","0,5","0,2",,"Pâtisseries aux fruits confits* (20%) et aux raisins secs au rhum (15%) - * fruits confits 20% : pastèque confite 8.7%, écorce de cédrat confite 4.9%, cerises bigarreaux confites 3.2% et écorce d'orange confite 3.2%.","['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries']",['France'],"['Haute-Vienne', 'France']",https://www.bijou.com/achat-de-biscuits/patisseries-traditionnelles-222/cakes-aux-fruits-2264.html,15 g,en quantité modérée,1.8 g,en quantité modérée,33 g,en quantité élevée,0.5 g,en quantité modérée,+3%,+3%,+4%,-11%,-78%,+19%,+13%,-5%,+21%,+21%,12,-30%,D,-30%,,,,,,,,"['www.bijou.com', 'Saint-Yrieix-La-Perche', 'Limoges', 'Brive', 'Bordeaux']",,,,
13,Nestle petite cereale,9365055035249,,,,,,['France'],[],,,[],,?,408,1707 kj(408 kcal),6,3,76,29,11,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Honey wheat,00887397,,,,,,['France'],[],,,[],,?,380,1590 kj(380 kcal),"1,9","0,3",78,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Simplement bon - 25% de Sel* - Fleury Michon - 70g,3302740047299,70 g,"['Barquette', 'Film en plastique', 'Frais', 'sous vide']",['Fleury Michon'],"['Nutriscore', 'Nutriscore B']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",['France'],"['Jambon de porc', 'bouillon ', 'eau', 'os de porc', 'plantes aromatiques', 'céleri', 'épices', 'viande de porc', 'oignon', 'huile de tournesol', 'sel', 'dextrose de maïs', 'extrait de levure', 'arôme naturel', 'antioxydant\xa0: ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Céleri'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,490,?,490 kj(117 kcal),"2,9",1,"0,5","0,5",22,"1,4","0,56",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon cuit supérieur à teneur réduite en sel']",['Union européenne'],['France'],,2.9 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,-3%,,-10%,-40%,-46%,-25%,-16%,+4%,-25%,-25%,2,-72%,B,-72%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Franprix'],,,,
16,Tendre croc herta,3154230803362,,,,,,['France'],[],,,[],,?,262,1096 kj(262 kcal),11,4,28,4,12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lentilles,5601474125241,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Italia tipica lenticchie dei monti sibillini umbria,8008703603056,,,,,,['France'],[],,,[],,?,334,1397 kj(334 kcal),"1,6","0,3",49,"1,1",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Knoblauch Kräuter Dip,7617027794237,,,,,,['France'],[],,,[],,?,416,1741 kj(416 kcal),42,5,8,5,1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Raoul mapoul,3483080054496,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Coriandre moulue,3352396200869,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Alpro complement coco stracciatela,5411188133896,,,,,,['France'],[],,,[],,?,114,477 kj(114 kcal),"6,6","5,8","11,9","7,1","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pâte au mareuil,3540880120148,,,,,,['France'],[],,,[],,?,356,1490 kj(356 kcal),33,12,"2,2","1,5",12,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Boudin antillais artisanal,2426059032089,,,,,,['France'],[],,,[],,?,207,866 kj(207 kcal),"15,8","5,7","6,5","2,6","9,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fusilli integrali di grano duro e ceci,8009004812901,,,,,,['France'],[],,,[],,?,347,1452 kj(347 kcal),"3,9","0,7",56,"1,9",17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Be Cool,3585810089102,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Linea panetteria tarallini pezzi,8029404004287,,,,,,['France'],[],,,[],,?,449,1879 kj(449 kcal),15,"1,8",70,"1,7","8,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pruneaux d’Agen Solidaires,3328400830001,,,,,,['France'],[],,,[],,?,231,967 kj(231 kcal),"0,5","0,2","52,6","41,2","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Langues d’oiseaux,8020312012142,,,,,,['France'],[],,,[],,?,370,1548 kj(370 kcal),"3,6","1,2",69,"2,3",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Slender cellulite & fat burn,5949106122702,,,,,,['France'],[],,,[],,?,131,548 kj(131 kcal),0,0,23,3,"5,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Thym,2006050003747,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bio-Nudelsauce Kräuter,20258290,,,,,,['France'],[],,,[],,?,50,209 kj(50 kcal),"0,2",0,"9,3",7,2,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Foies de lapin,0210202029192,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Mix de farine d’orge,5425027601606,,,,,,['France'],[],,,[],,?,345,1443 kj(345 kcal),"1,53","0,21","69,29","0,55","2,9","1,53","0,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Banana e yogurt merenda pastorizzata,8000050534106,,,,,,['France'],[],,,[],,?,78,326 kj(78 kcal),"0,7","0,5",17,12,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Filet poulet sv 1kg,00100107620209000357,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Escalipes de dinde,0217827031036,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pruneau premium,2007402019683,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Nutreov Speed Draineur Fruits D'eté 280 ML,3401560031249,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cereales lactees saveur vanille,3564707169677,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Saucisses de toulouse persillées,2291129029852,,,,,,['France'],[],,,[],,?,245,1025 kj(245 kcal),19,"7,4","0,8","0,5",17,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Huile CBD,3701220303403,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Häagen-Dazs,3415580903318,,,['Häagen-Dazs'],,"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Burger au fromage basque et poivre d'Espelette,8436591610403,,,,,,['France'],[],,,[],,?,144,602 kj(144 kcal),"7,6","4,3","0,9","0,5","17,9","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Steak acher,5901752323797,,,,,,['France'],[],,,[],,?,188,787 kj(188 kcal),11,"4,4","4,7",2,17,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,comptoir du cacao,3701265001081,,,,,,['France'],[],,,[],,?,594,2485 kj(594 kcal),44,18,36,32,9,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Knäckerbrot, Käse Und Kürbiskerne",9100000764610,,,,,,['France'],[],,,[],,?,463,1937 kj(463 kcal),21,"4,9",45,"2,1",19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Natur'&bon amandes noix de cajou pistaches,3336972009022,,,,,,['France'],[],,,[],,?,613,2565 kj(613 kcal),51,"6,7",13,"9,9",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Saucisse,8414171102036,,,,,,['France'],[],,,[],,?,122,510 kj(122 kcal),"5,3",0,"1,5","0,7",17,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pesto genovese,8032649300366,,,,,,['France'],[],,,[],,?,557,2330 kj(557 kcal),56,13,3,0,"8,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Terrine de campagne,0200010020474,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Le rösti,0205856017459,,,,"['Nutriscore', 'Nutriscore D']",,['France'],[],,,[],,?,260,1088 kj(260 kcal),11,"4,5",27,"5,7",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Hiker’s Mint,3725371400729,,,,,,['France'],[],,,[],,?,238,996 kj(238 kcal),0,0,95,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Escalope de dinde,0209464057135,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,
55,Danette chocolat extra noir,3033491279447,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5036206028727,5036206028727,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Watermelon cane sugar soda,0620221200265,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Blanc de Poulet - Les Fermiers de Loué - 280gr,0217230053076,280gr,['Barquette'],['Les Fermiers de Loué'],"['Nourri sans OGM', 'Label Rouge']","['FR 72.168.001 CE', 'Loué (Sarthe, France)']",['France'],"[""ÉLEVÉ EN LIBERTE est certifiees D'ELEVAGE 84 JOURS  LES FERMIERS POULET "", 'Nourri SANS OGM', 'et aux CÉRÉALES LOALES']",,,[],,?,?,,?,,?,,?,,,,,['Viande blanche'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Poiatti Conciglioni Rig No. 93 500GR,8007066005934,,,,,,['France'],[],,,[],,?,355,1485 kj(355 kcal),"1,4","0,3",73,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jus de citron,3324321260996,,,,,,['France'],[],,,[],,?,28,117 kj(28 kcal),"0,1",0,"6,5","1,75","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Tortelloni gorgonzola e noci torri e sapori,8006827007149,,,,,,['France'],[],,,[],,?,275,1151 kj(275 kcal),"6,97","1,84","40,91","4,39","10,45","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ossau iraty aop,2287100002136,,,,,,['France'],[],,,[],,?,422,1766 kj(422 kcal),35,25,"1,2","0,5",25,"1,6","0,64",E,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,,,35 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,0%,+0%,-3%,+1%,+28%,+71%,+6%,-10%,-10%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,
63,Kofu,4260616870138,,,,,,['France'],[],,,[],,?,90,377 kj(90 kcal),"1,3","0,2","13,2","0,6","4,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ayumi 10 pièces,3760253240444,,,,,,['France'],[],,,[],,?,190,795 kj(190 kcal),"5,9","1,5",27,"5,5","6,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Pitaya rossa,2664693050711,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Compote de pommes,3000059054518,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Piemontaise au jambon superieur et sa mayonnaise,2253048010106,,,,,,['France'],[],,,[],,?,178,745 kj(178 kcal),14,"1,2","7,8","0,5","4,3","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Aceto Di Vino Rosso Cirio 0,50 L.",8000320990038,,,,,,['France'],[],,,[],,?,18,75 kj(18 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,escalope de dinde,2689119060280,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,
70,La pasta Fresca,8014207032209,,,,,,['France'],[],,,[],,?,215,900 kj(215 kcal),"5,63","2,88","30,26","1,74","10,89","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Bon mer,8813069402522,,,,,,['France'],[],,,[],,?,70,293 kj(70 kcal),"1,25","0,57",0,0,"14,77","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Saucisses coktail,2327161002697,,,,,,['France'],[],,,[],,?,266,1113 kj(266 kcal),23,23,0,0,15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Porc côte échine x 1,0241477009770,,,,,"['FR 42.306.004 CE', 'Tarentaise (Loire, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Gerble bio,10897708,,,['Gerblé'],,,['France'],[],,,[],,?,459,1920 kj(459 kcal),19,3,59,14,9,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fresh salad thon,3242275050152,,,,,,['France'],[],,,[],,?,150,628 kj(150 kcal),"9,9","2,4",9,"3,8","4,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Covim Café Granbar Grains 6X1KG,8011952202154,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,La belle escalope de dinde,0217638023756,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,
78,Eau de souce,3683080552262,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),"3,3",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sushi box miyagi,4056489371120,,,,,,['France'],[],,,[],,?,174,728 kj(174 kcal),"5,1","1,6",26,7,"5,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Sardine,3700818903919,,,,,,['France'],[],,,[],,?,181,757 kj(181 kcal),"10,9","4,8","0,5","0,5","20,8","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Mini beignet,0251067018044,,['Boîte en plastique'],,,,['France'],[],,,[],,?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Morbier,0200281021453,,,,,,['France'],[],,,[],,?,357,1494 kj(357 kcal),29,20,1,1,23,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Healthy Boy Knoblauch-Chilisauce,8850206112067,,,,,,['France'],[],,,[],,?,186,778 kj(186 kcal),"0,4","0,1",45,45,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Saveurs cuisinés marinade,3359810103898,,,,,,['France'],[],,,[],,?,687,2874 kj(687 kcal),"70,4","9,8","9,1","2,5","3,2","5,9","2,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Duo ananas et carotte au surimi,2253021014503,,,,,,['France'],[],,,[],,?,180,753 kj(180 kcal),15,"1,1","6,8","2,8","3,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Chocolat pâtissier noir - Marque repère,3464700011846,,,['Marque repère'],"['Nutriscore', 'Nutriscore E']",,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,
87,Compté aop fruité,2481132034633,,,,,,['France'],[],,,[],,?,428,1791 kj(428 kcal),35,23,"1,2",0,27,"0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
