,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,labels,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,link,manufacturing,palm_ingredients,producer_info,brand_owner,origin_detail
184,"VeggissiMmm! Pavé gourmand - Epinards, lentilles, au Fromage - Bonduelle - 360g",3083681086737,['Bonduelle'],"['Snacks', 'Snacks salés', 'Plats préparés', 'Légumes préparés', 'Galettes de légumes']",['France'],"['Légumes 33% ', 'épinards 12%', 'lentilles sèches trempées 11%', 'tomates', 'oignons préfrits ', 'oignons', 'huile de tournesol', 'eau', 'CHAPELURE ', 'farines de BLE et ORGE malté', 'huile de tournesol', 'sel', 'poudre à lever : diphosphates - carbonates de sodium', 'persil', 'acidifiant : acide acétique', ""émulsifiant : mono-et diglycérides d'acides gras"", 'levure', 'agent de traitement de la farine : acide ascorbique - L-cystéine', ' 13%', 'AVOINE cuit ', 'eau', 'AVOINE', ' 8,5%', 'huile de tournesol 8%', 'FROMAGE ', 'LAIT', 'sel', 'ferments lactiques et fongiques', 'coagulant microbien', 'LACTOSE', ' 7%', 'protéines de pois', 'CREME ', 'stabilisant : carraghénanes', ' 2,4%', 'farine de BLE', 'farine de pois chiche', 'sel', 'GLUTEN de BLE', 'ail', 'émulsifiant : méthylcellulose', 'amidon transformé de maïs', 'gingembre', 'extrait de levure', 'curcuma', 'arôme naturel', 'coriandre graine', 'cumin', ' Peut contenir : CELERI', 'MOUTARDE', 'OEUFS', 'SOJA']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E260 - Acide acétique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E920 - L-Cystéine et ses chlorhydrates', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E461 - Méthylcellulose', 'E14XX - Amidons modifiés', 'E100 - Curcumine']","['Gluten', 'Lait', 'Avoine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12.4 g,en quantité modérée,3 g,en quantité modérée,4.4 g,en faible quantité,0.93 g,en quantité modérée,889,+102%,213,+35%,889 kj(213 kcal),+39%,"12,4",+74%,3,+188%,15,+13%,"4,4",+57%,"8,6",+54%,"0,93",+1%,"0,372",+1%,0,,B,,,360 g,['Boite carton'],,,,,,,,,,,,"Pavés de légumes, céréales et fromage cuisinés, panés, préfrits surgelé",,,,,,
185,Fruit Shoot Fruits Rouges - Teisseire - 20cl,3092718603106,"['Teisseire', 'Fruit Shoot']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",['France'],"['Eau ', '81%', 'jus de fruits à base de concentrés 10% ', 'pomme', 'framboise 4%', 'fraise 1%', 'sucre', 'arôme naturel de framboise avec autres arômes naturels', 'colorant : anthocyanes ', 'extrait de carotte pourpre', 'acidifiant : acide citrique', 'conservateurs : sorbate de potassium', 'dicarbonate de dimethyle']","['E163 - Anthocyanes', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E242 - Dicarbonate de diméthyle']",,[],4,0 g,en faible quantité,0 g,en faible quantité,5.7 g,en quantité modérée,0 g,en faible quantité,?,,24,-45%,100 kj(24 kcal),-49%,0,-100%,0,-100%,"5,7",-34%,"5,7",-16%,0,-100%,0,-100%,0,-100%,8,+45%,D,+45%,C,20 cl,"['Bouteille', 'Plastique']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Sans colorants artificiels']",,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,Boisson rafraîchissante aux fruits - Saveur Fruits rouge,http://www.teisseire.fr/gammes/fruit-shoot.html,['France'],,,,
186,Le Torchon - Cuisiné au Bouillon - Fleury Michon - 180g,3095757603106,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['France', 'Suisse']","['Jambon de porc', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'échalote', 'ail', 'épices', 'plantes aromatiques', 'sel', 'bouillon de légumes 1% ', 'eau', 'céleri', 'carotte', 'jus concentré de céleri', 'oignon', 'poireau', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Céleri'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,473,-7%,?,,473 kj(113 kcal),-14%,"2,8",-42%,1,-46%,"0,5",-25%,"0,5",-16%,21,-0%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,D,180 g,"['Barquette', 'Plastique', 'Tranches']","['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore C']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",['Auchan'],80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['France', 'Espagne']",Jambon cuit au torchon de qualité supérieure,,['France'],,,,
187,Jack Daniel's No.7 - 1L,3099873045369,['Jack daniel s'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky américain']",['France'],['whiskey'],,,"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,1 L,['Bouteille verre'],,,['Magasins U'],0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,whiskey,,"[""jack daniel's distillery"", 'Lynchburg', 'Tennessee', 'Usa', 'états-unis']",,,,
188,Croco pik - Haribo - 100g,3103220033807,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Crocodiles gélifiés']",['France'],"['sirop de glucose', 'sucre', 'gélatine', 'dextrose', 'acidifiants ', 'acide citrique', 'acide malique', ""agent d'enrobage "", 'cire de carnauba', ""correcteurs d'acidité "", 'citrate tricalcique', 'malate acide de sodium', 'arôme', 'concentrés de fruits et de plantes ', 'citron', 'carthame', 'sirop de sucre inverti', 'colorants ', 'bleu patenté V', 'carotènes végétaux', 'lutéine', 'anthocyanes']","['E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E903 - Cire de carnauba', 'E333iii - Citrate tricalcique', 'E350ii - Malate acide de sodium', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E160aii - Carotènes végétaux', 'E161b - Lutéine', 'E163 - Anthocyanes']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,51 g,en quantité élevée,0.17 g,en faible quantité,?,,354,+5%,1481 kj(354 kcal),+5%,"0,5",+37%,"0,1",+24%,81,+3%,51,-7%,6,+14%,"0,17",+142%,"0,068",+142%,14,+1%,D,+1%,E,100 g,['Barquette'],,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
189,Haribo Peaches,3103220044209,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']",['France'],"['sucre', ' sirop de glucose', ' gélatine', ' acidifiant: acide citrique', ' arôme', ' concentré de fruits et de plantes: citron', 'carthame', 'pomme', 'cassis', 'baie de sureau', 'aronie', 'raisin', ' extrait de baie de sureau', ' sirop de sucre inverti']","['E428 - Gélatine', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0.4 g,en faible quantité,0.09 g,en faible quantité,65 g,en quantité élevée,0.009 g,en faible quantité,?,,354,+3%,1481 kj(354 kcal),+2%,"0,4",-18%,"0,09",-62%,83,+2%,65,+8%,4,+22%,"0,009",-95%,"0,004",-95%,14,-3%,D,-3%,E,,,['Sans colorants'],,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
190,Biarritz - Delacre - 125g,3116430057167,"['Delacre', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],"['Chocolat ', '39%', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', ':actose', 'beurre pâtissier', 'émulsifiant : lecithine de soja', ' - farine de ble - sucre - graisse végétale ', 'palme', 'colza', ' - noix de coco ', '1%', "" - lactose et protéines de lait - blanc d'oeuf en poudre - sel - émulsifiant : lecithine de soja - ârome"", ' peut contenir des traces de fruits a coque']",['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,28.5 g,en quantité élevée,16 g,en quantité élevée,38.2 g,en quantité élevée,0.2 g,en faible quantité,2167,+5%,?,,2167 kj(518 kcal),+5%,"28,5",+22%,16,+36%,"58,5",-6%,"38,2",+18%,"4,9",-25%,"0,2",-64%,"0,08",-64%,20,-7%,E,-7%,D,125 g,['Carton'],,,['Magasins U'],84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,biscuits au chocolat noir,,,['Huile de palme'],,,
191,Tubble Gum Tutti Frutti Flavour Bubble Gum - Lutti - 35g,3116740015536,['Lutti'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']","['France', 'Suisse']","['Sirop de glucose-fructose', 'sucre', 'gomme base', 'stabilisants ', 'sorbitol', 'glycérol', 'amidon de blé', 'arômes', 'émulsifiants ', 'lécithines de soja', 'épaississants ', 'gomme de guar', 'colorant ', 'E120', 'antioxydant ', 'B,H,A']","['E420 - Sorbitol', 'E422 - Glycérol', 'E322 - Lécithines', 'E412 - Gomme de guar', 'E120 - Acide carminique']",['Soja'],"['Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,53.3 g,en quantité élevée,0.01 g,en faible quantité,?,,258,+54%,1079 kj(258 kcal),+54%,0,-100%,0,-100%,66,+4%,"53,3",+1008%,0,-100%,"0,01",-62%,"0,004",-62%,,,,,,35 g,,['Fabriqué en France'],,,,,,,,,,,,,,,,,
192,Joker le fruit pomme 1L - 1L,3123349012736,['Joker'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré']",['France'],['Jus de pomme à base de jus concentré'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,?,,43,-2%,180 kj(43 kcal),-3%,0,-100%,0,-100%,10,-5%,"9,7",-4%,0,-100%,0,-100%,0,-100%,3,-22%,C,-22%,B,1 L,"['Brique', 'Carton']","['Nutriscore', 'Nutriscore C']",,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,Jus de pomme à base de jus concentré,,,,,,
193,Oasis tropical - 6 × 25cl,3124480184863,['Oasis'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",['France'],"['Eau de source 80%', 'jus de fruits à base de concentrés 12% ', 'orange 6,6%', 'pomme 5,3%', 'fruit de la passion 0,1%', 'mangue 0,07%', 'sucre', 'acidifiant : acide citrique', 'antioxydants : acide ascorbique et alpha-tocophérol', 'colorants : lutéine', 'acide carminique et extrait de paprika', 'arômes', ""stabilisant : gomme d'acacia""]","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E307 - Alphatocophérol', 'E161b - Lutéine', 'E120 - Acide carminique', 'E160c - Extrait de paprika', ""E414 - Gomme d'acacia""]",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité élevée,0 g,en faible quantité,?,,34,-23%,142 kj(34 kcal),-28%,0,-100%,0,-100%,"8,3",-4%,"8,2",+21%,"0,1",-80%,0,-100%,0,-100%,11,+100%,E,+100%,C,6 × 25 cl,"['Bouteille', 'Plastique']",['Sans conservateurs'],,['Magasins U'],36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,Boisson rafraîchissante aux fruits et à l'eau de source. Teneur en fruits 12%.,,,,,,
194,La crèmerie bio - President - 40cl,3155250369630,['President'],"['Produits laitiers', 'Crèmes', 'Crèmes entières']",['France'],"[""Crème issue de l'agriculture biologique "", 'LAIT', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,30 g,en quantité élevée,22 g,en quantité élevée,2.9 g,en faible quantité,0.07 g,en faible quantité,?,,291,-5%,1218 kj(291 kcal),-4%,30,-4%,22,+4%,"2,9",-9%,"2,9",-5%,"2,3",+0%,"0,07",-17%,"0,028",-17%,13,-2%,D,-2%,A,40 cl,['Pot'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France']",,['Magasins U'],68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['France', 'Normandie']",Crème épaisse biologique à 30% MG,,,,,,
195,Le Beurre Noisy doux - 250g,3161910091247,"['Noisy', 'Elle & Vire', 'Savencia']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux', 'Beurres demi-sel', 'Beurres de crème douce']",['France'],"['Crème origine France', 'matière grasse laitière et ferments lactiques ', 'lait']",,['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",2,82 g,en quantité élevée,57 g,en quantité élevée,0.8 g,en faible quantité,0.05 g,en faible quantité,3060,+2%,744,+2%,3060 kj(744 kcal),+0%,82,+1%,57,+3%,"0,8",+8%,"0,8",+18%,"0,7",+2%,"0,05",-19%,"0,02",-19%,19,+2%,E,+2%,C,250 g,"['Papier', 'Frais', 'Indéchirable', 'Film plastique']",,"['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)']","['Franprix', 'Magasins U', 'Toutes enseignes GMS']",91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['France'],Beurre doux,https://www.elle-et-vire.com/fr/produits/beurre/classiques/noisy/beurre-noisy-doux/,"['France', 'Normandie']",,,Savencia,Lait français
196,Sucre pure canne bio - Daddy - 750g,3165433850008,['Daddy'],"['Édulcorants', 'Sucres', 'Sucres de canne', 'Sucres blancs']","['France', 'Suisse']",['Sucre 100% pure canne'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,?,,400,0%,1674 kj(400 kcal),-0%,0,,0,,100,0%,100,+0%,0,,0,,0,,14,-2%,D,-2%,B,750 g,"['Sachet', 'Plastique', 'Doypack']","['Bio', 'Bio européen', 'FR-BIO-10', 'Point Vert', 'Agriculture non UE', 'AB Agriculture Biologique', 'Non-raffine']",,"['Magasins U', 'Leclerc']",65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,
197,Lay's Chips à l'ancienne saveur jambon fumé - 120g,3168930006084,"[""Lay's"", 'Lays']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips à l'ancienne"", ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre ,huiles végétales 37% ', 'tournesol', 'colza', ' ,base aromatisante jambon fumé [LACTOSE ', 'de LAIT', 'exhausteurs de goût ', 'glutamate monosodique', 'inosinate disodique', 'guanylate disodique', 'arômes ', 'contient des dérivés du BLÉ et du LAIT', 'protéines hydrolysées de SOJA', 'arômes de fumée],sel']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']","['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,37 g,en quantité élevée,3 g,en quantité modérée,3.9 g,en faible quantité,1.5 g,en quantité modérée,2395,+2%,575,+3%,2395 kj(575 kcal),+3%,37,0%,3,-9%,52,+6%,"3,9",+455%,"6,2",+10%,"1,5",+14%,"0,6",+14%,11,-5%,D,-5%,B,120 g,"['Sachet', 'Plastique']","['Point Vert', 'Sans colorants artificiels', 'Sans colorants', 'Sans huile de palme', 'Sans conservateurs']",,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,Chips de pomme de terre saveur jambon fumé,,,,,,
198,Petit Hérisson - Cémoi - 180g,3173287403165,['Cémoi'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']","['France', 'Royaume-Uni']","['Sirop de glucose-fructose', 'sucre', 'caramel 16% ', 'sirop de glucose', 'graisse végétale de palme', 'lait concentré sucré', 'sucre', 'dextrose', 'émulsifiants: lécithines E471', 'sel', 'beurre de cacao', 'céréales croustillantes 6% ', 'riz', 'avoine', 'farine de blé', 'sirop de malt ', 'orge', 'blé', 'sucre', 'lactosérum', 'sel', 'dextrose de blé', 'poudre de lait entier 4', '9%', 'graisses végétales ', 'palme', 'palmiste karité', 'pâte de cacao', 'lactosérum en poudre', 'gélatine', 'cacao maigre en poudre', 'émulsifiant: lécithines', 'arômes']","['E322 - Lécithines', 'E428 - Gélatine']","['Gluten', 'Lait', 'Avoine']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,13 g,en quantité élevée,51 g,en quantité élevée,0.15 g,en faible quantité,?,,442,+26%,1849 kj(442 kcal),+25%,19,+485%,13,+577%,63,-18%,51,-20%,"4,2",+16%,"0,15",+164%,"0,06",+164%,25,+58%,E,+58%,B,180 g,"['Sachet', 'Plastique']",['Point Vert'],,['Magasins U'],60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,,Guimauve fantaisie et caramel enrobés de chocolat au lait aux céréales.,,,['Huile de palme'],,,
199,Brioche tressée pur beurre - Brioches & Viennoiseries Thomas - 600g,3173310014412,['Brioches & Viennoiseries Thomas'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre', 'Brioches tranchées', 'Brioches tranchées pur beurre']",['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'beurre 14,5 %', 'sucre', 'levain ', 'farine de blé', 'eau', 'arôme', 'levure', 'sel marin ', 'Noirmoutier ou Guérande']",,"['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,16 g,en quantité modérée,11.5 g,en quantité élevée,15.2 g,en quantité élevée,0.8 g,en quantité modérée,?,,375,+4%,1569 kj(375 kcal),+4%,16,+20%,"11,5",+34%,"49,6",-3%,"15,2",+13%,"9,2",+13%,"0,8",-15%,"0,32",-15%,20,+16%,E,+16%,B,600 g,"['Sachet', 'Plastique']","['Point Vert', 'Sans additifs', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Pur beurre']",,"['Boulangerie Super U', 'Super U']",81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['France', 'Grand-Ouest']",,,['France'],,,,
200,Brioche tressée pur beurre - Thomas Brioche - 600g,3173310019912,"['Thomas Brioche', 'Viennoiseries Thomas']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre']",['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'beurre 16%', 'sucre', 'levain ', 'farine de blé', 'eau', 'arôme', 'levure', 'sel marin ', 'Noirmoutier ou Guérande']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,16 g,en quantité modérée,11.5 g,en quantité élevée,15.2 g,en quantité élevée,0.11 g,en faible quantité,1568,+5%,375,+3%,1568 kj(375 kcal),+3%,16,+17%,"11,5",+31%,"49,6",-3%,"15,2",+10%,"9,2",+12%,"0,11",-89%,"0,044",-89%,17,-4%,D,-4%,B,600 g,"['Sachet', 'Plastique', 'Sachet en plastique']","['Sans additifs', 'Sans colorants', 'Sans conservateurs', 'Pur beurre']",,['Leclerc'],81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['France', 'Grand Ouest']",,,['France'],,,,
201,Biscuit coco sans sucres - Gerblé,3175681137264,['Gerblé'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['Farine de blé', 'édulcorant : maltitols', 'huile de colza', 'amidon de blé', 'dextrine de blé', 'arômes naturels', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', ""carbonates d'ammonium"", 'émulsifiant : lécithines de colza', 'sel marin']","['E965 - Maltitol', 'E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']",['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,15 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,0.84 g,en quantité modérée,?,,425,-10%,1778 kj(425 kcal),-11%,15,-28%,"1,5",-85%,72,+12%,0,-100%,"5,9",-9%,"0,84",+43%,"0,336",+43%,1,-95%,B,-95%,C,,,['Fabriqué en France'],,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
202,Pain grillé Campanel - Cereal Bio - 275g,3175681204232,['Cereal Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']",['France'],"['Farine de blé 84,4%', 'farine de seigle 13,3%', 'levain de blé dévitalisé', 'huile de tournesol oléique', 'gluten de blé', ""extrait de malt d'orge"", 'levure de boulanger', 'sel de Guérande', 'émulsifiant : lécithines de colza', 'agent de traitement de la farine : acide ascorbique']","['E322i - Lécithine', 'E300 - Acide ascorbique']",['Gluten'],['Sans huile de palme'],4,5 g,en quantité modérée,0.7 g,en faible quantité,4.7 g,en faible quantité,1.2 g,en quantité modérée,?,,387,-1%,1619 kj(387 kcal),-1%,5,-32%,"0,7",-55%,71,+8%,"4,7",-13%,11,0%,"1,2",-2%,"0,48",-2%,0,-100%,B,-100%,A,275 g,['Carton'],"['Bio', 'Bio européen', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,['Magasins U'],64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,Pain grillé,,"['Pays de la Loire', 'France']",,,,
203,GrandLait Demi-écrémé - Candia - 1.5l.,3176571664006,"['Candia', 'Candia GrandLait']","['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']","['France', 'Suisse']",['Lait demi-écrémé stérilisé UHT'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,195,-1%,46,-2%,195 kj(46 kcal),-1%,"1,6",-5%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,1",-10%,"0,04",-10%,0,-100%,B,-100%,C,1.5 l.,"['Bouteille', 'Bouchon', 'Plastique', 'Bouteille']","['Point Vert', 'en:saveurs-de-l-annee-france', 'Bleu Blanc Cœur', ""Saveurs de l'Année 2012"", 'Agri-Confiance', 'Charte de Qualité', 'Eco-Emballages', 'La Route du Lait', 'Lait collecté dans des fermes sélectionnées']","['FR 59.039.030 CE', 'Awoingt (Nord, France)']",,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,Lait demi-écrémé stérilisé UHT,http://www.candia.fr/grandlait/grandlait-demi-ecreme#bouteille-1-5l-10,"['Candia (Filiale Sodiaal International) - 1040 Route Nationale - 59400 Awoingt', 'Nord', 'Nord-Pas-de-Calais', 'France']",,,,
204,Crêpes bretonnes - Saint Michel - 14,3178530411164,['Saint Michel'],"['Crêpes et galettes', 'Crêpes']",['France'],"['Farine de blé', 'lait entier frais ', '30%', 'sucre', 'œufs de poules élevées en plein air', 'huile de colza', 'dextrose', 'sel', ""émulsifiant: mono - et diglycérides d'acides gras"", ' Traces éventuelles de fruits à coque et de soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,20 g,en quantité modérée,3.2 g,en quantité modérée,29 g,en quantité élevée,1.6 g,en quantité élevée,?,,424,+39%,1774 kj(424 kcal),+38%,20,+102%,"3,2",-12%,54,+19%,29,+37%,"6,9",-4%,"1,6",+97%,"0,64",+97%,20,+65%,E,+65%,B,14,['Sous-vide'],,,['Magasins U'],67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,
205,Multi-Déco - Vahiné - 125g,3179142054503,['Vahiné'],['Décorations alimentaires'],"['Belgique', 'France']",[],,,[],,6.8 g,en quantité modérée,4.1 g,en quantité modérée,67.6 g,en quantité élevée,0.2 g,en faible quantité,?,,413,+0%,1728 kj(413 kcal),+2%,"6,8",-19%,"4,1",-9%,"85,6",+8%,"67,6",-3%,"1,7",-19%,"0,2",+94%,"0,08",+94%,19,+6%,E,+6%,,125 g,"['Flacon', 'Verre']",,,"['Magasins U', 'Delhaize']",,,,,,,,,,,,,,,
206,Vahiné arôme fleur d'oranger - segafredo Zanetti - 250g,3179142784301,['segafredo Zanetti'],"['Additifs alimentaires', 'Arômes', 'Arômes pâtisserie', 'Catégories2']",['France'],"['Eau', 'arôme', 'acidifiant : acide lactique', 'conservateur : sorbate de potassium']","['E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,250g,['Plastique'],"['Point Vert', 'Fabriqué en France']",,['Noz'],,,,,,,,['Français'],,,['Italie'],,,,
