,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
0,Sumak - Marmara - 350g,4012625407306,350 g,['Marmara'],['France'],[],[],?,349,1460 kj(349 kcal),"12,9",0,"36,7",0,"12,3",6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Merguez veritable boeuf agneau - Jean Rozé,3250392927318,,['Jean Rozé'],['France'],[],[],?,300,1255 kj(300 kcal),26,12,"2,4","1,4",13,2,"0,8",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']","['Nutriscore', 'Nutriscore E']",26 g,en quantité élevée,12 g,en quantité élevée,1.4 g,en faible quantité,2 g,en quantité élevée,,+14%,+14%,+21%,+31%,+14%,+22%,-9%,+5%,+5%,21,+12%,E,+12%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,,,,,,,
2,gommeuses à la reglisse sans sucre,8005028133145,,,['France'],[],[],?,189,791 kj(189 kcal),0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lait demi-écrémé stérilisé UHT,7612464755742,,,['France'],[],[],?,48,201 kj(48 kcal),"1,6",1,"4,8","4,8","3,4","0,1","0,04",D,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT', 'Laits demi-écrémés UHT']",,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,0%,+0%,+2%,-2%,-0%,-0%,+9%,-8%,-8%,-1,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,
4,Sauce italienne à la viande rôtie,3021690029345,,,['France'],[],[],?,89,372 kj(89 kcal),"4,3","1,5","8,5","6,1","3,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 84.029.001 CE', 'Camaret-sur-Aigues (Vaucluse, France)']",,,,,,,,,,,,,
5,Les Fleuries - Vitabio,3288130120318,,['Vitabio'],['France'],[],[],?,50,209 kj(50 kcal),"0,1",0,11,10,"0,3",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Seasoning Moutarde - Zweifel,7610095236692,,['Zweifel'],['France'],[],[],?,500,2092 kj(500 kcal),10,2,20,6,0,"0,5","0,2",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,10 g,en quantité modérée,2 g,en quantité modérée,6 g,en quantité modérée,0.5 g,en quantité modérée,,+194%,+195%,-7%,+144%,+190%,+55%,-100%,-89%,-89%,10,-14%,C,-14%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
7,Dove Gel Douche Surgras Huile et Crème - 750ml,8712561629089,750 ml,['Dove'],['France'],"['Aqua', 'Cocamidopropyl Betaine', 'Sodium Hydroxypropyl Starch Phosphate', 'Lauric Acid', 'Sodium Lauroyl Glycinate', 'Sodium Lauroyl Isethionate', 'Sodium Chloride', 'Glycerin', 'Hydrogenated Soybean Oil', 'Parfum', 'Helianthus Annuus Seed Oil', 'Sodium Benzoate', 'Guar Hydroxypropyltrimonium Chloride', 'Sodium Hydroxide', 'Citric Acid', 'Stearic Acid', 'Undecylenoyl Glycine', 'Capryloyl Glycine', 'Sodium Isethionate', 'Palmitic Acid', 'Tetrasodium EDTA', 'Caprylic Acid', 'Capric Acid', 'Ricinus Communis Seed Oil', 'Alpha-Isomethyl Ionone', 'Benzyl Alcohol', 'Citronellol', 'Geraniol', 'Limonene', 'CI 19140', 'CI 17200']",[],?,?,,?,,?,,?,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gel Douche,"['Flacon en plastique', 'bouteille']","['E570 - Acide stéarique', 'E422 - Glycérol', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E1519 - Alcool benzylique']",4,,,,,,,,,
8,Riz italizn,8004263691014,,,['France'],[],[],?,203,849 kj(203 kcal),"3,5","0,9",37,"0,5","4,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sauce tomate à la ricotta - Alce nero,8009004810983,,['Alce nero'],['France'],[],[],?,87,364 kj(87 kcal),"5,1","1,1",6,"5,2","3,1","1,3","0,52",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomate au fromage', 'Sauces tomates à la ricotta']",,5.1 g,en quantité modérée,1.1 g,en faible quantité,5.2 g,en quantité modérée,1.3 g,en quantité modérée,,-14%,-13%,-22%,-31%,-1%,+15%,-3%,+18%,+18%,7,+148%,C,+148%,53.8%,18.4%,10.2%,10.1%,4.4%,3.1%,89,,,,,,,,,,,,,,
