,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
0,Biscuits à la cuillère pour dégustation - Brossard,3660140822152,C,['Brossard'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",['France'],"['Sucre', 'œufs frais 36%', 'farine de blé 26,5%', ""jaune d'œufs frais 9%"", 'stabilisant : glycérol', 'sirop de sucre inverti', 'arôme', 'sel', 'acidifiant : tartrates de potassium', ""blanc d'œufs en poudre "", 'agent foisonnant : citrate de triéthyle', 'épaississant : gomme xanthane', ' Présence possible de : lait']","['E422 - Glycérol', 'E336 - Tartrates de potassium', 'E1505 - Citrate de triéthyle', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']",['Non végétalien'],4,5.9 g,en quantité modérée,1.9 g,en quantité modérée,47.4 g,en quantité élevée,0.53 g,en quantité modérée,?,,356,-6%,1490 kj(356 kcal),-6%,"5,9",+56%,"1,9",+68%,"66,8",-14%,"47,4",-3%,"8,4",+10%,"0,53",+145%,"0,212",+145%,17,+18%,D,+18%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,,,,,,,,,,,,,
1,Elephant rose,3296180007978,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,Trèfle des rois,2274819052415,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sauce soja,8436015595163,B,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,14 g,en quantité élevée,?,,54,-51%,226 kj(54 kcal),-51%,"0,1",-19%,0,-100%,"5,8",-67%,"1,5",-88%,"7,5",+17%,14,+17%,"5,6",+17%,6,-46%,C,-46%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,"['Bio', 'Bio européen', 'ES-ECO-019-CT']",,,,,,,,,,,,
4,Coffret roquefort aop,3023260031826,,,,['France'],[],,,[],,,,,,,,,,?,,365,,1527 kj(365 kcal),,"31,7",,"22,5",,"0,8",,0,,19,,"3,7",,"1,48",,,,,,,,,,,,,['Point Vert'],"['FR 12.203.018 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,,,,,,,,,,
5,Pain multi céréales - auchan - 300g,2090000173086,,['Auchan'],,['France'],"['Céréales 58% ', 'farine de BLE', 'GLUTEN DE BLE', 'flocons de BLE malté', ""flocons d'AVOINE"", 'farine de BLE malté', 'eau', 'graine 6', '5 % ', 'lin brun', 'SESAME', 'tournesol', 'levure', 'sel', 'émulsifiant ', 'E472e', 'agent de traitement de la farine ', 'E300', 'enzymes ', 'alpha-amylases', 'endoxylanases', 'Xylanases', 'glucose oxydase transglutaminases', ' Peut contenir des traces de ŒUFS SOJA', 'LAIT', 'FRUITS A COQUE']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique', 'E1100 - Amylases', 'E1102 - Glucose oxydase']","['Gluten', 'Avoine', 'Graines de sésame']","[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,300 g,['Auchan'],,,,,,,,,
6,"Quaker Simply Granola Oats, Honey & Almonds - 793g",0030000067000,B,['Quaker'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['France', 'Espagne', 'États-Unis']","['Whole grain rolled oats', 'whole grain rolled wheat', 'brown sugar', 'canola oil', 'whey', 'inulin', 'almonds', 'nonfat dry milk', 'whey protein concentrate', 'honey', 'natural flavor ', 'contains coconut ingredients', 'sunflower oil', 'tocopherols ', 'added to preserve freshness', ' _CONTAINS ALMOND', 'COCONUT', 'MILK AND WHEAT INGREDIENTS', '_']",['E306 - Extrait riche en tocophérols'],"['Lait', 'Fruits à coque']",['Non végétalien'],4,11.6 g,en quantité modérée,1.24 g,en faible quantité,20.3 g,en quantité élevée,0.13 g,en faible quantité,?,,421,+1%,1761 kj(421 kcal),+1%,"11,62",-11%,"1,24",-63%,"73,66",+22%,"20,34",+20%,"10,55",+7%,"0,13",-25%,"0,052",-25%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,793g,,"['Cardboard box', 'Plastic bag']",QTG,,,,,,,
7,Champagne Denis Extra Brut,3350033493261,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes', 'Champagnes extra bruts']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,
8,Vegetarian Cucumber Maki -,3760199050312,,,"['Plats préparés', 'Sushis et makis', 'Makis']",['France'],[],,,[],,,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,Makis au concombre,,,,,,
9,Galette des rois Bio,2848803055760,D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],,,[],,27 g,en quantité élevée,17 g,en quantité élevée,9 g,en quantité modérée,1 g,en quantité modérée,?,,400,-5%,1674 kj(400 kcal),-5%,27,+2%,17,+15%,33,-15%,9,-30%,7,+10%,1,+43%,"0,4",+43%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
10,Aiguillettes de poulet blanc - maître coq - 317g,0215891037329,C,['maître coq'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],['Poulet'],,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande-francaise', 'Volaille-francaise']",,317g,['G20'],['sous atmosphère protectrice'],,,['France'],['France'],maître coq aiguillettes de poulet blanc site officiel,,,
11,MIEL DE TILLEUL -  - 500g,3520050450046,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,500 g,,,,,,,,,,
12,Peanut Butter - Body Attack,4250350522769,,['Body Attack'],,"['France', 'Suisse']",[],,,[],,,,,,,,,,2498,,?,,2498 kj(597 kcal),,50,,"6,8",,7,,"3,6",,30,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
13,Igp Oc Cuvée Jours Paisibles Rouge,3186128000003,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Antplaque whitening - Flouride Free - 659,0077326830796,,['Flouride Free'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,659,,,,,,,,,,
15,Thym feuilles BIO - Sainte Lucie - 15g,3162050130049,A,['Sainte Lucie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Thym']",['France'],['Thym feuilles biologique'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['EMB 60282A', 'Gouvieux (Oise, France)']",15 g,,['Flacon verre'],,,,,,,,
16,Eau de source -,3289090002171,,,"['Boissons', 'Eaux', 'Eaux de sources']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,,,,,
17,Dosettes café corsé - Auchan,3245678172780,,['Auchan'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
18,Le julo pâté de foie à l'ancienne - Casino - 160g,3222477170513,,['Casino'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",['France'],[],,,[],,31 g,en quantité élevée,13 g,en quantité élevée,1.2 g,en faible quantité,1.5 g,en quantité modérée,?,,339,-5%,1418 kj(339 kcal),-4%,31,-5%,13,+6%,2,-2%,"1,2",+48%,13,+14%,"1,5",-8%,"0,6",-8%,20,-0%,E,-0%,,,,,,,,"['en:without-antibiotics', 'Sans antibiotique dès la naissance', 'Viande Porcine Française', 'Viande-francaise']","['FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)', 'EMB 35196', 'Mordelles (Ille-et-Vilaine, France)']",160g,['Casino'],"['Frais', 'Sous atmosphère protectrice']",,,"['France', 'Porc origine France']",,,,,
19,Filet de poulet - La Nouvelle Agriculture,0213400035293,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
20,Tomato ketchup - Heinz,5000157079602,A,['Heinz'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['France'],"['tomatoes ', '174g per 100g tomato ketchup', 'spirit vinegar', 'sugar', 'salt', 'spice and herb extracts ', 'contain celery', 'sweetener ', 'steviol glycosides', 'spice', 'no artificial colours ang • no artificial flavours • no artificial preservatives sweetener from natural source before use', 'open cap and remove foil', 'shake well before use', 'storage']","['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,[],4,0.1 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0.9 g,en quantité modérée,?,,64,-40%,268 kj(64 kcal),-39%,"0,1",-59%,0,-100%,12,-47%,11,-44%,"1,4",+8%,"0,9",-55%,"0,36",-55%,5,-59%,C,-59%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['Sans arômes artificiels'],,,,['hdpe-bottle'],,,,,,,,
21,Amande décortiquée - Arev - 800g,3700066102461,E,['Arev'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],,,[],,53.5 g,en quantité élevée,4.04 g,en quantité modérée,1.08 g,en faible quantité,0.4 g,en quantité modérée,?,,580,-7%,2427 kj(580 kcal),-7%,"53,5",+3%,"4,04",+0%,5,-62%,"1,08",-72%,19,-15%,"0,4",+1609%,"0,16",+1609%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,800 g,,,,,,,,,,
22,Detelina's,3800139142711,,,,['France'],[],,,[],,,,,,,,,,?,,405,,1695 kj(405 kcal),,"12,5",,10,,65,,44,,"5,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
23,Hellema Chocolate Fourre,8710508510018,,,,['France'],[],,,[],,,,,,,,,,?,,491,,2054 kj(491 kcal),,19,,"9,5",,73,,32,,6,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,
24,Coeurs de canard gras,2684609004744,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['EMB 81004B', 'Albi (Tarn, France)']",,,,,,,,,,,
25,Terrine Bobossienne,3551820000055,,,,['France'],[],,,[],,,,,,,,,,?,,238,,996 kj(238 kcal),,20,,"7,6",,"1,5",,"0,1",,12,,"2,7",,"1,08",,,,,,,,,,,,,,"['FR 69.028.001 CE', 'Brindas (Rhône, France)']",,,,,,,,,,,
26,"Lieblingswurst - Lyoner mit Paprika, Ei und Pistazien - Wolf - 125g",4013832346273,,['Wolf'],['Viandes'],"['France', 'Allemagne']","['Schweinefleisch ', '60%', 'Hühnerei gekocht ', '22%', 'Trinkwasser', 'Speck', 'Paprika ', '5%', 'Pistazien ', '1%', 'Gewürze', 'Gewürzextrakte', 'Dextrose', 'Glukosesirup', 'Rum', 'Säureregulator: Natriumcitrate', ' Stabilisator: Diphosphate', ' Antioxidationsmittel: Ascorbinsäure', 'Natriumascorbat', 'Konservierungsstoff: Natriumnitrit']","['E331 - Citrates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Céleri', 'Œufs', 'Moutarde', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,22 g,en quantité élevée,9.5 g,en quantité élevée,0.2 g,en faible quantité,2 g,en quantité élevée,1038,+19%,?,,1038 kj(248 kcal),+11%,22,+51%,"9,5",+78%,1,-39%,"0,2",-72%,"11,5",-40%,2,+10%,"0,8",+10%,20,+75%,E,+75%,,,,,,,,['de:QS'],['DE TH 01531 EG'],125g,,"['Kunststoff', 'Schale']",,,,"['Schmölln', 'Deutschland']",,,,
27,Kabanos exclusive cielęcy,5908230524578,,,,['France'],[],,,[],,,,,,,,,,?,,419,,1753 kj(419 kcal),,31,,12,,"8,4",,"1,6",,26,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,
28,Pâte de noisettes avec protéines,5412672267073,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,557,,2330 kj(557 kcal),,"41,8",,"8,7",,"29,1",,"12,8",,"14,3",,"0,01",,"0,004",,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en Belgique', 'Sans lactose']",,,,,,,,,,,,
29,Hamlet Chocolade Lepels Utz - 3.5oz,5400265030982,,,,['France'],[],,,[],,,,,,,,,,?,,544,,2276 kj(544 kcal),,33,,20,,55,,54,,"5,6",,"0,33",,"0,132",,,,,,,,,,,,,,,3.5 oz,,,,,,,,,,
30,Minis palets gourmands citron,3300081104183,,,,['France'],[],,,[],,,,,,,,,,?,,459,,1920 kj(459 kcal),,26,,"15,9",,"49,4",,"24,6",,"6,6",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
31,Lasagnes saumon epinards - Leader Price - 300g,8000245005886,C,['Leader Price'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",['France'],"['Eau - pâtes alimentaires précuites 23% ', 'semoule de blé dur - eau', ' - saumon 13,4% [Atlantique ', 'A*: Salmo Salar', ' - Pacifique ', 'B* :Saumon rose - C*: Saumon kéta - D*:Saumon argenté', '] - épinards 13,2% - crème fraîche - emmental - amidon transformé de maïs - purée de citron ', 'citron jaune', 'sucre', ' - échalotes - lactosérum - lactose et protéines de lait - sel - farine de blé - huile de colza - arôme naturel ', 'contient poisson', "" - ail - arôme naturel de saumon avec d'autres arômes naturels "", 'contient poisson', ' - muscade - arôme naturel ', 'contient lait', ' - poivre', "" * Pour connaître l'espèce et l'origine du saumon"", 'se reporter à la lettre indiquée à côté du numéro de lot', ' Malgré tout le soin apporté à la préparation de nos produits', ""la présence exceptionnelle d'arête ne peut être exclue"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', ' Traces de céleri', 'crustacés', 'mollusques', 'moutarde', 'œuf', 'soja et graines de sésame']",['E14XX - Amidons modifiés'],"['Poisson', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,300 g,['Leader Price'],"['Film en plastique', 'Barquette en carton']",,,,,,,,
32,R W Garcia Sweet Potato Crackers 180G - 180g,5060142212162,,,,['France'],[],,,[],,,,,,,,,,?,,486,,2033 kj(486 kcal),,29,,"3,1",,"60,2",,"7,1",,6,,"0,4",,"0,16",,,,,,,,,,,,,,,180 g,,,,,,,,,,
33,Bacon - Montagne Noire,3485250001002,,['Montagne Noire'],"['Viandes', 'Porc', 'Bacon']",['France'],[],,,[],,3.7 g,en quantité modérée,1.1 g,en faible quantité,0.7 g,en faible quantité,2.9 g,en quantité élevée,?,,125,-21%,523 kj(125 kcal),-20%,"3,7",-42%,"1,1",-55%,1,+32%,"0,7",+16%,22,+2%,"2,9",+7%,"1,16",+7%,12,-5%,D,-5%,,,,,,,,,,,,,,,,,,,,
34,Haribo Jelly Beans,9002975703130,,['Haribo'],,['France'],[],,,[],,,,,,,,,,?,,375,,1569 kj(375 kcal),,"0,5",,"0,1",,93,,66,,"0,4",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
35,Miel Acacia France - Mellidor - 500g,3503740332006,B,['Mellidor'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture France']",,500 g,,,,,['France'],,,,,
36,Galette frangipane,0203533058719,D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],,,[],,29 g,en quantité élevée,16 g,en quantité élevée,8.1 g,en quantité modérée,0.59 g,en quantité modérée,?,,415,-2%,1736 kj(415 kcal),-1%,29,+10%,16,+8%,31,-20%,"8,1",-37%,"6,7",+6%,"0,59",-15%,"0,236",-15%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
37,Fondant Café - Mamie Nova - 2x 150g,3456770913113,,['Mamie Nova'],"['Produits laitiers', 'Desserts', 'Desserts lactés']",['France'],"['Lait entier', 'sucre', 'crème', 'extrait de café 1', '5%', 'protéines de lait', 'gélifiant : gomme xanthane', ' carraghénanes']","['E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,6.4 g,en quantité modérée,4.1 g,en quantité modérée,17 g,en quantité élevée,0.15 g,en faible quantité,?,,140,+8%,586 kj(140 kcal),+7%,"6,4",+20%,"4,1",+22%,17,+16%,17,+39%,3,-35%,"0,15",+12%,"0,06",+12%,7,+64%,C,+64%,,,,,,,,,,2 x 150 g,['Intermarché'],"['Carton', 'Opercule alu']",,Dessert lacté,,,https://www.mamienova.com/desserts-fondants/,,,
38,Miel de Manuka,3760123182065,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de manuka']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Cocktail de Noël,3665206101189,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Volume creator brush - Davines,8004608250265,,['Davines'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tomate cerise allongée - La Cesta - 500g,8435000102140,B,['La Cesta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",['France'],[],,,[],,,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,500g,,,,,,,,,,
42,Favorina Truffles - Lidl - 250g,20162702,,['Lidl'],,"['France', 'Italie']",[],,,[],,,,,,,,,,?,,577,,2414 kj(577 kcal),,"40,5",,"34,3",,"44,3",,"43,2",,"5,6",,"0,2",,"0,08",,,,,,,,,,,,,,,250 g,,,,,,,,,,
43,Saumonbio fume en auvergne,3602842047419,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,
44,Ossau Iraty - Reflets de France,0219746031098,E,['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",['France'],[],,,[],,37 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,436,+3%,1824 kj(436 kcal),+4%,37,+3%,25,+1%,1,+6%,"0,5",+71%,24,+2%,"1,6",-10%,"0,64",-10%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)', 'EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,,,,
45,Barre protéine sportness 50%,4058172057908,,,,['France'],[],,,[],,,,,,,,,,?,,369,,1544 kj(369 kcal),,"11,6",,"6,3",,"22,9",,"0,9",,"50,2",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,
46,Coffee to go - Nescafé,7613035481060,,['Nescafé'],,['France'],[],,,[],,,,,,,,,,?,,31,,130 kj(31 kcal),,"0,8",,"0,7",,"4,4",,"3,1",,1,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,
47,Miel De Bosque Con Ajo Negro Y Acerola 250G - 250g,8431523107129,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
48,confiture figue,6111254874102,,,,['France'],[],,,[],,,,,,,,,,?,,249,,1042 kj(249 kcal),,0,,0,,"61,8",,"61,8",,"0,45",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
49,Pizza moelleuse royale - Cora - 600g,3257984184845,C,['Cora'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas royales']",['France'],[],,,[],,5 g,en quantité modérée,2.2 g,en quantité modérée,4.1 g,en faible quantité,1.5 g,en quantité modérée,834,-4%,198,-4%,834 kj(198 kcal),-3%,5,-27%,"2,2",-28%,"27,5",+8%,"4,1",+34%,"9,7",+2%,"1,5",+23%,"0,6",+23%,3,-33%,C,-33%,60.0%,15.9%,6.3%,5.5%,2.6%,9.8%,70,,,600g,,['surgelé'],,,,,,,,
50,Carottes en rondelles - 1kg,3184034278363,,,,['France'],[],,,[],,,,,,,,,,?,,33,,138 kj(33 kcal),,"0,7",,"0,1",,"4,5",,"4,1",,"0,6",,"0,06",,"0,024",,,,,,,,,,,,,,,1 kg,,['Sachet'],,,,,,,,
51,Zuppa di riso rosso e quinoa - Chef Select,20160180,,['Chef Select'],,['France'],[],,,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,"0,6",,"0,1",,"8,2",,"0,7",,"1,5",,"0,7",,"0,28",,,,,,,,,,,,,['Sans arômes ajoutés'],,,,,,,,,,,,
52,Yaourt de brebis fruits rouges -,3770003351306,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de brebis', 'Yaourts sur lit de fruits']",['France'],[],,,[],,5.7 g,en quantité modérée,3.3 g,en quantité modérée,12.8 g,en quantité élevée,10.3 g,en quantité élevée,?,,120,+13%,502 kj(120 kcal),+15%,"5,7",+77%,"3,3",+62%,"12,8",-4%,"12,8",+2%,"4,3",-13%,"10,28",+9245%,"4,112",+9245%,16,+605%,D,+605%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Bio'],,,,,,,,,,,,
