,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,additives,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,palm_ingredients,generic_name,link,manufacturing,traceability_code,ingredients_origins,brand_owner,origin_detail,producer_info
0,Choco Krispies - Kelloggs - 30g,5053827138529,30 g,"['Kelloggs', ""Kellog's""]","['France', 'Suisse']","['Riz', 'Sucre', 'Cacao maigre en poudre ', '3%', 'Maltodextrine', 'Pâte de cacao ', '1,5%', 'Sel', ""Arôme de malt d'orge"", 'Arôme', 'Arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1647,?,1647 kj(394 kcal),"2,5",1,85,35,"5,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Special K Crunchy Muesli Chocolat Noisettes - Kellogg's - 370g,5053827139939,370 g,"[""Kellogg's"", 'Special K']",['France'],"['Céréales complètes ', '67%', ' ', 'AVOINE', 'ORGE', 'BLE', 'EPEAUTRE', 'SEIGLE', 'sucre', 'copeaux de chocolat noir ', '8%', 'sucre', 'pâte de cacao', 'beurre de cacao', 'glucose', 'matière grasse issue du LAIT', 'cacao maigre en poudre', 'émulsifiant ', 'lécithine de SOJA', 'arôme', 'farine de BLE', 'NOISETTES ', '3,5%', 'amidon modifié', 'farine de riz', 'farine de maïs', ""extrait de malt d'ORGE"", 'huile de tournesol', 'sel', 'arômes', 'émulsifiant ', 'lécithine de SOJA', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'antioxydant ', 'E306', 'poudre de LAIT écrémé', 'Vitamines et Minéraux : vitamines ', 'niacine', 'B6', 'B2', 'B1', 'acide folique', 'B12', 'fer']",['Non végétalien'],4,?,399,1669 kj(399 kcal),9,"2,5",65,17,"9,1","0,73","0,292",B,"['Plastique', 'Doypack', 'Sachet']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Céréales au chocolat', 'Mueslis au chocolat', 'Pétales multicéréales']","['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']",9 g,en quantité modérée,2.5 g,en quantité modérée,17 g,en quantité élevée,0.73 g,en quantité modérée,,-10%,-10%,-43%,-52%,+6%,-11%,-2%,+198%,+198%,7,-23%,C,-23%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,
2,Special K Crunchy Muesli - 450g,5053827140300,450 g,"['Special K', ""Kellogg's""]",['France'],"['Céréales complètes ', '65%', ' ', 'avoine', 'orge', 'blé', 'épeautre', 'seigle', '\r sucre', 'morceaux de fruits sucrés aux airelles ', '7%', ' ', 'airelles', 'sucre', 'humectant {glycérol}', 'acide citrique', 'farine de blé', 'graines de courge ', '4%', 'amandes ', '3%', 'amidon modifié', 'farine de riz', ""extrait de malt d'orge"", 'farine de maïs', 'huile de tournesol', 'sel', 'émulsifiant ', 'lécithine de soja', 'arômes', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'antioxydant ', 'E306', 'lait écrémé en poudre']",['Non végétalien'],4,?,387,1619 kj(387 kcal),"7,5","1,2",65,17,"9,9","0,75","0,3",B,"['Sachet', 'Plastique', 'Sachet']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['E422 - Glycérol', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']",7.5 g,en quantité modérée,1.2 g,en faible quantité,17 g,en quantité élevée,0.75 g,en quantité modérée,,-3%,-3%,-29%,-56%,+6%,-6%,+3%,+417%,+417%,6,+75%,C,+75%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,
3,Special K cereal bar - Kellogg's - 5x 21.5g,5053827140898,5 x 21.5g,"[""Kellogg's""]","['France', 'Royaume-Uni']","['Wholegrain Cereal Crispies', '10%', ' ', 'Who!ewheat Flour', 'Rice Flour', 'Sugar', 'Malted Barley Flour', 'Malted Wheat Flour', 'Salt', 'Rapeseed Oil', 'Stabiliser{Calcium Carbonate}', 'Emulsifier{Soy Lecithin}', 'Sugar', 'Glucose Syrup', 'Corn Fibre', 'Fructose', 'Dried Fruit', '6%', 'Cranberry {Cranberry', 'Sugar', 'Sunflower Oil}', 'Strawberry Flavour Apple Pieces{Apple', 'Natural Flavouring', 'Colouring Food[concentrate of carrot and blackcurrant]', 'Acid [Citric]', 'Anti Caking Agent[Calcium Stearatel', 'Preservative[Sodium Sulphite]}', 'Vegetable Oils', 'Palm Kernel', 'Palm', 'Coconut', ' in varying proportions', 'Maize Starch', 'Humectants', 'Sorbitol', 'Glycerol', 'Dextrose', 'Oligofructose', 'Calcium Carbonate', 'Skimmed Milk Powder', 'Milk Whey Powder', 'Salt', 'Strawberry Juice Concentrate', 'Flavourings', 'Barley Malt Flavouring', 'Emulsifier', 'Soy Lecithin', 'Acid ', 'Citric Acid', 'Antioxidant', 'E320', 'Niacin', 'Iron', 'Vitamin B6', 'Vitamin B2 ', 'Riboflavin', 'Vitamin BI ', 'Thiamin', 'Folic Acid', 'Vitamin BI 2', ' For allerqens see ingredients highlighted in bold']","['Huile de palme', 'Non végétalien']",4,?,387,1619 kj(387 kcal),"8,2","4,9",68,27,6,"0,58","0,232",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['E322i - Lécithine', 'E221 - Sulfite de sodium', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E422 - Glycérol', 'E330 - Acide citrique', 'E320 - Butylhydroxyanisol']","['Gluten', 'Soja']",8.2 g,en quantité modérée,4.9 g,en quantité modérée,27 g,en quantité élevée,0.58 g,en quantité modérée,,-9%,-9%,-48%,-18%,+13%,-1%,-20%,+48%,+48%,10,-24%,C,-24%,,,,,,,,,,,,,,,,,,
4,Kellogg's Special K Peach & Apricot Cereal 360G,5053827142229,,"[""Kellogg's""]",['France'],[],[],,?,373,1561 kj(373 kcal),"1,5","0,3",79,19,8,"0,95","0,38",,"['bag', 'bag', 'card-box', 'pp-bag']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Disney Frozen - Biscuits multi-céréales - Kellogg's - 6 * 44g,5053827146111,6 * 44 g,"[""Kellogg's""]",['France'],"['Farine de blé', 'céréales complètes ', '27 %', ' ', 'farine de blé complet', ""pétales d'orge complète"", ""farine d'avoine complète"", 'huiles végétales ', 'palme', 'tournesol', 'sucre', 'agent de charge ', 'polydextrose', 'sirop de sucre inverti', 'lait écrémé en poudre ', '2 %', 'gluten de blé', ""fibres d'avoine"", 'arôme ', 'contient du lait', 'carbonate de calcium', 'poudres à lever ', 'E503', 'E500', 'E341a', 'E450', 'sel', 'émulsifiants ', 'lécithine de soja', 'E472e', 'vitamines ', 'Niacine', 'B6', 'B2', 'B1', 'acide folique', 'B12', 'fer']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,1840,438,1840 kj(438 kcal),15,"3,9",62,16,"9,3","0,58","0,232",D,"['Carton', 'Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Produits sous license']","['E1200 - Polydextrose', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Lait', 'Avoine', 'Soja']",15 g,en quantité modérée,3.9 g,en quantité modérée,16 g,en quantité élevée,0.58 g,en quantité modérée,+21%,+15%,+17%,+11%,-45%,+15%,-55%,+114%,+151%,+151%,8,-47%,C,-47%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Végétarien', 'Sans arômes artificiels', 'Sans colorants']",['Cora'],['Huile de palme'],,,,,,,,
6,Special K Biscuit Moments Chocolate Deluxe - Kellogg's - 125g (5 * 25g),5053827149594,125 g (5 * 25 g),"[""Kellogg's"", 'Special K']","['France', 'Italie']","['Farine de blé ', '40%', 'fourrage saveur de chocolat ', '34 %', ' ', 'fructose', 'Humectant {Glycérol}', 'chocolat {6 %} {masse de cacao', 'sucre', 'beurre de cacao', 'dégraissé en poudre de cacao', 'émulsifiant [lécithine soja]}', 'dextrose', 'sirop de glucose', 'amidon modifié', 'de la poudre de cacao dégraissée', 'Stabilisateurs {E460', 'E466}', 'émulsifiant {lécithine de soja}', 'arôme', 'sucre', 'huiles végétales ', 'tournesol', 'de palmiste', 'de palme', 'de noix de coco', ' dans des proportions variables', 'maltodextrine', 'poudre de cacao dégraissée', 'amidon modifié', 'poudre de lait écrémé', 'lactosérum en poudre', 'émulsifiants ', 'lécithine de soja', 'E472e', 'le sirop de sucre inverti', 'poudre à lever ', 'E500', 'E450', 'E341', 'carbonate de calcium', 'Sel', 'Arôme naturel', 'Arôme']",[],,?,384,1607 kj(384 kcal),"9,4",4,71,27,"5,7","0,72","0,288",D,"['Carton', 'Plastique', 'boîte', 'Sachet']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,9.4 g,en quantité modérée,4 g,en quantité modérée,27 g,en quantité élevée,0.72 g,en quantité modérée,,-22%,-22%,-60%,-66%,+14%,-17%,-13%,+30%,+30%,12,-44%,D,-44%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['Noz'],,,,,,,,,
7,Barre de pétale de maïs au lait Frosties - Kellogg's,5053827150385,,"[""Kellogg's""]",['France'],[],[],,?,103,431 kj(103 kcal),"1,9",1,18,8,"1,6","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Barre céréal - Coco Pops,5053827150507,,['Coco Pops'],['France'],"[""Céréales Kellogg's coco Pops sucre"", 'cacao FR maigre en poudre', 'Pâte de cacao', 'Sel', ""Arôme de malt d'orge"", 'Arôme', 'de calcium', 'Vitamines {Niacine', 'B6', 'B2', 'BI', 'Acide folique', 'BI 2', 'D}', 'fer', 'Huile végétale', 'Palmiste', 'Palme', 'Noix de coco', 'Sucre', 'Lait écrémé concentré sucré ', '8%', 'Lait écrémé', 'Sucre', 'Sirop de glucose', 'Lait écrémé en Sirop de sucre inverti', 'Petit-lait en poudre', 'Amidon', 'Fructose', 'Humectants', 'Glycérol', 'Sorbitol', 'Carbonate de calcium', 'Cacao maigre en poudre', 'Émulsifiant', 'Lécithin de soja', 'Arôme', 'Antioxydants', ""Palmitate d'ascorbyle"", 'Alpha-tocophérol', ' Allergènes : voir les ingrédients en gras']","['Huile de palme', 'Non végétalien']",4,?,419,1753 kj(419 kcal),12,9,72,42,"5,6","0,53","0,212",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['E422 - Glycérol', 'E420 - Sorbitol', 'E322i - Lécithine', ""E304i - Palmitate d'ascorbyle"", 'E307 - Alphatocophérol']",['Lait'],12 g,en quantité modérée,9 g,en quantité élevée,42 g,en quantité élevée,0.53 g,en quantité modérée,,-1%,-2%,-24%,+51%,+20%,+54%,-25%,+36%,+36%,23,+74%,E,+74%,,,,,,,,,,"['Huile de palme', ""E304 - Palmitate d'ascorbyle""]",,,,,,,,
9,Kellogg's urlegender flakes,5053827151221,,"[""Kellogg's""]",['France'],[],[],,?,380,1590 kj(380 kcal),"4,7","1,4",70,23,10,"0,9","0,36",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,4.7 g,en quantité modérée,1.4 g,en faible quantité,23 g,en quantité élevée,0.9 g,en quantité modérée,,-5%,-5%,-46%,-36%,+5%,+38%,+7%,+152%,+152%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,
10,Ancient Legends Pétales - Kelloggs - 300g,5053827152570,300g,['Kelloggs'],"['Belgique', 'France']","['Blé complet ', '51%', 'avoine complète ', '10%', 'sucre', 'raisins secs ', '10%', 'orge complète ', '6,5%', 'épeautre soufflé ', '6%', 'pomme séchée ', '5%', ' ', 'Conservateur', 'dioxyde de souffre', 'huile de palme', 'seigle complet ', '1,5%', 'graines de chia ', '1%', 'sel', 'mélasse', ""arôme de malt d'orge"", 'sirop de glucose', 'carbonate acide de sodium', 'antioxydant ', 'extrait riche en tocophérols', 's', 'cannelle']",['Huile de palme'],4,1603,?,1603 kj(383 kcal),"4,7","1,4",70,23,10,"0,9","0,36",,,,"['E500ii - Carbonate acide de sodium', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Avoine', 'Dioxyde de souffre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,,,,,
11,Pétales ancient legendes - Kellogg's - 300g,5053827152600,300 g,"[""Kellogg's""]",['France'],"['Blé complet ', '50%', 'sucre', 'morceaux de fruit aux airelles ', '11%', ' ', 'airelles', 'sucre', 'huile de tournesol', 'avoine complète ', '9%', 'épeautre soufflé ', '6%', 'seigle complet ', '5%', 'amandes ', '4,5%', ""pétales d'épeautre malté "", '2%', ' ', 'épeautre', 'orge maltée', 'huile de palme', 'graines de lin ', '1%', 'orge complète ', '1%', ""pétales d'orge sucrés "", '1%', ' orge', 'sucre', 'huile de tournesol', 'arôme', 'ingrédient à propriétés colorants ', 'concentrés de carotte et de cassis', 'sel', 'dattes', ""arôme de malt d'orge"", 'sirop de glucose', 'carbonate acide de sodium', 'antioxydant ', 'extrait riche en tocophérols', 'arôme naturel']",['Huile de palme'],4,1651,392,1651 kj(392 kcal),7,"1,5",67,21,11,"0,9","0,36",B,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['E500ii - Carbonate acide de sodium', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Fruits à coque', 'Avoine']",7 g,en quantité modérée,1.5 g,en quantité modérée,21 g,en quantité élevée,0.9 g,en quantité modérée,-3%,-1%,-1%,-34%,-45%,+9%,+17%,+15%,+521%,+521%,7,+104%,C,+104%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,['Huile de palme'],,,,,,,,
12,Cereales Special K Nutri-mi Chocolate 330 g - Kellogg's,5053827155151,,"[""Kellogg's""]",['France'],"['Céréales [blé complet ', '35%', 'riz ', '19%', 'son de blé ', '6,5%', 'orge ', '2%', 'farine devoine ', '1 ,5%', ""farine de malt d'orge "", '1 agglomérat de graines de lin et de tournesol [avoine complet ', '6,5%', 'farine de blé ', '1 ,5%', 'seigle ', '1 ,5%', 'sucre', 'riz crousillant ', 'farine de riz', 'farine de maïs', 'sucre', 'graine de tournesol', 'graine de lin', 'amidon modifié', ""extrait de malt d'orge"", 'huile de tournesol', 'sel', 'émulsifiant ', 'lécithine de soja', 'arômes', 'carbonate acide de sodium', 'carbonate acide dammonium', 'antioxydant ', 'extrait riche en tocophérol', 'lait écrémé en poudre}', 'sucre', 'coco déshydratéé', 'chocolat 7,5%', 'sucre', 'pâte de cacao', 'beurre de cacao', 'glucose', 'matière grasse du lait', 'cacao maigre en poudre', 'émulsifiant [lécithine de soja', 'arôme', 'sirop de glucose', ""arôme de malt d'orge"", 'sel', 'arôme naturel', 'vitamines et minéraux ', 'BI', 'B2', 'B6', 'B12', 'D', 'Niacine', 'acide folique', 'fer et zinc', ' Aleraènee: blé', 'orqeq avoine', 'seigle', 'soja', 'lait']",['Non végétalien'],4,?,401,1678 kj(401 kcal),"8,7","1,9",65,15,11,"0,75","0,3",,,,"['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E502 - Carbonates', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kellogg's Cereales Star Wars - 330g,5053827155311,330 g,"[""Kellogg's""]",['France'],"['Farine froment 66%', 'chocolat en poudre 28% ', 'sucre', 'cacao en poudre', 'sucre', 'sirop de glucose', 'sel', 'cannelle', 'arôme', 'vitamines ', 'niacine', 'B6', 'B2', 'B1', 'acide folique', 'D', 'B12', 'minéraux ', 'carbonate de calcium', 'fer']",['Sans huile de palme'],4,?,381,1594 kj(381 kcal),"0,8","0,3",23,"8,7","2,7","0,23","0,092",C,"['Carton', 'Sachet', 'Boite', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",,['Gluten'],0.8 g,en faible quantité,0.3 g,en faible quantité,8.7 g,en quantité modérée,0.23 g,en faible quantité,,-9%,-9%,-92%,-91%,-67%,-65%,-66%,-55%,-55%,4,-60%,C,-60%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,
14,Nutri-Grain Petit Déjeuner Fraise - Kellogg's - 240g,5053827155410,240g,"[""Kellogg's""]",['France'],[],[],,?,457,1912 kj(457 kcal),?,"2,3",?,18,"7,7","0,53","0,212",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,,,2.3 g,en quantité modérée,18 g,en quantité élevée,0.53 g,en quantité modérée,,+8%,+7%,,-61%,,-34%,+3%,+36%,+36%,,,,,,,,,,,,,,,,,,,,,,
15,Mini packs de céréale Frozen et Star Wars - Kellogg's - 212g,5053827156431,212 g,"[""Kellogg's""]",['France'],"['Farine de blé', 'chocolat en poudre 28% ', 'sucre', 'poudre de cacao', 'sucre', 'sirop de glucose', 'sel', 'cannelle', 'arôme', ' vitamines et minéraux : Carbonate de calcium', 'vitamines ', 'Niacine', 'B6', 'B2', 'B1', 'acide folique', 'D', 'B12', ' et fer']",['Sans huile de palme'],4,?,381,1594 kj(381 kcal),"2,5",1,78,29,9,"0,78","0,312",C,"['Carton', 'Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat', 'Céréales à la vanille']",,"['Gluten', 'Avoine']",2.5 g,en faible quantité,1 g,en faible quantité,29 g,en quantité élevée,0.78 g,en quantité modérée,,-9%,-9%,-75%,-69%,+10%,+16%,+13%,+54%,+54%,8,-20%,C,-20%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Noz'],,,,,,,,,
16,"Special K nourish - pétales & pépites - myrtilles, mûres, framboises & groseilles - Kellogg's - 320g",5053827157148,320 g,"[""Kellogg's"", 'Special K', 'Nourrish']","['Belgique', 'France', 'Pays-Bas']","['Céréales ', 'Blé complet {37%}', 'Riz {21%}', 'Son de blé {7%}', 'Orge {3,5%}', 'Farine d’avoine {2%}', 'Farine d’orge maltée {1,5%}', 'Pépites avec des graines de lin et graines de  tournesol {15%} ', 'Céréales ', 'Avoine complète {6,5%}', 'Farine de blé {1,5%}', 'Seigle {1,5%}', 'Sucre', 'Morceaux à base de riz ', 'Farine de riz', 'Farine de maïs', 'Sucre', 'Graines de tournesol', 'Graine de lin', 'Amidon modifié', 'Extrait de malt d’orge', 'Huile de tournesol', 'Sel', 'Émulsifiant : lécithine de soja', 'Arômes', 'Carbonate acide de sodium', ""Carbonate acide d'ammonium"", 'Antioxydant {Extrait riche en tocophérols}', 'lait écrémé en poudre', 'sucre', 'Fruits lyophilisés ', '5%', ' ', 'Mûre', 'Myrtille', 'Framboise', 'Groseille', 'Sirop de glucose', 'Arôme de malt d‘orge', 'Sel', 'Arôme naturel', ' Vitamines et Minéraux : vitamines ', 'Niacine', 'B2', 'B1', 'B6', 'Acide folique', 'D', 'B12', 'Fer et Zinc']","['Non végétalien', 'Végétarien']",4,?,374,1565 kj(374 kcal),"3,4","0,5",71,14,10,"0,8","0,32",C,"['Carton', 'Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales pour petit déjeuner équilibre', 'Céréales pour petit déjeuner équilibre aux fruits']","['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Soja']",3.4 g,en quantité modérée,0.5 g,en faible quantité,14 g,en quantité élevée,0.8 g,en quantité modérée,,-6%,-6%,-61%,-77%,+6%,-16%,+7%,+124%,+124%,0,-100%,B,-100%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Végétarien', 'Riche en fibres']","['Leclerc', 'E.Leclerc', 'Intermarché', 'Auchan', 'Carrefour']",,"mélange de pétales multi-céréales et de pétales de blé, avec des pépites d'avoine, de seigle et de graines de lin et de tournesol, et des fruits rouges lyophilisés, enrichis en vitamines et en fer",http://www.kelloggs.fr,,,,,,
17,Crunchy Muesli Fruits Secs - Kellogg's - 375g,5053827160353,375 g,"[""Kellogg's""]",['France'],"['Flocons de céréales complètes ', 'avoine 39%', 'orge 19%', 'seigle 19%', 'sucre', 'fruits déshydratés 6,5% ', 'raisins', 'coco', 'fruits à coque_ ', '5,5%', ' ', 'noix de cajou', 'amandes', 'huile de tournesol non hydrogéné', 'mélasse', 'arôme naturel', 'hydrogène carbonate de sodium', 'émulsifiant ', 'lécithine de soja', 'lait écrémé en poudre', 'vitamine ', 'niacine', 'B6', 'B2', 'B1', 'acide folique', 'B12', 'er fer']",['Non végétalien'],4,?,420,1757 kj(420 kcal),12,"2,6",63,17,10,0,0,B,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja', 'Fruits']",12 g,en quantité modérée,2.6 g,en quantité modérée,17 g,en quantité élevée,0 g,en faible quantité,,+6%,+5%,+13%,-4%,+3%,-6%,+4%,-100%,-100%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,['Noz'],,,,,,,,,
18,Tresor Break Chocolat Noisette - Kellogg's,5053827163187,,"[""Kellogg's""]",['France'],[],[],,?,472,1975 kj(472 kcal),?,"4,1",?,37,"6,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Extra Kellogg's,5053827163750,,"[""Kellogg's""]",['France'],"['Noix 41% ', 'cacahuètes', 'amandes grillées ', 'huile végétale', 'sel', 'chocolat 16% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'arôme', 'sirop de glucose', 'avoine 6,5%', 'morceaux de chocolat 5% ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'dextrose', 'beurre de cacao', 'emusifiant ', 'lécithine de soja', 'fructose', 'sucre', 'morceaux de riz croustillant ', 'farine de riz', 'son de riz', 'sucre', 'extrait de riz', 'noix de coco séchée', 'dextrose', 'huile de palme', 'humectants ', 'glycérol', 'sorbitol', 'sirop de sucre partiellement inverti', 'sel', 'ârome', 'noisettes', 'lait écrémé concentré sucré ', 'lait écrémé', 'sucre', 'emulsifiant ', 'lécithine de soja', 'antioxydant ', 'E320']","['Huile de palme', 'Non végétalien']",4,?,520,2170 kj(520 kcal),"34,3",10,40,"25,1",12,"0,343","0,137",,['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques']","['E322i - Lécithine', 'E422 - Glycérol', 'E420 - Sorbitol', 'E320 - Butylhydroxyanisol']","['Lait', 'Fruits à coque', 'Avoine', 'Arachides', 'Soja']",34.3 g,en quantité élevée,10 g,en quantité élevée,25.1 g,en quantité élevée,0.343 g,en quantité modérée,,+5%,+5%,+14%,+74%,+7%,+1%,-21%,+29%,+29%,15,+21%,D,+21%,,,,,,,,,,['Huile de palme'],Barre amandes grillées et chocolat,,,,,,,
20,Biscuit moments chocolat - kellogg's,5053827164238,,"[""kellogg's""]","['France', 'Espagne']",[],[],,?,385,1611 kj(385 kcal),"9,1",4,73,28,5,"0,73","0,292",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,9.1 g,en quantité modérée,4 g,en quantité modérée,28 g,en quantité élevée,0.73 g,en quantité modérée,,-9%,-9%,-42%,-33%,+21%,+3%,-33%,+87%,+87%,16,+21%,D,+21%,,,,,,,,,,,,,,,,,,
21,Miel Pops - Kellogg's,5053827164641,,"[""Kellogg's""]",['France'],"['Harina de maíz', 'azúcar', 'jarabe de glucosa', 'fibra de maíz,miel', 'sal', 'extracto de malta de cebada', 'carotenos']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,?,380,1590 kj(380 kcal),"1,1","0,2",85,28,"5,4","0,83","0,332",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['E160 - Caroténoïdes'],,1.1 g,en faible quantité,0.2 g,en faible quantité,28 g,en quantité élevée,0.83 g,en quantité modérée,,-5%,-5%,-87%,-91%,+27%,+68%,-42%,+132%,+132%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,
