,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,labels,traceability_code,markets,allergens,nova_score,additives,eco_score,packaging,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,origin_detail,producer_info
405,Dessert de fruits Pomme Variété Ancienne - Lucien Georgelin - 570g,3330720254382,['France'],[],[],325,77,325 kj(77 kcal),"0,5","0,1",18,18,"0,5","0,08","0,032",570 g,['Desserts'],0.5 g,en faible quantité,0.1 g,en faible quantité,18 g,en quantité élevée,0.08 g,en faible quantité,-56%,-56%,-56%,-93%,-97%,-24%,-2%,-84%,-40%,-40%,3,-56%,C,-56%,['Lucien Georgelin'],,,,,,,,"['Verre', 'Pot en verre']",,,,,,,,,,,,,,
406,Tete brulees,3109859000067,['France'],[],[],?,530,2218 kj(530 kcal),"0,8","0,01","12,3","12,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Italian bakery - Shneider's - 200g,0194961000619,['France'],"['Farine de BLÉ tendre', 'huile d’olive', 'huile de tournesol', 'sel marin', 'levure', 'romarin ', '1', '3%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,451,1887 kj(451 kcal),15,"1,4",69,"1,7","9,1","1,6","0,64",200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Snacks sucrés', 'Apéritif', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits apéritifs', 'Biscuits secs', 'Crackers au froment']",15 g,en quantité modérée,1.4 g,en faible quantité,1.7 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+0%,-8%,-77%,+3%,-95%,+24%,+240%,+240%,13,-23%,D,-23%,"[""Shneider's""]","['Végétarien', 'Kascher', 'Non frit']",['FTL04'],,['Gluten'],3,,C,"['Plastique', 'Sec']",80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,crackers aromatisés au romarin,https://shneiders.fr/fr/crackers-biscuits-aperitifs/102-focacci-rosemary.html,,,
408,Bissap,3770007920072,['France'],[],[],?,221,925 kj(221 kcal),0,0,55,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Crumble cabillaud et patate douce,3435020043718,['France'],[],[],?,161,674 kj(161 kcal),77,29,13,"3,8","8,8","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-57634'],,,,,,,,,,,,,,,,,,,,
410,Mayonnaise a la moutarde de dijon,3263850373466,['France'],[],[],?,673,2816 kj(673 kcal),73,"6,1","1,9","1,2","1,6","1,6","0,64",,"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises de Dijon']",73 g,en quantité élevée,6.1 g,en quantité élevée,1.2 g,en faible quantité,1.6 g,en quantité élevée,,+4%,+4%,+4%,-4%,-17%,-17%,+16%,+8%,+8%,21,+12%,E,+12%,,,,,,,,D,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
411,Kif kef bites - 200g,7290112347626,['France'],[],[],?,508,2125 kj(508 kcal),"15,3","0,5",48,"7,3","0,18",25,10,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Poitrine de dinde au miel - Kerets,7290000318332,['France'],"['Poitrine de dinde ', '50%', 'blanc de poulet ', '20%', 'eau', 'miel ', '3%', 'maltodextrine', 'fécule de pomme de terre', 'sel', 'fibres alimentaires', 'protéines de soja concentrées', 'dextrose', 'conservateurs : E326', 'E262', 'E250', 'épaississants : E407a', 'E410', 'arômes ', 'contient du céleri', 'stabilisant : E451', 'amidon modifié : E1442', 'protéines de soja hydrolisées', 'antioxygène : E316', ' Enrobage : miel', 'colorants: E160b', 'E150a', ' Allergènes: Contient du soja et du céleri', ' Peut contenir de la moutarde']","['Non végétalien', 'Non végétarien']",?,145,607 kj(145 kcal),6,2,7,1,15,"1,9","0,76",,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de dinde en tranches']",6 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,1.9 g,en quantité élevée,,+41%,+39%,+221%,+241%,+248%,+24%,-21%,+3%,+3%,5,+18%,C,+18%,['Kerets'],"['Sans gluten', 'Sans lactose']",,,"['Céleri', 'Soja']",4,"['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E316 - Érythorbate de sodium', 'E160b - Rocou', 'E150a - Caramel E150a']",D,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,
413,Classic Double Chocolate - Loacker,8000380192670,"['France', 'Espagne']","['Huile de coco', 'farine de froment', 'sirop de glucose', 'lactosérum en poudre ', 'lait', 'sucre', 'cacao maigre 9%', 'farine de soja', 'chocolat ', 'sucre', 'pâte de cacao', ' 5% dans la crème', 'lait écrémé en poudre', 'noisettes', 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'émulsifiant lécithines de soja', 'sel', ""extrait de malt d'orge"", 'jus de pomme concentré', 'épices', 'gousses de vanille Bourbon', ' Peut contenir des arachides et des amandes', ' Tenir au frais et au sec', "" PRODUIT D'ITALIE"", "" CACAO MAIGRE ORIGINAIRE DE L'UE""]",['Non végétalien'],2127,509,2127 kj(509 kcal),27,23,55,26,"9,1","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,['Loacker'],,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",,,,,,,,,,,['ITALIE'],Gaufrettes croustillantes au cacao avec de la crème au chocolat (75%).,,,,
414,Miniritelle - Laurieri,8015565030043,['France'],[],[],?,455,1904 kj(455 kcal),14,"1,1",75,25,"6,7","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,['Laurieri'],,,,,,,,,,,,,,,,,,,,,,
415,Maïs grillé saveur épicée,8425408015159,['France'],[],[],?,430,1799 kj(430 kcal),"11,5","4,2","70,34",0,8,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Snackitos,3324321287122,['France'],[],[],?,444,1858 kj(444 kcal),"12,8","1,7","73,8","0,5",7,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-014']",,,,,,,,,,,,,,,,,,,,,
417,Galettes aux pepites de chocolat noir,3760174581398,['France'],[],[],?,515,2155 kj(515 kcal),27,"17,96","62,8","31,4","5,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,5410667084254,5410667084254,['France'],"['GREDIENTS:dans des proportions difi AMANDES,NOISETTES,NOIX DE CAJOU,CEF DU BRESIL,NOIX DE PECAN,huile de tournes ORIGINE:Chili,USA,Turkije', 'Brazilië,Oost-EuroF Chili,USA,Turquie,Brésil,Europe de Kan sporen van andere noten', ""pinda's en se= Peut contenir des traces d'autres fruits à cơ TENMINSTE HOUDBAAR TOT:""]",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,,,,,,,,,,,,
419,Jus de raisin,7290011240332,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,3262240004201,3262240004201,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Chocolate con leche -,8412674106247,['France'],[],[],?,548,2293 kj(548 kcal),33,21,54,53,"7,1","0,21","0,084",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",33 g,en quantité élevée,21 g,en quantité élevée,53 g,en quantité élevée,0.21 g,en faible quantité,,-1%,-1%,-4%,+7%,+4%,+8%,-1%,-10%,-10%,26,+2%,E,+2%,,,,,,,,E,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,
422,Girasoli aubergine fromage italien -,3240931545981,['France'],[],[],?,243,1017 kj(243 kcal),"8,1","2,4",34,"7,2","7,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Chardons des alpes,3173287202805,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Confiture de figue bio - NaturéO,3701091700295,['France'],"['Figues 60%', 'sucre de canne 45,2 %', 'pectine 0,5%', 'jus de citron concentré 1,05%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,222,929 kj(222 kcal),"0,2","< 0,1",54,53,"0,8","< 0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",0.2 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-4%,-56%,+50%,-2%,-0%,+9%,-46%,-46%,10,+6%,C,+6%,['NaturéO'],"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],,4,['E440 - Pectines'],B,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['France', 'Italie', 'Maroc', 'Amérique du Sud', 'Turquie']",['France'],,,,,
425,Blanc de poulet halal -25% de sel,3095758403019,['France'],[],[],?,104,435 kj(104 kcal),"1,6","0,4","0,5","0,5",22,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,FUSILLI THON MARINE - Petit Navire,3019081241339,['France'],[],[],?,142,594 kj(142 kcal),"4,6","0,7",15,"1,9","9,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,['Petit Navire'],,,,,,,,,,,,,,,,,,,,,,
427,15 oeufs fermiers label rouge de - LOUÉ,3251320081560,['France'],['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",584,140,584 kj(140 kcal),"9,8","2,6","0,3","0,3","12,7","0,3","0,12",,"[""Produits d'élevages"", 'Œufs', 'Œufs fermiers Label Rouge']",9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.3 g,en faible quantité,0.3 g,en quantité modérée,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-1,,A,,['LOUÉ'],"['Sans OGM', 'Nutriscore', 'Nutriscore A', 'IGP', 'Label Rouge', 'Fermier']","['FR 72.024.001 CE', 'Bazoge (Sarthe, France)']",,['Œufs'],1,,B,['Boîte à base de pulpe papier recyclé'],91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['France'],['Maine'],15 Œufs fermiers Label Rouge de Loué de poules élevées en liberté,https://www.loue.fr/produit/Loué/Label-Rouge-IGP-p5.aspx,,IGP Œufs de Loué; Pondus dans le Maine,Fermier de Loué
428,P'tit gourmand vanille - Nestlé - 360g,7613287053497,['France'],"['Lait entier* 93%', 'amidons', 'sucre de canne*', 'arôme naturel de vanille', "" *ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",348,0,348 kj(0 kcal),"3,1","1,8","10,6","6,9","2,9","0,08","0,032",360 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']",3.1 g,en quantité modérée,1.8 g,en quantité modérée,6.9 g,en quantité modérée,0.08 g,en faible quantité,-7%,-100%,-14%,-12%,-20%,-11%,-38%,-24%,-26%,-26%,2,-26%,B,-26%,['Nestlé'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Carrefour'],['Lait'],4,,,['Plastique'],,,,,,,,,['France'],,,,,
429,champignons émincés - L'atelier des fruits et légumes,2868020021782,['France'],['Champignons de Paris'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,25,105 kj(25 kcal),"0,9","0,32","1,2","< 0,2","2,4","< 0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Légumes frais', 'Champignons de Paris', 'Champignons frais', 'Champignons de Paris émincés']",0.9 g,en faible quantité,0.32 g,en faible quantité,0.2 g,en faible quantité,0.01 g,en faible quantité,,+19%,+25%,+172%,+451%,+6%,-32%,+13%,-98%,-98%,-6,,A,,"[""L'atelier des fruits et légumes""]","['Sans additifs', 'Sans conservateurs']",,,,1,,B,['Plastique'],56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,['France'],,,,,,
430,Petits poid,3017800245422,['France'],[],[],?,88,368 kj(88 kcal),"0,9","0,2",11,"3,7","5,8","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,CASSOLETYES AUX ESCARGOTS ET CEPES SAUCE AU RIESLING,3576280631298,['France'],[],[],?,128,536 kj(128 kcal),"7,9","4,1","8,5","3,4","5,1","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Pizza lardons chèvre,3263859474720,['France'],[],[],?,237,992 kj(237 kcal),9,"4,4",28,"3,7",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Saucisse de francfort,3291510004122,['France'],[],[],?,358,1498 kj(358 kcal),34,13,12,"1,2",12,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,3614790000040,3614790000040,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,"Froo-it Mango Nectar 2,1 litre",8964000845035,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Pain croustillant complet,7613312300954,['France'],[],[],?,348,1456 kj(348 kcal),"1,6","0,2",64,"2,9",12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Ponti Aceto Bals. modena Igp ML. 250,80752431,['France'],[],[],?,140,586 kj(140 kcal),0,0,30,30,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Protéin cookie - Foodspring,4260363489270,['France'],[],[],?,453,1895 kj(453 kcal),22,"8,4",46,"0,1",11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,['Foodspring'],,,,,,,,,,,,,,,,,,,,,,
439,Chocolate Brownie,8719831324811,['France'],"['Préparation pour brownie ', 'farine de ble fortifiée ', 'farine de blé', 'niacine', 'fer réduit', 'mononitrate de thiamine', 'riboflavine', 'acide folique', 'sučre', 'sucre brun', '8% poudre de cacao', 'ceuf en poudre', 'huile de soja', 'sel', 'aròmes', 'poudre à lever ', 'E500', 'colorant ', 'E150a', 'biscuits cacaotés avec remplissage au goût vanille ', 'farine de blé', 'sucre', 'huile de palme ', 'huile de paime', 'antiorydant ', 'E319', ',4,5% poudre de cacao', 'sírop de fructose', 'poudres à lever ', 'E500', 'E503', 'amidon de mais', 'sel', 'émulsifiant ', 'lécithine de soja', 'arôme', ' Peut contenir: lait et arachides', ' 206g 996 n0e mit m Prownie-Backmischung und Kakaokekse ', '28,5 g', ' mit Füllung mit Vanillegeschmack', ' Zutaten: Brownie-Backmischung ', 'angereichertes']",['Huile de palme'],?,489,2046 kj(489 kcal),"3,3","0,8","78,3","33,3","8,3","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Soja']",4,"['E500 - Carbonates de sodium', 'E150a - Caramel E150a', 'E319 - Butylhydroquinone tertiaire', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']",,,,,,,,,,,,,,['Huile de palme'],,
440,Goûters chocolat noir dégustation - Evernat,3396411241345,['France'],[],[],?,478,2000 kj(478 kcal),20,7,65,27,"7,1","0,5","0,2",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",20 g,en quantité modérée,7 g,en quantité élevée,27 g,en quantité élevée,0.5 g,en quantité modérée,,+2%,+2%,+4%,-18%,-3%,-18%,+22%,-10%,-10%,18,-9%,D,-9%,['Evernat'],,,,,,,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
441,Panna gran cucina light -,8007990002160,['France'],[],[],?,148,619 kj(148 kcal),"11,5","1,35","7,8",5,"3,3","0,12","0,048",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner']",11.5 g,en quantité modérée,1.35 g,en faible quantité,5 g,en quantité modérée,0.12 g,en faible quantité,,-5%,-3%,-17%,-68%,+88%,+167%,+56%,+17%,+17%,1,-71%,B,-71%,,,,,,,,,,,,,,,,,,,,,,,
442,Pois cassés - Prosain,3335880004044,['France'],[],[],?,28,117 kj(28 kcal),"1,5","0,5","16,3","3,9","8,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,['Prosain'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,
443,11773126,11773126,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,P'tit sandwich Bretzel,3256540003842,['France'],[],[],?,342,1431 kj(342 kcal),11,1,54,"6,2",8,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Compote pomme - Bio Village,3564707159326,['France'],[],[],?,51,213 kj(51 kcal),"0,5","0,1",12,11,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio Village', 'Marque Repère']",['Bio'],,['Leclerc'],,,,,,,,,,,,,,,,,,,
446,Orange,3242860004119,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Eau de source,8699421939949,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Anti-covid,3401560063035,['France'],[],[],?,144,602 kj(144 kcal),12,"8,4","6,1","3,8","2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Muesli multifrutta,8009361070150,['France'],[],[],?,336,1406 kj(336 kcal),"3,4","1,5","63,2","18,8","9,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Pan rallado chapelure,8413080345282,['France'],[],[],?,382,1598 kj(382 kcal),"1,7","0,6",80,"3,3",10,"0,3","0,12",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",1.7 g,en faible quantité,0.6 g,en faible quantité,3.3 g,en faible quantité,0.3 g,en quantité modérée,,+4%,+3%,-52%,-20%,+12%,-27%,-11%,-78%,-78%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,,,
451,Curry jaune tha�landais - Fairtrade Original,8711741357637,['France'],"['Huile de riz ', '9,1%', '�chalote ', '8,9%', 'citronnelle ', '8,5%', 'curry ', '8,5%', ' ', 'coriandre', 'curcuma ', '3,4%', 'cumin', 'clous de girofle', 'anis �toil� ', '0,15%', 'gingembre', 'cannelle', 'macis', 'cardamome ', '0,15%', 'noix de muscade', 'piments rouges ', '7,5%', 'sel', 'coriandre', 'galanga', 'curcuma ', '2,0%', 'gingembre', 'poivre', 'combava', 'cumin', 'Ail', '�chalotes', 'citronnelle', 'piments', 'galanga', 'curcuma et gingembre: issus du commerce �quitable Fairtrade', 'cultiv�s par des producteurs certifi�s et commercialis�s selon les standards Fairtrade', '38% du poids total,']",[],?,487,2038 kj(487 kcal),44,"8,5",21,"4,2","3,3",7,"2,8",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sauces', 'Pâtes de curry', 'Pâtes de curry jaunes']",44 g,en quantité élevée,8.5 g,en quantité élevée,4.2 g,en faible quantité,7 g,en quantité élevée,,+168%,+167%,+519%,,+41%,-43%,-9%,-24%,-24%,,,,,['Fairtrade Original'],"['Commerce équitable', 'Fairtrade International']",,,,3,,,,,,,,,,,,,,,,,
452,Flash,6111199001649,['France'],[],[],?,305,1276 kj(305 kcal),"0,09","0,02",75,64,0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Criquets -,3760274102066,['France'],"['criquets migrateurs entiers ', 'Locusta migratoria', '* déshydratés 75 %', 'farine de blé', 'tomate déshydratée 3,8 %', 'épices et plantes aromatiques ', 'cerfeuil', 'persil', 'poivre 0,7 %', 'curcuma', 'piment doux', 'thym', ""agent d'enrobage : gomme d'acacia "", ' sel', 'oignon', 'poivron', 'ail']",[],1593,380,1593 kj(380 kcal),11,"3,8",10,"2,6",54,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,"[""E414 - Gomme d'acacia""]",,,,,,,,,,,,,,,,
454,Mini Donuts The Simpsons glaçage rose,4017040523969,['France'],[],[],?,445,1862 kj(445 kcal),26,15,46,16,"4,7","1,2","0,48",,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",26 g,en quantité élevée,15 g,en quantité élevée,16 g,en quantité élevée,1.2 g,en quantité modérée,,+9%,+9%,+14%,+42%,+3%,-5%,-21%,+26%,+26%,23,+18%,E,+18%,,,,,,,,B,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,
455,Soupe sour flavor,8934684010258,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Nandoe choco dip,8711197674982,['France'],[],[],?,506,2117 kj(506 kcal),26,"5,9",59,34,"7,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Pizzies,7613030060543,"['France', 'Allemagne']",[],[],?,220,920 kj(220 kcal),"7,8","2,9","26,7","4,6","9,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Galactic Milk Stout - Big Drop Brewing co. - 330mL,0767550730756,['France'],"['Eau', 'orge', 'lactose ', 'lait', 'avoine', 'seigle', 'houblon', 'levure', 'graines de cacao']",['Non végétalien'],"115,5",27.5,"115,5 kj(27 kcal)","0,2","0,1","5,4","1,8","0,5","0,1","0,04",330 mL,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Boissons sans alcool', 'Bières sans alcool', 'Bières sans gluten']",,,,,,,,,,,,,,,,,,,,,,,['Big Drop Brewing co.'],,['1063 R1'],"['La part des anges', 'Nantes']","['Gluten', 'Lait', 'Avoine']",4,,C,['Bouteille'],6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['St Nicholas', 'UK']",bière sans alcool,https://www.bigdropbrew.com/,,,
459,Oli d’oliva verge,8437003312052,['France'],[],[],?,900,3766 kj(900 kcal),100,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Cacao en poudre,7640184690036,['France'],[],[],?,360,1506 kj(360 kcal),"11,4","6,9",26,"0,6","24,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Stim Royal,3770000671100,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Huile d'olive vierge extra bio - De Cecco,8001250011589,['France'],[],[],?,824,3448 kj(824 kcal),"91,6",15,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,+7%,,,,-100%,-100%,7,+14%,C,+14%,['De Cecco'],['Bio'],,,,,,D,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Union européenne'],,,,,,
463,Barre croustillante au chocolat noir - Comme j'aime,3700977700091,['France'],[],[],?,382,1598 kj(382 kcal),11,"4,9",37,12,22,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,"[""Comme j'aime""]",,,,,,,,,,,,,,,,,,,,,,
464,Nectar de poire f’du Roussillon - Saveurs de Nos Régions,4056489276081,['France'],[],[],?,57,238 kj(57 kcal),"0,5","0,5",14,13,"0,5",,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",0.5 g,en faible quantité,0.5 g,en faible quantité,13 g,en quantité élevée,,,,+6%,+5%,+155%,+1341%,+9%,+8%,+77%,,,,,,,['Saveurs de Nos Régions'],,,,,,,D,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
465,Kefir laitt fermenté à boire - kokaz - 500ml,5060337220538,['France'],[],[],?,58,243 kj(58 kcal),3,"1,9","4,4","3,7","3,3","0,1","0,04",500ml,,,,,,,,,,,,,,,,,,,,,,,,['Kokaz'],,,,,,,,['Plastique'],,,,,,,,,,,,,,
466,Les minis,3367651008784,['France'],[],[],?,270,1130 kj(270 kcal),13,"2,9",31,"5,5","7,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
