,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
0,Noisimiel,3700942503122,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yoghurt pineapple,8712275101130,['France'],[],[],?,86,"0,6","17,3","2,7",360 kj(86 kcal),"0,37","13,9","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Emmental Français,0262200024341,['France'],[],[],?,380,30,"0,5",27,1590 kj(380 kcal),21,"0,5","0,64","0,256",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.64 g,en quantité modérée,,+0%,+1%,+2%,+6%,-18%,+6%,-3%,+9%,+9%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
3,VINAIGRETTE - MEYER - 300Grammes,3539341500032,['France'],['VINAIGRETTE 3006 SEL DEXTROSE E621 POIVRE AIL PERSIL ARÔME CITRON LUO 22/08/2019 Lot 0343 MB'],[],?,?,?,?,?,,,,,,D,"['Epicerie', 'Condiments', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'Assaisonnements']",,,,,,,,,,,,,,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,300 Grammes,['bocal plastique transparent'],['MEYER'],,,,,,,,,,,,
4,Cellier Des Dauphins,3179071002590,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Duplo Milchcreme - Ferrero - 182g,8000500274736,"['Autriche', 'France', 'Allemagne']",[],[],?,559,"34,3",55,"6,9",2339 kj(559 kcal),,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182g,['Stück'],['Ferrero'],,,,,,,,,,,,
6,Assaisonnement,8436049610061,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
7,Crevettes croustillantes,5060021940421,['France'],[],[],?,280,16,22,11,1172 kj(280 kcal),"6,8","3,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Roast chicken,5060047262484,['France'],[],[],?,472,"20,55","63,2","5,9",1975 kj(472 kcal),"2,3","1,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gemüse-Kartoffel-Burger,9002220089002,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hershey‘s Crunchers - 120g,7899970400292,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,['Stück'],,,,,,,,,,,,,
11,Hershey‘s Maisminis - 100g,7898292887354,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,['Stück'],,,,,,,,,,,,,
12,Confiture Extra De Griottes - Collines en Limousin - 90g,3517830061233,['France'],[],[],?,223,0,53,"0,9",933 kj(223 kcal),0,52,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,,+0%,+0%,-100%,-100%,-2%,+1%,+40%,-100%,-100%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,90 g,,['Collines en Limousin'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,
13,Nestle Passatempo Choco - 130g,7891000259405,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,['Stück'],,,,,,,,,,,,,
14,Les apérillettes - Maistres Occitans,3443705047142,['France'],[],[],?,426,38,"0,5",20,1782 kj(426 kcal),12,"0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maistres Occitans'],,,,,,,,,,,,
15,Twix Triplo Chocolate - 80g,7896423471656,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,['Stück'],,,,,,,,,,,,,
16,Jambon cru a os,2492885345952,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lacta Bis Xtra Oreo - 45g,7622300988517,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,['Stück'],['Oreo'],,,,,,,,,,,,
18,Nestle Kit Kat Erdbeere - 45g,7891000265918,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,['Stück'],['Kit Kat'],,,,,,,,,,,,
19,Les milanaises chapelure tomate origan - Le Gaulois,2225017040476,['France'],[],[],?,124,1,"7,2",23,519 kj(124 kcal),"0,1","2,2","1,2","0,48",D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",1 g,en faible quantité,0.1 g,en faible quantité,2.2 g,en faible quantité,1.2 g,en quantité modérée,,-6%,-5%,-36%,-81%,+5%,+20%,+8%,+33%,+33%,1,+46%,B,+46%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Le Gaulois'],,,,,,,,,,,,
20,Panna Cotta -,7108445758036,['France'],[],"['Végétalien', 'Végétarien']",?,108,5,"18,5","0,6",452 kj(108 kcal),"4,7","9,5","0,1","0,04",,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour panna cotta']",,,,,,,,,,-53%,-53%,-48%,-24%,-37%,-61%,-78%,-22%,-22%,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
21,Liqueur speculoos,3770003553519,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pois chiches très gros,3276650041572,['France'],[],[],?,364,6,61,19,1523 kj(364 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bruschetta di asparagi,8032817241552,['France'],[],[],?,303,30,"3,3","3,3",1268 kj(303 kcal),"3,3",0,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
24,Pates aux oeufs,5711812369548,['France'],[],[],?,381,"5,6",65,16,1594 kj(381 kcal),"1,8","2,6","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Speisekartoffeln vorwiegend festkochend - 2000g,4011892220069,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 g,['Beutel'],,,,,,,,,,,,,
26,Cuisse de lapin,0253003031889,['France'],[],[],?,110,"2,4",0,22,460 kj(110 kcal),"0,6",0,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"poulet - leader price - 0,660kg",0217882020204,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,660 kg",['Frais'],['leader price'],"['Viande-francaise', 'Volaille-francaise']",['Leader Price'],,,,,,,,,,
28,Poulet fermier d'auvergne blanc,0215488055231,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Artichokes,5714484000238,['France'],[],[],?,270,22,13,"1,5",1130 kj(270 kcal),"3,2","0,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Saucisson á cuire lyonnais,2702489003944,['France'],[],[],?,346,31,"0,8",16,1448 kj(346 kcal),12,"0,8","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Saucisses de Toulouse,2214937024277,['France'],[],[],?,248,20,0,16,1038 kj(248 kcal),"7,5",0,"1,8","0,72",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",20 g,en quantité modérée,7.5 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,+14%,+13%,+22%,+17%,-100%,-100%,+7%,+5%,+5%,17,+13%,D,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,
32,Filetde poulet - Monoprix - 2,2201270025719,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,['Monoprix'],,['Monoprix'],"['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",,,,,,,,,
33,Saucisse asiatique,3387620059692,['France'],[],[],?,158,"8,8","7,5",11,661 kj(158 kcal),"3,2",2,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 34.090.002 CE', 'Crès (Hérault, France)']",,,,,,,,,
34,5900951271892,5900951271892,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pesto al basilico,8032817241750,['France'],[],[],?,438,46,"3,5","2,5",1833 kj(438 kcal),"5,3","2,9","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Confiture coing -  - 370g,3760175590146,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de coings']",,,,,,,,,,,,,,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,370 g,,,,,,,,,,,,,,
37,Jambon blanc lebon,0254321032732,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kaya,8886323552707,['France'],[],[],?,317,"9,8",53,"4,1",1326 kj(317 kcal),"2,9","32,7","0,531","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
39,Cassoulet - Le Domaine de Crauloup,3760098670086,['France'],[],[],?,146,"7,3",10,"10,3",611 kj(146 kcal),3,"1,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bocal', 'Verre']",['Le Domaine de Crauloup'],,,,,,,,,,,,
40,Chou atlas,2868250008997,['France'],[],[],?,28,"0,2","4,25","1,25",117 kj(28 kcal),"0,041",0,"0,024","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
41,Filet de truite,2869804032543,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Rillettes de canard,3760068390389,['France'],[],[],?,463,46,0,13,1937 kj(463 kcal),16,0,"1,58","0,632",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",46 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.58 g,en quantité élevée,,+15%,+15%,+25%,+28%,-100%,-100%,-20%,+15%,+15%,22,+14%,E,+14%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
43,Comte au lait cru AOP - Monoprix,2200974033358,['France'],[],[],?,427,35,1,27,1787 kj(427 kcal),23,0,"0,76","0,304",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+8%,+8%,+7%,+6%,+116%,-100%,+7%,-22%,-22%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['Monoprix'],,['Monoprix'],,,,,,,,,,
44,Cuisse de poulet rôties - Leader Price,0217618033393,['France'],[],[],?,173,"10,3","0,8","19,2",724 kj(173 kcal),"2,8","0,8","1,5","0,6",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10.3 g,en quantité modérée,2.8 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en quantité modérée,,-9%,-10%,-17%,-16%,+152%,+416%,+4%,+97%,+97%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Leader Price'],,['Leader Price'],,,,,,,,,,
45,Pain complet,0202706006564,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fromage brie,2240314014043,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Galettes bretonnnes,3760107470003,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Glace caramel fleur de sel,3760174141011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
49,Saucisses fumees,7333636353565,['France'],[],[],?,314,27,"0,7",17,1314 kj(314 kcal),11,"0,5","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Endives d'alsace,3760222390200,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,,,,,,,,,,,,,,,,,,,,,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,,,,,,,
51,Nuggets de dinde pané cuits,0236506025456,['France'],[],[],?,?,?,?,?,,,,,,D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Nuggets de volaille', 'Préparations à la dinde', 'Dindes panées', 'Nuggets de dinde']",,,,,,,,,,,,,,,,,,,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,,,,
52,Rumstecks en tournedos,0209934029457,['France'],[],[],?,216,16,"0,5","1,8",904 kj(216 kcal),"6,5","0,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tartinable aubergine ricotta &menthe - Fauchon,3457041170679,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fauchon'],,,,,,,,,,,,
54,Dau Hu Tofu,08487070,['France'],[],[],?,100,"6,4","0,1","10,6",418 kj(100 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
55,Saucisse à l'ail x2 - Charculor - 280g,3327512646678,['France'],"[""Saucisse de Lyon à l'ail: Ingredients Viande de porc 81 %"", 'viande de veal glace', 'sel', ""extraits d'épices"", 'epices naturels', 'rhum', 'PROTEINES DE LAT LACTOSE', 'dextrose', 'sirop de glucose-fructose', 'ail1%', 'extraits de plantes végétales', 'arômes naturels', 'stabilisant:polyphosphates', ' Exhausteur de goût: glutamate monosodique', ' Conservateurs: nitrite de sodium', 'ascorbate de sodium', 'acide ascorbique', 'acide citrique', 'acétate de sodium', 'citrate de sodium', ' Colorant: cochenille', ' Origine viande: France', ' Transformé en France']","['Non végétalien', 'Non végétarien']",?,215,"16,7","1,2",15,900 kj(215 kcal),"6,5","1,2",2,"0,8",E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",16.7 g,en quantité modérée,6.5 g,en quantité élevée,1.2 g,en faible quantité,2 g,en quantité élevée,,-21%,-22%,-25%,-24%,+9%,+68%,-6%,-5%,-5%,16,-17%,D,-17%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,280 g,['Plastique'],['Charculor'],['Transformé en France'],,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E330 - Acide citrique', 'E262i - Acétate de sodium', 'E331 - Citrates de sodium', 'E120 - Acide carminique']",4,,,,,,,
56,Noix de macadamia grillées à sec,2600307029063,['France'],[],[],?,755,76,"4,4","9,3",3159 kj(755 kcal),12,"4,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Vin rose,3262850038313,['France'],[],[],?,?,?,?,?,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Tropicana SANGUINELLO - 85cl,04122315,['France'],"[""pur jus d'orange presse'""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,52,0,"10,4","0,6",218 kj(52 kcal),0,"10,4",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",0 g,en faible quantité,0 g,en faible quantité,10.4 g,en quantité élevée,0 g,en faible quantité,,+21%,+20%,-100%,-100%,+7%,+14%,-4%,-100%,-100%,5,+67%,C,+67%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,85 cl,['cartoni pure-pack'],['Tropicana'],,['Monoprix'],,,1,,,,,,,
59,Surimi,07343639,['France'],[],[],?,118,"4,5",12,7,494 kj(118 kcal),"0,5","2,9","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
60,Magret de canard - Saveurs de nos Régions,2205790006319,['France'],[],[],?,?,?,?,?,,,,,,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,['Saveurs de nos Régions'],,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,,,,
61,Miel,3760253060219,['France'],[],[],?,?,?,?,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
62,Escalopes de poulet au fromage - Bofrost - 600g,0712569113274,"['France', 'Allemagne']",[],[],?,157,"3,1","15,3","16,8",657 kj(157 kcal),"1,6","2,9","1,2","0,48",D,"['Viandes', 'Volailles', 'Poulets']",3.1 g,en quantité modérée,1.6 g,en quantité modérée,2.9 g,en faible quantité,1.2 g,en quantité modérée,,+4%,+4%,-47%,+7%,+665%,+559%,-18%,+40%,+40%,2,+42%,B,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,600g,,['Bofrost'],,,,,,,,,,,,
63,Pain aux céréales moelleux sans gluten,0202579024931,['France'],[],[],?,272,"10,7","32,4","5,6",1138 kj(272 kcal),"1,4",1,"1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,
64,Hanfsamen - Dm Bio,4010355885272,['France'],[],[],?,461,32,"2,2",21,1929 kj(461 kcal),"3,3","2,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Dm Bio', 'DmBio']","['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,
65,Pates alimentaire supérieures CORBEIL,3051100104034,['France'],[],[],?,360,"1,5",74,"10,5",1506 kj(360 kcal),"0,3","3,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Brandade de morue,0200961042518,['France'],[],[],?,651,"9,6","10,1","7,2",2724 kj(651 kcal),"0,9","0,3","0,8","0,32",E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,+195%,+195%,-42%,-57%,+28%,-58%,+6%,-8%,-8%,11,+159%,D,+159%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,,,,,,
67,Comte - Netto,0211944031221,['France'],[],[],?,418,34,1,27,1749 kj(418 kcal),24,0,1,"0,4",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",34 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+5%,+6%,+4%,+11%,+116%,-100%,+7%,+3%,+3%,14,+4%,D,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['Netto'],,,,,,,,,,,,
68,Thaï Cassave - Go tan,8710605046366,['France'],[],[],?,484,"23,8","63,9","2,3",2025 kj(484 kcal),"1,9","2,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Go tan'],,,,,,,,,,,,
69,Buddha bol saumon fumé,0205856019644,['France'],[],[],?,135,"8,4","8,6",5,565 kj(135 kcal),1,"2,3","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,,
70,Houmous & Zaatar,7290010983162,['France'],[],[],?,316,26,10,6,1322 kj(316 kcal),"3,5","0,3","1,2","0,48",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",26 g,en quantité élevée,3.5 g,en quantité modérée,0.3 g,en faible quantité,1.2 g,en quantité modérée,,+20%,+20%,+29%,+42%,-6%,-78%,-8%,+15%,+15%,11,+120%,D,+120%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,,,,
71,Roquefort bio,2293230029714,['France'],[],[],?,379,32,"1,6",21,1586 kj(379 kcal),0,0,"3,6","1,44",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",32 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3.6 g,en quantité élevée,,+3%,+4%,+0%,-100%,+145%,-100%,+8%,+1%,+1%,9,-53%,C,-53%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,"['FR 12.203.026 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,,,,,,,,
72,Brie de chèvre,9999874002832,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Lentilles carottes,0226280188751,['France'],[],[],?,106,"1,6",13,"7,3",444 kj(106 kcal),"0,2","1,1","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
74,Chantal entre deux,2467452035956,['France'],[],[],?,371,"30,3","0,18","24,7",1552 kj(371 kcal),19,"0,1","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 18.141.001 CE', 'Mehun-sur-Yèvre (Cher, France)']",,,,,,,,,
75,Sirop de menthe - Carrefour,3270190005674,['France'],[],[],?,284,"0,1",71,"0,1",1188 kj(284 kcal),"0,1",67,"0,1","0,04",B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,+19%,+15%,-9%,+237%,+15%,+13%,-12%,+352%,+352%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,['Carrefour'],['Fabriqué en France'],,,,,,,,,,,
76,1 Faut-Filet - Charal,0292452040677,['France'],[],[],?,148,"6,7",0,22,619 kj(148 kcal),"1,7",0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Charal'],"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,
77,Protein muesli dattel-nuss - Foodspring,4260363481854,['France'],[],[],?,426,23,24,27,1782 kj(426 kcal),"2,3",18,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Foodspring'],"['Bio', 'Bio européen', 'DE-ÖKO-006', 'en:EG-Öko-Verordnung']",,,,,,,,,,,
78,Biscuits au cacao,5391489308103,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Edenn biere blonde,3760025050509,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Fromage LE FORT,3322831111494,['France'],[],[],?,169,"11,3","4,6","12,5",707 kj(169 kcal),"7,7","2,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
