,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
0,Melange a germer - Moulin des Moines,3347435253555,['Moulin des Moines'],['Bio'],['France'],"['A GERMER de haricots munao*', 'du blé* ', ""vertes* et de tourrteesl* Durée de germinat•n 2à 6jours A consommer eu bout du troisième PIJ' de germination Valeurs nutrltlonnelles rmyenngs pour Vefeurénergétique""]",['Gluten'],[],?,400,1674 kj(400 kcal),"13,8","1,35","41,1","0,85","21,33","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Boulgour, Couscous - Moulin des moines",3347435266555,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,342,1431 kj(342 kcal),"2,1","0,3","56,2",2,16,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Boulgour multicérérales - Moulin des Moines - 500g,3347435273553,['Moulin des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio-dynamie', 'Demeter', 'FR-BIO-01']",['France'],[],,[],?,346,1448 kj(346 kcal),"2,2","0,41","65,44","1,14","11,09","0,003","0,001",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Moulin des moines,3347435303069,['Moulin des moines'],,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lin Doré,3347435510085,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,406,1699 kj(406 kcal),34,"8,9",7,"0,1",20,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sésame non décortiqué complet - Moulin des moines,3347435513055,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['Sésame complet'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,559,2339 kj(559 kcal),?,"6,8",?,"0,2","17,7","0,11","0,044",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame']",1,6.8 g,en quantité élevée,0.2 g,en faible quantité,0.11 g,en faible quantité,,-3%,-3%,,-5%,,-68%,-6%,+124%,+124%,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,,,,,,,,,,,,,,,,
6,Confirette de myrtille - Moulin des Moines,3347437000164,['Moulin des Moines'],,['France'],[],,[],?,147,615 kj(147 kcal),"0,1","0,1",35,34,"0,6","0,075","0,03",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0.1 g,en faible quantité,34 g,en quantité élevée,0.075 g,en faible quantité,,-33%,-33%,-62%,+126%,-34%,-33%,+54%,+349%,+349%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.1 g,en faible quantité,7,-24%,C,-24%,,,,,,,,,,
7,Chocolat blanc à la noix de coco - Moulin des Moines - 100g,3347437001574,['Moulin des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['Beurre de cacao*', 'sucre de canne*', 'lait en poudre*', 'noix de coco râpée* ', '4%']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,100 g,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats blancs à la noix de coco']",3,,,,,,,,,,,,,,,,,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,,,,,,,,,,
8,Tartifruits d'épeautre aux abricots - Moulin Des Moines,3347437071010,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['compote djabricots* 45%% ', 'sirop de glucose - fructose de mails*l purée dlabrjcots* 24%', ' pectine', 'acide citrique', 'amidon de mals*', 'arôme naturel*', 'farine dlépeautre* 24%1 huile de palme non hydrogénée*', ' farine complète dépeautre* 13%} sirop de glucose-fructose de maïs*j farine de riz*j sirop de riz et djorge malté*', ' cannellefl poudres à lever ', 'tartrate de potassium', 'carbonate de sodium et dlammonium', 'sel', 'amidon de riz*', 'arôme naturel*']",,[],?,406,1699 kj(406 kcal),15,7,60,25,"5,8","0,63","0,252",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E336 - Tartrates de potassium', 'E500i - Carbonate de sodium']",,,,,,,,,
9,Tortifrutas De Espelta Arandano De Moulin Des Moines,3347437071119,['Moulin des moines'],,['France'],[],,[],?,404,1690 kj(404 kcal),15,"6,9",60,27,"5,3","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Deliespeltas Pastas De Moulin Des Moines,3347437071317,['Moulin Des Moines'],"['Bio', 'Bio européen', 'IT-BIO-007', 'Entrepreneurs + Engagés']",['France'],"[""farine dl épeautre blanche* huile de palme non hydrogénée'"", 'sucre de canne*', 'fecule de pomme de terre*', 'boisson au riz* ', 'eau', 'farine de riz*', 'poudre levante ', 'crème de tartre', 'bicarbonate de sodium', 'sel marin', ' Valeurs nutritionne//es']",,[],?,536,2243 kj(536 kcal),"28,22","13,34",65,"22,04","6,64","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E336 - Tartrates de potassium', 'E500ii - Carbonate acide de sodium']",,,,,,,,,
11,Sablés au riz - Moulin des moines,3347437072314,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-007']",['France'],[],,[],?,480,2008 kj(480 kcal),17,"1,7",72,18,"5,9","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Délices d'épeautre aux pépites de chocolat - Naturaline - 500g,3347437079313,['Naturaline'],['Bio'],['France'],"[""farine d'épeautre bianche T70° 46 %"", 'huile de palme non hydrogénée*', 'sucre de canne*', 'pépites de chocolat* 10 % ', 'påte de cacao""', 'sucre""', 'beurre de cacao""', 'lécithíne de soja* : min', ' 50% cecao""', ' poudre d\'oeufs entiers""', 'sel marin', 'canelle""', 'poudre à lever ', 'carbonates de sodium']","['Œufs', 'Lait']","['Huile de palme', 'Non végétalien']",2012,481,2012 kj(481 kcal),"24,4",12,"56,8","24,9",7,"0,34","0,136",500 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks sucrés', 'Céréales et dérivés', 'Farines', 'Biscuits et gâteaux', 'Farines de céréales', 'Aides culinaires', 'Biscuits', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",3,,,,,,,+28%,+29%,+30%,+137%,+178%,-4%,-17%,+17%,-45%,-45%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,"['E322i - Lécithine', 'E500 - Carbonates de sodium']",Délices d'épeautre aux pépites de chocolat,['Plastique'],['Huile de palme'],,,,,,
13,Miel bio lavande - Moulin des moines,3347437376368,['Moulin des moines'],"['Bio', 'Bio européen', 'ES-ECO-001-AN']",['France'],[],,[],?,330,1381 kj(330 kcal),0,0,"82,3",82,0,"0,004","0,002",,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,0 g,en faible quantité,82 g,en quantité élevée,0.004 g,en faible quantité,,+34%,+34%,-100%,-100%,+14%,+28%,-100%,-87%,-87%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,0 g,en faible quantité,,,,,,,,,,,,,,
14,Son de petit épeautre - Moulin Des Moines - 500g,3347437779824,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",['France'],[],,[],?,315,1318 kj(315 kcal),"6,1","0,9","33,3","6,6","17,5","0,017","0,007",500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Son', 'Sons de céréales', 'Sons de petit épeautre']",,0.9 g,en faible quantité,6.6 g,en quantité modérée,0.017 g,en faible quantité,,-5%,-4%,+4%,-14%,-24%,+102%,+21%,-70%,-70%,,,,,,,,6.1 g,en quantité modérée,-6,,A,,,,,,['Union européenne'],,,,,
15,Son De Riz - Moulin des moines,3347437779855,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,398,1665 kj(398 kcal),"20,9","4,2","28,7","0,9","13,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jus de carotte - Moulin Des Moines,3347438010315,['Moulin Des Moines'],['Bio'],['France'],"['Jus de carotte* ', '95%', ""jus de citron* *issus de l'Agriculture Biologique CERTIFIÉ PAR FR-BIO AGRICULTURE UE""]",,[],?,31,130 kj(31 kcal),"0,02","0,01","6,8","4,1","0,52","0,047","0,019",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Jus de carotte']",1,0.01 g,en faible quantité,4.1 g,en quantité modérée,0.047 g,en faible quantité,,+3%,+1%,-89%,-72%,-0%,-32%,-2%,-51%,-51%,,,,,,,,0.02 g,en faible quantité,-2,,B,,,,,,,,,,,
17,Jus de pommes - Moulin Des Moines,3347438011312,['Moulin Des Moines'],['Bio'],['France'],"[""Jus de pomme issu de l'Agriculture Biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,51,213 kj(51 kcal),"0,1","0,1","12,5","11,6","0,1","0,006","0,002",,,['Boissons'],1,0.1 g,en faible quantité,11.6 g,en quantité élevée,0.006 g,en faible quantité,,-9%,-12%,-71%,-15%,+11%,+23%,-80%,-86%,-86%,,,,,,,,0.1 g,en faible quantité,6,-22%,D,-22%,,,,,,,,,,
18,Jus de betteraves rouges bio - Moulin des moines,3347438019318,['Moulin des moines'],['Bio'],['France'],"['Jus de betterave 95%', "" jus de citron' "", '5%', "" *Issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,36,151 kj(36 kcal),"< 0,1","< 0,1","8,1","7,8","0,8","0,17","0,068",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Jus de betterave', 'Boissons sans sucre ajouté']",1,0.1 g,en faible quantité,7.8 g,en quantité élevée,0.17 g,en quantité modérée,,0%,+1%,-51%,+113%,+12%,+21%,-2%,-31%,-31%,,,,,,,,0.1 g,en faible quantité,2,+57%,C,+57%,,,,,,,,,,
19,Pates complete bio - Moulin des moines,3347439010000,['Moulin des moines'],,['France'],[],,[],?,341,1427 kj(341 kcal),"2,7","0,55",63,"3,01","11,57","0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Brindilles d epautre - Moulin Des Moines,3347439013414,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"[""semoule d'épeautre complète* "", ""farine d'épeautre complète* ,""]",,[],?,340,1423 kj(340 kcal),0,0,"67,4",0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pâtes Spécialité D'épeautre à L'épinard Bio - Naturaline,3347439021303,['Naturaline'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['Semoule de blé duré', 'farine de Yb/édemi-complète*', '3% poudre dlépinards* Ternps de cujsson: 4 min environ ANALYSE MOYENNE POUR IOOG: Ë Protides 14', ' hg Lipides? 2', ' lg Glucides? 67g']",,[],?,344,1439 kj(344 kcal),"2,1","0,5",67,5,"14,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Spécialités du moulin à la tomate - Moulin des moines,3347439022317,['Moulin des moines'],"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,[],?,344,1439 kj(344 kcal),"2,1","0,5",67,1,"14,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spécialité Au Sarrasin - Moulin des moines,3347439025318,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,[],?,342,1431 kj(342 kcal),"1,8","0,38","68,6","1,95","11,86","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spirales de blé KHORASAN KAMUT - Moulin Des Moines,3347439030015,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['semoule de blé khorasan KAMIJT@ farine de de blé khotasan KAMUT Démarrage eau bouillante', 'Cuisson : environ 15 min']",['Gluten'],[],?,355,1485 kj(355 kcal),"2,4",0,"68,4",0,"14,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Coquines d'épeautre complète,3347439032415,,,['France'],[],,[],?,342,1431 kj(342 kcal),"1,8","0,3","66,2","1,4",11,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Specialite de petit epeautre a la chataigne - Moulin Des Moines,3347439033573,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Point Vert']",['France'],"['semoule et farine de petit épeautre demi-complètes', 'farine de châtaigne* ', '15%']",,[],?,349,1460 kj(349 kcal),"2,39","0,34","67,83","6,16","11,77","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Spirales de petit épeautre - Moulin Des Moines,3347439034358,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['semoule complète de petit épeautre*', 'farine de petit épeautre complète']",,[],?,342,1431 kj(342 kcal),"3,12","0,41","58,78",1,"14,46","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tortillons Aux Oeufs Frais - Moulin des moines,3347439034518,['Moulin des moines'],['Bio'],['France'],"['Inarédients semoule claire de blé dur*j oeufs frais* ', '14%']",,[],?,312,1305 kj(312 kcal),"2,61","0,64","59,75","1,49","11,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Epicerie / Céréales, Graines, Pâtes, Riz / Pâtes Aux Céréales - Moulin des moines",3347439041318,['Moulin des moines'],"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,[],?,341,1427 kj(341 kcal),"1,22","0,28","65,94","2,01","11,81","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Nouillettes d'épeautre completes - Moulin des moines,3347439050419,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,[],?,342,1431 kj(342 kcal),"1,8","0,3","66,2","1,4",11,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Spaghettines d'epautre - Moulin Des Moines,3347439060319,['Moulin Des Moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"[""8emoule deml•compléte d épeautre Cuisson : plonger environ 10 min dans l'eau bouillante Valeura""]",['Gluten'],[],?,348,1456 kj(348 kcal),2,"0,3",68,0,"11,5","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Specialite du moulin au persil - Moulin des moines,3347439076310,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,344,1439 kj(344 kcal),"2,1",0,67,0,"14,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pâte spécialité au potimarron - 250g,3347439077317,,,['France'],[],,[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet plastique'],,,,,,,
34,BIERE BLONDE SPELTOR a L'EPEAUTRE - Moulin des moines,3347439086418,['Moulin des moines'],['Bio'],['France'],['malt'],['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",3,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,
35,Biere Pilsner,3347439088313,,['en:gluten-free'],['France'],[],,[],?,?,,?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,"['Bouteille', 'Verre']",,,,,,,
36,Graines de chia,3347439422650,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,[],?,444,1858 kj(444 kcal),"31,4","3,8","4,9","0,8","21,2","0,03","0,012",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,3.8 g,en quantité modérée,0.8 g,en faible quantité,0.03 g,en faible quantité,,-1%,-1%,+2%,+22%,-59%,+45%,+5%,+26%,+26%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,31.4 g,en quantité élevée,3,+233%,C,+233%,,,,,,,,,,
37,Galette d epeautre au sarrasin - Moulin des moines,3347439949317,['Moulin des moines'],"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",['France'],[],,[],?,380,1590 kj(380 kcal),"2,3",1,74,1,"14,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 67249', 'Krautwiller (Bas-Rhin, France)']",,,,
38,Vinagre Bio De Sidra - Moulin Des Moines,3347439950214,['Moulin Des Moines'],['Bio'],['France'],"['VINAIGRE DOUX DE CIDRE BIO pommes entières transformees en cidre', ' Il subit la fermentation alcoolique puis acétique et conserve ainsi toutes les propriétés du fruit', ' Utilisation : cuisson de viandes et poissons', ' doux de cidre', ' Acidité 50', "" *Issu de l'agriculture biologique"", ' Conservation :']",['Poisson'],[],?,4,17 kj(4 kcal),"0,1","0,1","0,5","0,5",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Huile de tournesol vierge - Moulin des moines,3347439950221,['Moulin des moines'],['Bio'],['France'],[],,[],?,900,3766 kj(900 kcal),100,12,0,0,0,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,12 g,en quantité élevée,0 g,en faible quantité,,,,+3%,+3%,+3%,+13%,-100%,-100%,-100%,,,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,100 g,en quantité élevée,,,,,,,,,,,,,,
40,Galettes de riz au maïs - Moulin des moines,3347439953314,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,370,1548 kj(370 kcal),"3,6","0,7","75,03","1,1","7,56","0,01","0,004",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']",,0.7 g,en faible quantité,1.1 g,en faible quantité,0.01 g,en faible quantité,,-6%,-7%,-11%,-13%,-6%,-36%,-2%,-98%,-98%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,3.6 g,en quantité modérée,0,-100%,B,-100%,,,,,,"['EMB 67249', 'Krautwiller (Bas-Rhin, France)']",,,,
41,Galettes de riz nappées de caroube - Moulin des moines,3347439966529,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],,[],?,426,1782 kj(426 kcal),"14,34","8,4","65,87","12,9","6,22","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Galettes de ble bio au cacao et cerises MOULIN DES MOINES, 1 x",3347439976320,['Moulin des moines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,[],?,425,1778 kj(425 kcal),"14,72","8,46","55,36","13,56","11,66","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Vitapain epeautre - Moulin des moines - 50gr,3347439979512,['Moulin des moines'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['levain d’épeautre en poudre', 'levure de boulanger']",,[],?,332,1389 kj(332 kcal),"3,12","0,6","49,6","0,74",20,"0,102","0,041",50gr,,"['Levains', ""Levains d'épeautre""]",1,0.6 g,en faible quantité,0.74 g,en faible quantité,0.102 g,en faible quantité,,,,,,,,,,,,,,,,,,3.12 g,en quantité modérée,-1,,A,,,Levain d'épeautre en poudre,"['Sachet', 'Papier']",,,,['Aux cuistots anonymes'],,,
44,Gris - S.A.S. Les Celliers du Sud - 75cl,3347600002650,['S.A.S. Les Celliers du Sud'],"['Point Vert', 'Fabriqué en France', 'Origine France']",['France'],"['Vin de pays Méditerranée', ' Contient des sulfites et des protéines de lait']","['Lait', 'Anhydride sulfureux et sulfites']",['Non végétalien'],?,?,,?,,?,,?,,,75 cl,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins de pays']",4,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,Vin de pays Méditerranée,"['Bouteille', 'Verre']",,['France'],,,['France'],,
45,Myrtilles sauvages au sirop -,3347640000210,,,['France'],[],,[],?,540,2259 kj(540 kcal),0,0,8,5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Confiture artisanale de myrtilles sauvages,3347640000616,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,60,60,0,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0 g,en faible quantité,60 g,en quantité élevée,,,,-100%,-100%,-100%,-100%,+12%,+18%,-100%,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0 g,en faible quantité,,,,,,,,,,,,,,
47,Saumon Fumé Ficelle,3347681110657,,,['France'],[],,[],?,175,732 kj(175 kcal),"9,7","3,9",1,"0,5","20,9","3,4","1,36",,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,3.9 g,en quantité modérée,0.5 g,en faible quantité,3.4 g,en quantité élevée,,-5%,-5%,-8%,+89%,+102%,+50%,-5%,+21%,+21%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,9.7 g,en quantité modérée,15,+15%,D,+15%,,,,,,"['FR 62.667.117 CE', 'Portel (Pas-de-Calais, France)']",,,,
48,Asperge girondine,3347760000060,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Asperge,3347760000091,,,['France'],[],,[],?,25,105 kj(25 kcal),"0,2",0,"3,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Banane unique - Banane de Guadeloupe & Martinique - 1banane de 14cm minimum,3347761000618,['Banane de Guadeloupe & Martinique'],['Catégorie I'],['France'],"['Banane', 'catégorie 1', 'variété Cavendish', 'longueur minimum 14 cm']",,[],?,?,,?,,?,,?,,,1 banane de 14 cm minimum,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,Banane de Guadeloupe & Martinique,"['Sachet fraîcheur', 'Plastique', '5-PP']",,['Antilles Françaises'],"['EMB 94065', 'Rungis (Val-de-Marne, France)']",['Franprix'],['Rungis'],http://www.bananaguadeloupemartinique.com,
51,Tomate ronde origine Hollande,3347762000419,,['Point Vert'],['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pommes de terre pour frites - Fruidor,3347762000877,['Fruidor'],,['France'],['FRUIDOR 226 RUE Du MEUNIER 59193 ERQUINGHEM LYS Pomme de terre de consommation ORIGINE : FRANCE VARIETE :CAESAR Poids net CAL : 50/75mm CAT: 1 LOT 69851 L02 AM OOS I TRAITEMENT ANTIGERMINATIF'],,[],?,75,314 kj(75 kcal),"0,22","0,026","15,8","0,51",2,"0,098","0,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Pomme de terre,3347762001164,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Indive,3347762001850,,,['France'],[],,[],?,17,71 kj(17 kcal),"0,2","0,05","2,37","1,72","1,03","0,006","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
