,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
0,Nettare di mela e mirtillo,8009004860001,['France'],[],[],?,55,230 kj(55 kcal),0,0,13,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lasagnes au saumon poireaux cuisinés - marie - 300g,3248830000945,['France'],"['Lait écrémé reconstitué 22,4%', 'pâtes à lasagnes fraîches cuites 18% ', 'eau', 'semoule de blé dur', 'eau', 'saumon Atlantique 11,4%', 'poireaux 8,2%', 'crème fraîche', 'emmental', 'échalotes', 'amidon de maïs', 'vin blanc', 'saumon fumé 1,7% ', 'saumon', 'sel', 'épinards', 'beurre concentré', 'farine de blé', 'double concentré de tomates', 'sel', 'ciboulette', 'grana padano ', 'contient lait', 'oeuf', 'ail', 'huile olive vierge', 'jus de citron concentré', 'muscade', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",596,142,596 kj(142 kcal),"6,9","3,6",13,"2,2","6,6",D,Lasagnes,300g,"['Carton', 'Plastique']",['Marie'],"['Plats préparés', 'Frais', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Plats préparés frais', 'Lasagnes au poisson', 'Plats au saumon', 'Plats préparés à réchauffer au micro-ondes', 'Lasagnes au saumon']",['Union Européenne et Non Union Européenne'],['Ain (France)'],"['EMB 01451', 'Viriat (Ain, France)', 'FR 01.451.003 CE', 'Viriat (Ain, France)']",['Leclerc'],"['Œufs', 'Poisson', 'Gluten', 'Lait']",3,6.9 g,en quantité modérée,3.6 g,en quantité modérée,2.2 g,en faible quantité,0.66 g,en quantité modérée,+12%,0%,+3%,+7%,+29%,+8%,+4%,-2%,"0,66",-10%,"0,264",-10%,2,-20%,B,-20%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,,
2,8681554613247,8681554613247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Colazione plus latte scremato,8002580002919,['France'],[],[],?,41,172 kj(41 kcal),"0,5",0,"4,9","4,9",5,D,,,,,"['Produits laitiers', 'Laits', 'Laits écrémés']",,,,,,,0.5 g,en faible quantité,0 g,en faible quantité,4.9 g,en faible quantité,0.13 g,en faible quantité,,-40%,-44%,+25%,-100%,-51%,-50%,-20%,"0,13",-28%,"0,052",-28%,-2,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,
4,"Jacobs Cappuccino, 400 G",8711000525159,['France'],[],[],?,100,418 kj(100 kcal),11,"10,5",76,55,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,
5,Dark chocolate,7610815060293,['France'],[],[],?,583,2439 kj(583 kcal),43,26,37,29,"6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
6,"Joghurt Mit Der Ecke Griechisscher Art, Joghurt m... - müller - 113g",42243960,['France'],"['Joghurt mild aus pasteurisierter MILCH', 'Zucker', '3,7% ERDNUSSSTÜCKE', 'VOLLMILCHPULVER', 'Kakaobutter', 'Reismehl', 'Kakaomasse', 'VOLLKORNWEIZENMEHL', 'SÜSSMOLKENPULVER', 'Emulgator SOJALECITHINE', 'Überzugsmittel Gummi arabicum', 'Speisesalz', 'Emulgator E 472 b', 'Speisegelatine ', 'Schwein', 'Aroma ', 'enthält MILCH', 'Schaummittel ', 'Stickstoff']",[],751,180,751 kj(180 kcal),"10,2","6,2",15,14,"6,2",,,113 g,['Kunststoff'],['müller'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux céréales']",,,,,,,10.2 g,en quantité modérée,6.2 g,en quantité élevée,14 g,en quantité élevée,0.21 g,en faible quantité,+74%,+53%,+53%,+168%,+207%,-1%,+21%,+40%,"0,21",+71%,"0,084",+71%,11,+601%,D,+601%,,,,,,,,,,,,,,
7,3560071210717,3560071210717,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3256224064565,3256224064565,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vin,3701172707465,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Souris - Tipp ex - 300,0070330512122,['France'],[],[],?,?,,?,,?,,?,,,300,,['Tipp ex'],['Tipex'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tutti free,0007506382,['France'],[],[],?,399,1669 kj(399 kcal),0,0,99,99,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
12,Tomatenmark zweifach konzentriert,4334011209364,['France'],[],[],?,79,331 kj(79 kcal),"0,5","0,1",13,13,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
13,2 pâtes brisées - Toques & Tartes - 460g,26011097,['France'],"['Farine de blé', 'eau', 'huiles et graisses végétales ', 'palme', 'tournesol', 'alcool éthylique', 'sucre', 'sel', 'jus de citron concentré', 'agent de traitement de la farine :L-cystéine', ' Peut contenir des traces de lait']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,18,,44,4,6,C,,460 g,"['Plastique', 'Papier']",['Toques & Tartes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes brisées']",['France'],['Liévin'],,['Aldi'],['Gluten'],3,18 g,en quantité modérée,,,4 g,en faible quantité,0 g,en faible quantité,,,,-4%,,+5%,+79%,-4%,0,-100%,0,-100%,,,,,73.5%,10.3%,4.3%,3.2%,1.9%,7.0%,55,"['E1510 - Éthanol', 'E920 - L-Cystéine et ses chlorhydrates']",,,,,,
14,Dewar's scotch whisky - john dewar's&sonsLtd - 700ml,5000277000906,['France'],[],[],?,?,,?,,?,,?,,,700ml,['Verre'],"[""john dewar's&sonsLtd""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CAFE ROYAL NS Alu Lungo x10,7617014191865,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
16,"Sirup, Johanissbeere",9011900100814,['France'],[],[],?,46,192 kj(46 kcal),0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
17,Grilletine,3182180002221,['France'],[],[],?,4.3,18 kj(4 kcal),11,"2,4",68,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
18,Cafe Buendia 50 G Liofilizado Frasco,7707211630219,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
19,Purée Pomme Vanille BIO Sans Sucres Ajoutés - Valade - 630g,3174061051145,['France'],[],[],?,247,1033 kj(247 kcal),"0,6","0,2",12,"10,4","0,5",B,,630 g,,['Valade'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,,,,,0.6 g,en faible quantité,0.2 g,en faible quantité,10.4 g,en quantité modérée,,,,+280%,+278%,+82%,+130%,-16%,-20%,+33%,,,,,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,
20,Creme crue fermiere,3293630000091,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Albio Mais waffeln,8717202301249,['France'],[],[],?,371,1552 kj(371 kcal),1,"0,3",83,"0,7",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,
22,07280757,07280757,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,"['EMB 45252', 'Pithiviers (Loiret, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11257630,11257630,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bière bio IPA,3770001905228,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Saumon legumes,26028767,['France'],[],[],?,50,209 kj(50 kcal),10,5,8,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,
26,Zero kids - Sanex - 500ml,8718951322028,['France'],"['Aqua', 'Glycerin', 'Cocamidopropyl Betaine', 'Sodium C14-16 Olefin sulfonate', 'Lactic Acid', 'Sodium Benzoate', 'Poloxamer 124', 'Caprylyl Glycol', "" Formule biodégradable à 99 % / Formule is 99% biologisch afbreekbaar *eau et ingrédients d'origine naturelle avec un traitement limité / water en ingrediênten van natuurlijke oorsprong met beperkte verwerking ALMO IVE""]",[],?,?,,?,,?,,?,,,500 ml,['Plastique'],['Sanex'],['Gel corps et cheveux'],['Union européenne'],['UE'],['PL-58-100 SWIDNICA'],['Géant Casino'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E422 - Glycérol', 'E270 - Acide lactique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
27,3517360012088,3517360012088,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HUILE DE FOIE DE MORUE - Arkopharma - 32g,3401571481194,['France'],"['Huile de foie de morue ', 'poisson', ' ENVELOPPE: Gélatine ', 'poisson', '-Glycérol']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,32g,['Capsule'],['Arkopharma'],['Vitamine A et D'],,,,,['Poisson'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E428 - Gélatine'],,,,,,
29,œuf,3479437321007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Woolworths Select Soda Water,9300633417727,['France'],[],[],?,100,418 kj(100 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Wasser Still,4102380500722,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crème De Cassis De Bourgogne,3535710002978,['France'],[],[],?,5,21 kj(5 kcal),"40,9",12,"40,9",1,0,,,,,,,,,"['EMB 21231', ""Dijon (Côte-d'Or, France)""]",,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
33,Terres d’exception,3701172707519,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Chewing-gum,7622210725349,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
35,Merguez veritables boeuf mouton,3388340074095,['France'],[],[],?,340,1423 kj(340 kcal),31,15,"1,8","1,8",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,
36,Foie gras de canard entier - MA CREATION,3113010154186,['France'],[],[],?,580,2427 kj(580 kcal),"60,5","23,9","2,6","0,9","6,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
37,Fantasie del mattino ottimini croccanti con farina,8005121213799,['France'],[],[],?,400,1674 kj(400 kcal),"19,3","1,7","67,3","22,2","6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,
38,Bayerischer Leberkäse fein,4056489298908,['France'],[],[],?,285,1192 kj(285 kcal),25,"10,6",2,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
39,Pastagialla uova fresche medie da galline allevate a terra,8008110042042,['France'],[],[],?,126,527 kj(126 kcal),"8,7","3,2",0,0,12,D,,,,,"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",,,,,,,8.7 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,0.3 g,en quantité modérée,,-9%,-10%,-4%,+49%,-100%,-100%,-2%,"0,3",+33%,"0,12",+33%,0,,B,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,
40,TEST,4070071967072,['France'],[],[],?,430,1799 kj(430 kcal),"19,13","11,6","40,13","17,16","7,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
41,"Leckermäulchen, Milchquark",40455440,['France'],[],[],?,138,577 kj(138 kcal),"4,8","3,2",16,12,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
42,Buonicosì senza zuccheri aggiunti ai cereali e ricco di fibre,8002190006055,['France'],[],[],?,432,1807 kj(432 kcal),18,"4,1","4,1","2,5","0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,
43,"Aoste Hähnchenbrustfilet, Hähnchen",5411761079665,['France'],[],[],?,107,448 kj(107 kcal),"2,5","0,8","1,2","1,1",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,
44,Amoxicilline,3400933859053,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
45,moutarde de dijon - Edmond fallot - 850g,12787526,['France'],"['Eau', 'graines de moutarde', 'vinaigre', 'sel', 'antioxydant : disulfite de potassium', 'acidifiant: acide citrique', 'épice']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,12,,3,"2,5","7,4",B,,850g,['Verre'],['Edmond fallot'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon', ""Moutardes à l'ancienne""]",,['Beaune'],,['gamm vert'],['Moutarde'],3,12 g,en quantité modérée,,,2.5 g,en faible quantité,6.4 g,en quantité élevée,,,,+6%,,-35%,+2%,+2%,"6,4",+29%,"2,56",+29%,,,,,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,
46,Friol,8002470029941,['France'],[],[],?,828,3464 kj(828 kcal),92,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
47,Merlot,3380330003016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Filetti di tonno all'olio di oliva,8017384051605,['France'],[],[],?,190,795 kj(190 kcal),10,"1,5",0,0,25,D,,,,,"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon', ""it:Filetti di tonno all'olio di Oliva""]",,,,,,,10 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,-18%,-15%,-25%,-30%,-100%,-100%,+2%,1,+1%,"0,4",+1%,2,-55%,B,-55%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,
49,Cocktail,8002270697319,['France'],[],[],?,53,222 kj(53 kcal),0,0,"12,8","12,8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
50,crème de marron,3400934429972,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Thunfisch Steaks (Natur) 200g Lidl - Grill Master - 200g,20134235,"['France', 'Allemagne']","['Thunfisch Steaks ohne Haut', 'praktisch grätenfrei', 'aufgetaut']",[],?,95,397 kj(95 kcal),"0,83","0,11","0,1","< 0,1","21,88",D,,200 g,"['Kunststoff', 'Papier']",['Grill Master'],"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon']",,,"['MSC-C-53846', 'DE NI-10950 EG']",['Lidl'],,,0.83 g,en faible quantité,0.11 g,en faible quantité,0.1 g,en faible quantité,0.32 g,en quantité modérée,,-59%,-57%,-94%,-95%,-73%,-42%,-10%,"0,32",-68%,"0,128",-68%,-3,-168%,A,-168%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,"['Pêche durable', 'Pêche durable MSC', 'Décongelé', 'de:MSC-C-53846']",,,,,
52,"Surprenant mélange de maté, thé vert et épices",3585810015095,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
53,5 mini gateaux aux pépites de chocolat,3269380001732,['France'],[],[],?,464,1941 kj(464 kcal),24,"3,8",55,31,"5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,
54,Colle,40267098,['France'],[],[],?,21,88 kj(21 kcal),"0,58","0,1","1,5","0,5","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,
55,"Europerl, Mineralwasser",4007656011400,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3560071188733,3560071188733,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3560071274689,3560071274689,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,"['EMB 49333A', 'Seiches-sur-le-Loir (Maine-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Oignons rouges - Carrefour,3560071223496,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,"['EMB 22136U', ""Loudéac (Côtes-d'Armor, France)""]",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3560071280253,3560071280253,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3560071185541,3560071185541,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3245414964754,3245414964754,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3259772100006,3259772100006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3245390246530,3245390246530,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sticks - Carrefour,3560070821662,"['France', 'Espagne']","['Viandes et sous-produits animaux ', 'dont filet de poulet 62%', ""sous-produits d'origine végétale"", 'substances minérales']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,Aliment complémentaire pour chien.,,,['Carrefour'],,,,"['NON', 'EMB 59599', 'Tourcoing (Nord, France)']",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fabriqué en Chine par 3700PF009 et importé par EMB 59599 pour Interdis.,,,,
65,Carrefour,3560070936557,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Carrefour,3560070705771,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Carrefour,3560070218714,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,7372711004008,7372711004008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Jus pressé ananas, gingembre, pomme, citron - Marks & Spencdjdj - 250ml",00030113,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",?,43,180 kj(43 kcal),"0,1","0,1","9,8","9,1","0,4",D,,250 ml,"['Plastique', 'Bouteille']",['Marks & Spencdjdj'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', ""Jus d'ananas""]",,,,['Marks & Spencer'],,,0.1 g,en faible quantité,0.1 g,en faible quantité,9.1 g,en quantité élevée,0.1 g,en faible quantité,,-12%,-13%,-45%,+240%,-16%,-19%,+13%,"0,1",+1388%,"0,04",+1388%,3,-42%,C,-42%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Végétarien', 'Végétalien']",,,,,
70,Nori fumi furikake rice seasoning - Ajishima Foods Co.  Ltd. - 1.7oz,0011152276410,"['France', 'États-Unis']","['Sesame seed', 'sugar', 'seaweed', 'salt', 'maltodextrin', 'disodium succinate', 'disodium inosinate']",[],?,300,1255 kj(300 kcal),15,0,20,10,"1,8",E,,1.7 oz,"['glass-jar', 'cap', 'lid']",['Ajishima Foods Co.  Ltd.'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues""]",,,,,['Graines de sésame'],4,15 g,en quantité modérée,0 g,en faible quantité,10 g,en quantité modérée,18 g,en quantité élevée,,+121%,+127%,+2603%,-100%,+1%,+554%,+38%,18,+3982%,"7,2",+3982%,10,+541%,C,+541%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,"['E363 - Acide succinique', 'E631 - Inosinate disodique']",,,JFC International Inc.,,,
71,Crunchy granola bars - Nature Valley - 1.5OZ (42g),0016000264793,"['France', 'États-Unis']","['whole grain oats', 'sugar', 'canola oil', 'peanut butter ', 'peanuts', 'salt', 'rice flour', 'brown sugar syrup', 'salt', 'baking soda', 'soy lecithin,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,452.38,1893 kj(452 kcal),"19,05","2,38","64,29","26,19","9,52",,,1.5 OZ (42 g),['Wrapper'],['Nature Valley'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks sucrés', 'Céréales et dérivés', 'Fruits à coques et dérivés', 'Barres', 'Barres de céréales', 'Barres de fruits à coques', 'Barres de cacahuètes']",,,,,"['Arachides', 'Soja']",3,19.1 g,en quantité modérée,2.38 g,en quantité modérée,26.2 g,en quantité élevée,1.09 g,en quantité modérée,,-11%,-10%,-37%,-62%,+72%,+15%,-44%,"1,089",+197%,"0,435",+197%,11,-19%,D,-19%,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,,GENERAL MILLS SALES INC.,,,
72,"Aroy-D, Red Curry Paste - thai-agri-foods-public-company-limited",0016229906207,"['France', 'États-Unis']","['dried red chilli 21%', 'garlic', 'lemon grass', 'shallot', 'salt', 'galangal', 'kaffir lime peel', 'spices ', 'coriander seeds', 'cumin powder', ',']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,100,418 kj(100 kcal),"3,33",0,"13,33",0,0,,,,,['Thai-agri-foods-public-company-limited'],"['Epicerie', 'Sauces', 'Pâtes de curry', 'Pâtes de curry rouges']",,,,,,3,3.33 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,11.5 g,en quantité élevée,,-38%,-37%,-62%,-100%,-2%,-100%,-100%,"11,5",+54%,"4,6",+54%,6,-49%,C,-49%,,,,,,,,,,,"Thai Agri Foods Co., Ltd.",,,
73,Coconut Water - Foco - 1L,0016229914578,"['France', 'États-Unis']",['100% natural coconut water'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,21,88 kj(21 kcal),0,0,"5,2",5,0,,,1 L,,['Foco'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,,,,,1,0 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,0.05 g,en faible quantité,,+11%,+6%,-100%,-100%,+14%,+39%,-100%,"0,05",-23%,"0,02",-23%,-3,-222%,B,-222%,,,,,,,,,,,THAI AGRI FOODS PUBLIC COMPANY LIMITED,,,
