,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
0,Yaourt Vanille - Ferme des Peupliers - 125g,3374270050353,A,Yaourt Vanille,125 g,"['Frais', 'Verre', 'Pot']",['Ferme des Peupliers'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés']","['Concours général agricole', ""Médaille d'argent du Concours général agricole"", ""Médaille d'argent du concours général agricole 2016""]","['France', 'Normandie', 'Flipou']","['France', 'Flipou', 'Normandie']","['FR 27.247.001 CE', 'Flipou (Eure, France)']",http://fermedespeupliers.fr/les-produits/les-prestigieux,['France'],"[""Lait entier de Normandie issu d'animaux nourris sans OGM "", '<0', '9 %', ' ', 'Sucre ', '7,5 %', ' ', 'Poudre de lait écrémé ', 'Arôme naturel de vanille avec autres arômes naturels ', '0,6%', 'Ferments lactiques du yaourt ', 'contient du lait']",['Lait'],['Non végétalien'],4,2.9 g,en faible quantité,1.9 g,en quantité modérée,12.5 g,en quantité modérée,0.01 g,en faible quantité,?,,91,0%,381 kj(91 kcal),+0%,"2,9",+5%,"1,9",+9%,"12,5",+1%,"12,5",+6%,"3,8",+7%,"0,01",-91%,"0,004",-91%,2,-41%,B,-41%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,
1,Saucison Sec Pur Porc Savoie Raffin - Henri Raffin,3375220012605,D,Véritable Saucisson Sec de Savoie Pur Porc,,"['Sachet', 'Plastique']",['Henri Raffin'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']","['en:gluten-free', 'Sans colorants', 'Pur porc']",,,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,['France'],"['Viande de porc ', '156 g mis en œuvre pour 100 g de produit fini', 'LACTOSE', 'sel', 'saccharose', 'dextrose', 'épices et plantes aromatique', 'arômes naturels', 'conservateurs : salpêtre - nitrite de sodium ferments', ' Boyau naturel de porc']",['Lait'],"['Non végétalien', 'Non végétarien']",4,29.5 g,en quantité élevée,11 g,en quantité élevée,2 g,en faible quantité,4.92 g,en quantité élevée,1596,-6%,384,-7%,1596 kj(384 kcal),-7%,"29,5",-10%,11,-14%,4,+72%,2,+31%,26,-5%,"4,925",+6%,"1,97",+6%,24,-1%,E,-1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
2,Saucisse sèche à l'ancienne - Galibier - 280g,3375220500942,D,,280 g,"['Sachet', 'Plastique']",['Galibier'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']","['Viande-francaise', 'Viande Porcine Française']",['France'],['France'],"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,['France'],"['Viande fraiche de porc français ', '159 g mis en oeuvre pour 100 g de produit fini', 'sucres : lactose', 'saccharose', 'dextrose', 'sel', 'épices', 'arômes naturels', 'ferments', 'conservateur : salpêtre', ' Boyau naturel de porc']",['Lait'],"['Non végétalien', 'Non végétarien']",4,30 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,4.4 g,en quantité élevée,?,,382,-7%,1598 kj(382 kcal),-7%,30,-7%,12,-5%,3,+35%,2,+35%,25,-13%,"4,4",-5%,"1,76",-5%,24,-0%,E,-0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Auchan'],,,,
3,Mini Bûchettes Comté AOP - Galibier - 130g,3375220502274,D,Saucisson sec au Comté,130 g,"['Barquette', 'Plastique']",['Galibier'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['en:gluten-free', 'Point Vert', 'Sans colorants']",['Union européenne'],,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,['France'],"['Viande de porc ', '103 grammes mis en oeuvre pour 100 g de produit fini', 'COMTE: LAIT de vache-sel - ferments lactiques-présure animale ', '7g de mise en oeuvre pour 100 g de produit fini', 'LACTOSE', 'sel', 'saccharose', 'dextrose', 'épices et plante aromatique', 'arômes naturels', 'conservateurs nitrate de potassium - nitrite de sodium', 'ferments Boyau en fibre animale']",['Lait'],"['Non végétalien', 'Non végétarien']",4,45 g,en quantité élevée,17 g,en quantité élevée,1.5 g,en faible quantité,6 g,en quantité élevée,?,,556,+38%,2326 kj(556 kcal),+38%,45,+42%,17,+38%,2,-10%,"1,5",+9%,32,+16%,6,+28%,"2,4",+28%,26,+8%,E,+8%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
4,Yaourt De Brebis Nature - Biochamps,3375610000045,,,,,['Biochamps'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],,[],,4.6 g,en quantité modérée,3.4 g,en quantité modérée,2.1 g,en faible quantité,0.12 g,en faible quantité,?,,82,-22%,343 kj(82 kcal),-22%,"4,6",-10%,"3,4",+2%,"3,3",-65%,"2,1",-74%,"6,1",+26%,"0,12",+12%,"0,048",+12%,1,-61%,B,-61%,,,,,,,,,,,,,
5,Soja brassé saveur Citron au Bifidus Bio - Biochamps - 250g (2x 125g),3375610000403,A,"Yaourt soja au bifidus aromatisé citron, issu de l'agriculture biologique",250 g (2 x 125 g),"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']",['Biochamps'],"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans OGM', ""Soja d'origine France Garanti sans  OGM""]","['France', 'Agriculture UE/non UE', 'Soja']","['JPS Lait - ZI Le Lachet - 09210 Lézat-sur-Lèze', 'Ariège', 'Midi-Pyrénées', 'France']",,http://www.biochamps.fr/notre-gamme/,['France'],"['Tonyu* ', 'eau', 'soja* 12 %', 'sucre de canne roux* 8 %', 'arôme naturel de citron*', 'algue marine naturelle Lithothamnium calcareum 0,2%', 'ferments sélectionnés', ""\r*issus de l'agriculture biologique""]",['Soja'],[],4,2 g,en faible quantité,0.3 g,en faible quantité,7.8 g,en quantité modérée,0.0102 g,en faible quantité,293,-5%,70,-3%,293 kj(70 kcal),-4%,2,-8%,"0,3",-14%,"9,1",+3%,"7,8",-2%,"3,6",-4%,"0,01",-90%,"0,004",-90%,-1,,A,,24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,,,,,,
6,Yaourt au lait de brebis saveur vanille - Biocoop - 125g,3375610000625,A,,125 g,"['Pot', 'Verre', 'Aluminium']",['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de brebis', 'Yaourts sucrés']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,['France'],"['Lait demi-écrémé de brebis pasteurisé', 'sucre de canne blonde ', '8 %', 'arôme naturel de vanille ', '1 %', 'ferments lactiques']",['Lait'],[],4,3.7 g,en quantité modérée,2.5 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,?,,110,+5%,460 kj(110 kcal),+4%,"3,7",-27%,"2,5",-25%,14,+47%,11,+36%,"5,4",+11%,"0,1",-7%,"0,04",-7%,2,-23%,B,-23%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Biocoop'],,,,
7,"Saucisses de toulouse aux lentilles MAISON RIVIERE, boîte 4/4 - 840g",3375644006105,,Saucisses aux lentilles,840 g,['Conserve'],['Maison Rivière'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles', 'Saucisses de Toulouse aux lentilles']",,,,"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",,['France'],"['bouillon [eau', 'amidon modifié', 'concentré de tomate', ""pulpe d'ail "", 'ail', 'sel', 'gras de porc', 'sel', 'clou de girofle', 'arômes', 'arôme oignon', 'aromates]', 'saucisses de Toulouse grillées 19% ', 'viande de porc origine UE', 'gras de porc', 'sel', 'poivre', 'boyau naturel de porc', 'lentilles vertes sèches 16% ', ""pourcentage à l'ouverture : 48%""]",,"['Non végétalien', 'Non végétarien']",4,9 g,en quantité modérée,3.9 g,en quantité modérée,0.5 g,en faible quantité,0.76 g,en quantité modérée,?,,153,-7%,640 kj(153 kcal),-8%,9,-2%,"3,9",+12%,"8,7",+11%,"0,5",-3%,"8,4",-5%,"0,76",-20%,"0,304",-20%,-1,-130%,A,-130%,,,,,,,,['E14XX - Amidons modifiés'],['Magasins U'],,,,
8,Café 100% arabica Villa Oriente Bolivie - Lobodis,3376221112059,,,,,['Lobodis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,['France'],[],,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,"0,1",-93%,"0,1",-89%,"0,1",-99%,"0,1",-98%,"0,1",-95%,,,,,,,,,,,,,,,,,,,,,
9,Grains Pur Arabica - Lobodis - 250g,3376221112363,E,Café bio équitable en grains,250 g,['Plastique'],['Lobodis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café', 'Grains de café torréfiés']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Agriculture non UE', 'AB Agriculture Biologique', 'en:Fairtraide', 'en:Torréfié en France']",,['France'],,,['France'],['Grains de cafés pur Arabica'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,['Leclerc'],,,,
10,Creme de bleu d’auvergne - Societe Fromagere Du Livradois - 150g,3376960009320,,,150 g,['Frais'],['Societe Fromagere Du Livradois'],['Produits laitiers'],,,,"['FR 63.162.001 CE', 'Fournols (Puy-de-Dôme, France)']",,['France'],"[""Bleu d'Auvergne"", 'eau', 'crème', ' E452', 'E450', 'E339', 'acide lactique']",['Lait'],[],4,20 g,en quantité modérée,14 g,en quantité élevée,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,230,-7%,962 kj(230 kcal),-5%,20,+11%,14,+18%,2,-59%,"0,6",-85%,11,-11%,"1,3",+69%,"0,52",+69%,17,+67%,D,+67%,,,,,,,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique']",,,,,
11,Escalope de Poulet Panure Fine et Croustillant - ID Halal - 1kg,3378740763996,D,"Filets de poulet et de dinde traités en salaison reconstitués, panés, cuits. - Spicy Filet's au Poulet",1 kg,"['Plastique', 'Frais']",['ID Halal'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Réfrigérés', 'Préparations au poulet', 'Poulets cuisinés', 'Plats préparés réfrigérés', 'Poulets panés']","['Halal', 'Point Vert', '100% filet']",['Union européenne'],['France'],"['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)']",,['France'],"['Filets de poulet et de dinde traités en salaison 77 %* ', 'filets de poulet 52,7 %* ', 'origine UE', 'filets de dinde 28,3 %* ', 'origine France', 'eau', 'amidon de maïs', 'sel', 'piment fort 0,1 %*', ' Panure 23 % ', 'farine de blé', 'amidon modifié de blé', 'eau', 'gluten de blé', 'sel', 'levure', 'extrait de levure', 'sucre', ""extrait d'épices"", 'poivre noir', 'dextrose', ""poudre d'ail"", ""extrait d'herbes"", 'antioxydant: E300', 'poudres à lever: E450 et E500', ' Huile de tournesol', ' *Pourcentage exprimé sur le filet de poulet et de dinde traité en salaison']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,8.2 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,184,-17%,770 kj(184 kcal),-17%,"8,2",-26%,1,-52%,10,-37%,"0,5",-61%,17,+25%,"1,6",+36%,"0,64",+36%,3,-21%,C,-21%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['E14XX - Amidons modifiés', 'E300 - Acide ascorbique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,,,,
12,"Nouille Chinoise Curry85G, - KailoBrand - 85g",3379140115941,,,85 g,"['Sachet', 'Plastique']",['KailoBrand'],,,,,,,"['France', 'Martinique']",[],['Gluten'],[],,,,,,,,,,?,,492,,2059 kj(492 kcal),,"26,4",,"10,7",,"54,8",,2,,"10,1",,"5,5",,"2,2",,,,,,,,,,,,,,,,,,
13,Corned Beef Hereford - Hereford Brand - 330g,3379670008287,,,330 g,"['Métal', 'Conserve']","['Hereford Brand', 'Hereford']","['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",,,,,,['France'],"['Bœuf 98,7 % ', 'viande de bœuf 55 %*', 'abats', 'sel', 'conservateur E250', ' *exprimé en g mis en œuvre pour fabriquer 100 g de produit fini']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,7 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,221,-3%,925 kj(221 kcal),-2%,15,-1%,7,-2%,"0,5",-1%,0,-100%,21,-3%,"1,4",-10%,"0,56",-10%,14,-9%,D,-9%,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Magasins U'],,,,
14,Fonds de pizza - Priméal - 300g,3380380000454,B,Fonds de pizza à la farine complète,300g,,['Priméal'],['Pâtes à pizza'],"['Bio', 'Bio européen', 'IT-BIO-007', 'AB Agriculture Biologique']",,,,,['France'],"['farine de blé T110 30%', 'farine de blé T65', 'eau', 'levure', ""huile d'olive vierge extra"", 'sel marin', ""levain d'épeautre""]",['Gluten'],[],3,2.1 g,en faible quantité,0.3 g,en faible quantité,0.4 g,en faible quantité,1.4 g,en quantité modérée,?,,243,-13%,1017 kj(243 kcal),-14%,"2,1",-63%,"0,3",-73%,"45,4",-3%,"0,4",-75%,"8,2",+13%,"1,4",-9%,"0,56",-9%,0,-100%,B,-100%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,,,,,,
15,Farine de Petit Épeautre de Haute-Provence complète - Priméal - 500g,3380380021886,,Farine complète de Petit Épeautre de Haute-Provence,500g,"['Sachet', 'Poudre']",['Priméal'],['Farine complète de Petit Épeautre'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Biopartenaire']","['France', 'Haut-Provence']",,,,['France'],"['farine de petit épeautre complète*', "" - *issue de l'agriculture biologique""]",,[],,3 g,en quantité modérée,0.5 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,?,,349,,1460 kj(349 kcal),,3,,"0,5",,"63,3",,1,,"12,7",,"0,01",,"0,004",,-6,,A,,,,,,,,,,['Satoriz'],,,,
16,Coquillettes à la Châtaigne - Priméal - 500g,3380380024450,B,Coquillettes à la châtaigne,500 g,"['Sachet', 'Plastique']",['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Coquillettes']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",,['France'],,,['France'],"['Semoule demi-complète de blé dur*', 'farine de châtaigne* 15%']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.7 g,en faible quantité,0.3 g,en faible quantité,9 g,en quantité modérée,0.01 g,en faible quantité,1505,-0%,?,,1505 kj(360 kcal),+0%,"1,7",-8%,"0,3",-22%,"71,1",+0%,9,+189%,"10,7",-10%,"0,01",-52%,"0,004",-52%,-5,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Biocoop'],,,,
17,Crème Châtaigne Nature - Primeal,3380380037054,,,,['pot de 325g'],['Primeal'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","[""Châtaigne d'Ardèche""]",['France'],,,['France'],"[""purée de châtaignes d'Ardèche "", '34%', 'Sucre de canne blond', 'Préparée  avec 51g de fruits pour 100g', 'Teneur totale Sucre est de 60%']",,[],,,,,,,,,,?,,250,,1046 kj(250 kcal),,"0,6",,"0,1",,59,,51,,"1,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
18,Galettes à Poêler Quinoa Haricot Rouge Bio - Ma vie sans gluten - 200g (2 * 100g),3380380068386,,,200 g (2 * 100 g),,['Ma vie sans gluten'],,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],,,['France'],"['Légumes* 25,6% ', 'tomates*', 'oignons*', 'carottes*', 'haricots rouges* 17,6%', 'millet*', 'eau', 'quinoa* 10,8%', 'huile de tournesol désodorisée*', 'farine de lin*', 'semoule de maïs*', 'flocons de riz*', 'farine de riz*', ""épaississant: gomme d'acacia*"", 'sel marin', 'épices* ', '0,9%', 'oignons en poudre*', 'poivre noir*', ""*issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,146,,611 kj(146 kcal),,"6,8",,"0,8",,15,,"1,8",,"4,4",,"0,95",,"0,38",,,,,,,,,,,,,"[""E414 - Gomme d'acacia""]",,,,,
19,Velouté de courgette & basilic - Priméal - 1L,3380380074608,A,,1 L,"['Brique', 'Carton']",['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de courgettes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,['France'],,,['France'],"['Eau', 'courgettes 33,7 %', 'pommes de terre*', 'épinards*', 'oignons', 'huile de colza*', 'sel', 'amidon de riz', 'basilic* 0,1 %', 'ail', "" *issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1.1 g,en faible quantité,0.1 g,en faible quantité,1.2 g,en faible quantité,0.62 g,en quantité modérée,?,,30,-6%,126 kj(30 kcal),-5%,"1,1",-33%,"0,1",-78%,"3,3",+22%,"1,2",-5%,"1,3",+73%,"0,62",+11%,"0,248",+11%,2,+10%,B,+10%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,
20,Mix Pizza Bio - 350 G - Ma Vie Sans Gluten,3380380076060,,,,,['Ma vie sans gluten'],,['Bio'],,,,,['France'],"['farine de riz blanche*', 'farine de riz demi-complète*', 'fécule de manioc* ', 'farine de pois chiche*', 'poudre à lever* ', 'fécule de pomme de terre* ', 'tartrates de potassium', 'carbonates de sodium', ""Mix'Gom* "", 'psyllium blond* ', ""gomme d'acacia*"", 'levain deshydraté et dévitalisé de sarrasin* et de quinoa* ', 'sel marin', "" *issus de l'agriculture biologique""]",,[],4,,,,,,,,,?,,348,,1456 kj(348 kcal),,1,,"0,2",,77,,"0,3",,"5,9",,"1,2",,"0,48",,,,,,,,,,,,,"['E336 - Tartrates de potassium', 'E500 - Carbonates de sodium', ""E414 - Gomme d'acacia""]",,,,,
21,Boulgour Potiron et Citronnelle - Primeal,3380380077661,,,,,['Primeal'],,"['Bio', 'Fabriqué en France']",,,,,['France'],"['Olngrédients : boulgour de blé dur* ', 'lentilles corail*', ""potiron' "", '4E', 'graines de tournesol*', 'oignon*', 'citronnelle* ', 'l %', ""huile d'olive'"", ""épices'"", "" *issus de l'agriculture biologique"", ' Source de fibres et de coriandre* protéines', ' Recette élaborée et fabriquée en France dans nos ateliers']",,[],,,,,,,,,,?,,363,,1519 kj(363 kcal),,"6,4",,"0,9",,"59,8",,"3,5",,"12,4",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
22,Boulgour Poivron Piment - Primeal - 300g,3380380077715,,,300g,,['Primeal'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,['France'],,,['France'],"['boulgour de blé dur*', 'poivrons rouges* ', 'morceaux et poudre', "" 11 % ,flocons d'azukis*"", 'tomate*', 'oignon*', ""huile d'olive"", ""piment d'Espelette* 0,5 % "", ' basilic* ,issus agriculture biologique source de fibres et proteines', "" *issus de l'agriculture et de protéines"", ' Recette élaborée et fabriquée en France dans nos ateliers']",,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,329,,1377 kj(329 kcal),,"3,1",,"0,6",,"59,7",,"8,5",,"9,9",,"0,03",,"0,012",,,,,,,,,,,,,,['Biocoop'],,,,
23,Gomasio - Idénat,3380380078767,,,,,['Idénat'],,['Bio'],,,,,['France'],"['sésame complet toasté*', 'sel marin', "" *issu de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,592,,2477 kj(592 kcal),,"52,4",,"7,8",,"0,8",,"0,7",,"22,8",,"5,29",,"2,116",,,,,,,,,,,,,,,,,,
24,Moelleux à l’épeautre - Bisson - 180g,3380380079924,,,180 g,,['Bisson'],"['Biscuits et gâteaux', 'Gâteaux']","['Bio', 'en:palm-oil-free']",,['France'],,,['France'],"[""farine d'épeautre* "", 'gluten', ' ', '32%', ' ', 'Triticum spelta', 'sucre de canne** blond', 'œufs*', 'huile de tournesol*', 'farine de lupin*', 'émulsifiant : lécithine de tournesol', 'poudres à lever ', 'tartrates de potassium', 'carbonates de sodium', ""carbonates d'ammonium"", 'sel', 'arôme naturel de vanille*', "" *issus de l'agriculture biologique"", "" ** issu du Commerce Equitable et de l'agriculture biologique"", ' Peut contenir des traces de lait']","['Œufs', 'Gluten', 'Lupin']","['Sans huile de palme', 'Non végétalien']",4,15 g,en quantité modérée,2.5 g,en quantité modérée,25 g,en quantité élevée,0.5 g,en quantité modérée,?,,405,+0%,1695 kj(405 kcal),+1%,15,-23%,"2,5",-67%,57,+15%,25,-10%,"8,8",+62%,"0,5",-18%,"0,2",-18%,11,-39%,D,-39%,,,,,,,,"['E322i - Lécithine', 'E336 - Tartrates de potassium', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,,,,
25,Riz mélo soja wakamé - Primeal - 500g,3380380080234,,"Mélange de riz, flocons de soja et algues wakamé",500g,['Plastique'],['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale""]","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01', 'AB Agriculture Biologique']",['Union européenne'],['France'],,http://www.primeal.bio/marque-bio-vegetale/fr/produit/riz-melo-soja-wakame,['France'],"['Riz long blanc précuit*', 'riz long rouge précuit*', 'flocons de _SOJA*_14% ', 'wakame* 1,3%', ""\r *issus de l'agriculture biologique""]",['Soja'],"['Végétalien', 'Végétarien']",1,4.2 g,en quantité modérée,0.8 g,en faible quantité,1.1 g,en faible quantité,0.2 g,en faible quantité,?,,362,+25%,1515 kj(362 kcal),+27%,"4,2",-61%,"0,8",-59%,67,+102%,"1,1",-89%,12,+113%,"0,2",-56%,"0,08",-56%,-5,-248%,A,-248%,,,,,,,,,['Botanic'],,,,
26,Choco Baguette - bisson - 120g,3380380084997,,,120 g,,['Bisson'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],,http://www.bisson.bio,['France'],"['farine de blé* T80', 'chocolat noir** 44% ', 'pâte de cacao**', 'sucre de canne blond**', 'beurre de cacao**', 'extrait de vanille**', 'huile d\'olive extra vierge""', 'sel marin', ""farine de blé T65 malté* * issus de l'agriculture biologique"", "" **issus du commerce équitable et de l'agriculture biologique SOURCE DE FIBRES""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,451,,1887 kj(451 kcal),,19,,11,,57,,20,,"9,6",,"0,5",,"0,2",,,,,,,,,,,,,,['bio nature et santé'],,,,
27,Couscous de Quinoa & Epeautre Bio - Primeal - 500g,3380390000338,B,Préparation instantanée de quinoa et épeautre bio,500 g,['Plastique'],['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Semoules de céréales', 'Blés', 'Quinoa', 'Épeautres']","['Bio', 'Ecocert', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,http://www.primeal.bio/marque-bio-vegetale/fr/produit/couscous-quinoa---epeautre,['France'],"['épeautre complet* ', 'Triticum dicoccum', 'quinoa* ', '20 %']",['Gluten'],[],,3.3 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en faible quantité,0.03 g,en faible quantité,?,,346,+4%,1448 kj(346 kcal),+3%,"3,3",+22%,"0,5",+8%,"62,3",+3%,"2,2",+14%,"13,2",+10%,"0,03",-43%,"0,012",-43%,-6,,A,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,,['Botanic'],,,,
28,Marrons entiers d'Ardèche au naturel - Primeal - 420g,3380390203302,A,,420 g,"['Bocal', 'Verre']",['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Châtaignes']","['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture France']","['France', 'Ardèche']",,,,['France'],[],,[],,1.4 g,en faible quantité,0.2 g,en faible quantité,9.3 g,en quantité modérée,0.01 g,en faible quantité,?,,169,+1%,707 kj(169 kcal),+4%,"1,4",+4%,"0,2",-24%,"34,2",+10%,"9,3",+35%,"2,6",0%,"< 0,01",-89%,"0,004",-89%,-6,,A,,93.6%,0.0%,0.0%,2.6%,3.4%,0.4%,58,,,,,,
