,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
0,Jus d'orange d'Afrique,0203583016400,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0 g,en faible quantité,?,,45,+5%,188 kj(45 kcal),+3%,0,-100%,0,-100%,"9,4",-3%,"8,4",-8%,"0,7",+12%,0,-100%,0,-100%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
1,Chocolat lait fourré praliné amande feuilletine,3256400157906,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,,,,
2,3537700130005,3537700130005,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['IGP'],,,,,,,,,,,,,,
3,3552210000037,3552210000037,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cheesecake caramel - Marie Morin,2600227008407,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cheesecakes', 'Cheesecakes au caramel']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.3%,15.7%,3.4%,3.2%,1.9%,0.5%,56,,['Marie Morin'],,,,,,,,,,,,,
5,Miel - Apidal,3859889410236,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Apidal'],,,,,,,,,,,,,
6,POIVRE NOIR DE LAMPONG - 50g,3265960810060,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,50 g,"['EMB 76377', 'Isneauville (Seine-Maritime, France)']",,,,,,,,,,,
7,Chabichou du poitou - Clos Chevrel - 150g,2890968025584,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Chabichous du Poitou']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['AOP'],['Clos Chevrel'],150 g,,['France'],,,,,,,,,,
8,cassoulet mitonné - william saurin - 1260g,3261055936332,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['william saurin'],1260g,,,['Conserve'],,,,,,,,,
9,Café Mexique Lungo - La Vie Claire,3266191012766,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['La Vie Claire'],,,,,['La Vie Claire'],,,,,,,,
10,St Christophe sauce barbecue,5413171800082,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",['France'],[],[],40 g,en quantité élevée,2.8 g,en quantité modérée,15 g,en quantité élevée,1.5 g,en quantité modérée,?,,442,+183%,1849 kj(442 kcal),+181%,40,+4080%,"2,8",+1959%,19,-39%,15,-43%,"1,5",+67%,"1,5",-26%,"0,6",-26%,16,+10%,D,+10%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,,,,,
11,Yaourt aux fruits,3010002310004,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Bio'],,,,,,,,,,,,,,
12,Les grillades BIO,2250337042831,,,['France'],[],[],,,,,,,,,?,,119,,498 kj(119 kcal),,"2,8",,"0,7",,"3,5",,"0,3",,20,,"1,4",,"0,56",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
13,3041311028571,3041311028571,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aubergines épicées,3760059040217,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,8,,"1,2",,14,,9,,"2,2",,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Canistrelli - Biscuiterie Afa,3339884030085,,,['France'],[],[],,,,,,,,,?,,488,,2042 kj(488 kcal),,21,,"1,9",,66,,29,,"6,8",,"0,34",,"0,136",,,,,,,,,,,,,,['Biscuiterie Afa'],,,,,,,,,,,,,
16,Pralines Saint Genix,3502490016259,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Saint Agur,0285520021128,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Saint Agur'],,,,,,,,,,,,,
18,Roti de jambon au basilic,5365956343935,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,"10,5",,4,,1,,1,,"16,5",,2,,"0,8",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans gluten']",,,,,,,,,,,,,,
19,2900100153607,2900100153607,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pain grillé,0200270007086,,,['France'],[],[],,,,,,,,,?,,285,,1192 kj(285 kcal),,"1,4",,"0,5",,57,,"1,5",,"9,4",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bêtises de Cambrai - Afchain,3048461391265,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,78 g,en quantité élevée,0.01 g,en faible quantité,?,,385,-0%,1611 kj(385 kcal),+0%,"0,5",+29%,"0,1",+275%,96,-0%,78,+5%,"0,5",+47%,"0,01",-82%,"0,004",-82%,14,0%,D,0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Afchain'],,,,,,,,,,,,,
22,Beloved Date Cereal Bars,5060396510052,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,"3,8",,"0,5",,60,,29,,"7,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3338480018923,3338480018923,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9021005101036,9021005101036,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Faux filet - Charal,0292477076941,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"6,71",,"1,7",,"0,001",,"0,001",,22,,"0,16",,"0,064",,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,
26,Confiture extra banane,63336603,,,['France'],[],[],,,,,,,,,?,,259,,1084 kj(259 kcal),,0,,0,,63,,60,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Filets de poulet fermier - Carrefour Bio,2435199067172,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Bio'],['Carrefour Bio'],,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,['Carrefour'],,,,,,,,
28,Maestro,8711197395764,,,['France'],[],[],,,,,,,,,?,,497,,2079 kj(497 kcal),,"26,3",,"6,4",,"60,2",,"28,4",,"4,8",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
29,brie de meaux AOP au lait cru - Reflets de France - 245g,0219741019480,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",['France'],[],[],21 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,271,-3%,1134 kj(271 kcal),-3%,21,-3%,16,+5%,"0,5",+5%,"0,5",+98%,20,-3%,2,+12%,"0,8",+12%,16,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Reflets de France'],245g,"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)', 'EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,,,,
30,Provolone piquant - Leclerc - 220gr.,2441848020665,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",['France'],"['LAIT de vache', 'sel', 'présure animale', 'conservateur E239', 'Croûte non consommable,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,3.5 g,en quantité élevée,?,,371,+10%,1552 kj(371 kcal),+10%,29,+5%,18,-3%,"1,5",+168%,0,-100%,26,+19%,"3,5",+135%,"1,4",+135%,19,+29%,E,+29%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Fabriqué en Italie'],['Leclerc'],220 gr.,,,['Plastique'],,['E239 - Hexaméthylènetétramine'],['Lait'],3,,,,,
31,Choux rouges,7290002399087,,,['France'],[],[],,,,,,,,,?,,169,,707 kj(169 kcal),,"14,7",,"1,15",,"3,1",,"0,5",,"1,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,L’équilibré - Café Factorerie - 250g,3760160681064,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans conservateurs'],['Café Factorerie'],250g,,,,,,,,,,,,
33,Gruyere Aop,2816940037192,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Saucisson sec superieur,2678238039956,,,['France'],[],[],,,,,,,,,?,,409,,1711 kj(409 kcal),,32,,12,,1,,1,,30,,"4,9",,"1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Farine pois chiche,7102380721001,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Farines', 'Farines de légumineuses', 'Farines de pois chiche']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,54.5%,2.0%,12.2%,26.4%,4.9%,0.0%,94,"['Bio', 'Bio européen']",,,,,,,,,,,,,,
36,Saucisse au foie campagnarde,3550380948739,,,['France'],[],[],,,,,,,,,?,,282,,1180 kj(282 kcal),,23,,"9,7",,"5,4",,"1,8",,3,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sucre d'érable ultrafin - Délices Etable & CIE,0055526071119,,,['France'],[],[],,,,,,,,,?,,185,,774 kj(185 kcal),,"0,001",,"0,001",,5,,5,,"0,001",,"0,001",,0,,,,,,,,,,,,,,"['Délices Etable & CIE', 'Délices Erable & Cie']",,,,,,,,,,,,,
38,Gebratener Reis,20140793,,,['France'],[],[],,,,,,,,,?,,209,,874 kj(209 kcal),,"8,6",,"1,4",,"28,2",,2,,"3,8",,"1,48",,"0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Crema de cactus/ aloe vera - Bernardo's,8436008183506,,,['France'],[],[],,,,,,,,,?,,232,,971 kj(232 kcal),,"0,5",,"0,005",,58,,53,,1,,"0,12",,"0,048",,,,,,,,,,,,,['Sans colorants'],"[""Bernardo's""]",,,,,,,,,,,,,
40,Marmara,4012625453518,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Marmara'],,,,,,,,,,,,,
41,Fondue de courgettes,3443545875004,,,['France'],[],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"5,12",,"2,9",,"4,39",,"2,87",,"2,25",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Alfajores de almendra,8410536003109,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,31,,10,,60,,28,,8,,"0,1",,"0,04",,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,
43,Sirop grenadine,2270196483644,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,
44,Vin rouge,3451200800124,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,
45,2 faux filets,0210219045659,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,
46,yogourt - Zott,4014500516004,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Zott'],,,,,,,,,,,,,
47,Poitrine fumée bio fines tranches x7 - Blavet - 1,2231710028802,,,['France'],[],[],,,,,,,,,?,,244,,1021 kj(244 kcal),,20,,"8,1",,0,,0,,15,,"2,4",,"0,96",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-13']",['Blavet'],1,,,,,,,,,,,,
48,Baxterley 2% M.F M.G,0065900222020,,,['France'],[],[],,,,,,,,,?,,130,,544 kj(130 kcal),,5,,3,,12,,12,,9,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Moutarde de bourgogne,2230134003921,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],12 g,en quantité modérée,0.8 g,en faible quantité,2.5 g,en faible quantité,6.6 g,en quantité élevée,?,,163,-4%,682 kj(163 kcal),-4%,12,+11%,"0,8",-2%,37,+436%,"2,5",-35%,"7,1",+8%,"6,6",+40%,"2,64",+40%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Point Vert'],,,,,,,,,,,,,,
50,Salsa pronta di pomodoro datterino,8055742241367,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"0,5",,"0,1",,"7,9",,6,,1,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tropical à l'eau de source,5546503795395,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,"8,8",,"8,7",,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Saucisson sec,0210044085271,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],28 g,en quantité élevée,9.8 g,en quantité élevée,0.4 g,en faible quantité,5 g,en quantité élevée,?,,364,-10%,1523 kj(364 kcal),-10%,28,-11%,"9,8",-20%,"0,4",-82%,"0,4",-71%,"27,3",-1%,5,+7%,2,+7%,23,-4%,E,-4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Sans colorants'],,,,,,,,,,,,,,
53,ananas tranché - auchan - 0.299kg,0256170019421,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",['France'],['ananas frais sans conservateur'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",['Auchan'],0.299kg,,,['Barquette'],['Auchan'],,,,,,,,
54,Saucisson à l'ail,2393020012145,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",['France'],[],[],24.4 g,en quantité élevée,9.3 g,en quantité élevée,0.9 g,en faible quantité,2.2 g,en quantité élevée,?,,274,+0%,1146 kj(274 kcal),-0%,"24,4",+9%,"9,3",+9%,"1,6",+45%,"0,9",+26%,"11,9",-26%,"2,2",+4%,"0,88",+4%,21,+9%,E,+9%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,"['FR 88.470.033 CE', 'Tholy (Vosges, France)']",,,,,,,,,,,
55,3300790001933,3300790001933,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pure Via,59917038,,,['France'],['100% sucré de fleur de coco biologique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,15,,63 kj(15 kcal),,0,,0,,"3,7",,"3,3",,"< 0,5",,"0,01",,"0,004",,,,,,,,,,,,,,['Pure Via'],,,,,,,,,,,,,
57,Lucien Georgelin,3330720251572,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Lucien Georgelin'],,,,,,,,,,,,,
58,Fleur De Bach Oak N°22 - 20 ML - Biofloral,3760029841226,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
59,Cereal max energy,3175681733305,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,11,,"2,9",,61,,21,,12,,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Reese puffs Whole Grain - Reese's,0065633134430,,,['France'],"['whole grain corn', 'sugar and/or golden sugar', 'peanut butter ', 'peanuts', 'sugar', 'monoglycerides', 'peanut oil', 'salt', 'molasses', 'corn starch', 'degermed corn meal', 'dextrose', 'corn syrup', 'high monounsaturated canola oil', 'salt', 'cocoa', 'tricalcium phosphate', 'calcium carbonate', 'càramel colour', 'trisodium phosphate', 'natural flavour ', 'includes stevia leaf extract', 'tocopherols vitamins & minerals: iron', 'niacinamide ', 'vitamin b3', 'calcium pantothenate ', 'vitamin b5', 'pyridoxine hydrochloride ', 'vitamin b6', 'folate', ' contains peanut ingredients', ' maïs entier', 'sucre et ', 'ou', ' sucre doré', ""beurre d'arachide "", 'arachides', 'sucre', 'monoglycérides', ""huile d'arachide"", 'sel', 'mélasse', 'amidon de maïs', 'semoule de maïs dégermé', 'dextrose', 'sirop de maïs', 'huile de canola riche en gras monoinsaturés', 'sel', 'cacao', 'phosphate tricalcique', 'carbonate de calcium', 'colorant caramel', 'phosphate trisodique', 'arôme naturel ', ""contient de l'extrait de feuille de stevia"", 'tocophérols vitamines et minéraux : fer', 'niacinamide ', 'vitamine b3', 'pantothénate de calcium ', 'vitamine b5', 'chlorhydrate de pyridoxine ', 'vitamine b6', 'folate', "" contient des ingrédients de l'arachide"", "" comments/questions/commentaires please retain package and contact us veuillez conserver l'emballage et communiquer avec nous 1-800-516-7780 lifemadedelicious"", 'ca vivredelicieusement', 'ca weekdays', '9am-7pm', 'e', 's', 't', '/en semaine', 'de 9hà 19 h', 'h', 'n', 'e']",[],,,,,,,,,?,,190,,795 kj(190 kcal),,3,,"0,5",,23,,9,,2,,20,,8,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants']","[""Reese's""]",,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E339iii - Phosphate trisodique', 'E150 - Caramel']",['Arachides'],4,,,,,
61,Ribs saveur barbecue,2763778004585,,,['France'],[],[],,,,,,,,,?,,213,,891 kj(213 kcal),,13,,"5,2",,2,,2,,22,,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Baies de goji séchées,2609844057003,,,['France'],[],[],,,,,,,,,?,,317,,1326 kj(317 kcal),,"2,7",,"0,3",,"53,9",,"53,1",,13,,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,KNÄCKEBRÖD RÅG,9320075140007,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,"2,9",,"0,9",,60,,"2,2",,10,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Hippeas cheese & love,5060472690579,,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,"17,3",,"1,9",,"50,8",,"2,7",,"13,4",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chocolat noir et cranberry - Monbana,3474340017085,,,['France'],[],[],,,,,,,,,?,,524,,2192 kj(524 kcal),,33,,21,,46,,41,,"5,5",,"0,01",,"0,004",,,,,,,,,,,,,,['Monbana'],,,,,,,,,,,,,
66,ALMOND BUTTER CHOCOLATE BROWNIE - Base Culture - 62g,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",['France'],"['Miel', 'Oeuf', 'Beurre de noix de cajou', 'Huile de noix de coco', ""Beurre d'amandes non au chocolat non sucré"", 'Cacao', 'Farine de noix de coco', 'Eau', 'Bicarbonate de soude', 'Crème de tartre', 'Sel de mer']",['Non végétalien'],25.8 g,en quantité élevée,12.9 g,en quantité élevée,45.2 g,en quantité élevée,0.655 g,en quantité modérée,?,,452,+12%,1890 kj(452 kcal),+12%,"25,8",+32%,"12,9",+69%,"58,1",+17%,"45,2",+62%,"9,68",+78%,"0,655",+8%,"0,262",+8%,22,+23%,E,+23%,,,,,,,,,['Base Culture'],62 g,,,['Plastique'],,"['E500ii - Carbonate acide de sodium', 'E336 - Tartrates de potassium']","['Œufs', 'Fruits à coque']",3,BROWNIE AU CHOCOLAT,https://baseculture.com/,,,
67,Marinade goût fumé,3295921756502,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,"0,46",,"0,08",,"49,4",,44,,"1,2",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,armonia - vin blanc - litre,3537670001305,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['vin blanc'],litre,,,['Bouteilles'],,,,,,,,,
69,haricots verts bio - Larry Cover - 500g,3760152055101,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Haricots verts', 'Légumineuses frais', 'Légumes frais', 'Haricots verts frais']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",['Larry Cover'],500 g,,['France'],"['Sachet', 'Plastique']",['Monoprix'],,,,,,,,
70,koska - 250grammes,8691070615069,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['France'],"['Buğday unu', 'buğday nişastası', 'süt', 'hidrojene bitkisel yağ ', 'palm yağı', 'tuz', 'şeker', 'asitliği düzenyici ', 'E 330', 'çeşide göre Antep fıstık', 'findık', 'badem']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Halal'],['Koska'],250 grammes,,,,,['E330 - Acide citrique'],,4,,,,,
71,pen hir - Brasserie du bout du monde - 75cl,3760009310094,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Brasserie du bout du monde'],75cl,,,"['Bouteille', 'verre', 'capsule']",,,,,,,['rosnoën'],,
72,Truffes rhum ambre,3760003630259,,,['France'],[],[],,,,,,,,,?,,447,,1870 kj(447 kcal),,"23,2",,"13,8",,41,,"37,7",,"5,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,7613035124882,7613035124882,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Cuisses de poulets rôties - Maître Coq,0215780022306,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,166,-13%,695 kj(166 kcal),-13%,10,-19%,"2,6",-22%,0,-100%,0,-100%,19,+3%,"1,4",+84%,"0,56",+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Sans conservateurs'],['Maître Coq'],,,,,,,,,,,,,
75,8902979035200,8902979035200,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Donut chocolat -,2060760000007,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],29 g,en quantité élevée,16 g,en quantité élevée,12 g,en quantité modérée,0.61 g,en quantité modérée,?,,462,+13%,1933 kj(462 kcal),+13%,29,+27%,16,+51%,43,-4%,12,-29%,"5,5",-7%,"0,61",-36%,"0,244",-36%,19,-3%,E,-3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,
77,Pâte à piment rouge,3504230088724,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
