,name,bar_code,eco_score,quantity,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,brand,allergens,nova_score,ingredients_origins,manufacturing,additives,markets,link,palm_ingredients,producer_info,brand_owner
0,Orange ultra frais pressé -  - 1L,3770001414010,D,1 L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",['Triman'],"['EMB 84007', 'Avignon (Vaucluse, France)']",['France'],[],[],0.6 g,en faible quantité,0 g,en faible quantité,8.5 g,en quantité élevée,0 g,en faible quantité,?,,48,+12%,201 kj(48 kcal),+10%,"0,6",+241%,0,-100%,10,+3%,"8,5",-7%,"0,5",-21%,0,-100%,0,-100%,3,+1%,C,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1,Soupe de poissons -  - 800g,3770001652016,E,800 g,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']","['Sans colorants', 'Sans conservateurs']","['FR 85.166.011 CE', 'Olonne-sur-Mer (Vendée, France)']",['France'],[],[],1.5 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,0.6 g,en quantité modérée,?,,45,-6%,188 kj(45 kcal),-6%,"1,5",-21%,"0,2",-55%,"1,7",-7%,"1,3",+100%,"5,5",+6%,"0,6",-32%,"0,24",-32%,-1,-215%,A,-215%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,
2,"Fromage au lait cru Ecume de Wimereux LES FRERES BERNARD, 30%MG - 200g",3770001691046,C,200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache']",,"['FR 62.889.030 CE', 'Wierre-Effroy (Pas-de-Calais, France)']",['France'],"['lait de vache cu ', 'origine France', 'crème', 'sel', 'présure', 'fleur de surface']",['Non végétalien'],24.4 g,en quantité élevée,17.4 g,en quantité élevée,0.1 g,en faible quantité,1.17 g,en quantité modérée,?,,275,-19%,1151 kj(275 kcal),-18%,"24,39",-10%,"17,4",-6%,"3,3",+326%,"0,1",-77%,"10,66",-52%,"1,17",-16%,"0,468",-16%,13,-9%,D,-9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage de vache au lait cru,['Frais'],['Les Freres Bernard'],['Lait'],3,,,,,,,,
3,Gingembre Citron - Authentic,3770001850108,,,"['Boissons', 'Boissons avec sucre ajouté']",['Bio'],,['France'],"['selon le National tftdtents : Eau', ""jus de gingembre' "", '6%', 'sucre • ', "" de dont 2% de citron vert'"", ' ilngrédtents biologique', "" Conseils d'utilisation servir fri avant d'ouvrir"", ' Avant ouverture', 'à consetvel Oe la chaleur et de id lumière', ' Après ouverture nmerde preférence avant le voir sur la capsule']",[],0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.03 g,en faible quantité,?,,21.5,-75%,90 kj(21 kcal),-76%,0,-100%,0,-100%,"5,3",-73%,"5,3",-71%,0,-100%,"0,03",-20%,"0,012",-20%,7,-41%,D,-41%,,,,,,,,,,['Authentic'],,,,,,,,,,
4,Sauce Tomate - Les Toques Blanches Du Monde - 180g,3770002165249,A,180 g,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",['Point Vert'],,['France'],"['Tomates italiennes 80 %', ""huile d'olive vierge extra 6 %"", 'oignons', 'basilic 5 %', 'sucre', 'sel', 'ail']",[],6 g,en quantité modérée,1.2 g,en faible quantité,6.6 g,en quantité modérée,2.2 g,en quantité élevée,?,,102,+57%,427 kj(102 kcal),+61%,6,+100%,"1,2",+176%,"6,6",+8%,"6,6",+33%,"1,4",-11%,"2,2",+157%,"0,88",+157%,10,+4229%,C,+4229%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,"['Verre', 'Bocal', 'métal']",['Les Toques Blanches Du Monde'],,3,['Italie'],['Italie'],,,,,,
5,Risotto Aux Cepes - Les Toques Blanches - 250g,3770002165294,B,250 g,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons', 'Risottos aux cèpes']",,,['France'],"['Riz Carnaroli ', '93%', 'cèpes ', 'Boletus Edulis', ' ', '2%', 'sel', 'oignon', 'amidon', 'maltodextrine de pomme de terre', 'extrait de levure', 'extrait de carotte', 'huile de tournesol', 'extrait de basilic', 'extrait de persil', 'extrait de romarin', 'ail', ' ', '*produits déshydratés']",[],2.9 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,0.93 g,en quantité modérée,?,,353,+30%,1477 kj(353 kcal),+31%,"2,9",+8%,1,-15%,74,+44%,1,-12%,7,+10%,"0,93",+8%,"0,372",+8%,4,+4%,C,+4%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,Préparation pour risotto aux cèpes et riz Carnaroli,"['Plastique', 'Carton']",['Les Toques Blanches'],,3,,['Italie'],['E392 - Extrait de romarin'],,,,,
6,Sardines à l'huile d'olive - Les Toques Blanches Du Monde - 12g,3770002165539,D,12 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,['France'],"['Sardines ', '70%', 'huile ', '29,5%', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",29 g,en quantité élevée,5.6 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,339,+37%,1418 kj(339 kcal),+38%,29,+64%,"5,6",+46%,"0,5",+56%,"0,5",+138%,20,-6%,"0,8",-12%,"0,32",-12%,12,+113%,D,+113%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,['Les Toques Blanches Du Monde'],['Poisson'],3,,,,,,,,
7,Granola maison - marlette - 300,3770002297070,,300,['Granola maison'],"['Bio', 'Fabriqué en France']",['FR BIO.09'],['France'],"['Oats flakes*', 'sunflower*', 'pumpkin*', 'brown flax*', 'dried fruits ', '13 %', '* ', 'walnuts*', 'hgzelnut*', 'puffed rice* sea salt from Ile de Ré', ' ', ' *Certified organic', ' May content traces of sesame']",[],21 g,en quantité élevée,2.6 g,en quantité modérée,1.4 g,en faible quantité,0.15 g,en faible quantité,?,,413,,1728 kj(413 kcal),,21,,"2,6",,"35,4",,"1,4",,"15,8",,"0,15",,"0,06",,-3,,A,,,,,,,,,,['Sachet'],['Marlette'],['Fruits à coque'],,,"[""l'houmeau""]",,,,,,
8,Préparation Pour Cake Au Rapadura Sans Gluten - Marlette - 11.60oz,3770002297216,,11.60 oz,,"['Bio', 'Sans gluten']",,['France'],"['White rice flour*', 'whole Rapadura cane sugar* ', '24%', 'b ond cane sugar*', 'arrowroot*', 'tapioca starch*', 'baking powder* tartriç acid', 'corn flour*', 'sodium bicarbonate', 'xanthan gum', 'sea salt rom Ile de Ré ', '*Certified organic', ' Guaranteed gluten free']",[],,,,,,,,,?,,361,,1510 kj(361 kcal),,1,,"0,2",,84,,47,,"2,8",,"0,35",,"0,14",,,,,,,,,,,,,,,['Marlette'],,4,,,"['E500ii - Carbonate acide de sodium', 'E415 - Gomme xanthane']",,,,,
9,Préparation Bio Pour Biscuits Gingerman - Marlette - 320g,3770002297391,,320 g,,['Bio'],,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"0,9",,"0,2",,77,,31,,"7,7",,"0,26",,"0,104",,,,,,,,,,,,,,,['Marlette'],,,,,,,,,,
10,Pâte à tartiner lait pétillant - Malakoff - 240g,3770002656150,D,240 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,['France'],[],[],29 g,en quantité élevée,3 g,en quantité modérée,57 g,en quantité élevée,0.09 g,en faible quantité,?,,530,-3%,2218 kj(530 kcal),-4%,29,-15%,3,-61%,58,+13%,57,+19%,"6,1",-11%,"0,09",-13%,"0,036",-13%,18,-13%,D,-13%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,['Malakoff'],,,,,,,,,,
11,Pâte à tartiner Les Inoubliables - Malakoff - 240g,3770002656181,D,240 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,['France'],"['Sucre', 'chocolat en poudre 23% ', 'sucre', 'poudre de cacao', 'graisse végétale ', 'colza', 'noisettes 17%', 'lait écrémé en poudre', 'émulsifiant : lécithine de soja <1%', 'arôme <1%']",['Non végétalien'],32 g,en quantité élevée,3.3 g,en quantité modérée,52 g,en quantité élevée,0.09 g,en faible quantité,?,,542,-1%,2268 kj(542 kcal),-1%,32,-6%,"3,3",-57%,54,+5%,52,+9%,"6,7",-2%,"0,09",-13%,"0,036",-13%,16,-23%,D,-23%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,['Malakoff'],['Fruits à coque'],4,,,['E322i - Lécithine'],,,,,
12,Pate a tartiner - Malakoff - 850g,3770002656464,D,850 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['en:palm-oil-free'],,['France'],"['Sucre', 'chocolat en poudre 23% ', 'sucre', 'poudre de cacao', 'graisse végétale ', 'colza', 'noisettes 17%', 'lat écrémé en poudre g% émulshant lécthine de sa <1% ', 'arôme <1% races éventuelles de gkten et atres ws à coque']",['Sans huile de palme'],32 g,en quantité élevée,3.3 g,en quantité modérée,52 g,en quantité élevée,0.09 g,en faible quantité,?,,542,-1%,2268 kj(542 kcal),-1%,32,-6%,"3,3",-57%,54,+5%,52,+9%,"6,7",-2%,"0,09",-13%,"0,036",-13%,19,-8%,E,-8%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,['Malakoff'],['Fruits à coque'],3,,,,,,,,
13,Choco saveur - Malakof - 240g,3770002656471,D,240 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,['France'],"['sucre,chocolat en poudre ', 'sucre', 'poudre de cacao', '  24%', 'graisse végétale ', 'colza', ' 20%', 'noisettes 13%', 'poudre de lait écrémé 9%', 'arômes naturels 2%', 'émulsifiant : lécithine de soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34 g,en quantité élevée,3.4 g,en quantité modérée,50 g,en quantité élevée,0.08 g,en faible quantité,?,,547,-0%,2289 kj(547 kcal),-0%,34,-0%,"3,4",-56%,52,+1%,50,+5%,"5,8",-15%,"0,08",-22%,"0,032",-22%,19,-8%,E,-8%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,['Malakof'],['Fruits à coque'],4,,,['E322i - Lécithine'],,,,,
14,Authentique croquants amandes,3770002875018,,,,,,['France'],[],[],,,,,,,,,?,,448,,1874 kj(448 kcal),,13,,1,,71,,60,,"9,8",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
15,RIZ AU LAIT A LA CANELLE - Les Desserts De jo - 220g (2 * 110g),3770003038078,B,220 g (2 * 110 g),"['Desserts', 'Puddings', 'Riz au lait', 'Riz au lait saveur cannelle', 'Teurgoules']","['Point Vert', 'Fabriqué en France', 'Fabriqué en Gourmandie', 'Origine France', 'en:lait-francais-french-milk']",,['France'],"['Lait entier de ferme de Normandie', 'sucre riz de Camargue', 'cannelle']",[],3.2 g,en quantité modérée,2.1 g,en quantité modérée,15.3 g,en quantité élevée,0.16 g,en faible quantité,?,,130,-2%,544 kj(130 kcal),-2%,"3,2",-13%,"2,1",-9%,"21,4",-3%,"15,3",+9%,"3,7",-1%,"0,16",+73%,"0,064",+73%,4,+22%,C,+22%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,Riz au Lait à la Cannelle Façon Teurgoule,"['Frais', 'Carton', 'métal']",['Les Desserts De jo'],['Lait'],1,"['France', 'Normandie']","['France', 'Normandie']",,,,,,
16,Jus de pomme poire - Fruits des weppes,3770003450160,,,['Jus de pomme poire'],,,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,0.02 g,en faible quantité,?,,51,+16%,213 kj(51 kcal),+17%,"0,5",+146%,"0,1",+43%,11,+2%,11,+11%,"0,5",+60%,"0,02",+4%,"0,008",+4%,2,0%,B,0%,,,,,,,,,,['Fruits des weppes'],,,,,,,,,,
17,Chocolat artisanal 75% cacao Piment - Bouga Cacao,3770003574224,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs au piment']",['Bio'],,['France'],[],[],42.6 g,en quantité élevée,25.6 g,en quantité élevée,21.5 g,en quantité élevée,0.2 g,en faible quantité,?,,543,-2%,2272 kj(543 kcal),-2%,"42,6",+9%,"25,6",+5%,"30,3",-20%,"21,5",-23%,9,+18%,"0,2",+50%,"0,08",+50%,20,-11%,E,-11%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Bouga Cacao'],,,,,,,,,,
18,Soleil d'opale - 0.360kg,3770003887027,,0.360 kg,,,,['France'],[],[],,,,,,,,,?,,4,,17 kj(4 kcal),,19,,13,,59,,25,,"6,48",,"0,39",,"0,156",,,,,,,,,,,,,,,,,,,,,,,,,
19,Huile D'olive Vierge Extra - Kalios,3770003906087,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,['France'],"['cT10N DIJ CHEF AIDIIDF_ID IT ÉTOILÉ DIJ RESTAURANT LES TERRASSES À URIAGE PRÉS DE GRENOBLE R VOUS [HUILE DOIVE ', 'ALIOS 01 CARACTÈRE RAICHEMENT EN DÉBUT DE SAISON', 'VOS LEGUMES VAPEUR ET CRUDITÉS,']",[],91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,824,-4%,3448 kj(824 kcal),-4%,"91,6",-4%,"12,8",-9%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,['Kalios'],,,,,,,,,,
20,Pur jus de pomme - Les Producteurs d'Abord,3770003987260,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,['France'],[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,43,-7%,180 kj(43 kcal),-6%,"0,3",+67%,"0,1",+197%,12,+9%,11,+6%,"0,3",+37%,0,-100%,0,-100%,4,-4%,C,-4%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,"[""Les Producteurs d'Abord""]",,,,,,,,,,
21,Bouillon En Poudre épices Herbe Poireau - Cooked by beendhi,3770004096176,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,,,?,,320,,1339 kj(320 kcal),,"8,9",,"2,1",,"39,8",,"11,3",,"9,8",,"18,3",,"7,32",,,,,,,,,,,,,,,['Cooked by beendhi'],,,,,,,,,,
22,Le Mont noix,3770004282210,,,,,"['FR 25.388.010 CE', 'Montbéliard (Doubs, France)']",['France'],[],[],,,,,,,,,?,,355,,1485 kj(355 kcal),,31,,20,,"1,9",,"1,5",,17,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
23,Concombre Menthe Poivrée - L'atelier Bernard Marot - 100g,3770004388790,,100 g,,['Point Vert'],,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"7,1",,"3,9",,"10,9",,"1,1",,"4,2",,2,,"0,8",,,,,,,,,,,,,,,"[""L'atelier Bernard Marot""]",,,,,,,,,,
24,Cold Brew - Black Coffee,3770004509010,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']","['Bio', 'Commerce équitable']",,['France'],[],[],,,,,,,,,?,,10,-80%,42 kj(10 kcal),-83%,"0,1",-93%,"0,1",-89%,"2,1",-75%,"0,63",-87%,"0,34",-82%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,
25,Crackers aux insectes entiers - Micronutris,3770004621361,,,,['Bio'],,['France'],[],[],,,,,,,,,?,,481,,2013 kj(481 kcal),,20,,14,,58,,"1,8",,16,,"1,7",,"0,68",,,,,,,,,,,,,,,['Micronutris'],,,,,,,,,,
26,Confiture Mara des bois - Les Confitures du Clocher,3770004870240,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['Fraises ', '60%', 'sucre', 'structurant: pectine', 'acidifiant: acide citrique', '  Préparé avec 60g de fruits pour 100g', ' Teneur en sucre 60g pour 100g']",[],0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,,220,+1%,920 kj(220 kcal),+1%,0,-100%,0,-100%,54,+2%,53,+5%,0,-100%,0,-100%,0,-100%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['Les Confitures du Clocher'],,4,,,"['E440 - Pectines', 'E330 - Acide citrique']",,,,,
27,Gingembre Bissap Menthe,3770005355043,,,,['Halal'],,['France'],[],[],,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,7,,"6,5",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
28,Gingembre miel,3770005355050,,,"['Boissons', 'Boissons instantanées']",,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,6.5 g,en quantité élevée,0 g,en faible quantité,?,,25,-90%,105 kj(25 kcal),-91%,0,-100%,0,-100%,7,-86%,"6,5",-82%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,
29,i.grec,3770005734022,,,,['en:gluten-free'],,['France'],[],[],,,,,,,,,?,,81,,339 kj(81 kcal),,"2,1",,"1,7",,"8,1",,"5,8",,"7,4",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
30,Le pot au lait Ananas,3770005734084,,,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,"1,9",,"1,4",,"13,89",,"11,7",,"6,4",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
31,Sauce Sriracha - L'INTRÉPIDE - 190g,3770005737009,,190 g,"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Fabriqué en France', 'Sans additifs', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,['France'],"['Piment* ', '47%', 'ail*', 'sel', 'sucre de canne*', ""vinaigre d'alcool*"", 'vinaigre de vin rouge*', 'datte*', ""orange* *Produit issu de l'agriculture biologique"", ' Allergènes: Aucun', ' Sans colorant', 'sans conservateur', 'sans additif']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,10.8 g,en quantité élevée,405,,96,-19%,405 kj(96 kcal),-18%,"0,5",-29%,"0,1",-42%,20,-20%,14,-34%,"2,4",+100%,"10,8",+87%,"4,32",+87%,12,-18%,D,-18%,,,,,,,,Condiment aux piments,['Plastique'],"[""L'INTRÉPIDE""]",,3,['UE/non-UE'],,,,,,,
32,Miel acacia - Ferme Harizkazuia - 250gr,3770005742058,B,250 gr,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]","['Bio', 'Bio européen', 'FR-BIO-10']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,['Ferme Harizkazuia'],,,,,,,,,,
33,Antioxydant force - Les Jardins de Roxelane - 1L,3770005803070,B,1 L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus']","['Bio', 'Ecocert', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté', 'Sans conservateurs', 'Cérès']",,['France'],"['Pur Jus de Grenade bio', 'de raisin bio', 'de cerise bio', 'de carotte noire bio', 'et de fraise bio']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.04 g,en faible quantité,0 g,en faible quantité,,,0 g,en faible quantité,?,,45,-2%,188 kj(45 kcal),-3%,"0,04",-78%,0,-100%,"8,33",-22%,,,"0,62",+45%,0,-100%,0,-100%,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Cocktail de Fruits Rouges,"['Bouteille', 'Verre']",['Les Jardins de Roxelane'],,1,['Turquie'],['Turquie'],,['La Vie Claire'],,,,
34,Super Fruit Baie de Goji - Valebio distribué par GavéBio,3770005830007,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']","['Bio', 'Végétarien', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],['Végétarien'],7.1 g,en quantité modérée,0.44 g,en faible quantité,44 g,en quantité élevée,4.5 g,en quantité élevée,?,,343,+4%,1435 kj(343 kcal),+3%,"7,1",+141%,"0,44",-1%,58,-2%,44,-2%,"11,8",-6%,"4,5",+619%,"1,8",+619%,13,+342%,D,+342%,,,,,,,,,,['Valebio distribué par GavéBio'],,,,,,,,,,
35,Graines de chia - Valebio - 200g,3770005830045,D,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],32 g,en quantité élevée,3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,?,,510,+14%,2134 kj(510 kcal),+14%,32,+4%,3,-4%,38,+217%,0,-100%,20,-0%,0,-100%,0,-100%,3,+233%,C,+233%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,['Valebio'],,,['Paraguay'],,,,,,,
36,Lokki Kombucha green tea - 33cl,3770006064081,B,33 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons sans alcool', 'Boissons au thé']","['Bio', 'Biopartenaire']",,['France'],[],[],,,,,,,,,?,,16,-20%,67 kj(16 kcal),-21%,0,-100%,0,-100%,4,-15%,4,-11%,0,-100%,0,-100%,0,-100%,6,-10%,D,-10%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,['LÖKKI Kombucha'],,,,,,,,,,
37,Kombucha citron curcuma - Lokki - 33cl,3770006064098,B,33 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons sans alcool', 'Boissons au thé', 'Kombuchas']","['Bio', 'Biopartenaire']",,['France'],"['Kombucha Lökki ', '98%', ' : eau filtrée', 'culture de Kombucha', 'sucre de canne blond du Paraguay', 'thé vert Pin Ho Jade du Vietnam', 'jus pressés : curcuma ', '1,5%', 'citron vert ', '0,5%']",[],,,,,,,,,?,,28,+56%,117 kj(28 kcal),+56%,0,-100%,0,-100%,5,+31%,4,+17%,0,-100%,0,-100%,0,-100%,7,+22%,D,+22%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,"['Lokki', 'LÖKKI Kombucha']",,3,,,,,,,,
38,Jossamél au gingembre - ELO-CJ JossaMél - 500ml,3770006166006,,500 ml,"['Boissons', 'Boissons sans alcool']","['Bio', 'Pur jus']",,['France'],"['Eau', 'Miel de Thym* ', '14%', 'Gingembre* ', '10%', ' pur jus', 'Citron* ', '10%', ' pur jus', ""Miel d'Acacia* "", '6%', 'Vanille*', 'Cannelle*', ""Girofle**Issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,15.5 g,en quantité élevée,0 g,en faible quantité,?,,60,+58%,250 kj(60 kcal),+50%,0,-100%,0,-100%,"15,5",+79%,"15,5",+111%,0,-100%,0,-100%,0,-100%,19,+170%,E,+170%,,,,,,,,,,['ELO-CJ JossaMél'],,3,,,,,,,,
39,Kopo - 20GR,3770006385056,,20GR,"['Snacks', 'Snacks sucrés']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-16']",,['France'],[],"['Végétalien', 'Végétarien']",0.6 g,en faible quantité,0.3 g,en faible quantité,61 g,en quantité élevée,0.02 g,en faible quantité,?,,308,-31%,1289 kj(308 kcal),-31%,"0,6",-97%,"0,3",-97%,71,+23%,61,+72%,"1,4",-77%,"0,02",-95%,"0,008",-95%,8,-58%,C,-58%,,,,,,,,snack de fruit bio,['Sachet'],['KOPO'],,,,['FRANCE CORREZE'],,,http://www.vegesens.com,,,
40,Bliss balls,3770006433009,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans sucre ajouté', 'Sans conservateurs']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,445,,1862 kj(445 kcal),,23,,"7,8",,47,,38,,"8,8",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
