,name,bar_code,eco_score,quantity,brand,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,labels,ingredients_origins,manufacturing,nova_score,additives,palm_ingredients,allergens,generic_name,link,producer_info,origin_detail,brand_owner
0,Parmesan - Parmareggio - 200g,8010721988336,D,200 g,['Parmareggio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['IT 0876 CE'],"['Belgique', 'France']",[],[],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+22%,1682 kj(402 kcal),+23%,30,+13%,20,+12%,0,-100%,0,-100%,32,+57%,"1,6",+23%,"0,64",+23%,17,+24%,D,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1,Gratins de pâtes à la méditerranéenne - Carrefour,3560071192303,,,"['Carrefour', '4x100g']",,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"4,4",,"2,6",,22,,"4,5",,"4,6",,"0,68",,"0,272",,,,,,,,,,,,,['Plastique et carton'],['Carrefour'],,,,,,,,,,,,
2,Dairy Fine Hollow Milk Chocolate Santa,4088600038162,,,,,,['France'],[],[],,,,,,,,,?,,533,,2230 kj(533 kcal),,30,,19,,57,,56,,"6,9",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carottes 1kg - Gadirzan,8424252000014,B,,['Gadirzan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Carottes', 'Légumes frais', 'Carottes fraîches']",,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,,,
4,Cerises Montmorency à l'eau-de-vie,3245390232670,,,,,,['France'],[],[],,,,,,,,,?,,174,,728 kj(174 kcal),,0,,0,,20,,18,,0,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,
5,Galette gourmande,,D,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,['France'],[],[],,,,,,,0.55 g,en quantité modérée,?,,?,,,,?,,,,?,,,,?,,"0,55",-21%,"0,22",-21%,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
6,Lentilles Vertes Cuisinées - Franprix - 410g,3263851867414,A,410g,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']",,['France'],"['eau - lentilles vertes de France trempées et blanchies 40% - carottes* de France 8% - Oignons* de France 3% - sel de Noirmoutier - thym* 0,02% - Laurier 0,01%']",[],0.5 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en faible quantité,0.6 g,en quantité modérée,?,,64,-78%,268 kj(64 kcal),-78%,"0,5",-63%,"0,5",+131%,"8,5",-78%,"0,6",-55%,"5,2",-76%,"0,6",+311%,"0,24",+311%,-4,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,['bocal en verre'],['Franprix'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-09']",['France'],['France'],3,,,,,,,,
7,Vinaigre Balsamique de Modène - Ducros,3275920069605,B,,['Ducros'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,['IGP'],['Italie'],,,,,,,,,,
8,Pomme de terre,3560035026927,,,,,,['France'],[],[],,,,,,,,,?,,75,,314 kj(75 kcal),,0,,0,,"15,8",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Crevettes ail et persil - Carrefour,3560071172114,,,['Carrefour'],,"['EMB 14630A', 'Saint-Martin-des-Entrées (Calvados, France)']",['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"3,1",,"0,6",,"0,7",,"0,5",,13,,"0,21",,"0,084",,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,
10,Petit salé saucisse et lentilles - Carrefour,3560071168445,,,['Carrefour'],,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,"8,3",,3,,"5,5",,"0,5",,11,,"0,8",,"0,32",,,,,,,,,,,,,,['Carrefour'],"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,
11,Clamato - Mott's - 1.89L,0065912006205,,1.89 L,"[""Mott's""]","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",,['France'],"['water', 'tomato paste', 'glucose-fructose', 'monosodium glutamate', 'citric acid', 'sea salt', 'salt', 'seasonings', 'spices', 'vinegar', 'dried clam broth', 'red chile pepper', 'colour', 'ingredients water', 'paste țomates', 'glucose-fructose', 'monosodium glutamate', 'citric acid', 'sea salt', 'salt', 'seasonings', 'spices', 'vinegar', 'broth', 'clam powder', 'cayenne pepper', 'dye,']","['Non végétalien', 'Non végétarien']",0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0.62 g,en quantité modérée,?,,24,+20%,100 kj(24 kcal),+22%,0,-100%,0,-100%,"4,8",+30%,"4,4",+37%,"0,4",-47%,"0,62",+46%,"0,248",+46%,-1,,B,,,,,,,,,['plastic bottle'],,,['États-Unis'],,4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,,
12,Barre De Chocolat Oh Henry Beurre D'arachide,0068000792837,,,,,,['France'],"['peanuts', 'sugar', 'modified palm oil and modified vegetable oii ', 'suea sunflower and/or safflower', 'modified palm kernel oil', 'high fructose corn syrup', 'unsweetened chocolate modified milkingredients', 'dextrose', 'sorbitol', 'salt', 'corn syrup', 'lecithin artificia ingrédients : arachides', 'sucre', 'huile de palme modifiée et hule végétaleuée ', 'ka nonsucré', 'substances laitières modifiées', 'dextrose', 'sorbitol', 'sel', 'sirop de mais teithine ', 'soja', 'arôme artificiel', 'tbhq', 'mono et diglycérides', ' od 2-003 our', 'tbhq', 'mono and diglycerides', 'od rité', 'tournesol et/ou carthame', 'huile de palmiste modifiée', 'sirop de mais à haute teneur en fructose', 'chocolat imported by /importé par hershey canada in mississauga', 'ontario', 'canada law ob1 questions? www', 'askhershey', 'com or/ou 800-468-1714']",[],,,,,,,,,?,,300,,1255 kj(300 kcal),,19,,6,,30,,25,,6,,1,,"0,4",,,,,,,,,,,,,,,,,,4,"['E420 - Sorbitol', 'E319 - Butylhydroquinone tertiaire']",['Huile de palme'],"['Arachides', 'Soja']",,,,,
13,Spinaci in foglia - Esselunga - 1000g,8002330112530,B,1000 g,"['Esselunga', 'O.R.T.O. verde']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']",,"['France', 'Italie']",['Spinaci'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.6 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.15 g,en faible quantité,?,,38,0%,159 kj(38 kcal),+2%,"0,6",-59%,"0,1",-85%,"3,5",+76%,"0,5",-29%,"3,4",+25%,"0,15",-55%,"0,06",-55%,-9,,A,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,,,,,,1,,,,,,,,
14,Vinaigrette Yogo & Paprika,27047170,D,,,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,"['Belgique', 'France']",[],[],38 g,en quantité élevée,3.2 g,en quantité modérée,9.3 g,en quantité modérée,1.6 g,en quantité élevée,?,,397,+10%,1661 kj(397 kcal),+11%,38,+3%,"3,2",-15%,11,+132%,"9,3",+183%,"1,1",+88%,"1,6",-17%,"0,64",-17%,16,+7%,D,+7%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
15,Le nature - Danone,3033491425790,B,,['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",,['France'],[],[],1.3 g,en faible quantité,0.8 g,en faible quantité,6.4 g,en quantité modérée,0.18 g,en faible quantité,?,,56,-22%,234 kj(56 kcal),-21%,"1,3",-64%,"0,8",-66%,"6,4",+31%,"6,4",+44%,"4,8",+16%,"0,18",+50%,"0,072",+50%,-1,-277%,A,-277%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,,,,,,,,,
16,Haribo Crazy Schnuller,4001686270530,,,['Haribo'],,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,"0,4",,"0,1",,83,,45,,"0,4",,"0,67",,"0,268",,,,,,,,,,,,,,,"[""Fabriqué dans l'UE""]",,,,,,,,,,,
17,Baked Cheese Crunchies - Trader Joe's,00111553,,,"[""Trader Joe's""]",,,['France'],"['Potass um 60mg 2% *The % Daily Value ', 'DV', ' tells you how much a nutrient in a serving of food contrib ites to a daily diet', ' 2,000 calories a day is used for general nutrition advice', ' INGREDNTS', ' 0RN MEAL', 'EXPELLER PRESSED VEBETABLE IL ', 'SUNFLOWER', 'SAFFLOWER AND/OR CANOLA', 'CHL ESEASONING ', 'CHEDDAR CHEESE POWDER [PASTEURIZED MILK', 'CHEESE CULTURES', 'SALT', 'MICROBIAL ENZYME]', 'WHEY POWDER', 'BUTTER [CREAM', 'SALT]', 'BUTTERMILK POWDER', 'SALT', 'COLOR ADDED [ANNATTO EXTRACT AND TURMERIC]', 'NATURAL FLAVOR', ' CONTAINS MILK', ' DIST', ""& SOLD EXCLUSIVELY BY: TRADER JOE'S"", 'MONROVIA', ""CA 91016 **TRADER JOE'S REGULAR FRIED BAKED CHEESE CHEESE FLAVORED CRUNCHIES "", '10z', ' CORN SNACKS ', '1oz', ' 10g TOTAL FAT 6g STORE IN A COOL', 'DRY PLACE GLUTEN FREE']",['Non végétalien'],,,,,,,,,?,,464,,1941 kj(464 kcal),,"21,4",,"3,6",,68,,"3,6",,"7,1",,"0,64",,"0,256",,,,,,,,,,,,,,,"['Sans gluten', 'Contient du lait', 'Arômes naturels']",,,4,,,['Lait'],,,,,
18,BAVETTE D'ALOYAU*** race Limousine,3245415525848,,,,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]","['FR 03.185.005 CE', 'Montluçon (Allier, France)', 'FR 03.185.002 CE', 'Montluçon (Allier, France)']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Miel,8420433003508,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Senf moutarde - Thomy,7613036290067,B,,['Thomy'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,['France'],[],[],6.6 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,10 g,en quantité élevée,?,,112,-34%,469 kj(112 kcal),-34%,"6,6",-39%,"0,7",-15%,4,-42%,"0,5",-87%,"6,3",-4%,10,+112%,4,+112%,11,-5%,D,-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
21,Bloc de foie gras de canard du Sud-Ouest - Carrefour - 480g,3560071185435,B,480 g,['Carrefour'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Bloc de foie gras avec morceaux']",,['France'],"['Foie gras de canard du Sud-Ouest', 'morceau de foie gras de canard du Sud-Ouest 30% eau', 'sel', 'Armagnac', 'poivre', 'sucre', 'antioxydant : ascorbate de sodium conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",55 g,en quantité élevée,24 g,en quantité élevée,1 g,en faible quantité,1.1 g,en quantité modérée,?,,521,+6%,2180 kj(521 kcal),+6%,55,+8%,24,+9%,1,-55%,1,-21%,6,-5%,"1,1",-12%,"0,44",-12%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Carrefour'],,,,3,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,
22,Potato-cup Röstzwiebel - Davert - 54g,4019339645062,,54 g,['Davert'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre']",,"['France', 'Allemagne']","['Kartoffeln 76%', 'Vollmilchpulver', 'Röstzwiebeln 7,4%', 'Meersalz', 'Pastinake', 'Muskat', 'Curcuma']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,346,-64%,82,-67%,346 kj(82 kcal),-67%,1,-60%,"0,5",-63%,15,-68%,"1,4",-37%,"2,1",-62%,"0,75",+25%,"0,3",+25%,,,,,,,,,,,,"['Tüte', '21 PAP']",['Alnatura'],"['Bio', 'Bio européen', 'Agriculture non UE', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung', 'Agriculture UE', 'Agriculture UE/Non UE']",,['Deutschland'],3,,,['Lait'],Kartoffelpüree mit Röstzwiebeln,,,,
23,Carrefour Bio,3560071106133,,,"['Carrefour Bio', 'Carrefour']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Carrefour'],['Bio'],,,,,,,,,,,
24,Tagliolini à la truffe d'été,3547130087862,,,,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"2,7",,"1,3",,68,,"4,6",,14,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Haferflocken - Spielberger Mühle - 500g,4022381303200,,500 g,['Spielberger Mühle'],,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,7,,"1,3",,"58,7",,"1,1",,"13,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pains au chocolat - Pasquier,3256540002708,,,['Pasquier'],,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,20,,11,,49,,15,,"7,3",,"7,2",,"2,88",,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Canard gras confit du sud ouest - 1,00kg",3700057859534,,"1,00 kg",,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,20,,6,,"0,4",,"0,1",,28,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
28,Chocolat fourré au praliné - Hamlet - 250g,5400265030340,,250g,['Hamlet'],,,['France'],[],[],,,,,,,,,?,,542,,2268 kj(542 kcal),,32,,15,,55,,53,,"6,2",,"0,2",,"0,08",,,,,,,,,,,,,,,"['Agriculture durable', 'Fabriqué en Belgique', 'en:UTZ Certified']",,,,,,,,,,,
29,Butterkäse - 200g,4025839011061,D,200 g,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,"['France', 'Allemagne']",[],[],28.8 g,en quantité élevée,18.8 g,en quantité élevée,0.1 g,en faible quantité,2 g,en quantité élevée,?,,354,+8%,1481 kj(354 kcal),+8%,"28,8",+8%,"18,8",+6%,"0,1",-92%,"0,1",-87%,"23,8",+17%,2,+54%,"0,8",+54%,17,+24%,D,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
30,Mélange epices tajine pot - Festifruits,3352396200272,B,,['Festifruits'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,['France'],[],[],12 g,en quantité modérée,2.4 g,en quantité modérée,7.6 g,en quantité modérée,0.12 g,en faible quantité,?,,330,+46%,1381 kj(330 kcal),+45%,12,+131%,"2,4",+228%,43,+41%,"7,6",-32%,11,+47%,"0,12",-99%,"0,048",-99%,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,,,,,,,,
31,RICOLA,7610700945599,,,['Ricola'],,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,98,,76,,0,,0,,0,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
32,"Grannyés Apfelsaft Gespritzt, Apfelsaft",90168444,,,,,,['France'],[],[],,,,,,,,,?,,23,,96 kj(23 kcal),,"0,1",,"0,1",,"5,6",,"5,4",,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Paniermehl Klassik - Mühlen Gold - 500g,4061458040143,,500g,"['Mühlen Gold', 'Mühlen Gold']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",,"['France', 'Allemagne']",[],[],1.6 g,en faible quantité,0.4 g,en faible quantité,4.4 g,en faible quantité,1.5 g,en quantité modérée,?,,357,-3%,1494 kj(357 kcal),-4%,"1,6",-55%,"0,4",-47%,70,-2%,"4,4",-2%,13,+16%,"1,5",+10%,"0,6",+10%,5,-20%,C,-20%,,,,,,,,['Karton'],,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]",,,,,,,,,,,
34,Tropical - Juver - 330ml,8410707001538,C,330 ml,['Juver'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Produits laitiers', 'Boissons à base de végétaux', 'Boissons lactées', 'Boissons aux fruits', 'Boissons au lait et au jus de fruits']",['L7304L1'],['France'],"['Agua', 'zumo de manzana a partir de concentrado ', '16%', 'zumo de piña a partir de concentrado ', '14,5%', 'zumo de mango a partir de concentrado ', '11,5%', 'leche desnatada ', '10%', ' estabilizante ', 'pectina', 'aromas', 'antioxidante ', 'ácido L-ascórbico', 'acidulante ', 'ácido cítrico', 'edulcorante ', 'sucralosa', ' y colorante ', 'B-caroteno']",['Non végétalien'],0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.01 g,en faible quantité,?,,28,-35%,117 kj(28 kcal),-37%,0,-100%,0,-100%,"6,2",-37%,"5,1",-45%,"0,5",-22%,"0,01",+41%,"0,004",+41%,6,-52%,D,-52%,56.0%,3.7%,13.8%,19.1%,5.7%,1.6%,49,['Tetrapak'],,['Avec édulcorants'],,['Lybya'],4,"['E440 - Pectines', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E955 - Sucralose']",,,,http://www.juver.com,,,
35,Belgian chocolate,5411333995300,,,,,,['France'],[],[],,,,,,,,,?,,567,,2372 kj(567 kcal),,37,,17,,54,,52,,"4,9",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,
36,Pain campagnard emmental noix,3523680339606,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Yogi Tea tisana alle rose,4012824400795,B,,['Yogi Tea'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-86%,4 kj(1 kcal),-83%,0,-100%,0,-100%,"0,2",-73%,0,-100%,"0,1",-44%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,"['Bio', 'Bio européen']",,,,,,,,,,,
38,Buttermilch - Herzogtum. Rewe - 1l,4013608002068,,1l,['Herzogtum. Rewe'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Babeurres']",['DE TH-603 EG'],"['France', 'Allemagne']",[],[],0.5 g,en faible quantité,0.3 g,en faible quantité,4.1 g,en faible quantité,0.1 g,en faible quantité,?,,34,-26%,142 kj(34 kcal),-24%,"0,5",-58%,"0,3",-53%,"4,1",-15%,"4,1",-6%,"3,3",+5%,"0,1",-15%,"0,04",-15%,-2,-371%,A,-371%,,,,,,,,['Packung(en)'],,,,,,,,,,,,,
39,Lasagne à la bolognaise surgelées - 1kg,3264295300390,C,1 kg,,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']","['EMB 22182', ""Plélo (Côtes-d'Armor, France)""]",['France'],[],[],4.2 g,en quantité modérée,1.4 g,en faible quantité,4.4 g,en faible quantité,0.99 g,en quantité modérée,?,,115,-14%,481 kj(115 kcal),-14%,"4,2",-31%,"1,4",-44%,14,+12%,"4,4",+62%,"4,5",-29%,"0,99",+26%,"0,396",+26%,4,+73%,C,+73%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,"['Film en plastique', 'Boîte en carton']",,,,,,,,,,,,,
40,Gingembre Confit Bio - Bio Day,3760099538200,B,,['Bio Day'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Snacks', 'Condiments', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Epices', 'Gingembre', 'Fruits confits', 'Gingembre confit']",,['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,79.3 g,en quantité élevée,,,?,,338,-1%,1414 kj(338 kcal),-0%,"0,5",+100%,0,-100%,"80,3",-1%,"79,3",+10%,"3,5",+409%,,,,,,,,,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",['Chine'],,,,,,,,,,
41,Courgettes en rondelles - Auchan,3596710461851,,,"['Auchan', 'Auchan bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Courgettes', 'Courgettes surgelées', 'Courgettes en rondelles surgelées']",,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,5 g,en quantité modérée,0.01 g,en faible quantité,?,,30,+50%,126 kj(30 kcal),+52%,"0,5",+82%,"0,1",+82%,5,+108%,5,+155%,2,+33%,"0,01",+18%,"0,004",+18%,-5,,A,,,,,,,,,['Sachet'],['Auchan'],"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,,,,,,,,,
42,Cacao Cru Bio En Poudre - 200 GR - Biotona,5412360007431,E,,['Biotona'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,"['France', 'Espagne']",[],[],11 g,en quantité modérée,7 g,en quantité élevée,1.9 g,en faible quantité,0.01 g,en faible quantité,?,,354,+1%,1481 kj(354 kcal),+1%,11,-21%,7,-13%,19,-27%,"1,9",-82%,24,+40%,"0,01",-91%,"0,004",-91%,5,-46%,C,-46%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,"['Sans gluten', 'Sans conservateurs']",,,,,,,,,,,
43,Tesco Gold Coffee 200G - 200g,5018374230775,E,200 g,['Tesco'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,"['France', 'Espagne']",[],[],,,,,,,,,?,,1,-99%,4 kj(1 kcal),-99%,0,-100%,0,-100%,"0,3",-99%,0,-100%,"0,2",-96%,0,-100%,0,-100%,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,['glass-jar'],,,,,,,,,,,,,
44,Sushi Box Kiyoto-Style,40879772,C,,,"['Plats préparés', 'Sushis et makis', 'Sushis', 'Assortiments de sushi']",,['France'],[],[],5.4 g,en quantité modérée,1 g,en faible quantité,5.7 g,en quantité modérée,2.1 g,en quantité élevée,?,,176,+10%,736 kj(176 kcal),+10%,"5,4",+35%,1,+17%,"24,9",+1%,"5,7",-10%,"5,7",+7%,"2,1",+13%,"0,84",+13%,12,+29%,D,+29%,83.8%,1.2%,4.6%,6.7%,2.2%,1.6%,62,,,,,,,,,,,,,,
45,Waffelini - Milka,7622210696892,,,['Milka'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,['France'],"['Zucker', 'Weizenmehl', 'Palmöl', 'Süßmolkenpulver', 'Milch', 'Kakaobutter', 'Milchzucker', 'Magermilchpulver', 'Kakaomasse', 'Butterreinfett', 'Emulgatoren ', 'Sojalecithin', 'E476', 'Stärke', 'Rapsöl', 'Speisesalz', 'Backtriebmittel ', 'Natriumhydrogencarbonat', 'Ammoniumhydrogencarbonat', 'Aromen']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,4,"[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,"['Gluten', 'Lait', 'Soja']",,,,,
46,Teufli - 290g,4002239646406,,290 g,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,185,,774 kj(185 kcal),,"16,6",,"9,7",,"3,7",,"3,1",,"3,5",,"2,33",,"0,932",,,,,,,,,,,,,,,,,,,,,,,,,,
47,San Fabio Rosso - 190g,24013390,C,190 g,['San Fabio'],"['Epicerie', 'Sauces', 'Sauces Pesto']",,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",38.7 g,en quantité élevée,4.4 g,en quantité modérée,3.1 g,en faible quantité,3 g,en quantité élevée,?,,377,-11%,1577 kj(377 kcal),-10%,"38,7",-6%,"4,4",-27%,"4,5",-32%,"3,1",+0%,"1,7",-62%,3,+29%,"1,2",+29%,18,-2%,D,-2%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,['Glas'],,"['Végétarien', 'Végétalien']",,,,,,,,,,,
