,name,bar_code,brand,brand_owner,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,generic_name,manufacturing,traceability_code,markets,palm_ingredients,ingredients_origins,link
0,Pre-sliced cinnamon swirl bagels - Thomas,0048121253219,['Thomas'],"Bimbo Bakeries USA, Inc.","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['100% naturel'],"['France', 'États-Unis']","['Enriched wheat flour ', 'flour', 'malted barley flour', 'reduced iron', 'niacin', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'water', 'sugar', 'wheat gluten', 'yeast', 'cinnamon', 'cornmeal', 'salt', 'caramel color', 'calcium propionate and sorbic acid ', 'to preserve freshness', 'monoglycerides', 'soybean oil', 'natural & artificial flavors', 'cellulose gum', 'citric acid', 'xanthan gum', 'lemon oil', 'soy lecithin']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E322i - Lécithine']","['Gluten', 'Soja']",[],4,2.11 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité modérée,1.05 g,en quantité modérée,?,,295,-10%,1234 kj(295 kcal),-11%,"2,11",-66%,0,-100%,"57,89",+6%,"10,53",+169%,"9,47",-1%,"1,052",-18%,"0,421",-18%,1,-80%,B,-80%,,,,,,,,,,,,,,,,,
1,Multi grain muffins - Thomas,0048121276072,['Thomas'],"Bimbo Bakeries USA, Inc.","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Muffins']",,"['France', 'États-Unis']","['Enriched wheat flour [flour', 'malted barley flour', 'reduced iron', 'niacin', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'water', 'whole wheat flour', 'sugar', 'farina', 'soybean oil', 'cracked wheat', 'whole grains ', 'wheat', 'rye', 'corn', 'oats', 'millet', 'triticale', 'brown rice', 'barley', 'flaxseed', 'yeast', 'wheat gluten', 'calcium propionate and sorbic acid ', 'to preserve freshness', 'salt', 'dextrose', 'malt', 'monoglycerides', 'yellow corn flour', 'wheat starch', 'malted barley flour', 'annatto ', 'color', 'soy lecithin', 'soy', 'whey']","['E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E322i - Lécithine']","['Gluten', 'Lait', 'Avoine', 'Soja']",['Non végétalien'],4,5.26 g,en quantité modérée,0.88 g,en faible quantité,5.26 g,en quantité modérée,0.703 g,en quantité modérée,?,,263,+11%,1100 kj(263 kcal),+10%,"5,26",+75%,"0,88",+56%,"47,37",+18%,"5,26",-1%,"7,02",-31%,"0,702",-27%,"0,281",-27%,0,-100%,B,-100%,B,73.2%,15.1%,7.1%,4.0%,0.5%,0.0%,82,,,,,,,,,
2,BackPacker’s Pantry purée au herbe,0048143025191,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Astronaut Chocolate Ice Cream With Chocolate Chips 0.7oz,0048143390039,,,,,['France'],[],,,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,65,,20,,17,,14,,2,,"0,035",,"0,014",,,,,,,,,,,,,,,,,,,,,,
4,Huile d'olives,0048176032562,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,['France'],[],,,[],,91.6 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,0.1 g,en faible quantité,?,,824,-4%,3448 kj(824 kcal),-4%,"91,6",-4%,13,-7%,"0,1",,"0,1",,"0,1",,"0,1",+164104%,"0,04",+164104%,6,-2%,C,-2%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
5,"Fratelli Mantova Pasta Organic Italian, Linguine No. 98 - Fratelli beretta",0048176560027,['Fratelli beretta'],,,['Bio'],['France'],"[""'Percent eyvaluesarebasedonaa00üde a Your€yvaluesmaybehigheror10%8 depeMngon Calorie 2000 Total Fat Les tan 65g 80g Satfat Less han Zesterol Lesshan Issfian 2,0mg 379 Dietarvfi6e/ J ssthan25q 300 Fat 9 • ydcates 4 • Pmteh 4""]",,,[],,,,,,,,,,?,,200,,837 kj(200 kcal),,1,,0,,40,,1,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,
6,Épaule cuire srandard,0048475002129,,,,,['France'],[],,,[],,,,,,,,,,?,,117,,490 kj(117 kcal),,5,,"2,1",,2,,2,,16,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,
7,Orange juice - Tropicana,0048500000007,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,"['France', 'États-Unis']","['Orange juice from concentrate ', 'filtered water and orange juice concentrate', ' and natural flavors*']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0.015 g,en faible quantité,?,,46,+7%,192 kj(46 kcal),+5%,0,-100%,0,-100%,"11,25",+16%,"9,17",+1%,"0,83",+33%,"0,015",+76%,"0,006",+76%,4,+33%,C,+33%,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
8,Orange juice - Tropicana - 10oz. / 296ml,0048500001745,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,"['France', 'États-Unis']","['100% pure orange juice from concentrate ', 'filtered water and concentrated orange juice', ' and natural flavors*,']",,,[],4,0 g,en faible quantité,0 g,en faible quantité,9.46 g,en quantité élevée,0.0175 g,en faible quantité,?,,47,+9%,197 kj(47 kcal),+8%,0,-100%,0,-100%,"11,15",+15%,"9,46",+4%,"0,68",+9%,"0,018",+105%,"0,007",+105%,4,+33%,C,+33%,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,10 oz. / 296 ml,['pet-bottle'],,,,,,,
9,Cranberry cocktail - Tropicana,0048500017814,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,"['France', 'États-Unis']","['Filtered water', 'high fructose corn syrup', 'cranberry juice concentrate', 'natural flavors and ascorbic acid ', 'vitamin c']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,14.4 g,en quantité élevée,0.035 g,en faible quantité,?,,59,+48%,247 kj(59 kcal),+47%,0,-100%,0,-100%,"14,37",+71%,"14,37",+93%,0,-100%,"0,035",+43%,"0,014",+43%,19,+221%,E,+221%,,,,,,,,,,,,,,,,,
10,Tropicana Lemonade,0048500018668,['Tropicana'],"Tropicana Products, Inc.","['Boissons', 'Boissons gazeuses', 'Sodas']",['Sans arômes artificiels'],"['France', 'États-Unis']","['Filtered water', 'sugar', 'not from concentrate lemon juice', 'lemon pulp and natural flavors']",,,[],3,0 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité élevée,0.0175 g,en faible quantité,?,,51,+89%,213 kj(51 kcal),+84%,0,-100%,0,-100%,"12,39",+83%,"11,83",+79%,"0,28",+410%,"0,018",+26%,"0,007",+26%,16,+73%,E,+73%,,,,,,,,,,,,,,,,,
11,Jus (pamplemousse Rose) - Tropicana,0048500019726,['Tropicana'],,,,['France'],[],,,[],,,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,8,,"7,2",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,
12,Tropicana Trop50 Orange Juice Beverage No Pulp,0048500020135,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,"['France', 'États-Unis']","['Filtered water', 'not from concentrate pasteurized orange juice', 'modified food starch', 'malic acid', 'chic acid', 'natural flavors and red a ', 'purified stevia extract', ' vitamins and minerals: potassium citrite', 'ascorbic acid ', 'vitamin c', 'beta-carotene', 'tocopherol ', 'vitamin e', 'magnesium phosphate', 'niacinamide ', 'vitamin b3', 'thiamin hydrochloride ', 'vitamin b1', 'riboflavin ', 'vitamin b2', ' and pyridoxine hydrochloride ', 'vitamin b6']",['E296 - Acide malique'],,"[""Pourrait contenir de l'huile de palme""]",3,0 g,en faible quantité,0 g,en faible quantité,4.17 g,en quantité modérée,0.01 g,en faible quantité,?,,21,-48%,88 kj(21 kcal),-48%,0,-100%,0,-100%,"5,42",-35%,"4,17",-44%,"0,42",+9%,"0,01",-59%,"0,004",-59%,6,+2%,D,+2%,,,,,,,,,,,,,,,,,
13,"Brewed tea, lemon - Pure Leaf",0048500020654,['Pure Leaf'],"Tropicana Products, Inc.","['Boissons', 'Thés glacés']",,"['France', 'États-Unis']","['Brewed black tea', 'sugar', 'citric acid', 'natural flavor', 'citrus pectin']","['E330 - Acide citrique', 'E440 - Pectines']",,[],4,0 g,en faible quantité,0 g,en faible quantité,7.04 g,en quantité élevée,0 g,en faible quantité,?,,28,+27%,117 kj(28 kcal),+27%,0,-100%,0,-100%,"7,04",+34%,"7,04",+40%,0,-100%,0,-100%,0,-100%,9,+23%,D,+23%,,,,,,,,,,,,,,,,,
14,Raspberry lemonade,0048500021545,,"Tropicana Products, Inc.","['Boissons', 'Boissons gazeuses', 'Sodas']",['Sans arômes artificiels'],"['France', 'États-Unis']","['Filtered water', 'sugar', 'not from concentrate lemon juice', 'lemon pulp', 'red raspberry puree and natural flavors']",,,[],3,0 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0.0175 g,en faible quantité,?,,48,+78%,201 kj(48 kcal),+73%,0,-100%,0,-100%,"11,83",+74%,"11,27",+70%,"0,28",+410%,"0,018",+26%,"0,007",+26%,15,+63%,E,+63%,,,,,,,,,,,,,,,,,
15,Tropicana Coco Blends,0048500202296,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,"['France', 'États-Unis']","['Filtered water', 'sugar', 'pineapple juice concentrate', 'apple juice concentrate', 'coconut water concentrate', 'citric acid', 'natural flavors', 'ascorbic acid ', 'vitamin c', ' and vegetable juice concentrate for color']",['E330 - Acide citrique'],,[],4,0 g,en faible quantité,0 g,en faible quantité,6.67 g,en quantité élevée,0.01 g,en faible quantité,?,,29,-28%,121 kj(29 kcal),-28%,0,-100%,0,-100%,"7,08",-16%,"6,67",-10%,0,-100%,"0,01",-59%,"0,004",-59%,10,+69%,E,+69%,,,,,,,,,,,,,,,,,
16,Pineapple Orange,0048500256756,,"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",['Arômes naturels'],"['France', 'États-Unis']","['Filtered water', 'apple juice concentrate', 'pineapple juice concentrate', 'clarified pineapple juice concentrate', 'orange juice concentrate', 'natural flavors', 'citric acid and ascorbic acid ', 'vitamin c']",['E330 - Acide citrique'],,[],,0 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,0.01 g,en faible quantité,?,,50,+25%,209 kj(50 kcal),+24%,0,-100%,0,-100%,"12,5",+49%,"11,25",+51%,"0,42",+9%,"0,01",-59%,"0,004",-59%,15,+154%,E,+154%,,,,,,,,,,,,,,,,,
17,Tropicana Pure Premium Orange Juice Some Pulp,0048500301395,,"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,"['France', 'États-Unis']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0 g,en faible quantité,?,,46,+15%,192 kj(46 kcal),+14%,0,-100%,0,-100%,"10,83",+29%,"9,17",+23%,"0,83",+115%,0,-100%,0,-100%,14,+137%,E,+137%,,,,,,,,,,,,,,,,,
18,Tropicana Pure Premium Orange Juice Lots Of Pulp,0048500304143,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,"['France', 'États-Unis']",['Contains 100% orange juice'],,,[],,0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0 g,en faible quantité,?,,46,+15%,192 kj(46 kcal),+14%,0,-100%,0,-100%,"10,83",+29%,"9,17",+23%,"0,83",+115%,0,-100%,0,-100%,14,+137%,E,+137%,,,,,,,,,,,,,,,,,
19,100% orange juice - Tropicana - 1750ml,0048500309223,['Tropicana'],"Tropicana Products, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,"['France', 'États-Unis']","['100% pure pasteurized orange juice', 'acid reduced orange juice', 'calcium citrate*', 'ascorbic acid ', 'vitamin c', '* and beta-carotene*']",,,[],1,0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0 g,en faible quantité,?,,46,+7%,192 kj(46 kcal),+5%,0,-100%,0,-100%,"10,83",+12%,"9,17",+0%,"0,83",+32%,0,-100%,0,-100%,4,+34%,C,+34%,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1750 ml,,,,,,,,
20,Squeeze Cheese Mature Cheddar Sauce,0048707452500,['Squeeze Cheese'],,,,['France'],"['Water', 'mature cheddar full fat hard cheese ', 'milk', ' ', '25%', 'soybean oil', 'whey ', 'milk', 'modified foos starch', 'emulsifier: E339', 'salt', 'acidity Regulator: lactic acid ', 'milk', 'natural flavour ', 'milk', 'preservative: E200', 'thicker: E419', 'mustard flour', 'colour: annatto']","['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E419 - Gomme ghatti', 'E160b - Rocou']",['Lait'],[],4,,,,,,,,,?,,280,,1172 kj(280 kcal),,22,,8,,13,,10,,8,,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,
21,Pâte feuilletée - 280g,0049000008197,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,280 g,['Rouleau'],,,,,,,
22,Fanta Orange Soda 20 Oz,0049000019162,['Fanta'],,,,['France'],"['carbonated water', 'high fructose corn syrup', 'citric acid', 'sodium eodate ', 'to protect taste', 'natural flavors', 'oified food starch', 'sodium polyphosphates', 'exycerol ester of rosin', 'yellow 6', 'red 40', 'ea017 the coca-cola company mycoke rewards ,com consumer information call 1-800-438-2653 code under cap', 'enter low sodium caffeine free online see rules online,']","['E330 - Acide citrique', 'E452i - Polyphosphate de sodium', 'E110 - Jaune orangé S', 'E129 - Rouge allura AC']",,[],4,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,13,,12,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
23,Powerade Ion4 Grape,0049000045239,['Powerade'],,,,['France'],[],,,[],,,,,,,,,,?,,80,,335 kj(80 kcal),,0,,0,,21,,21,,0,,0,,0,,,,,,,,,,,,,,,,Boisson hydratante diététique de l'effort isotonique,,,,,,
24,Grapefruit - Fanta,0049000048674,['Fanta'],,"['Boissons', 'Boissons gazeuses', 'Sodas']",,"['France', 'Espagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,13.8 g,en quantité élevée,0.02 g,en faible quantité,?,,42,+56%,176 kj(42 kcal),+52%,0,-100%,0,-100%,"14,2",+109%,"13,8",+109%,0,-100%,"0,02",+44%,"0,008",+44%,16,+73%,E,+73%,,,,,,,,,,,,,,,,,
25,Coca Cola Cola Zero Calorie 8.,0049000049947,['Coca-Cola'],COKE ZERO,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,"['France', 'États-Unis']","['Carbonated water', 'caramel color', 'phosphoric acid', 'aspartame', 'potassium benzoate ', 'to protect taste', 'natural flavors', 'potassium citrate', 'acesulfame potassium', 'caffeine']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E951 - Aspartame', 'E212 - Benzoate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K']",,[],4,0 g,en faible quantité,,,,,0.882 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,,,0,-100%,,,0,-100%,"0,882",+5594%,"0,353",+5594%,,,,,,,,,,,,,,,,,,,,,
26,Fanta Grape Flavored Soda,0049000050240,['Fanta'],,,,['France'],[],,,[],,,,,,,,,,?,,180,,753 kj(180 kcal),,"0,1",,"0,1",,48,,"0,1",,"0,1",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,
27,Sprite Lemon -  - 8.5FL OZ,0049000054552,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",,"['France', 'États-Unis']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0.114 g,en faible quantité,?,,100,+270%,418 kj(100 kcal),+260%,0,-100%,0,-100%,27,+298%,27,+308%,0,-100%,"0,114",+722%,"0,046",+722%,20,+117%,E,+117%,,,,,,,,,8.5 FL OZ,,,,,,,,
28,Coca-cola,0049000055375,['Coca-Cola'],,,,['France'],[],,,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,39,,"0,49",,39,,39,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
29,Dasani Sparkling Lime Sparkling Water Beverage,0049000063745,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,
30,Blue Sky soda,0049000069563,,,,"['Bio', 'en:USDA Organic']",['France'],[],,,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,11,,11,,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,
31,Hubert's Lemonade Blackberry Lemonade -,0049000069785,,,,['Arômes naturels'],['France'],"['INGREDIENTS PURE FILTERED WATER,LEMON JUICE FROM CONCENTRATE CANE SUGAR', 'CITRIC ACID', 'NATURAL FLAVORS', 'VEGETABLE JUICE ', 'FOR COLOR', ' STEVIA LEAF EXTRACT']",['E330 - Acide citrique'],,[],4,,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,"6,25",,"5,83",,0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sno-berry - Peace Tea,0049000070507,['Peace Tea'],,,,"['France', 'États-Unis']","['tea ', 'water', 'tea powder', 'cane sugar', 'natural flavors', 'citric acid', 'pectin', 'sucralose,']","['E330 - Acide citrique', 'E440 - Pectines', 'E955 - Sucralose']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,160,,669 kj(160 kcal),,0,,0,,48,,48,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
33,Canning’s BIG RED,0049000173239,,,,,['France'],[],,,[],,,,,,,,,,?,,86,,360 kj(86 kcal),,0,,0,,"12,8",,"12,8",,0,,"4,6",,"1,84",,,,,,,,,,,,,,,,,,,,,,
34,Cinnamon Roll - 6oz,0049022569331,,,,,['France'],[],,,[],,,,,,,,,,?,,310,,1297 kj(310 kcal),,17,,7,,37,,18,,4,,"0,4",,"0,16",,,,,,,,,,,,,,6 oz,,,,,,,,
35,Hikers Trail Mix - Nice!,0049022681163,['Nice!'],Walgreens Co.,['Snacks'],,"['France', 'États-Unis']","['Raisins', 'sunflower kernels ', 'sunflower kernels', 'sunflower oil and/or peanut oil', 'salt', 'peanuts ', 'peanuts', 'peanut oil', 'salt', 'cashews ', 'cashews', 'peanut oil', 'salt', 'pepitas ', 'pumpkin kernels', 'peanut oil', 'salt', 'almonds ', 'almonds', 'peanut oil and/or canola oil', 'salt']",,"['Fruits à coque', 'Arachides']",[],3,35.7 g,en quantité élevée,5.36 g,en quantité élevée,25 g,en quantité élevée,0.848 g,en quantité modérée,?,,536,+19%,2243 kj(536 kcal),+19%,"35,71",+71%,"5,36",-41%,"35,71",-36%,25,-17%,"17,86",+184%,"0,848",+61%,"0,339",+61%,14,-22%,D,-22%,,,,,,,,,,,,,,,,,
36,0049022942653,0049022942653,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Premium pure cane granulated sugar - Domino,0049200043509,['Domino'],Domino Sugar Corporation,"['Édulcorants', 'Sucres']",,"['France', 'États-Unis']",['Sugar'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,?,,375,-4%,1569 kj(375 kcal),-4%,0,-100%,0,-100%,100,+2%,100,+6%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,B,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,
38,Light brown pure cane sugar - Domino - 10oz,0049200902943,['Domino'],"Domino Foods, Inc.","['Édulcorants', 'Sucres']",,"['France', 'États-Unis']",['Brown sugar'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,?,,333,-14%,1393 kj(333 kcal),-15%,0,-100%,0,-100%,100,+2%,100,+6%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,B,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,10 oz,,,,,,,,
39,Raisins secs - 42g,0049300112013,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",['Sans conservateurs'],['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,71 g,en quantité élevée,0.25 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"0,5",-14%,"0,1",-29%,79,+9%,71,+13%,3,+6%,"0,25",+362%,"0,1",+362%,5,-11%,C,-11%,D,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,42 g,,,,,,,,
40,Bonita Flavored Seasoning - shimaya - 100g,0049319110055,['Shimaya'],Shimaya Company Ltd.,"['Epicerie', 'Condiments']",,"['France', 'Suisse', 'États-Unis']","['glucose', 'e621 exhausteur de gout', 'sel', 'bonite sechee en poudre 8%', 'extrait de bonite 2%', 'e631', 'e627', 'extrait de levure']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']",,[],4,0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,36.5 g,en quantité élevée,?,,250,+79%,1046 kj(250 kcal),+75%,0,-100%,0,-100%,50,+282%,50,+632%,0,-100%,"36,5",+553%,"14,6",+553%,23,+128%,E,+128%,,,,,,,,,100 g,,,,,,,,
41,"Pretzel crujiente sabor miel, mostaza y cebolla envase 85 g - Snyder's of Hanover",0049508004226,"[""Snyder's of Hanover""]",,,,['France'],"['BRETZELS BLÉ ACIDE FOLIQUE', 'HUILE SUCRE DE SIROP DE TAPIOCA', ""OIGNON GLUcose D'ORGE"", 'AMIDON VINAIGRE', 'PROTÉINE DE SOJA MOUTARDE AMIDON ÉPICES', ': EIOO', ""DE L'ACIDITÉ : Ef:mations sur les allergènes : CONTIENT DU BLÉ"", 'EN CARACTÈRES GRAS', ' CONFECTIONNÉ : Conservez dans un endroit frais et sec', ' Consommez dans les du produit 3 jours qui suivent']",,"['Gluten', 'Moutarde', 'Soja']",[],,,,,,,,,,?,,401,,1678 kj(401 kcal),,5,,"0,5",,79,,8,,8,,"1,39",,"0,556",,,,,,,,,,,,,,,,,,,,,,
42,Pretzel crackers - Snack Factory,0049508006190,['Snack Factory'],Snack Factory Inc,['Snacks'],,"['France', 'États-Unis']","['Enriched wheat flour ', 'flour', 'niacin', 'reduced iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'seasoning ', 'sesame seeds and salt', 'sugar', 'malt syrup ', 'tapioca syrup', 'malt extract', 'soda']",,['Graines de sésame'],[],3,5.36 g,en quantité modérée,0 g,en faible quantité,3.57 g,en faible quantité,2.05 g,en quantité élevée,?,,393,-13%,1644 kj(393 kcal),-13%,"5,36",-74%,0,-100%,"82,14",+46%,"3,57",-88%,"10,71",+70%,"2,052",+290%,"0,821",+290%,10,-44%,C,-44%,,,,,,,,,,,,,,,,,
43,"Spread, original - Follow Your Heart",0049568010328,"['Follow Your Heart', 'Earth Island']",Earth Island,"['Epicerie', 'Sauces']","['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans OGM', 'Sans lait']","['France', 'États-Unis']","['vegan', 'gluten-free', 'dairy-free', 'non-gmo', ': expeller-pressed canola oil', 'filtered water', 'brown rice syrup', 'apple cider vinegar', 'soy protein', 'sea salt', 'mustard flour', 'lemon juice concentrate']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,64.3 g,en quantité élevée,3.57 g,en quantité modérée,0 g,en faible quantité,1.25 g,en quantité modérée,?,,90,-62%,377 kj(90 kcal),-62%,"64,29",+255%,"3,57",+65%,0,-100%,0,-100%,0,-100%,"1,25",-48%,"0,5",-48%,9,-22%,C,-22%,,,,,,,,,,,,,,,,,
44,Vegenaise grapeseed oil - Follow Your Heart - 340g,0049568023403,['Follow Your Heart'],,,,['France'],[],,,[],,,,,,,,,,?,,623,,2607 kj(623 kcal),,67,,"6,4",,"3,4",,"2,3",,"1,7",,"1,3",,"0,52",,,,,,,,,,,,,,340 g,,,,,,,,
