,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,nova_score,markets,additives,allergens,generic_name,brand_owner,palm_ingredients
0,Pavé bio,3602826501708,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kalfany Waldbeeren Bonbons Dose,4002590000022,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brut Dargent,3263287626029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Choconuts - Edeka - 110g,4311501666913,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['France'],[],[],?,573,"38,6",42,"11,8",110 g,['Wiederverschließbare Plastiktüte'],['Edeka'],"['Snacks', 'Snacks sucrés']",38.6 g,en quantité élevée,18.5 g,en quantité élevée,38.3 g,en quantité élevée,0.4 g,en quantité modérée,,+28%,2397 kj(573 kcal),+28%,+90%,"18,5",+86%,-27%,"38,3",+8%,+98%,"0,4",+5%,"0,16",+5%,21,+11%,E,+11%,,,,,,,,,,,,,,,,,,,
4,Duo de saumon aux tomates séchées et figues,3760252552029,,['France'],[],[],?,194,12,"9,6",11,,,,,,,,,,,,,,,812 kj(194 kcal),,,"4,7",,,"5,6",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
5,Chocolat lait miel,3760081901128,,['France'],[],[],?,567,37,52,"6,7",,,,,,,,,,,,,,,2372 kj(567 kcal),,,22,,,50,,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,
6,Miel de lavande maritime - Baramel,3594480005084,"['Bio', 'Bio européen']",['France'],[],[],?,?,?,?,?,,,['Baramel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
7,Chamia,6194036800438,,['France'],[],[],?,550,30,50,15,,,,,,,,,,,,,,,2301 kj(550 kcal),,,5,,,30,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
8,Flocons d'avoine complet - Metro Chef,3439495209679,,['France'],[],[],?,377,"7,1",62,11,,,['Metro Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",7.1 g,en quantité modérée,1.3 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,,+2%,1577 kj(377 kcal),+2%,+0%,"1,3",+4%,+4%,1,-39%,-11%,0,-100%,0,-100%,0,,B,,B,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,
9,Le jardinier glacier,3760123952101,,['France'],[],[],?,120,"0,12","28,47","0,33",,,,,,,,,,,,,,,502 kj(120 kcal),,,"0,01",,,"26,67",,,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,
10,Mezcla De Tés Verdes Y Menta Piperita Aromatizada - Sabor Menta,4055233730909,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Whey Isolate Zero - Prozis,5600380892995,,['France'],[],[],?,353,1,"3,9",82,,,['Prozis'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",1 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en faible quantité,0.4 g,en quantité modérée,,-5%,1477 kj(353 kcal),-5%,-77%,"0,5",-71%,-45%,"1,4",-55%,+16%,"0,4",-47%,"0,16",-47%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
12,3000048035832,3000048035832,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ringo vaniglia,8013355997323,,['France'],[],[],?,495,22,"67,2","5,5",,,,,,,,,,,,,,,2071 kj(495 kcal),,,"3,8",,,29,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,
14,30g,3760162130201,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yaourt nature,3770003164081,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Confiture orange bio,3770002754184,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Confit de gesiers de canard du Sud-ouest - Reflets de France,3560071114794,['IGP'],['France'],[],[],?,?,?,?,?,,,['Reflets de France'],"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3660005955315,3660005955315,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,J'en rougis Detox,3401560192506,,['France'],[],[],?,42,0,"10,1","1,1",,,,,,,,,,,,,,,176 kj(42 kcal),,,0,,,7,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,Jambon traditionnel - Saint Alby,2205889002833,,['France'],[],[],?,125,"4,5",1,20,,,['Saint Alby'],,,,,,,,,,,,523 kj(125 kcal),,,"1,5",,,"0,5",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,
21,Muesli 4 Céréales & Fruits - Grillon d'Or - 500g,3421557107368,['Agriculture UE/Non UE'],['France'],"[""Flocons d'avoine completsflocons de blé completsflocons de seigle completsflocons d'orge completsgraines de tournesolraisins secsfigues séchéesdates séchéeskashaamandes toastées""]",[],?,377,"9,1",58,11,500g,['500g'],"[""Grillon d'Or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",9.1 g,en quantité modérée,1 g,en faible quantité,10 g,en quantité modérée,0.01 g,en faible quantité,,-5%,1577 kj(377 kcal),-6%,-14%,1,-63%,-6%,10,-44%,+15%,"0,01",-93%,"0,004",-93%,-4,-217%,A,-217%,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,['France'],http://www.grillondor.bio/produit/muesli-4-cereales-fruits,,,,,,,,,
22,480ML Sauce Barbecuz Piquantz Dom Duarte,5608771080617,,['France'],[],[],?,35,"1,3","4,6","1,1",,,,,,,,,,,,,,,146 kj(35 kcal),,,"0,4",,,"3,4",,,"0,69",,"0,276",,,,,,,,,,,,,,,,,,,,,,,,
23,Tofita,6111025020516,,['France'],[],[],?,0,"2,6","42,5",0,,,,,,,,,,,,,,,0 kj(0 kcal),,,"1,2",,,26,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
24,Crepes froment,3276554655769,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8414260177167,8414260177167,,['France'],[],[],?,311,"0,01","78,2","0,8",,,,,,,,,,,,,,,1301 kj(311 kcal),,,0,,,75,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
26,sucrine bio x 2 - Rosée des Champs,3301079950355,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,,"['X2', 'Plastique']",['Rosée des Champs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,['Maine et Loire'],,['France'],"['EMB 49135', 'Feneu (Maine-et-Loire, France)']",,,,,,,
27,Elixir Du Suédois 40° - 350 ML - Laboratoire Saint-benoît,3389176556076,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,525 Sardines In Tomato Gold,6118000100157,,['France'],[],[],?,260,18,0,23,,,,,,,,,,,,,,,1088 kj(260 kcal),,,"2,5",,,0,,,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,,,,
29,Flaming Hot Chilli Sauce - 220g,0732346473414,,['France'],[],[],?,34,"0,4","6,6","0,8",220 g,,,,,,,,,,,,,,142 kj(34 kcal),,,0,,,6,,,"6,27",,"2,508",,,,,,,,,,,,,,,,,,,,,,,,
30,Miel - miel garrigues,3760211930417,,['France'],[],[],?,?,?,?,?,,['pot 400g'],['miel garrigues'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de thym']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['saussan 34'],,,,,,,,,,
31,Endives Ma Dame,3770014188540,,['France'],[],[],?,17,"0,2","3,4","1,2",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",0.2 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0.22 g,en faible quantité,,+6%,71 kj(17 kcal),+3%,-43%,0,-100%,+45%,"0,2",-85%,+9%,"0,22",-7%,"0,088",-7%,-5,,A,,B,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,,,
32,Cervela fumé,5425007000696,,['France'],[],[],?,286,24,"4,7","2,1",,,,,,,,,,,,,,,1197 kj(286 kcal),,,"9,1",,,"2,2",,,"1,56",,"0,624",,,,,,,,,,,,,,,,,,,,,,,,
33,Maxi cookies bio - Leaderprice - 185g,3263852938410,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,508,27,58,"6,5",185 g,,['Leaderprice'],,,,,,,,,,,,2125 kj(508 kcal),,,10,,,31,,,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,
34,Saucisses de volaille aux Lentilles,3261831200275,,['France'],[],[],?,84,"2,4","8,3","7,2",,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles']",2.4 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en faible quantité,0.85 g,en quantité modérée,,-39%,351 kj(84 kcal),-39%,-64%,"0,7",-72%,+3%,"0,5",-38%,-10%,"0,85",-10%,"0,34",-10%,0,-100%,B,-100%,C,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,
35,Conchiglioni n 39 - Savino pasta - 500g,3580281186398,['Fabriqué en Italie'],['France'],"['semoule de blé dur de qualité supérieure', "" Traces possitbles d'oeuf et de soja""]",[],?,?,?,?,?,500 g,['Plastique'],"['Savino pasta', 'Savino']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
36,Ma tarte au libouli,3424740080011,,['France'],[],[],?,209,"6,2","31,3","6,6",,,,,,,,,,,,,,,874 kj(209 kcal),,,"3,3",,,"16,1",,,"0,12",,"0,048",,,,,,,,,,,,,,,,,"['FR 59.502.030 CE', 'Rieux-en-Cambrésis (Nord, France)']",,,,,,,
37,Caldo casero de cocido con pelotas - Precoan,8425324500234,,['France'],[],[],?,147,"4,76",3,"6,81",,,['Precoan'],,,,,,,,,,,,615 kj(147 kcal),,,"0,8",,,"1,58",,,"1,28",,"0,512",,,,,,,,,,,,,,,,,,,,,,,,
38,Cornichons tranchés - Kühne - 330,0039045401176,,['France'],[],[],?,7.5,0,2,"0,1",330,,['Kühne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons aigres-doux']",,,,,,,,,,,31 kj(7 kcal),,,0,,,"1,5",,,"0,388",,"0,155",,,,,,,,,,,,,,,,,,,,,,,,
39,Allioli - Chovi - 190g,11024613,,['France'],['huile de tournesol 81%oeuf 6 %jus de citron concentré sorbate de potassium'],[],?,746,82,"1,3","1,1",190 g,['Pot'],['Chovi'],"['Epicerie', 'Sauces', 'Aïolis']",82 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+22%,3121 kj(746 kcal),+24%,+25%,10,+47%,-64%,0,-100%,-23%,"1,3",+2%,"0,52",+2%,23,+26%,E,+26%,C,81.4%,9.6%,3.6%,3.4%,1.6%,0.4%,47,['Espagne'],,['Espagne'],['L11911657'],,['Intermarché'],,,,,
40,Viande bovine os a moelle a bouillir,0204016013911,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Saint Albray - 310g,3222110031225,,['France'],[],[],?,365,33,"0,5",17,310 g,['Frais'],"['Saint Albray', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France']",33 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,+8%,1527 kj(365 kcal),+8%,+21%,24,+30%,-35%,"0,5",+16%,-23%,"1,3",-7%,"0,52",-7%,14,-2%,D,-2%,B,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['France', 'Lait origine France']",,,,,,,,
42,BBQ Marsh Mallows,8713305810732,,['France'],[],[],?,334,0,79,"3,6",,,,,,,,,,,,,,,1397 kj(334 kcal),,,0,,,71,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,
43,Pizza chèvre tomate - SDB Traiteur - 500g,3573400004925,,['France'],"['Fond 42% ', 'farine de blé', 'eau', 'sel', 'huile de tournesol', 'Levure', 'farine de blé malté', 'tomate 15%', 'sauce pizza ', 'Légumes réhydratés', 'amidon modifié', 'sel', 'maltodextrine', 'poudre de LAIT réhydratée', 'fibre végétale', 'épices et herbes', 'amidon', 'sucre caramelisé', 'colorant : E160c', ""extrait d'épice"", 'mozzarella ', 'LAIT pasteurisé', 'sel', 'ferments LACTIQUES', 'Coagulant', 'anti-agglomérant : amidon de pomme de terre', 'jambon supérieur ', 'jambon de porc origine France 91%', 'eau', 'sel', 'arômes naturels', 'sirop de glucose', 'conservateurs : E250', 'E316', 'fromage de chèvre 7% ', 'LAIT pasteurisé', ' olives ', 'contient sel', 'stabilisant : E579', 'basilic', ' \rDosette huile : huile de colza', 'extrait naturel de piment']",['Non végétalien'],?,185,"5,3",24,"9,2",500 g,['Frais'],['SDB Traiteur'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage']",5.3 g,en quantité modérée,3 g,en quantité modérée,1.6 g,en faible quantité,1.2 g,en quantité modérée,,-24%,774 kj(185 kcal),-24%,-44%,3,-40%,-11%,"1,6",-44%,-17%,"1,2",-2%,"0,48",-2%,4,-60%,C,-60%,B,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,['Avelin'],,,"['FR 59.034.001 CE', 'Avelin (Nord, France)']",4,['Intermarché'],"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E579 - Gluconate de fer']","['Gluten', 'Lait']",,,
44,Assortiment Vienoiserie,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ratafia,3760035170518,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mini grissini artigianali - Florelli - 150g,3760077537287,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,414,"8,4",72,11,150 g,,['Florelli'],,,,,,,,,,,,1732 kj(414 kcal),,,"1,3",,,"1,7",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
47,Tarte aux pommes,3250392804404,['Bio'],['France'],[],[],?,216,"6,1",36,"3,1",,,,,,,,,,,,,,,904 kj(216 kcal),,,"3,7",,,22,,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,
48,Mermelada Extra De Fresa Con Miel,8410095506066,,['France'],[],[],?,146,0,35,"0,5",,,,,,,,,,,,,,,611 kj(146 kcal),,,0,,,"33,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
49,poivre blanc moulu - BioWagner - 59g,4001639184365,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['poivre blanc moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,59 g,['pot verre'],['BioWagner'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Inde'],,1,['Leclerc'],,,,,
50,asperges blanches,3760084451231,,['France'],[],[],?,99,"0,6","2,4","2,1",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",0.6 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,0.72 g,en quantité modérée,,+421%,414 kj(99 kcal),+438%,+141%,"0,1",+199%,+23%,1,-15%,+43%,"0,72",-9%,"0,288",-9%,-2,,A,,C,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,
51,Huile de sesame,3379145033721,,['France'],[],[],?,900,100,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,3766 kj(900 kcal),+5%,+4%,14,-5%,-100%,0,-100%,-100%,0,-100%,0,-100%,11,-4%,D,-4%,C,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,
52,Tarte au poires,3456580051142,,['France'],[],[],?,258,12,33,4,,,,,,,,,,,,,,,1079 kj(258 kcal),,,"3,3",,,17,,,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,
53,Halvas - 200,5200305011069,,['France'],"['ταχίνι ', 'αλεσμένο σουσάμι', ' ', 'σιρόπι σακχάρων ', 'γλυκόζη', ' φρουκτόζη', ' μερικς υδρογονωμένο φοινικέλαιο', 'ανάμεικτοι ξηροί καρποί ', 'καρύδι 1,5% ', 'αμύγδαλο 1,5%', 'φιστίκι κελυφωτό 1%', 'φιστίκι αράπικο 2 ', ' ', ' αρωματική ύλη βανιλίνης', 'τσουένι ΑΝΑ 100g PER 100 g ΔΙΑΤΡΟΦΙΚΗ ΔΗΛΩΣΗ NUTRITIΟN DECLARATION ενέργεια / energy 2313/kJ']",[],?,?,?,?,?,200,,['Halvas'],['en:Nougat grec'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
54,Dhosa mix flour - Jalpur,5028881010425,['Sans conservateurs'],['France'],"['Matpe Bean', 'Rice']",[],?,?,?,?,?,,,['Jalpur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
55,9782317011412,9782317011412,,['France'],[],[],?,?,?,?,?,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Battonets de poisson pané - Bofrost - 500g,0015869113396,"['Pêche durable', 'Pêche durable MSC']","['France', 'Allemagne']",[],[],?,179,"6,8","8,8","20,5",500g,,['Bofrost'],,,,,,,,,,,,749 kj(179 kcal),,,"1,1",,,"8,6",,,1,,"0,4",,,,,,,,,,,,,,,,,['DE HB-00183 EG'],,,,,,,
57,Fruits pâte amande,8716618432943,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Penne aux petits pois - Kazidomi - 250g,1000000000003,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', '100% végétal', 'Riche en fibres', 'Riche en protéines', 'Sans OGM', 'Riche en protéines végétales', 'Riche en vitamine B', 'Fabrication artisanale', 'Tréfilage au bronze']",['France'],"['Farine de petits pois* ', '100%', 'eau \r ', ""*issu de l'agriculture biologique""]","['Végétalien', 'Végétarien']",?,335,"1,8",55,20,250 g,"['Plastique', 'Sec']",['Kazidomi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Penne', 'Penne rigate', 'Pâtes de légumes', 'en:Penne Rigate sans gluten']",1.8 g,en faible quantité,0.4 g,en faible quantité,2.6 g,en faible quantité,0.01 g,en faible quantité,,+10%,1402 kj(335 kcal),+10%,-44%,"0,4",-24%,+31%,"2,6",+1%,+16%,"0,01",-78%,"0,004",-78%,-6,,A,,,,,,,,,,['Piémont'],https://www.kazidomi.com/fr/pates-sans-gluten/6469-kazidomi-penne-de-petits-pois-bio-250g.html,,,1,['Kazidomi'],,,Spécialité alimentaire composée de légumineuses biologiques,,
59,2800338006105,2800338006105,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amandes naturelles,0059749963053,,['France'],[],[],?,580,50,20,20,,,,,,,,,,,,,,,2427 kj(580 kcal),,,4,,,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
61,Mini Hot Dogs,3422825966502,,['France'],[],[],?,226,"8,5",27,11,,,,,,,,,,,,,,,946 kj(226 kcal),,,"3,1",,,"7,1",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,
62,Financier nature,0206232020339,,['France'],[],[],?,400,24,40,"5,2",,,,,,,,,,,,,,,1674 kj(400 kcal),,,11,,,33,,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,
63,Les crozets aux châtaignes - Alpina Savoie,3252970010306,,['France'],[],[],?,331,"2,5",63,12,,,['Alpina Savoie'],,,,,,,,,,,,1385 kj(331 kcal),,,"0,5",,,4,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
64,Cappuccino WHITE CHOCO - Nescafé,7613035854079,,['France'],[],[],?,427,11,73,"8,1",,,['Nescafé'],,,,,,,,,,,,1787 kj(427 kcal),,,"9,1",,,57,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
65,4100770020294,4100770020294,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Lindor Dunkle Mischung - Lindt,4000539103223,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,['Lindt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Edel-Schinkensülze - Zerbster Original - 200g,4024722111086,,"['France', 'Allemagne']",[],[],?,?,?,?,?,200 g,['Kunststoff'],['Zerbster Original'],"['Viandes', 'Charcuteries']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mini-Cookies Veggie,3770002558706,"['Bio', 'Végétarien', 'Végétalien', 'Sans additifs', 'en:palm-oil-free']",['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,572,27,57,"9,6",,,,,,,,,,,,,,,2393 kj(572 kcal),,,19,,,24,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
69,Demi Lune cèpes parmesan lot de 2+1 - Lustucru - 2x 250g,3240931543062,['Fabriqué en France'],['France'],[],[],?,256,10,32,"8,4",2 x 250 g,,['Lustucru'],,,,,,,,,,,,1071 kj(256 kcal),,,"3,6",,,2,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
70,Apero languedocien - 250g,3527170000502,,['France'],[],[],?,?,?,?,?,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Breizh'n'chips,3760130630085,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Apérivrais - saveurs de Provence + au goût frais de chèvre - 200g (2*100g),3480341002784,,['France'],[],[],?,327,31,3,9,200g (2*100g),['Frais'],"['Apérivrais', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fondue', 'Fromages apéritif']",31 g,en quantité élevée,22 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,,+15%,1368 kj(327 kcal),+17%,+27%,22,+37%,-31%,3,-22%,-15%,"1,3",-20%,"0,52",-20%,14,-7%,D,-7%,D,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,,,,,,,,,
73,Bonbons miel nature,3260260212385,,['France'],[],[],?,400,"0,5",98,"0,5",,,,,,,,,,,,,,,1674 kj(400 kcal),,,"0,1",,,66,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
