,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
0,Nouilles soba,8514282816362,['France'],[],[],?,340,1423 kj(340 kcal),"0,5","0,3",72,47,11,"1,67","0,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Viande hachee halal,8201980228886,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Escalope de dinde,2860181015488,['France'],[],[],?,105,439 kj(105 kcal),1,"0,3",0,0,24,"0,18","0,072",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,,-13%,-13%,-24%,-26%,-100%,-100%,+5%,-68%,-68%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
3,Sirop cocktail fruits rouges ( Red Berries syrup ),05274079,['France'],[],[],?,39,163 kj(39 kcal),0,0,"84,5","78,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fusillis,3760323480183,['France'],[],[],?,381,1594 kj(381 kcal),"4,72","1,34",68,"2,19","15,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sauce Arabiata,3700662734448,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ty Mag EffiNov,3760195481516,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Filet de poulet,0217885082919,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
8,"Poulpe entier, nettoyé",3700818905838,['France'],[],[],?,63,264 kj(63 kcal),1,"0,2","2,2",0,13,"0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.667.121 CE', 'Portel (Pas-de-Calais, France)']",,,,,,,,,,,,,
9,Huile BIO de tournesol,3760091744432,['France'],[],[],?,900,3766 kj(900 kcal),100,"10,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Black test,5999076233397,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,brownies,2644862023616,['France'],[],[],?,469,1962 kj(469 kcal),"29,4","6,2","43,7",35,"5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pave de dinde,0200274027554,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,reblochon fermier,2218870046709,['France'],[],[],?,329,1377 kj(329 kcal),27,18,"0,5",0,21,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Doomino,5166035191,['France'],[],[],?,467,1954 kj(467 kcal),27,"3,5",52,31,"6,6","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Chipolatas aux herbes -,0261377022709,['France'],[],[],?,210,879 kj(210 kcal),"15,1","6,2","2,1",0,"16,5","1,5","0,6",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,15.1 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-16%,-15%,-25%,-19%,+65%,-100%,+10%,-15%,-15%,14,-19%,D,-19%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,"['FR 33.036.007 CE', 'Bazas (Gironde, France)']",,,,,,,,,,,,,
16,Polenta cuisinée - U,2615816018965,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U'],,,,,,,,,,,,
17,Alb-gold Hausmacher Eiernudeln Königsspätzle 500 g,4018722102618,['France'],[],[],?,369,1544 kj(369 kcal),"3,3","0,9",68,"2,5",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,41917794,41917794,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jambon à l’ancienne,2453637030311,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Prugne extra large,8001735002811,['France'],[],[],?,230,962 kj(230 kcal),"0,5","0,1",51,51,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Miel de fleurs d'été,0710535834413,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Légumes pour couscous,3193840012788,['France'],[],[],?,29,121 kj(29 kcal),"0,4",0,"3,9","2,2","1,3","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sorbier AOP doux,2488821025781,['France'],[],[],?,363,1519 kj(363 kcal),30,21,"1,3","0,5",22,"1,58","0,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,,
24,Saucusson brioché,3701027900171,['France'],[],[],?,326,1364 kj(326 kcal),"22,4","10,7",9,"3,1","12,5","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Émincés fumés - Héritage - 150g,3348580072862,['France'],[],[],700,168,700 kj(168 kcal),?,,"0,8","0,7",19,"2,2","0,88",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",,,,,,0.7 g,en faible quantité,2.2 g,en quantité élevée,-34%,-37%,-36%,,,-3%,+9%,+16%,-17%,-17%,,,,,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,['Héritage'],150g,['Plastique'],['en:porc français'],,,,,,,,,
26,Filet de porc saumuré étuvé fumé,0278401048611,['France'],[],[],?,141,590 kj(141 kcal),"6,3","2,9","1,2","0,9",20,"1,89","0,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Selection uva tinta,8410707001590,['France'],[],[],?,39,163 kj(39 kcal),"0,1",0,93,82,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Miel de printemps bio,3760252935280,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ron de Guatemala Sistema 18 Solera - Botran - 700ml,7401005012853,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Rhums vieux']",,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,['Botran'],700 ml,['Verre'],['Guatemala'],,,,,,,,,
30,Pois chiches,3363290313395,['France'],[],[],?,346,1448 kj(346 kcal),"4,6","0,7","48,2","2,8","23,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fanta Exotic,5000112546835,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jarret de porc,2227430031420,['France'],[],[],?,115,481 kj(115 kcal),"3,2","1,2","0,5","0,5",21,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Guilauve fantaisie,3608129025064,['France'],[],[],?,408,1707 kj(408 kcal),11,"6,5",75,58,"3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Marmelade citron,3760225440469,['France'],[],[],?,215,900 kj(215 kcal),"0,1","0,1","53,4","52,2","0,2","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pain aux pruneaux sans gluten bio,5060509390267,['France'],[],[],?,373,1561 kj(373 kcal),26,"1,85",17,"2,3",10,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Rillettes de truite,3760186360004,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pasta italiana spaghettini,8433329090193,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,3",70,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Crunch Pint Classic,4061458092005,['France'],[],[],?,279,1167 kj(279 kcal),16,10,"30,7",27,"2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yumi coup de soleil,3760099400576,['France'],[],[],?,46,192 kj(46 kcal),"2,5","0,2","10,5","8,4","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ananas entier,3700758144670,['France'],[],[],?,?,,?,,?,,?,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Seitan,2550208002767,['France'],[],[],?,144,602 kj(144 kcal),"4,6","0,3","6,2","0,5",19,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hachis parmentier,2274920065533,['France'],[],[],?,191,799 kj(191 kcal),"12,7","6,8","11,3","1,7","7,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mortadelle italienne,2228591026577,['France'],[],[],?,274,1146 kj(274 kcal),"22,4","7,71","0,5","0,5","14,7","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 12063', 'Cavalerie (Aveyron, France)']",,,,,,,,,,,,,
44,Amande sucree sesame,2600302032808,['France'],[],[],?,539,2255 kj(539 kcal),30,10,51,41,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Brisures de bonbons pour infusion parfum fruits rouges,16500006,['France'],[],[],?,385,1611 kj(385 kcal),"0,5","0,1",96,66,"0,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Baies de goji séchées,2600328025587,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hydrator Berry,0838766007625,['France'],[],[],?,178.5714,747 kj(178 kcal),0,0,0,0,0,"20,536","8,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Miel d’eucalyptus bio,3110770440351,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dren fast,8052462907788,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Plasmon,8001040418963,['France'],[],[],?,80,335 kj(80 kcal),"0,7","0,2","17,5","16,2","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Salade de la mer,2100000616633,['France'],[],[],?,189,791 kj(189 kcal),23,"1,4",19,"2,9",17,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bière blanche 1664,3080216051529,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Lemoniada,5900352010014,['France'],[],[],?,35,146 kj(35 kcal),0,0,"8,6","8,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Dren fast,8054113001869,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Risotto tomate et poivron rouge,3456300014334,['France'],[],[],?,100,418 kj(100 kcal),"3,8","1,6",14,"2,3",2,"0,61","0,244",,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Le Torchenay,0209538010301,['France'],[],[],?,137,573 kj(137 kcal),"6,2","2,8","0,7","0,7","19,8","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Easter bunny crumpets,29143580,['France'],[],[],?,185,774 kj(185 kcal),"0,4","0,09","39,2","2,1","6,11","1,05","0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Biosteel hydration mix,0883309664872,['France'],[],[],?,71.4286,299 kj(71 kcal),0,0,"14,286",0,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Wakame,4045198924123,['France'],[],[],?,68,285 kj(68 kcal),2,0,10,8,1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Saumon fumé,3760261180268,['France'],[],[],?,167,699 kj(167 kcal),"9,7","1,7",0,0,19,"2,5",1,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,9.7 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,2.5 g,en quantité élevée,,-10%,-10%,-8%,-17%,-100%,-100%,-14%,-11%,-11%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
61,Moulis vache,0200335027486,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Infusion digestion légère,3456300013719,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Weight Gain 3000 - 1.3 KG Chocolat,5425002400248,['France'],[],[],?,390,1632 kj(390 kcal),"1,8","1,1",79,"39,9","12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Saumon Fumé,2282180130861,['France'],[],[],?,169,707 kj(169 kcal),"9,11","2,45",0,0,"21,8","1,44","0,576",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,9.11 g,en quantité modérée,2.45 g,en quantité modérée,0 g,en faible quantité,1.44 g,en quantité modérée,,-9%,-9%,-13%,+19%,-100%,-100%,-1%,-49%,-49%,5,-62%,C,-62%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
65,pasta di semoula di grando duro,3770016489041,['France'],[],[],?,356,1490 kj(356 kcal),"1,5","0,3","72,2",3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Jambon blanc bio,2211211034960,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Creme de marron,2456356004694,['France'],[],[],?,248,1038 kj(248 kcal),"0,5","0,1",60,"53,2","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jambon cru italien,2874252026709,['France'],[],[],?,242,1013 kj(242 kcal),14,"5,1",0,0,29,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Vin,3045710039565,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Soja nature - U,256221416114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U'],,,,spécialité fermentée au soja nature,,,,,,,,
71,Tuc Original - Lu,54100410012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lu'],,,,,,,,,,,,
72,Patatine tortilla gusto formaggio - 200g,8002183018829,['France'],[],[],?,479,2004 kj(479 kcal),20,2,67,"3,1","5,9","0,75","0,3",,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",['Sans gluten'],20 g,en quantité modérée,2 g,en quantité modérée,3.1 g,en faible quantité,0.75 g,en quantité modérée,,-7%,-7%,-32%,-35%,+24%,+32%,+3%,-44%,-44%,6,-49%,C,-49%,,,,,,,,,,200 g,,,,,,,,,,,
73,Crème fouettée artisanale sur lit de myrtille LA HULOTTE 15cl,3426720000170,['France'],[],[],?,288,1205 kj(288 kcal),"22,1","14,4","18,6","16,9",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Iso food supplement,5999886331528,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Caramel sale,0637913687679,['France'],[],[],?,516,2159 kj(516 kcal),"38,7","12,1","1,2","1,2","18,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Miel d acacia,3770011713035,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
77,Taleggio Dop,20360825,['France'],[],[],?,?,,?,,?,,?,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mild Curry Sauce,0073141560047,['France'],[],[],?,110,460 kj(110 kcal),8,5,10,3,1,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Jumbo pica fresa,01084350638183231000721,['France'],[],[],?,377,1577 kj(377 kcal),"1,8","1,6",90,45,"0,5","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Hendricks Schottischer Dry Gin 44% Vol. 1,75 L",5010327751009,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,,,,
81,Grissini artigianali,8050519240840,['France'],[],[],?,421,1761 kj(421 kcal),"7,7","1,2",75,"2,7",11,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Gebrannte Mandeln,4000161750710,['France'],[],[],?,495,2071 kj(495 kcal),23,"3,2",60,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Flan,0257281028869,['France'],[],[],?,179,749 kj(179 kcal),"6,7","3,5",26,17,"3,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Le dolcezze dell'aurora,8000590113212,['France'],[],[],?,469,1962 kj(469 kcal),"17,5","1,7",69,22,"7,5","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Filet de poulet jaune fermier de Vendée,2860487029523,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
86,Pomme,5450605000007,['France'],[],[],?,76,318 kj(76 kcal),0,0,17,16,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Jagery,4792165014010,['France'],[],[],?,378.2,1582 kj(378 kcal),0,0,"93,9","36,6","0,01","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Fresh chorizo,0028364123609,['France'],[],[],?,314.2857,1315 kj(314 kcal),"24,286","8,571","1,429","1,429",20,"2,357","0,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Dolce Limone,0666530000288,['France'],[],[],?,240,1004 kj(240 kcal),9,4,32,21,4,"0,162","0,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Parmigiano reggiano,0060383018078,['France'],[],[],?,60,251 kj(60 kcal),4,"2,5",0,0,5,"0,225","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Lotus yunnan tuocha tea -,3760249070185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Garofalo pennoni rigati - 500g,8000139934872,['France'],"['100% Semoule de BLE dur de qualité supérieure', ' Peut contenir du soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1489,351,1489 kj(351 kcal),1,0,70,3,14,0,0,,,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Garofalo'],500 g,['Enveloppe'],,Pâtes alimentaires de qualité supérieure,['Gluten'],,,,,,,
93,Panzani vermicelles coupés fins qualité supérieure 5kg - 5000g,3038350061409,['France'],"['100% semoule de BLE dur de qualité supérieure', "" Peut contenir des traces d'œufs"", ' Contient du gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1531,361,1531 kj(361 kcal),2,"0,4",72,"3,7",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,Pâtes alimentaires de qualité supérieure,['Gluten'],,,,,,,
94,PZ RIZ THAI TA 5kg MAESTRO - Pz maestro - 5000g,3017491795008,['France'],['Riz Thaï long grain Naturellement Parfumé'],[],1479,348,1479 kj(348 kcal),"0,6","0,2",78,"0,1","7,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pz maestro'],5000 g,['Sac'],,Riz Thaï long grain Naturellement Parfumé,,,,,,,,
95,Panzani capellini 500g lot de 6 - 3000g,3038350205063,['France'],['100% Semoule de BLE dur de qualité supérieure'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1531,361,1531 kj(361 kcal),2,"0,4",72,"3,7",12,0,0,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],3000 g,['Enveloppe'],,Pâtes alimentaires de qualité supérieure,['Gluten'],,,,,,,
96,P+ GRATIN DE PDT 5X750g C1 - Panzani + - 3750g,3038354100104,['France'],"['Pommes de terre Peut contenir du lait', 'des œufs', 'du soja', 'du gluten', 'du céleri', 'de la moutarde et des sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1554,367,1554 kj(367 kcal),0,0,80,"1,7","6,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],3750 g,['Film'],,rondelles de pommes de terre pour gratin réhydratables,,,,,,,,
97,Panzani torti aux oeufs 5kg - 5000g,3038350943606,['France'],"['Semoule de BLE dur de qualité supérieure', 'OEUFS ', '14%', ' contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1543,364,1543 kj(364 kcal),"3,3","0,9",68,3,14,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,Pâtes alimentaires aux œufs frais,"['Œufs', 'Gluten']",,,,,,,
98,Panzani alphabet qualité supérieure 5kg - 5000g,3038350060204,['France'],"['100% semoule de BLE dur de qualité supérieure', "" Peut contenir des traces d'œufs"", ' Contient du gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1531,361,1531 kj(361 kcal),2,"0,4",72,"3,7",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,Pâtes alimentaires de qualité supérieure,['Gluten'],,,,,,,
99,Panzani sauce tomate cuisinee aux legumes boite 3/1 - 2800g,3038353130607,['France'],"['Eau', 'purée de tomates 23', '5%', 'légumes 7', '9% ', 'carottes', 'oignons', 'huile de tournesol', 'amidon transformé', 'sel', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",258,62,258 kj(62 kcal),"2,8","0,3",7,"4,8","1,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],2800 g,['Boite'],,Sauce tomate cuisinée aux légumes,['Céleri'],['E14XX - Amidons modifiés'],4,,,,,
100,Panzani perle qualité supérieure panzani+ 5kg - 5000g,3038359002458,['France'],"['100% semoule de BLE dur de qualité supérieure', "" Peut contenir des traces d'œufs"", ' Contient du GLUTEN']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,Pâtes alimentaires de qualité supérieure,['Gluten'],,,,,,,
