,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,manufacturing,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,markets,allergens,traceability_code,link,additives,generic_name,palm_ingredients
1065,Dattes branchees,2600120011283,['France'],[],[],?,329,"0,4",75,"2,4",1377 kj(329 kcal),0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Filets de sole,0201736111910,['France'],[],[],?,82,"1,4",0,"17,5",343 kj(82 kcal),"0,3",0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Filets de poulet,0219965030506,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1068,Palette à la diable,0290704073602,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Confiture,3760263750339,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Filet maquereau fumé,0225293018833,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Brasse pur brebis,3250392978211,['France'],[],[],?,97,"6,6","4,1","5,3",406 kj(97 kcal),"4,9","2,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Miso,4902401509587,['France'],[],[],?,198,"6,1","23,9",11,828 kj(198 kcal),"0,97","6,72","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Roasted sunflower seeds,6924187872844,['France'],[],[],?,609,"47,5","8,2","29,3",2548 kj(609 kcal),"6,1","3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Crabe des neiges de l’antarctique,3329150380396,['France'],[],[],?,86,"1,1","0,5",19,360 kj(86 kcal),"0,4","0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,MÉLANGE PEPS,2600697046312,['France'],[],[],?,575,46,20,18,2406 kj(575 kcal),"4,5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Biscuits Avoine Raisin,3770019644003,['France'],[],[],?,437,"17,1","58,9","8,4",1828 kj(437 kcal),"1,5",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,La Patelière - levure boulangère - 27g,19303325,['France'],"['Levure Saccharomyces cerevisiae*', ' *Ingrédient issu de Agriculture Biologique', ' Traces éventuelles de blé', ' N° de lot / ´']",[],?,?,?,?,?,,,,,,27 g,['Papier'],['levure boulangère'],"['Additifs alimentaires', 'Levures de boulanger']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Codom (32100)'],,,,,,,,,,,,,,,,,,,,,,,,A,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,['France'],['Intermarché'],,['FR BIO 01'],http://www.lapateliere.com,,,
1078,Miel de printemps,3770012267087,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Tartinable courgettes basilic et graines de tournesol,3770014097040,['France'],[],[],?,115,8,"4,4","4,2",481 kj(115 kcal),"1,1","1,5","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,brioche tressée - pasquier - 500gr,3256540002876,['France'],"['KO 브리오슈트레쎄 i oche squier 식품위생법에 의한 한글표시사항 제품명: |브리오슈트레쎄 e it all began quier', 'opened his bakery in the ueux', 'located in the Loire region nary expertise and savoir-faire grew quier', ' Today', 'we remain faithful to baking delicious brioche', 'patisserie re enjoyed around the world', ' a snack', 'or for dessert', 'will join you at any time help you create all ecial moments', ' 식품유형: |빵류', '가열하지않고 섭취하는 냉동식 품', ' 원재료명 : |밀가루,계란,스타터 ', '밀가루,정 제수,정 제소금] |농축버터', '우유', ',유채유,효모,글리세린지방산에스 |정제소금,밀글루텐,구아검,정 제수,당근추출 |합성향료', '오렌지꽃향', ',비타민C 제조원: 원산지: 내용량 : |500g', '1,835kcal', ' 수입원: |', '주', '에스에이치에스 전화:070-7136-5973 BRIOCHE PASQUIER CERQUEUX |프랑스 I Pasquier |경기도 용인시 수지구 신수로 767 유타워 A동 1410A회 교환장소: 1구입처 및 수입원 유통기한: |제품 별도표기일까지', '읽는법:년/월/일', ' 「냉동보관] 보관방법: 1영하18T이하냉동보관', '|본 제품은 이미 냉동된바 있으니 해동후 재냉동시키지 매 해동방법 및 |상온 E는 상에서 4시간 전후로 해동하시는 것이 뤄 섭취방법: 해동후가세 따리드시는 게 좋습니다', ' 포장재질: |폴리프로 |본 제품은 견과류', '호두', '사용한 제품과 같은 제조시설에서 제조 |본 제품은 공정거래위원회 고시 소비자분쟁 해결기준에 의거 교환 또는 보상 *부정 불량식품 신고는 국번없이 1399 1일 영양성분 기준치에 대한 비율 388mg 100g당 기출 14 100g당 영양정보 19% | 지방 총 내용량 500g 나트륨 100g당 탄수화물 16% | 트랜스지방 에 108g 11% | 포화지방 23% | 단백질 523g 367kcal |콜레스테롤 686mg |1일 영양성분 기준치에 대한 비율', '%', '은 2,000kcal 기준이 열량에 따라 다를 수 있습니다']",[],?,?,14,52,"7,8",,,"10,8",,,500gr,['Plastique'],['Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries']",,['France'],,14 g,en quantité modérée,,,10.8 g,en quantité modérée,,,,,,-10%,,+8%,-32%,+7%,,,,,,,,,,,,,,,['France'],,,['BBD'],,,,
1081,Flageolets verts - Moulin des moines,3347430022200,['France'],[],[],?,?,?,?,?,,,,,,,,['Moulin des moines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Biscuits Citron Chia,3770019644027,['France'],[],[],?,432,"15,3","16,9","8,2",1807 kj(432 kcal),"1,5","15,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Coulis de tomate,3460341514142,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Biscuits Orange Sésame,3770019644010,['France'],[],[],?,465,"20,2","58,5","8,7",1946 kj(465 kcal),"1,9","16,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Biscuits avoine amande noisettes - ibo - 500g,3609060004965,['France'],[],[],?,?,"0,1",68,2,,,63,"0,1","0,04",500 g,['Carton'],['Ibo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Fruits et produits dérivés', 'Biscuits et gâteaux', 'Produits déshydratés', 'Biscuits', 'Aliments à base de plantes séchées', 'Fruits secs']","['Bio', 'Commerce équitable', 'Commerce équitable Bio']",['Tunisie'],,0.1 g,en faible quantité,,,63 g,en quantité élevée,0.1 g,en faible quantité,,,,-99%,,+17%,+45%,-51%,+14%,+14%,,,,,B,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Tunisie'],['Biocoop'],,,,,,
1086,Sardines,3700116101673,['France'],[],[],?,220,14,"0,3",22,920 kj(220 kcal),3,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Koko Toko with nata de coco,5060401972851,['France'],[],[],?,20,0,5,0,84 kj(20 kcal),0,"4,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,SALADE COLESLAW,0204636015746,['France'],[],[],?,1,17,5,"1,1",4 kj(1 kcal),"1,3","2,5","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Biscuits Seigle Chocolat,3770019644034,['France'],[],[],?,462,"18,1","63,7","7,3",1933 kj(462 kcal),"2,8","16,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Almo Nature Dailymenu Adult Dog B?uf,8001154121155,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Echine fumee,2866871045001,['France'],[],[],?,351,11,"3,7","0,19",1469 kj(351 kcal),"0,4","2,3","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Tables du Monde,2564756158418,['France'],[],[],?,347,"0,5",84,"0,5",1452 kj(347 kcal),"0,1","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Mini grissini senza glutine,8008696026894,['France'],[],[],?,436,12,78,"2,7",1824 kj(436 kcal),"2,2","0,6","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Coffret cœurs fourrés intense,3703900000008,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Couscous poulet merguez,59160434,['France'],[],[],?,492,"3,5",13,"7,7",2059 kj(492 kcal),1,"1,4","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Thé vert de Chine,5425027600364,['France'],[],[],?,0,"2,3","50,3","34,2",0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,cherry frojo white,8718537848027,['France'],[],[],?,538,32,"55,3","6,9",2251 kj(538 kcal),"19,1","54,4","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,coulis fraise,3102870048209,['France'],[],[],?,136,0,34,0,569 kj(136 kcal),0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Sirop d’agave,20271343,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Complete Shake tout en 1 - complete series,5060343745704,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Mousse de rasage - végétalement Provence - 100ml,3760205283307,['France'],[],[],?,?,?,?,?,,,,,,100 ml,['Plastique'],['végétalement Provence'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Confit de figue à la truffe d'été,3527904430384,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Crêpes au sucre,0204910036085,['France'],[],[],?,257,"5,7",46,"5,5",1075 kj(257 kcal),"3,4",28,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Manger chinois,3379140113060,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Coconut drink,3759140600638,['France'],[],[],?,39,0,"9,5",0,163 kj(39 kcal),0,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Tripes de veau,2204485039038,['France'],[],[],?,78,41,"0,4","10,1",326 kj(78 kcal),17,"0,2","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Complete shake tout en 1,000121805,['France'],[],[],?,1500,"3,8","34,1","58,3",6276 kj(1500 kcal),"2,5","4,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Oeuf en chocolat,8004735112429,['France'],[],[],?,533,"29,3","61,1","5,9",2230 kj(533 kcal),18,"60,7","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Muesli chocolat,2217421035094,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Schtroumpfs confiserie gélifiée fantaisie,2608121024806,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Beignets a la pomme,2836737016407,['France'],[],[],?,328,14,44,"5,5",1372 kj(328 kcal),"1,8",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,"Sablés au sésame, orange et pépites de chocolat",3760023342248,['France'],[],[],?,425,21,51,"6,7",1778 kj(425 kcal),"8,6",24,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Thé de Noel n°25,3700256733314,['France'],[],[],?,1,0,"0,2","0,1",4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Confiture figue et épices bio,3700910205270,['France'],[],[],?,255,"0,1",59,"1,4",1067 kj(255 kcal),"0,1",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Confiture fraise,3770003760108,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Sirop de grenadine Bio,3217690059929,['France'],[],[],?,32.3,"0,5",81,"0,5",135 kj(32 kcal),"0,1",81,,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,-86%,-88%,+350%,+241%,+34%,+38%,+367%,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
1117,Huile de CBD a 5%,3760262600413,['France'],[],[],?,98.46,"99,79",0,"0,08",412 kj(98 kcal),10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Compote,3608580038443,['France'],[],[],?,64,"0,2",14,"0,4",268 kj(64 kcal),0,14,0,0,,['Pot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Fleur de sel,3397660044510,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Kebab de poulet,7436939649639,['France'],[],[],?,256,9,"4,3",38,1071 kj(256 kcal),4,"0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Ciabatta classic,5907653104176,['France'],[],[],?,255,"3,1",50,"4,2",1067 kj(255 kcal),"0,4","2,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Filet de poulet blanc,0215772055695,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1123,18981568,18981568,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Chorizo doux,2688497020015,['France'],[],[],?,476,43,"2,3",20,1992 kj(476 kcal),17,"1,8","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Bûche de chèvre,4056489278504,['France'],[],[],?,308,25,1,20,1289 kj(308 kcal),17,"0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Torta meringata trancio gelo pe persone ca,8031672022870,['France'],[],[],?,1298,18,36,"1,2",5431 kj(1298 kcal),15,35,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Pain de mie tranché sans gluten,3523680303904,['France'],[],[],?,214,"4,4","35,9","3,2",895 kj(214 kcal),"0,6",3,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,3760164640623,3760164640623,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,"soupe comme à la maison - Knorr - 0,45l",0714271689023,['France'],"[""Voici les ingrédients présents dans notre jolie bouteille : de l'eau"", ""de belles tomates' "", '31%', ""de la purée de tomates' double-concentrée "", '10%', ""de l'oignon' "", '9,2%', 'de la CRÊME fraîche', 'un peu de sucre', ""de l'amidon de ET maïs"", 'un peu de BEURRE', ""une pointe de sel et rehaussé LE d'épices et aromate "", ""basilic' "", '0,2%', 'poivre', 'origan', "" Ingrédients issus de l'agriculture durable : 50%"", ' 15']",['Non végétalien'],?,?,"7,9",14,"2,5",,,10,"1,5","0,6","0,45 l",['Verre'],['Knorr'],,"['Peu ou pas de sucre', 'Peu de sucre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,
1130,Champignons de Paris frais,5744913775055,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Knack fumee,2402213038180,['France'],[],[],?,223,19,"0,6","12,5",933 kj(223 kcal),"8,14","0,6","1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Labne Mushroom,8690565021590,['France'],[],[],?,663,14,"4,5",4,2774 kj(663 kcal),"8,7","4,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Sauce soja a teneur en sel reduite - Kikkoman - 25cl,3250391450039,['France'],[],[],?,107,0,"6,9",0,448 kj(107 kcal),0,"3,9","9,1","3,64",25cl,,['Kikkoman'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja salées']",,,,0 g,en faible quantité,0 g,en faible quantité,3.9 g,en faible quantité,9.1 g,en quantité élevée,,+34%,+38%,-100%,-100%,-11%,+26%,-100%,-31%,-31%,11,+32%,D,+32%,B,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,
1134,Lard paysan,0285426058907,['France'],[],[],?,305,22,"0,9",26,1276 kj(305 kcal),8,0,"4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Cure zinc,0701197959804,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Roussette de Savoie,3551490100055,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Butternut Squash & Red Pepper,0074691030219,['France'],[],[],?,36,"0,8","6,8","0,8",151 kj(36 kcal),"0,6","2,4","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Les milanaises fromage frais et fines herbes,2424536024800,['France'],[],[],?,159,5,11,17,665 kj(159 kcal),"3,1",1,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
