,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,additives,eco_score,quantity,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,generic_name,markets,traceability_code,ingredients_origins,link,brand_owner,origin_detail,producer_info
0,Bouillie bio pour bébé - Holle,7640104952930,['Holle'],"['Aliments pour bébé', 'Dès 4 mois', 'Céréales pour bébé']","['Bio', 'Bio-dynamie', 'Demeter', 'Agriculture UE']",['France'],"['farine complète de froment*', 'vitamine B1']",['Sans huile de palme'],1,?,,388,+9%,1623 kj(388 kcal),+23%,"2,2",-3%,"0,6",-18%,"69,6",+10%,"1,6",-88%,"11,4",+54%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"No-muh, rezent/piquant - Vegusto",7640144054038,['Vegusto'],,"['Végétarien', 'Végétalien']",['France'],"['Attejnalivo zu Kase / Véo}taljen AD', ' Zutaten: Wasser', 'ntcht gehaflete pflanzltche Ole und fette ', 'Kokos - Kartottelstarke', 'Hefe', 'Reismehl', 'NussmUS ', '100 % Stetnsaz Aroma Gewurze', 'Bindemjttel ', 'Carraghenan', ' Milchsàure ', 'vegetabii', ' eau', ' huiles et graisses végétales non hydre ', 'noixde coco ftwile de tournesol', ' fécule de pommes de terre', 'levure', 'farine de riz', 'beurre de noix', ' sel gemme', ' arôme ', 'végétal', 'épices', 'liant ', 'carraghénane', ' ', 'végétai', ' h#züüifssea: Die braunen Punkte slammen von Mahgeln/SteinsalZ4 Mandeln/amandes 48h']","['Végétalien', 'Végétarien']",4,?,,294,,1230 kj(294 kcal),,20,,"12,9",,"21,8",,"0,24",,7,,"2,125",,"0,85",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Optimys Heidelbeeren Wild Bio 180 g - Optimys Superfood,7640149390520,['Optimys Superfood'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,?,,372,,1556 kj(372 kcal),,"2,75",,"0,1",,"78,1",,"60,6",,"1,75",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jus de pomme - Opaline - 25cl,7640158540008,['Opaline'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,"['France', 'Suisse']","['pommes 100%', 'citron 0,1%', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,190,0%,44,-4%,190 kj(44 kcal),-1%,0,-100%,0,-100%,11,+1%,11,+7%,"0,5",+135%,"0,03",+175%,"0,012",+175%,['E300 - Acide ascorbique'],B,25 cl,['Bouteille en verre'],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.03 g,en faible quantité,5,+21%,C,+21%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,
4,Sauce tomate au basilic - Solleone,7640164482224,['Solleone'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']","['Bio', 'Bio européen', 'IT-BIO-008']",['France'],"['Pulpe de de tomate 54%', 'Purée de tomate 27%', 'Céleri', 'Carotte', 'Oignon', ""Huile d'olive extra Basilic 1,3%"", 'Sel']",[],3,?,,59,-9%,247 kj(59 kcal),-7%,"3,5",+17%,"0,6",+38%,"4,9",-20%,"3,4",-31%,"1,2",-24%,"1,375",+61%,"0,55",+61%,,B,,,3.5 g,en quantité modérée,0.6 g,en faible quantité,3.4 g,en faible quantité,1.38 g,en quantité modérée,0,-100%,B,-100%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['Céleri'],,,,,,,,,,
5,Marana Chocolat noir,7751304215241,,,,['France'],[],[],,?,,644,,2694 kj(644 kcal),,"51,86",,"31,67",,"35,54",,"20,86",,"8,87",,"0,015",,"0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Crema de dulce de leche - San Ignacio - 450g,7790244000401,['San Ignacio'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,"['Argentine', 'France', 'Espagne']","['Leche', 'azúcar blanco', 'glucosa de maiz', 'bicarbonato de sodio', 'sorbato de potasio', 'aromatizante: vainilla']",['Non végétalien'],4,?,,320,+8%,1339 kj(320 kcal),+8%,6,+8%,4,+23%,60,+9%,60,+18%,5,-23%,"0,115",-66%,"0,046",-66%,"['E500ii - Carbonate acide de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",B,450 g,['Vidrio'],6 g,en quantité modérée,4 g,en quantité modérée,60 g,en quantité élevée,0.115 g,en faible quantité,16,-4%,D,-4%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,['Lait'],['Argentina'],,,,,,,,,
7,Tuareg Coco - Costa,7802215502262,['Costa'],,,['France'],"['Farina de blé', 'sucre', 'Huile de Paime Fractionée', 'Huile Vegétale ', 'Soja', 'Palmiste', 'Soja Interesterifie', 'Palmiste Interestrie', 'Amidon de Mais', 'Sirop Fructose', 'Coco Rapé', 'Sérumi', 'Lait', 'Sel', 'agent de Levure ', 'Bicarbonate de Sodium', 'arôme artificiel', 'émulsifiant ', 'Lécithine de Soja', 'agent de Levure ', ""Bicarbonate d'ammonium"", 'antioxydant BHT', 'Antioxydant acide citrique']","['Huile de palme', 'Non végétalien']",4,?,,510,,2134 kj(510 kcal),,"24,8",,"13,2",,"68,5",,"31,7",,"3,4",,"0,15",,"0,06",,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E321 - Butylhydroxytoluène', 'E330 - Acide citrique']",,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",,['Huile de palme'],,,,,,,,
8,Pacari Biodynamic Raw Chocolate 70% Cacao 50G,7862109270073,['Pacari'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Kascher'],['France'],[],[],,?,,558,+0%,2335 kj(558 kcal),+1%,41,+4%,26,+13%,30,-22%,27,-15%,"9,8",+28%,"0,23",+393%,"0,092",+393%,,E,,,41 g,en quantité élevée,26 g,en quantité élevée,27 g,en quantité élevée,0.23 g,en faible quantité,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
9,Di Leo Bisc. fattinc. delicato GR. 700 - DiLeo - 700g,8000015002572,['DiLeo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",['Sans huile de palme'],"['France', 'Italie']","['INGREDIENTI: farina di frumento di tipo 1', 'zucchero', 'olio di mais', 'uova fresche pastorizzate', 'gocce di cioccolato 4,5% ', 'zucchero', 'pasta di cacao', 'burro di cacao', 'emulsionante: lecitina di girasole', ' aroma naturale di vaniglia', 'latte fresco pastorizzato italiano alta qualità', 'farina di avena 3%', 'farina di orzo 3%', 'agenti lievitanti: carbonato acido di ammonio', 'carbonato acido di sodio', ' emulsionante: lecitina di soia', ' aromi naturali']",['Non végétalien'],4,?,,478,+6%,2000 kj(478 kcal),+6%,"16,8",+3%,"3,5",-43%,"72,4",+9%,"27,7",-13%,8,+9%,"0,08",-83%,"0,032",-83%,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']",C,700 g,['Carta'],16.8 g,en quantité modérée,3.5 g,en quantité modérée,27.7 g,en quantité élevée,0.08 g,en faible quantité,12,-29%,D,-29%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Di Leo Pietro S.p.A. s.s. 271km.  51', '260 Z.I.  Jesse - 75100 Matera']",,,,,,,,,
10,Caffè macinato 100% arabica Qualità Oro - Lavazza,8000070012233,['Lavazza'],,,['France'],['Valori riferiti a caffè senza zucchero preparato con'],[],,?,,14,,59 kj(14 kcal),,0,,0,,"2,3",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Il ragu alla bolognese,8000250991112,,,,['France'],[],[],,?,,82,,343 kj(82 kcal),,"4,29",,"0,97",,"3,21",,"2,42",,"6,81",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Riccioli - Buitoni - 500g,8000300123197,['Buitoni'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,"['France', 'Allemagne']","['durum Wheat semolina', 'Store in a cool dry place', 'IT - Pasta di semola di grano dura Ingredienti: semola di grano dura Conservare in luogo asciutto e lontano da fonti di calore']",[],,?,,356,+1%,1490 kj(356 kcal),+1%,"1,9",+7%,"0,8",+111%,"71,8",+3%,"3,5",+11%,"11,5",-7%,"0,008",-66%,"0,003",-66%,,C,500g,['packung(en)'],1.9 g,en faible quantité,0.8 g,en faible quantité,3.5 g,en faible quantité,0.008 g,en faible quantité,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,,,
13,Panettone 750g - Motta - 750g,8000300180916,['Motta'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['Fabriqué en Italie'],['France'],[],[],,?,,366,-2%,1531 kj(366 kcal),-2%,13,-13%,"8,5",-5%,54,+5%,32,+24%,"7,1",+4%,"0,47",+7%,"0,188",+7%,,C,750 g,,13 g,en quantité modérée,8.5 g,en quantité élevée,32 g,en quantité élevée,0.47 g,en quantité modérée,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,
14,Skipper Mela Limpida Succo - Zuegg - 1000ml e,8000340475713,['Zuegg'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré']","['en:gluten-free', 'Point Vert', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Pur jus']","['France', 'Italie']",['Jus de pomme à base de concentré'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,45,+2%,188 kj(45 kcal),+2%,0,-100%,0,-100%,11,+5%,"9,6",-5%,0,-100%,0,-100%,0,-100%,,B,1000 ml e,"['Brique', 'Carton']",0 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,4,+4%,C,+4%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,['Italie'],,Jus de pomme à base de concentré,,,,,,,
15,Piacere di frutta kiwi-mela - Zuegg,8000340479919,['Zuegg'],,['en:gluten-free'],['France'],[],[],,?,,45,,188 kj(45 kcal),,0,,0,,11,,"8,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Prealpi Gran Formaggio Grattugiato GR 80,8000415001113,['Prealpi'],,,['France'],"['LAIT', 'sel', ""présure conservateur : lysozyme d'OEUF ? Poids net: 80g"", "" A consommer avant: voir la date sur l'emballage"", ' A conserver entre + 20C et + 80C', ' Après ouverture', 'consommer au plus tard 5 jours après']",['Non végétalien'],,?,,398,,1665 kj(398 kcal),,29,,18,,0,,0,,33,,"1,5",,"0,6",,['E1105 - Lysozyme'],,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Lait']",,,,,,,,,,
17,Mixers Cherry Cola - Tic Tac,8000500216231,"['Tic Tac', 'Ferrero']",,,['France'],[],[],,?,,92,,385 kj(92 kcal),,"0,4",,"0,4",,"92,5",,"89,4",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tortellini au jambon cru -  - 500g,8000562008508,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortellini', 'Tortellini à la viande', 'Tortellini au jambon cru']",,['France'],"['TORTELLINI AU JAMBON CRU Pâtes fraîches aux OEUFS farcies au jambon cru', ' Ingrédients de la pâte: farine de BLÉ tendre', 'semoule de BLÉ dur', 'OEUFS ', '17% 12% du produit fini', 'eau', ' Ingrédients de la farce: viande de porc ', '45%,soit 16% du produit fini', 'mortadelle ', 'viande de boeuf et de porc,sel', 'chapelure ', 'farine de BLE tendre', 'levure de bière', 'sel', 'jambon cru ', 'viande de porc', 'sel', ' ', '10%', 'soit 3,6% du produit fini', 'sel', 'noix de muscade', 'épices', 'exhausteur de goût:E621', 'arômes', ' CONTIENT: GLUTEN DE BLÉ', 'OEUFS ET LAIT', ' PRODUIT DANS UNE USINE QUI UTILISE DU SOJA']","['Non végétalien', 'Non végétarien']",4,?,,306,+9%,1280 kj(306 kcal),+12%,"5,8",-19%,"2,4",-12%,49,+22%,0,-100%,"13,4",+22%,"0,6",-52%,"0,24",-52%,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,500 g,,5.8 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,0.6 g,en quantité modérée,2,-69%,B,-69%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,,,,,,,,
19,Barre multigrano - U,8000633014629,['U'],,,['France'],"['Fiocchi al riso e frumento integrale 52% ', 'riso 50,5%', 'frumento integrale 23%', 'zucchero', 'farina di risq glutine di frumento', 'germe di frumento', 'latte scremato in polvere', 'amido di frumento', ""estratto di malto d'orzo"", 'sale', 'agente lievitante: bicarbonato di sodio', 'emulsionanti: mono e di-gliceridi degli acidi grassi', 'cioccolato fondente 11% ', 'zucchero', 'pasta di cacao', 'burro dj cacao', 'emulsionante lecitina di soja', 'vanillina', 'sciroppo di glucosio', 'zucchero', 'zucchero invertito', 'gocce di cioccolato al latte 4% ', 'zucchero', 'burro di cacao', 'latte intero in polvere', 'pasta di cacao', 'emulsionante lecitina di soja', 'vanillina', 'grasso vegetale ', 'palma', 'umidificante: sorbitolo', 'inulina', 'umettante: fibra vegetale: glicerina vegetale', 'stabilizzante: gomma arabica', 'proteine di soja', 'emulsionante: lecitina di soia', 'aromi,']","['Huile de palme', 'Non végétalien']",4,?,,363,,1519 kj(363 kcal),,9,,5,,70,,28,,8,,"0,8",,"0,32",,"['E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E420 - Sorbitol', ""E414 - Gomme d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,,,,
20,Mental Black senza zucchero,8000635027016,,,"['en:gluten-free', 'Fabriqué en Italie']",['France'],[],[],,?,,221,,925 kj(221 kcal),,"0,44",,"0,01",,"88,5",,"0,45",,"1,12",,"0,112",,"0,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pinkis,8000735005143,,,,['France'],[],[],,?,,354,,1481 kj(354 kcal),,0,,0,,84,,59,,"3,7",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Riz Italien Rond Originario - Saveur d autrefois,8000775000610,['Saveur d autrefois'],,,['France'],[],[],,?,,349,,1460 kj(349 kcal),,"0,6",,"0,1",,78,,"0,3",,"7,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Mini gressins artisans au curcuma et poivre noir - la buona terra - 150g,8000781007993,['la buona terra'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-007']",['France'],"['farine de blé', 'huile d olive extra vierge 8', '3%', 'curcuma 3', '5%', 'sel marin', 'levure', 'farine de blé malte', ' poivre noir 0', '4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,423,-9%,1770 kj(423 kcal),-10%,"8,3",-58%,"1,5",-72%,74,+25%,"6,8",+73%,11,+11%,"1,8",-10%,"0,72",-10%,,A,150g,['Sachet'],8.3 g,en quantité modérée,1.5 g,en quantité modérée,6.8 g,en quantité modérée,1.8 g,en quantité élevée,10,-35%,C,-35%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Gluten'],['Italie'],,,['Biocoop Caluire'],,,,,,
24,Natural Mineral Water -,8000795023712,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,['France'],[],[],,?,,0,,0 kj(0 kcal),,0,,0,,0,-100%,0,-100%,0,-100%,"0,5",+922%,"0,2",+922%,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,2,+622%,A,+622%,,,,,,,,,,,,,,,,,,
25,Il saporito manzo dadi,8000830001132,,,,['France'],[],[],,?,,130,,544 kj(130 kcal),,11,,8,,5,,5,,6,,28,,"11,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Fromage Capri - Mauri - 160g (2x 80g),8000902002142,['Mauri'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,"['France', 'Italie']","['Latte di capra', 'sale', ' caglio', 'fermenti Lattici', 'conservante: sorbato di potassio']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,,270,-5%,1130 kj(270 kcal),-4%,"20,8",-9%,"14,7",-8%,"1,6",-4%,"1,4",+44%,"14,3",-17%,"0,8",-41%,"0,32",-41%,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",E,160 g (2 x 80 g),,20.8 g,en quantité élevée,14.7 g,en quantité élevée,1.4 g,en faible quantité,0.8 g,en quantité modérée,11,-17%,D,-17%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['Lait'],,,formaggio fresco da latte di capra,,['IT 03-48 CE'],,,,,
27,Moro Filetto Tonno Natur. vasetto GR. 190,8000935170283,,,,['France'],[],[],,?,,110,,460 kj(110 kcal),,1,,0,,0,,0,,"25,3",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Trii de poivrons et aubergines - Sacla - 240g,8001060024595,['Sacla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Sauces', 'Aubergines', 'Sauces basquaises']","['Sans gluten', 'Label Rouge']",['France'],"['Poivrons ', 'Rouge', 'Jaune', 'Vert', ' 26% ', 'ANHYDRIDE SULFUREUX', 'Purée de tomates', 'Huile de tournesol', 'Aubergines 11%', 'Crème en poudre ', 'crème LAIT entier', 'Oignons', 'Sel marin', 'Persil ', 'séché', 'Vinaigre de vin', 'Origan', 'Ail ', 'poudre', 'Oignon ', 'poudre', 'Sucre', 'Arômes', ""Correcteur d'acidité : Acide lactique""]",['Non végétalien'],4,?,,246,,1029 kj(246 kcal),+167%,"24,1",+327%,"5,3",+462%,"3,5",-45%,"3,2",-23%,"1,8",+37%,2,+98%,"0,8",+98%,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique']",B,240 g,"['bocal verre', 'couvercle métal']",24.1 g,en quantité élevée,5.3 g,en quantité élevée,3.2 g,en faible quantité,2 g,en quantité élevée,10,+400%,C,+400%,60.5%,15.6%,8.8%,8.7%,3.8%,2.6%,84,"['Lait', 'Anhydride sulfureux et sulfites']",['Italie'],,Sauce aux poivrons et aubergines,['Intermarché'],,,,,,
29,Risotteria - Funghi - Knorr - 175g,8001080003822,['Knorr'],"['Plats préparés', 'Plats à base de riz', 'Risottos', 'it:Risotto disidratato']",['it:Knorr'],"['France', 'Italie']","['Riso parboiled 85 %', 'farina di GRANO tenero', 'sale', 'FORMAGGIO fuso ', 'FORMAGGIO stagionato', 'derivati del LATTE', 'sale', 'estratto di lievito', 'funghi porcini ', 'Boletus edulis', ' 1,1%', 'funghi pinarelli ', 'Boletus luteus', 'grasso di palma', 'olio di oliva', 'Zucchero', 'prezzemolo', 'cipolla', 'aglio', 'aromi', 'Può contenere uova', 'sedano e senape']","['Huile de palme', 'Non végétalien']",4,?,,120,-47%,502 kj(120 kcal),-45%,"0,7",-83%,"0,3",-83%,25,-32%,"0,5",-67%,"2,5",-58%,"0,9",-3%,"0,36",-3%,,,175 g,,0.7 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en quantité modérée,3,-35%,C,-35%,,,,,,,,"['Gluten', 'Lait']",['Sanguineti (VR) - via Roma 23'],,,,,['Italie'],,,,
30,Gateau quinoa cacao - Germinal,8001091000230,['Germinal'],,['en:gluten-free'],['France'],[],[],,?,,481,,2013 kj(481 kcal),,23,,"6,5",,60,,30,,"6,3",,"0,61",,"0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Balocco Panettone Glassuvetta GR 1.000,8001100062600,['Balocco'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['Fabriqué en Italie'],['France'],"[""farine de blé - raisin sec 22,5% - beurre - jaune d'oeuf frais - sucre - Levure naturelle "", 'blé', ' - glaçage 6,2% ', ""sucre - blanc d'oeuf - farine de blé - huile d'arachide farine de riz - arômes"", "" lait frais pasteurisé 3,7% - sucre inverti - sucre en grains 1,7% - émulsifiants: mono et diglycérides d'acides gras - sel - arômes"", ' Peut contenir des fruits secs à coques et soja', ' Pour Canada: arômes naturels et artificiels']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,369,-1%,1544 kj(369 kcal),-1%,14,-7%,8,-11%,53,+3%,31,+20%,"6,6",-3%,"0,4",-9%,"0,16",-9%,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",C,,,14 g,en quantité modérée,8 g,en quantité élevée,31 g,en quantité élevée,0.4 g,en quantité modérée,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,,
32,Il Panettone Glassuvetta - Balocco,8001100064727,['Balocco'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['Fabriqué en Italie'],['France'],[],[],,?,,369,-1%,1544 kj(369 kcal),-1%,14,-7%,"7,1",-21%,53,+3%,31,+20%,"6,6",-3%,"0,42",-5%,"0,168",-5%,,C,,,14 g,en quantité modérée,7.1 g,en quantité élevée,31 g,en quantité élevée,0.42 g,en quantité modérée,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,
33,Anchois marinées - 130g,8001115067614,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,"['Belgique', 'France']",[],[],,?,,370,+82%,1548 kj(370 kcal),+79%,36,+186%,"3,4",+40%,0,-100%,0,-100%,13,-38%,"2,35",-65%,"0,94",-65%,,B,130 g,,36 g,en quantité élevée,3.4 g,en quantité modérée,0 g,en faible quantité,2.35 g,en quantité élevée,17,+36%,D,+36%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,['Delhaize'],,,,,,
34,Ventresca Di Tonno a Pinne Gialle Coop 125 G (88 G égoutté),8001120012807,['Coop'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]","['Fabriqué en Italie', 'Pêche durable']",['France'],"['Ventrèches de thon ', 'Thunnus albacares', ""huile d'olive "", '24 %', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,,327,+29%,1368 kj(327 kcal),+30%,"27,4",+57%,"4,5",+49%,"0,6",+137%,0,-100%,"19,5",-18%,"1,32",+35%,"0,528",+35%,,E,125 g (88 g égoutté),['Conserve'],27.4 g,en quantité élevée,4.5 g,en quantité modérée,0 g,en faible quantité,1.32 g,en quantité modérée,13,+141%,D,+141%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,['Poisson'],['Italie'],,Ventrèches de thon Albacore à l'huile d'olive (24 %),['Leclerc'],['IT 928 CE'],,,,,
35,Aceto Balsamico di Modena - Coop - 500ml,8001120837950,['Coop'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['IGP'],"['France', 'Italie']","['aceto di vino', ""mosto d'uva cotto""]",[],,?,,138,-6%,577 kj(138 kcal),-6%,0,-100%,0,-100%,29,-9%,29,-1%,"0,7",+5%,"0,03",-58%,"0,012",-58%,,B,500 ml,,0 g,en faible quantité,0 g,en faible quantité,29 g,en quantité élevée,0.03 g,en faible quantité,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,
36,Gelato Pistachio,8001120884435,,,,['France'],[],[],,?,,213,,891 kj(213 kcal),,11,,"4,1",,23,,23,,"4,9",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Croissant classici - COOP,8001120895639,['COOP'],,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],,?,,404,,1690 kj(404 kcal),,17,,"6,8",,53,,16,,"7,8",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pane bianco - Coop - 400g,8001120903594,"['Coop', 'Gitoma']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,"['France', 'Italie']",[],[],,?,,260,-21%,1088 kj(260 kcal),-21%,"3,2",-48%,"0,5",-57%,51,-7%,"4,5",+15%,"5,1",-46%,"1,1",-14%,"0,44",-14%,,,400 g,,3.2 g,en quantité modérée,0.5 g,en faible quantité,4.5 g,en faible quantité,1.1 g,en quantité modérée,2,-61%,B,-61%,,,,,,,,,"['Y:- Via M. Tarroni', '15 Bagnacavallo (RA); Z - Via Gobetti', '25 Bagnacavallo (RA)']",,,,,,,,,
39,Arancia Carota Limone,8001120970848,,,,['France'],[],[],,?,,43,,180 kj(43 kcal),,0,,0,,"10,4",,"10,4",,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
