,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,brand_owner,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,producer_info
0,Helios Mermelada Naranja Con Chocolate Negro,8410095002896,['Helios'],['France'],[],[],?,249,1042 kj(249 kcal),"1,6",1,58,"57,6","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Campiello Frollini Gocce Cioccol. gr. 700,8000590107303,,['France'],[],['Sans huile de palme'],?,489,2046 kj(489 kcal),22,"3,9",65,22,"6,2","0,5","0,2","['Agriculture durable', 'en:palm-oil-free', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Noix de coco -  - 250g,3700758501411,,['France'],[],[],?,?,,?,,?,,?,,,"['Sans conservateurs', 'Sans additifs']",D,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Noix de coco']",,,,,,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Piment de Cayenne - Ducros,3166296211357,['Ducros'],['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Vita coco,0898999011073,['Vita Coco'],['France'],[],[],?,24,100 kj(24 kcal),"0,6","0,5","4,7","4,2","0,09","0,09","0,036",,,,,,,,,,,,,,,,,['composite-carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3760280006556,3760280006556,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Barilla,8430624651227,['Barilla'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8437016456118,8437016456118,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5 chipolatas aux herbes - Bio Village - 275g,3661112801120,['Bio Village'],['France'],"['IN Viande de porc* 93% ', 'origine France', 'sel', 'acidifiant: E325', 'arômes naturels', 'herbes de Provence* 0,25 %', 'SUcre de cannet', 'dextrose""', 'épicest et plantes aromatiques*', 'antioxydant: E300', ' Boyau naturel de mouton', "" Contient naturellement de l'acide acétique et des polyphénols"", ' Traces de lait', 'gluten', 'soja et céleri', "" * Ingrédients issus de l'agriculture biologique""]",[],?,238,996 kj(238 kcal),19,"6,7","0,8","0,6",16,2,"0,8","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore D']",C,275 g,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,-0%,+1%,-32%,+4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Plastique'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],"['E325 - Lactate de sodium', 'E300 - Acide ascorbique']",4,19 g,en quantité modérée,6.7 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,-0%,-7%,-5%,+11%,+11%,16,-4%,D,-4%,,,,,,,,
9,Salsa Santamaria Hot Pepper - Santa María - 85ml,7311310388027,['Santa María'],"['France', 'Espagne']","['Vinagre', 'pimiento chile ', '32%', 'sal', 'azúcar', 'espesante ', 'E415']",[],?,18,75 kj(18 kcal),"0,5","0,3","2,5","1,7","0,6",10,4,,,85 ml,"['Epicerie', 'Sauces', 'Sauces chili']",,-79%,-45%,-83%,-38%,,,,,,,,,,,['E415 - Gomme xanthane'],4,0.5 g,en faible quantité,0.3 g,en faible quantité,1.7 g,en faible quantité,10 g,en quantité élevée,-79%,+81%,-83%,+153%,+153%,10,-5%,C,-5%,,,,,,,,
10,Zilia Eau Minérale Naturelle Corse Aromatisée,3513921100508,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,la boulangère,0764409791166,['la boulangère'],['France'],"['Farine de blé', 'eau', 'farine de seigle', 'sucre', 'levure', ""fibres d'avoine"", 'gluten de blé', 'huile de colza', 'sel', 'levain de seigle dévitalisé']",['Sans huile de palme'],?,288,1205 kj(288 kcal),2,"0,4","55,7","10,1","9,2",1,"0,4",['Sans conservateurs'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",,-1%,-61%,+14%,-1%,,,,,,,,,,,,4,2 g,en faible quantité,0.4 g,en faible quantité,10.1 g,en quantité modérée,1 g,en quantité modérée,-1%,-55%,+128%,-18%,-18%,-1,-127%,A,-127%,['Gluten'],,,,,,,
12,Catalan cream taartjes - horno de San juan - 300,8437000209034,['horno de San juan'],['France'],[],[],?,348,1456 kj(348 kcal),18,"2,8",50,12,"4,4","0,2","0,08",,,300,"['Biscuits et gâteaux', 'Gâteaux']",,-14%,-8%,+1%,-19%,,,,,,,,['Blister'],,,,,18 g,en quantité modérée,2.8 g,en quantité modérée,12 g,en quantité modérée,0.2 g,en faible quantité,-13%,-63%,-57%,-67%,-67%,6,-66%,C,-66%,,,,,,,,
13,Coca Cola Light,87126884,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Crunchy Cocoa Drops,7613036869454,,['France'],[],[],?,576,2410 kj(576 kcal),42,25,37,21,"7,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Glace Melon Nardone,3760013990145,,['France'],[],[],?,128,536 kj(128 kcal),"0,5",0,27,27,"0,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Orca Spice Chai , Sugar Free",0658564983378,,"['France', 'États-Unis']","['Maltodextrin', 'coconut oil', 'black tea powder ', '7%', 'sodium caseinate ', 'a milk derivative', 'emulsifier ', 'mono - and diglycerides', 'stabilizer ', 'dipotassium phosphate', 'natural spice blend', 'emulsifier ', 'soy lecithin', 'sucralose ', 'splenda', 'natural flavors', 'salt']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,361,1510 kj(361 kcal),"22,22","16,67","27,78",0,"5,56","0,418","0,167",['Sans lactose'],,,"['Boissons', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées']",,+22%,+326%,-36%,-59%,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340ii - Phosphate dipotassique', 'E322i - Lécithine', 'E955 - Sucralose']",4,,,,,,,,,+21%,+415%,-100%,-25%,-25%,,,,,['Soja'],"David Rio Coffee & Tea, Inc.",,,,,,
17,Filets de poulet,3701004817225,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 56.081.001 CE', 'Guiscriff (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Rillettes de truite - Guyader,3276770245096,['Guyader'],['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de truite']",,,,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kartoffelchips Meersalz - De rit - 125g,8711823122207,['De rit'],"['France', 'Allemagne']","['Kartoffeln', 'ölsäurereiches Sonnenblumenöl', 'Meersalz']",[],?,545,2280 kj(545 kcal),37,"3,5",46,"2,5",5,1,"0,4","['Bio', 'Bio européen', 'NL-BIO-01']",B,125 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Chips de pommes de terre', 'Entrées']",,+134%,+191%,+134%,-1%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Plastic'],,,,,37 g,en quantité élevée,3.5 g,en quantité modérée,2.5 g,en faible quantité,1 g,en quantité modérée,+142%,+53%,-14%,-7%,-7%,13,+117%,D,+117%,,,,,,,,
20,Noix de Cajou & Abricots,3770011719334,,['France'],[],[],?,456,1908 kj(456 kcal),"27,1","4,6",48,"26,3",10,0,0,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Glace à l'eau aux Jus de Fruits -,3250391455850,,['France'],"['Eau ', ' sucre ', ' jus de pomme à base de concentré ', '13,8%', "" jus d'orange à base de concentré "", '7', '1%', ' - jus de passion à base de concentré ', '6,2%', ' jus de fraise à base de concentré ', '4,9%', ' sirop de glucose ', ' acidifiant: acide citrique ', ' stabilisants : farine de graines de caroube', 'gomme guar ', ' arômes naturels ', "" arôme naturel d'orange "", ' arôme naturel de passion et autres arômes naturels ', ' colorants : complexes cuivre-chlorophylles et cuivre-chlorophyllines', 'caroténoïdes', 'rouge de betterave', 'anthocyanes', ' Traces éventuelles de lait']",[],?,92,385 kj(92 kcal),"0,5","0,1","22,9","18,6","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E141i - Complexes cuivriques de chlorophylles', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E160 - Caroténoïdes', 'E162 - Rouge de betterave', 'E163 - Anthocyanes']",4,,,,,,,,,,,,,,,,,,,,,,,,,
22,Blended scotch whisky 40% - Marque Repère - 70cl,3564700002445,"['Marque Repère', ""Baird's""]",['France'],[],[],919,?,919 kj(220 kcal),0,0,0,0,0,0,0,,,70 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Champagne brut - Marque Repère - 35,5cl",3564700002575,"['Marque Repère', 'Pol Carson']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,D,"35,5 cl","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes', 'Champagnes bruts']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
24,Vin de Pays d'Oc Cabernet Sauvignon I.G.P. - Marque Repère - 75cl,3564700385425,"['Marque Repère', 'Vieux Carion']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
25,Eau de vie de framboise 40° - Marque Repère - 50cl,3564700410714,"['Marque Repère', 'Auguste Mugniot']",['France'],[],[],?,?,,?,,?,,?,,,,,50 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Côtes du Rhône A.O.C. 'Cuvée prestige' - Bag-in-Box® - Marque Repère - 5l,3564700438114,"['Marque Repère', 'Grégoire XI']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['Contient des sulfites'],C,5 l,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
27,Noix de St Jacques avec corail 20/40 - Marque Repère - 400g,3564700484456,"['Marque Repère', 'Pêche Océan']",['France'],[],[],354,?,354 kj(85 kcal),"1,3","0,2",1,0,17,"0,5","0,2",,,400 g,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Vin de pays d'Oc Viognier - Marque Repère - 75cl,3564700492765,"['Marque Repère', 'Vieux Carion']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
29,Armagnac V.S.O.P. 40 % vol. - Marque Repère - 70cl,3564700517147,"['Marque Repère', 'Duc de Borzac']",['France'],[],[],960,?,960 kj(229 kcal),0,0,"0,7","0,7",0,0,0,,,70 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Côtes de Gascogne I.G.P. - Bag-in-Box® - Marque Repère - 3l,3564700525760,"['Marque Repère', ""Terrasses d'Autan""]",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,3 l,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
31,Rosé d'Anjou A.O.C. - Bag-in-Box ® - Marque Repère - 3l,3564700525845,"['Marque Repère', 'Les Caractères']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,C,3 l,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins rosés', ""Rosé d'Anjou""]",,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
32,Vin de pays d'OC Chardonnay bib - Marque Repère - 3l,3564700533116,"['Marque Repère', 'Vieux Carion']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,3 l,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
33,"Vin du pays d'Oc Merlot 13,5% vol - Marque Repère - 4x 25cl",3564700538029,"['Marque Repère', 'Vieux Carion']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,4 x 25 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
34,"Vodka Herbe de bison 37,5 ° vol - Marque Repère - 70cl",3564700619315,"['Marque Repère', 'Novotna']",['France'],[],[],?,?,,?,,?,,?,,,,,70 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Crémant de Limoux rosé brut A.O.C. - Marque Repère - 75cl,3564700644317,"['Marque Repère', 'Prieur Barsanne']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
36,Salade de riz au thon - Marque Repère - 300g,3564700698594,"['Marque Repère', 'Menu Fraîcheur']",['France'],"['Riz cuit ', '50', '5%', 'vinaigrette allégée de 65% en matières grasses ', '11', '7%', ' ', 'eau', 'huile de colza', 'sucre', 'vinaigre', 'concentré de citron ', 'concentré de jus de citron', 'pulpe de citron', 'arôme', 'acidifiant : acide citrique', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur : sulfite acide de sodium', 'sel', 'épaississant : gomme guar –gomme xanthane', 'épice', 'tomates ', '10', '6%', 'poivrons ', '7', '7%', 'thon ', '6', '7%', 'olives noires ', '3', '8%', ' ', 'olive noire', 'eau', 'sel', 'stabilisant : E579', 'maïs doux ', '3', '8%', 'basilic ', '2', '5%', 'oignons', 'sel', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur : sulfite acide de sodium', 'acidifiant : E575', 'vinaigre de vin rouge ', 'conservateur : sulfite acide de sodium', 'poivre', ' Traces de gluten', 'céleri', 'lait', 'crustacé', 'mollusque', 'œuf', 'soja', 'fruit à coques', 'sésame']","['Non végétalien', 'Non végétarien']",520,?,520 kj(124 kcal),4,"0,4","16,8","2,4","4,1","0,8","0,32",,,300 g,,,,,,,,,,,,,,,,['Leclerc'],"['E330 - Acide citrique', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E579 - Gluconate de fer', 'E575 - Glucono-delta-lactone']",4,,,,,,,,,,,,,,,,,,"['Poisson', 'Moutarde']",,,,,,,
37,Scotch wisky - 70cl,5000267171739,,['France'],[],[],?,?,,?,,?,,?,0,0,,,70 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Aoc buzet rose bib - Marque Repère - 3l,3564700718681,"['Marque Repère', ""Terrasses d'Autan""]",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,3 l,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
39,Bergerac blanc sec A.O.C. 2017 - Marque Repère - 75cl,3564700776292,"['Marque Repère', ""Terrasses d'Autan""]",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
40,Vin rouge - Bag-in-Box® - Marque Repère - 5l,3564700778371,"['Marque Repère', 'Adrien Champaud']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,D,5 l,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
41,Bordeaux rosé A.O.C. 2017 - Marque Repère - 75cl,3564700778654,"['Marque Repère', 'Chantet Blanet']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
42,Entre-Deux-Mers A.O.C. 2017 - Marque Repère - 75cl,3564700778739,"['Marque Repère', 'Chantet Blanet']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['Contient des sulfites'],,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
43,Bourgogne chardonnay A.O.C. 2016 - Marque Repère - 75cl,3564700780947,"['Marque Repère', 'Antoine Barrier']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
44,Vin d'Alsace Riesling Prestige A.O.C. 2016 - Marque Repère - 75cl,3564700786598,"['Marque Repère', 'Rebmann']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
45,Vin d'Alsace Pinot noir A.O.C. 2017 - Marque Repère - 75cl,3564700786949,"['Marque Repère', 'Rebmann']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,C,75 cl,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
46,Fitou A.O.C. 2017 - Marque Repère - 75cl,3564700791929,"['Marque Repère', 'Prieur Barsanne']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,C,75 cl,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Fitou']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
47,Languedoc rouge A.O.C. 2017 - Marque Repère - 75cl,3564700792971,"['Marque Repère', 'Prieur Barsanne']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
48,Vsig cépage cabernet sauvignon - bag-in-box® - Marque Repère - 5l,3564700844779,"['Marque Repère', 'Adrien Champaud']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['Contient des sulfites'],,5 l,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
49,Vin d'Alsace Edelzwicker A.O.C. 2017 - Marque Repère - 75cl,3564700846650,"['Marque Repère', 'Rebmann']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,,,
50,Lait demi-écrémé briques export - Marque Repère - 6x 1l,3564700865514,"['Marque Repère', 'Délisse']",['France'],[],[],195,?,195 kj(47 kcal),"1,6",1,"4,8","4,8","3,2","0,1","0,04",,D,6 x 1 l,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",+1%,,+2%,-0%,-2%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['Leclerc'],,,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,0%,-1%,0%,-9%,-9%,0,,B,,,,,,,,,
51,Terrasses du Larzac A.O.C. 2016 - Marque Repère - 75cl,3564700997260,"['Marque Repère', 'Prieur Barsanne']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,C,75 cl,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Terrasses du Larzac']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
52,Vin de Pays d'Oc Grenache I.G.P. - Bag-in-Box® - Marque Repère - 3l,3564706532489,"['Marque Repère', 'Vieux Carion']",['France'],['Contient des sulfitess'],['Sans huile de palme'],?,?,,?,,?,,?,,,['IGP'],C,3 l,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Pays d'Oc""]",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
53,Oeufs frais coques de poules élevées au sol datés du jour de ponte x 6 - Marque Repère - 408g,3564706542556,"['Marque Repère', 'Oeufs de Nos Régions']",['France'],[],[],584,?,584 kj(140 kcal),"9,8","2,6","0,5","0,5",13,"0,3","0,12",,,408 g,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Igp ile de beaute - Marque Repère - 75cl,3564706577602,"['Marque Repère', 'Terres Ocrées']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,,C,75 cl,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Île de Beauté']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['Leclerc'],,3,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,['France'],,,,,
55,Biere bio ss gluten 5.5% - Marque Repère - 75cl,3564706579538,"['Marque Repère', 'Bio Village']",['France'],"['Eau', ""malt d'orge*"", 'malt de blé*', 'houblons*', 'coriandre*', ""* ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,75 cl,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,
56,Panache grenadine 0.5 % - Marque Repère - 20x 25cl,3564706583214,"['Marque Repère', 'Falsbourg']",['France'],"['Eau gazéifiée', 'bière 14 % ', 'eau', ""malt d'orge"", 'maïs', 'extraits de houblon', 'sucre', 'arôme', 'arôme naturel', 'acidifiant : acide citrique', 'concentrés colorants de carotte et de cassis']",[],121,?,121 kj(29 kcal),"0,5","0,1","6,5","6,3","0,5",0,0,,,20 x 25 cl,,,,,,,,,,,,,,,,['Leclerc'],['E330 - Acide citrique'],4,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,
57,Brioche suisse au chocolat,0208111011483,,['France'],[],[],?,441,1845 kj(441 kcal),20,13,56,24,"7,7","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1984 Sour Saison - Hoppy Road - 33cl,3760271170112,['Hoppy Road'],['France'],"['Eau', ""malts d'orge "", 'pils', 'carapils® et caramunich®', ' et de blé', 'houblons nugget et loral', 'levure française de saison']",[],?,?,,?,,?,,?,,,"['Déconseillé aux femmes enceintes', 'PIL']",C,33 cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières de saison', 'Sour']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre']",,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,['France'],,,,
59,Chocolate Orange Flavour - Fulfil - 40g,5391532121734,['Fulfil'],['France'],[],[],?,?,,?,,?,,?,,,"[""Fabriqué dans l'UE""]",,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Party mix - 250g,6422114000358,,['France'],[],[],?,444,1858 kj(444 kcal),"14,95","1,15","67,85","2,3","4,43","2,7","1,08",,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sablés nature - Kocolo&Zaza - 120g,3770002597309,['Kocolo&Zaza'],['France'],"['Farine de blé T65', 'beurre', 'sucre de canne blond', 'œufs frais']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,451,1887 kj(451 kcal),20,3,63,27,"6,1","0,33","0,132",,,120 g,,,,,,,,,,,,,,,,['Biocoop'],,,,,,,,,,,,,,,,,,,,"['Œufs', 'Lait']",,,,,,,
