,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
382,Civet de Canard aux Cèpes - Duc de Pressac - 750grammes,3432770001555,['France'],[],[],?,132,552 kj(132 kcal),"7,4","2,5","2,3",0,14,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 grammes,['Duc de Pressac'],,,,['bocal 750 grammes'],,,,,,,,,
383,Noix de cajou,2600203043361,['France'],[],[],?,595,2489 kj(595 kcal),"43,9",8,31,6,18,"0,03","0,012",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,43.9 g,en quantité élevée,8 g,en quantité élevée,6 g,en quantité modérée,0.03 g,en faible quantité,,-1%,-0%,-5%,-6%,+21%,-8%,-4%,-95%,-95%,5,-34%,C,-34%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,,
384,Petits pots de creme,5679856982485,['France'],[],[],?,196,820 kj(196 kcal),11,"6,1",18,15,"5,6",0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Gnocchi - Lustucru,3240931852331,['France'],[],[],?,183,766 kj(183 kcal),"2,7","0,3",33,1,5,"1,1","0,44",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi']",,2.7 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,,+5%,+5%,+41%,-46%,-0%,-24%,+8%,-7%,-7%,3,-24%,C,-24%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,['Lustucru'],,,,,,,,,,,,,
386,Buchette sèche,3474501224000,['France'],[],[],?,272,1138 kj(272 kcal),"25,6","18,4","1,73","1,33","20,1","1,73","0,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 86.265.001 CE', 'Sossais (Vienne, France)']",,,,,,,,,,
387,Vinho Tinto Casal Garcia Im 6er Paket,5601096351301,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,BCAA MyProtein,5055534351352,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,
389,Guizata à la Pistache,3448270006389,['France'],[],[],?,?,,?,,?,,?,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Olive a la romaine,2609806031881,['France'],[],[],?,175,732 kj(175 kcal),18,"3,2","1,8","0,6","1,4","4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Weisse erdbeer joghurt - Vivani,4044889001495,['France'],"['beurre de cacao', 'sucre de canne brun*', 'lait écrémé en poud re* yaourt en poudre du lait écrémé* 8 %', 'crème en poudre', 'lactosérum en poudre*', 'morceaux de fraises* 2%', 'arôme naturel ', 'type fraise*', ' Peut contenir des composants de fruits à coque et de gluten', '  *issu de culture biologique']",['Non végétalien'],?,565,2364 kj(565 kcal),"35,8","22,5","51,5","48,9","9,3","0,5","0,2",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",,35.8 g,en quantité élevée,22.5 g,en quantité élevée,48.9 g,en quantité élevée,0.5 g,en quantité modérée,,0%,+0%,-1%,+4%,-3%,-3%,+39%,+95%,+95%,29,+9%,E,+9%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,['Vivani'],,,,,,,4,,,,,,
392,Poulet jaune,0203340027298,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Saucisson sec artisanal aux noix,3538350001424,['France'],[],[],?,404,1690 kj(404 kcal),30,"9,8","6,8","5,7",27,"4,1","1,64",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs au noix']","['Viande Française', 'Viande Porcine Française']",30 g,en quantité élevée,9.8 g,en quantité élevée,5.7 g,en quantité modérée,4.1 g,en quantité élevée,,-10%,-10%,-18%,-27%,+110%,+145%,+3%,-5%,-5%,25,+1%,E,+1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,
394,Paté de campagne Bûchette à démouler,2443853022962,['France'],[],[],?,296,1238 kj(296 kcal),26,"9,2","1,4",1,14,"1,4","0,56",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['Sans colorants'],26 g,en quantité élevée,9.2 g,en quantité élevée,1 g,en faible quantité,1.4 g,en quantité modérée,,-5%,-5%,-4%,-9%,-42%,+9%,-1%,-16%,-16%,18,-5%,D,-5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
395,Comte,2671331034187,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
396,Coquilles Saint-Jacques,3548150521381,['France'],[],[],?,460,1925 kj(460 kcal),"4,9","3,2","4,2","1,4","11,9","0,88","0,352",,"['Plats préparés', 'Entrées', 'Coquilles Saint-Jacques']",,4.9 g,en quantité modérée,3.2 g,en quantité modérée,1.4 g,en faible quantité,0.88 g,en quantité modérée,,+283%,+276%,-24%,-24%,-40%,-8%,+66%,+7%,+7%,11,+124%,D,+124%,,,,,,,,,,,,,,,,,,,,,,
397,Aytac Halva 700GMX12PC,8692981001354,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Lasagne bolognaise,3264295302233,['France'],[],[],?,118,494 kj(118 kcal),"4,5",2,12,"2,8","6,6","0,58","0,232",D,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",['Sans colorants'],4.5 g,en quantité modérée,2 g,en quantité modérée,2.8 g,en faible quantité,0.58 g,en quantité modérée,,-12%,-11%,-26%,-21%,-4%,+3%,+4%,-26%,-26%,0,-100%,B,-100%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,,,"['FR 22.182.001 CE', ""Plélo (Côtes-d'Armor, France)""]",,,,,,,,,,
399,Aardbeien,8718906116733,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Ananas,8718906367272,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,
401,Mélange sportif,2609943031034,['France'],[],[],?,484,2025 kj(484 kcal),30,"2,2",31,30,17,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Tommette fruitée -,0212489030762,['France'],"['LAIT de vache pasteurise ', 'origine France', 'sel', 'ferments lactiques ', 'LAIT', 'enzyme coagulante']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1470,?,1470 kj(351 kcal),"28,1","18,9","1,1",0,"24,2","2,06","0,824",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Tommes']",,28.1 g,en quantité élevée,18.9 g,en quantité élevée,0 g,en faible quantité,2.06 g,en quantité élevée,-1%,,-3%,-5%,-6%,-7%,-100%,+7%,+27%,+27%,18,+16%,D,+16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,['Lait'],3,,,,,,
403,Sirop erable,0627843726142,['France'],[],[],?,210,879 kj(210 kcal),0,0,53,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Cottage cheese proteïne - Albert Heijn,8718906862838,"['France', 'Pays-Bas']",[],[],?,82,343 kj(82 kcal),"1,5",1,2,2,15,"0,8","0,32",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Albert Heijn'],,,,,,,,,,,,,
405,Lamskotelet,2380703006973,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Ovengroente,8718907089586,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Café Torrado E Moído Em Pó Pilão Extraforte Pacote,7896089013399,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Haricots verts,3083680956765,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Conserve'],,,,,,,,,
409,Confiture arbouse,3760036600069,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Nougat carosello,8001352000450,['France'],[],[],?,441,1845 kj(441 kcal),"16,3","2,3","62,3","50,1","9,9",2,"0,8",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']","['en:gluten-free', 'Fabriqué en Italie']",16.3 g,en quantité modérée,2.3 g,en quantité modérée,50.1 g,en quantité élevée,2 g,en quantité élevée,,-1%,-1%,-1%,+16%,-5%,-8%,+38%,+2560%,+2560%,25,+56%,E,+56%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,
411,Aiguillette Canard prêt à cuisiner,0243883029854,['France'],[],[],?,?,,?,,?,,?,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,,,,,
412,Magret de Canard du Sud-Ouest,0219007061734,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magrets de canard du sud-ouest']",,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,
413,Chicken tikka filled naan,5038794000024,['France'],[],[],?,246,1029 kj(246 kcal),9,"4,4",29,"4,6","11,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Mon Rôti de porc BIO - Madrange - 140g (4tranches),3180940086801,['France'],"['Carré de porc origine UE*', 'filet de porc origine UE*', 'sel', 'bouillon ', 'eau', 'oignon*', 'poivre*', 'ail*', 'muscade*', 'thym*', 'laurier*', 'clou de girofle*', 'dextrose*', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', ""\r*Ingrédients d'origine agricole obtenus selon le mode de production biologique""]","['Non végétalien', 'Non végétarien']",499,?,499 kj(119 kcal),"2,6",1,"0,7","0,7",23,"1,9","0,76",D,"['Viandes', 'Porc', 'Rôtis de porc', 'Salaisons']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",2.6 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.9 g,en quantité élevée,-8%,,-16%,-48%,-52%,-14%,+12%,+3%,+10%,+10%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,140 g (4 tranches),['Madrange'],,['Union européenne'],"['FR 29.051.020 CE', 'Ergué-Gabéric (Finistère, France)', 'EMB 29051', 'Ergué-Gabéric (Finistère, France)']","['Barquette', 'Opercule', 'Plastique']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,Rôti de porc cuit traité en salaison de qualité supérieure.,['France'],,http://www.madrange.fr,,
415,Velouté aux 9 légumes,3574311381174,['France'],[],[],?,29,121 kj(29 kcal),"0,6","0,4","5,2","0,7","0,4","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Velouté de Cresson,3574311380481,['France'],[],[],?,32,134 kj(32 kcal),"1,1","0,8","4,6",0,"0,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Whey protein - Foodspring,4260363485487,['France'],[],[],?,375,1569 kj(375 kcal),"3,7","3,1","8,4","5,5","76,5","0,69","0,276",,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Foodspring'],,,,,,,,,,,,,
418,Pâtes de avoine biologiques - Castagno,8013885051113,['France'],[],[],?,379,1586 kj(379 kcal),"8,1","1,6",59,"1,6",13,0,0,,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Castagno'],,,,,,,,,,,,,
419,Ananas extra sweet,2868501020402,['France'],[],[],?,42,176 kj(42 kcal),"0,5","0,01",9,"7,1","0,7","0,01","0,004",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Dessert gourmet - 100g,3770007116383,['France'],[],[],?,164,686 kj(164 kcal),"13,5","11,4","6,8","3,7","2,5","0,01","0,004",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,,,
421,Pommes de terre au thon au naturel - 0.320kg,2270198018042,['France'],[],[],?,145,607 kj(145 kcal),9,"0,7",9,"0,4","6,2","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320 kg,,,,,,,,,,,,,,
422,Panettone avec marrons glacés et glaçage noisettes,8001130809114,['France'],[],[],?,392,1640 kj(392 kcal),"20,1",11,"49,6","26,9","6,4","0,49","0,196",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,20.1 g,en quantité élevée,11 g,en quantité élevée,26.9 g,en quantité élevée,0.49 g,en quantité modérée,,+5%,+5%,+34%,+22%,-4%,+4%,-6%,+11%,+11%,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,
423,Cake au fruit,3286635300006,['France'],[],[],?,?,,?,,?,,?,,,C,"['Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']",,,,,,,,,,,,,,,,,,,,,,,,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,,,,,,,,,,,,,,,
424,Wrap Jambon Tzatziki,3283040894700,['France'],[],[],?,179,749 kj(179 kcal),"5,9","1,6",23,"1,6",7,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Les milanaise chapelure nature,2255103076225,['France'],[],[],?,121,506 kj(121 kcal),"0,8",0,"5,8","1,9",22,"0,7","0,28",D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,0.8 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,,-8%,-8%,-49%,-100%,-15%,+3%,+3%,-22%,-22%,-1,-246%,A,-246%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,
426,Hefeweissbier - Weihenstephaner - 500ml,4105120003705,['France'],[],[],?,16,67 kj(16 kcal),0,0,"2,9",0,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ml,['Weihenstephaner'],,,,,,,,,,,,,
427,Vino Moscato Rosado,3592860053137,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Sale con tartufo - 30g,8010939001568,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 g,,,,,,,,,,,,,,
429,5croissants+ 5 pains chocolat,0204113020997,['France'],[],[],?,419,1753 kj(419 kcal),24,16,23,11,"7,3","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Pain de campagne,2009501204106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Sauce Au Poivre - Baton Rouge,3592860012165,['France'],[],[],?,930,3891 kj(930 kcal),24,"1,9","8,8","3,9",0,2,"0,8",B,"['Epicerie', 'Sauces', 'Sauces au poivre']",,24 g,en quantité élevée,1.9 g,en quantité modérée,3.9 g,en faible quantité,2 g,en quantité élevée,,+197%,+204%,-13%,-51%,-0%,+23%,-100%,-14%,-14%,19,+30%,E,+30%,51.5%,31.1%,7.1%,5.2%,3.0%,2.1%,76,,['Baton Rouge'],,,,,,,,,,,,,
432,Tropezienne - Carrefour - 650g,0201164045597,['France'],[],[],?,262,1096 kj(262 kcal),"10,2","6,9","37,8","22,2","4,1","0,35","0,14",,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,10.2 g,en quantité modérée,6.9 g,en quantité élevée,22.2 g,en quantité élevée,0.35 g,en quantité modérée,,-5%,-5%,0%,+1%,-3%,+10%,-4%,-30%,-30%,14,-7%,D,-7%,,,,,,,,650 g,['Carrefour'],['Carrefour'],,,,,,,,,,,,
433,Kombucha revitalise,0645760041940,['France'],[],[],?,12,50 kj(12 kcal),0,0,3,3,0,0,0,C,"['Boissons', 'Boissons au thé', 'Kombuchas']",['Bio'],0 g,en faible quantité,0 g,en faible quantité,3 g,en quantité modérée,0 g,en faible quantité,,-33%,-33%,-100%,-100%,-21%,-13%,-100%,-100%,-100%,4,-30%,C,-30%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,,,,,
434,Paté de foie de volaille,3301851604018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Huile d'olive,8032568511331,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2 filets de poulet bio fermier loué,2456030115197,['France'],[],[],?,?,,?,,?,,?,,,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,,,,,,
437,Filet de poulet fermier biologique,2220526076688,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
438,Salsa Cocktail - Chovi,8410422001882,['France'],[],[],?,593,2481 kj(593 kcal),"61,8","9,9",8,"6,9","1,3","1,3","0,52",,"['Epicerie', 'Sauces']",,61.8 g,en quantité élevée,9.9 g,en quantité élevée,6.9 g,en quantité modérée,1.3 g,en quantité modérée,,+149%,+152%,+241%,+358%,-19%,+7%,-52%,-46%,-46%,22,+90%,E,+90%,,,,,,,,,['Chovi'],,,,,,,,,,,,,
439,Tropezienne,0203328022963,['France'],[],[],?,227,950 kj(227 kcal),"7,2","5,6",36,19,4,"0,47","0,188",,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,7.2 g,en quantité modérée,5.6 g,en quantité élevée,19 g,en quantité élevée,0.47 g,en quantité modérée,,-17%,-17%,-29%,-18%,-8%,-6%,-6%,-6%,-6%,13,-14%,D,-14%,,,,,,,,,,,,,,,,,,,,,,
440,Le Diamant Noir Pruneaux Mi-cuits Dénoyautés - 500g,3452551210051,['France'],[],[],?,234,979 kj(234 kcal),"0,3","0,08",54,35,2,"0,001",0,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,
441,Bière Jemme Blonde,3770010824046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Duo de poisson brochet saumon - 180g,3384230030332,['France'],[],[],?,177,741 kj(177 kcal),"9,1","4,7","1,9","1,8","20,2","1,79","0,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,"['FR 69.028.001 CE', 'Brindas (Rhône, France)']",,,,,,,,,,
443,Flan coco,3276550577010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Organic Balsamic & Olive - Bio Planete,3445020309929,['France'],[],[],?,?,,?,,?,,?,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio Planete'],,,,,,,,,,,,,
445,Matière grasse à tartiner 100% végétale - Unilever - 400g,04536253,['France'],[],['Sans huile de palme'],?,620,2594 kj(620 kcal),70,18,"0,5","0,5","0,5","0,49","0,196",,,"['Point Vert', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Unilever'],,,,,,,,,,,,,
446,Tabasco,8714100907511,['France'],[],[],?,16,67 kj(16 kcal),"0,6","0,2","1,5","0,4","0,9","1,8","0,72",,"['Epicerie', 'Sauces', 'Sauces pimentées']",,0.6 g,en faible quantité,0.2 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en quantité élevée,,-87%,-86%,-81%,-57%,-91%,-97%,-22%,-60%,-60%,7,-44%,C,-44%,,,,,,,,,['Tabasco'],,,,,,,,,,,,,
447,Bulles de citron vert,3760104810024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Yaourt pomme canelle - Domaine de Grignon,8009317722089,['France'],[],[],?,98,410 kj(98 kcal),"3,12","2,02","14,04","13,4","3,31","0,11","0,044",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la pomme', 'Yaourts au lait de vache']",,3.12 g,en quantité modérée,2.02 g,en quantité modérée,13.4 g,en quantité élevée,0.11 g,en faible quantité,,-1%,-1%,-5%,-4%,+4%,+9%,+5%,-1%,-1%,2,-36%,B,-36%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Domaine de Grignon'],,,,,,,,,,,,,
449,Torino double chocolate cookies,0041498146511,"['France', 'États-Unis']","['Chocolate ', 'sugar', 'chocolate liquor', 'milk fat', 'skimmed cocoa powder', 'cocoa butter', 'soy lecithin ', 'emulsifier', 'natural flavor', 'wheat flour', 'sugar', 'vegetable oil and fat palm oil', 'canola oil', 'coconut fat', 'palm kernel oil', 'salt', 'glucose syrup', 'skim milk powder', 'leavening ', 'ammonium bicarbonate', 'egg']","['Huile de palme', 'Non végétalien']",?,500,2092 kj(500 kcal),"27,78","13,89","58,33","33,33","5,56","0,348","0,139",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,27.8 g,en quantité élevée,13.9 g,en quantité élevée,33.3 g,en quantité élevée,0.347 g,en quantité modérée,,+5%,+5%,+34%,+38%,-9%,+13%,-14%,-41%,-41%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,"['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Soja']",4,,,Aldi-Benner Company,,,
450,Crostata Di Nocciole E Cacao - Leader Price - 500g,8054383509645,['France'],"['Farine de blé', 'sucre', 'huile de tournesol', 'fécule pomme de terre', 'noisette 4,4%', 'eufs', 'cacao en poudre 3,3%', 'lait écrémé en poudre', 'sirop de glucose-fructose', ""émulsifiants : mono - et diglycérides d'acides gras"", "" jaune d'euf"", 'arômes', 'poudres à lever: diphosphates', 'carbonates de sodium', ""carbonates d'ammonium"", ' sel', 'protéines de lait', "" Peut contenir des traces de soja et d'autres fruits à coque""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,478,2000 kj(478 kcal),23,"3,5",60,29,"6,5","0,33","0,132",,"['Tartes', 'Tartes sucrées', 'Crostata']",['Sans huile de palme'],23 g,en quantité élevée,3.5 g,en quantité modérée,29 g,en quantité élevée,0.33 g,en quantité modérée,,+20%,+20%,+43%,-48%,-1%,-10%,+27%,+47%,+47%,15,-12%,D,-12%,,,,,,,,500 g,['Leader Price'],['Leader Price'],,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]","['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,
451,Pain au chocolat - Leclerc,,['France'],[],[],?,406,1699 kj(406 kcal),22,16,41,11,"8,5","0,96","0,384",D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,22 g,en quantité élevée,16 g,en quantité élevée,11 g,en quantité modérée,0.96 g,en quantité modérée,,+3%,+2%,+0%,+20%,-3%,-8%,+19%,+6%,+6%,21,+7%,E,+7%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,['Leclerc'],,,,,,,,,,,,,
452,Edeka deli Ananas,4311527626298,['France'],[],[],?,49,205 kj(49 kcal),"0,24","0,01","11,3","11,3","0,4","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Edeka'],,,,,,,,,,,,,
