,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
0,"Haferkekse , Klassik -",4030011790153,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2017 de la Société Allemande d'Agriculture""]",['France'],[],[],?,442,1849 kj(442 kcal),"14,5","3,9","69,8","36,2","6,1","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Snacks DIABLOS goût jambon fromage - U - 75g,3256227463532,['Transformé en France'],"['France', 'La Réunion']","['Flocons de pomme de terre ', 'dont sulfites', ' 30%', 'amidon de pomme de terre ', 'dont sulfites', 'huile de tournesol', 'farine de riz', 'arôme ', 'dont lait', 'sel', 'curcuma déshydraté', 'arômes de fumée', "" traces éventuelles d'arachides"", 'de céréales contenant du gluten et de crustacés']","['Sans huile de palme', 'Non végétalien']",2008,480,2008 kj(480 kcal),24,"2,1",61,"1,2",4,"3,3","1,32",75 g,['U'],['Magasins U'],"['Lait', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Parismonade,3770013801037,,['France'],[],[],?,36,151 kj(36 kcal),0,0,"8,7",0,0,"0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sangría lolailo,8437001603176,,['France'],[],[],?,?,,?,,?,,?,,,,['Lolailo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RXBAR,0857777004928,,"['France', 'États-Unis']","['Dates', 'egg whites', 'almonds', 'cashews', 'chocolate', 'natural flavors', 'sea salt']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,210,879 kj(210 kcal),8,"1,5",23,18,12,"0,525","0,21",,,,"['Œufs', 'Fruits à coque']",4,Chicago Bar Company,['Snacks'],8 g,en quantité modérée,1.5 g,en quantité modérée,18 g,en quantité élevée,0.525 g,en quantité modérée,,-53%,-53%,-62%,-83%,-59%,-40%,+91%,-0%,-0%,-2,-111%,A,-111%,,,,,,,,,,,,,,,,,,
5,Limonade,3760262770291,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lot soupe de poisson/rouille/croutons,3760241200054,,['France'],[],[],?,167,699 kj(167 kcal),"1,3","0,3","3,2","0,5","4,5","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 34.108.532 CE', 'Frontignan (Hérault, France)']",,,,,,,,,,,,,,,,,
7,Canela de saigón tostada y molida - Ducros,3166296203307,,['France'],[],[],?,?,,?,,?,,?,,,,['Ducros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Escalopes de dinde,2614156016600,"['Nutriscore', 'Nutriscore A']",['France'],[],[],?,108,452 kj(108 kcal),"1,3","0,4",0,0,24,"0,15","0,06",,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-11%,-10%,-2%,-1%,-100%,-100%,+5%,-73%,-73%,-4,,A,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
9,Caffeine free strawberry soda,0078000013696,,['France'],[],[],?,170,711 kj(170 kcal),0,0,46,46,0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Protein Powder 350 g Cappuccino,5425002404819,,['France'],[],[],?,379,1586 kj(379 kcal),"4,6","2,7","11,9","9,1","70,5","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Non fat yogurt,0078800112957,,['France'],[],[],?,90,377 kj(90 kcal),0,0,19,14,3,"0,05","0,02",,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.05 g,en faible quantité,,-2%,-2%,-100%,-100%,+73%,+39%,-20%,-57%,-57%,3,-2%,C,-2%,,,,,,,,,,,,,,,,,,
12,Choco chips,8436547642861,,['France'],[],[],?,475,1987 kj(475 kcal),20,4,66,25,"6,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Salteado Bulgur y quinoa - Carrefour,3560071092177,,"['France', 'Espagne']",[],[],?,93,389 kj(93 kcal),2,"0,4",15,"2,8","2,6","0,14","0,056",,['Carrefour'],['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Datte sucrée,3379140102057,,['France'],[],[],?,277,1159 kj(277 kcal),"1,5",0,"74,97","66,47","1,81",,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",1.5 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,,,,-7%,-7%,+430%,-100%,+9%,+13%,-16%,,,,,,,,C,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,
15,Feuilletés Framboise,3338880000870,,['France'],[],[],?,45,188 kj(45 kcal),16,"9,5",46,15,"7,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Radis équeutés,2868380008997,['Sans conservateurs'],['France'],[],[],?,10,42 kj(10 kcal),"0,5","0,01","1,1","1,1","0,7","0,028","0,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Terrine aux 3 poissons - En Cuisine - 1kg,3184830037591,,['France'],[],[],?,218,912 kj(218 kcal),19,"3,4","3,2","2,2","8,8","1,2","0,48",1 kg,['En Cuisine'],,,,,"['Terrines', 'Terrines de poisson']",19 g,en quantité modérée,3.4 g,en quantité modérée,2.2 g,en faible quantité,1.2 g,en quantité modérée,,+8%,+8%,+27%,-14%,-19%,+67%,-23%,+3%,+3%,5,-33%,C,-33%,,,,,,,,,,,,,,,,,,
18,Comptoir du Sandwich Jbn Supérieur,3323790302763,,['France'],[],[],?,254,1063 kj(254 kcal),12,"5,2",26,"3,5","9,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Crème de noix de coco - Aroy-D - 1L,0016229909819,"['Végétarien', 'Sans gluten', 'Végétalien', 'Halal']","['France', 'Allemagne', 'Espagne']","['EXTRAIT DE NOIX DE COCO 85%', 'EAU', 'EMULSIFIANT ', 'E435']","['Végétalien', 'Végétarien']",886,215,886 kj(215 kcal),21,19,"4,8","1,9","1,6","0,03","0,012",1 L,['Aroy-D'],['supermarché asiatique indépendant'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Crèmes végétales à base de coco pour cuisiner']",21 g,en quantité élevée,19 g,en quantité élevée,1.9 g,en faible quantité,0.03 g,en faible quantité,+28%,-14%,-8%,-3%,+2%,+17%,-2%,-31%,-55%,-55%,12,+23%,D,+23%,['FSC-C020428'],,,,,,,,,crème de noix de coco,['Brique TetraPak'],['Indonésie'],,,,,,
20,Lindt Mini Joghurt Pralinés 165G,4000539317705,,['France'],[],[],?,553,2314 kj(553 kcal),35,20,51,45,"7,2","0,2","0,08",,['Lindt'],,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",35 g,en quantité élevée,20 g,en quantité élevée,45 g,en quantité élevée,0.2 g,en faible quantité,,+2%,+2%,+4%,+14%,-1%,-4%,+19%,+39%,+39%,25,0%,E,0%,,,,,,,,,,,,,,,,,,
21,Jambon cuit supérieur - 12 tranches - 3x 260g,3177340087200,,['France'],[],[],?,112,469 kj(112 kcal),"2,7",1,"0,8","0,8",21,"1,9","0,76",3 x 260 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 87065', 'Feytiat (Haute-Vienne, France)', 'FR 87.065.001 CE', 'Feytiat (Haute-Vienne, France)']",,,,,,,,,,,,,,,,,
22,Cuisses de poulet,20200459,,['France'],[],[],?,187,782 kj(187 kcal),"13,3","3,8","0,1",0,"16,9","0,16","0,064",,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",13.3 g,en quantité modérée,3.8 g,en quantité modérée,0 g,en faible quantité,0.16 g,en faible quantité,,-2%,-2%,+7%,+13%,-69%,-100%,-8%,-79%,-79%,0,-100%,B,-100%,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
23,Eau de Bouleau - Comptoirs & Compagnies,3760123182492,,['France'],[],[],?,2,8 kj(2 kcal),"0,5","0,1","0,6","0,6","0,5",0,0,,['Comptoirs & Compagnies'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sirop zero calories goût erable - 425ml,5060614800118,,['France'],"['water', 'thickeners ', 'sodium carboxy methyl cellulose', 'xanthan gum', 'salt', 'colour ', 'caramel', 'flavouring', 'acid ', 'lactic acid', 'sweetener ', 'sucralose', 'preservatives ', 'potassium sorbate', 'sodium benzoate', ' how to use shake me well before use', ' see below how you can use and enjoy me', ' britain storage refrigerate me']",[],?,4,17 kj(4 kcal),0,0,"0,2","0,2",0,"0,3","0,12",425 ml,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E150 - Caramel', 'E270 - Acide lactique', 'E955 - Sucralose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,
25,Gros sel de l'île de ré,3346901040033,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,"['Epicerie', 'Condiments', 'Sels', 'Gros sels', ""Gros Sel de l'Ile de Ré"", ""Sel de l'Ile de Ré""]",,,,,,,,,,,,,,,,,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,
26,Tesco Wholefoods Macadamia Nuts 250Go,5052109861131,,['France'],[],[],?,751,3142 kj(751 kcal),"75,3","11,7","6,2","3,8",9,0,0,,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Biscuits Belvita Soft Bakes Chocolate 50G,7622210993250,,['France'],[],[],?,409,1711 kj(409 kcal),15,"3,6",62,21,"5,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Rice Krispies Riegel - kellogg's,5050083090318,,['France'],"[""kellogg's toasted rice cereal"", '28%', 'rice', 'sugar', 'salt', 'barley malt flavouning', 'niacin', 'iron', 'vitamin b6', 'btianin', ' folic acid', 'vitamin d', 'vitamin b12', 'sweetened condensed skimmed milk', '13%', 'skimmed milk', 'sugar', 'vegetable oils', 'palm', 'palm kemel', 'coconut', ' hount p ag', 'starch', 'invert sugar syrup', 'dried skimmed milk', '5', '5%', 'sugar', 'fructose', 'oligofructose', 'humectants ', 'glycerol', 'sorbitol', 'calcium carbonate', 'milk whey ', 'atitants', 'ascortyl palmitate', 'alpha tocopherol', 'acidity regulator', 'diphosphates', 'flavourings', 'vitamin d', ' for allergens see ingredients highlighted in bokd', ' och mlolk', "" ingredienser: kellogg's rostade risflingor"", '28%', 'ris', 'socker', 'salt', 'kormalt', 'niacin', 'jäm', 'vitamin b6', 'niboflavin', 'tiamin', 'folsyra', 'vitamin d', ' dummjölk', '13%', 'skummjölk', 'socker', 'vegetabiliska oljor', 'palm', 'palmkäm', 'kokos', ' i varierande proportion', 'glukossirap', 'stärkekse', 'invertsockersirap d faktos', 'oligofruktos', 'fuktighetsbevarande medel ', 'glycerol', 'sorbitol', 'kalciumkarbonat', 'vasslepulver från mjölk', 'emulgeringsmedel', 'sojalecitin', ' deno', 'surhetsregelerande medel', 'difostater', 'arom', 'vitamin d', ' för allergener', ' se fet text', ' fd patukka paahdetuista riisimurdista ja ipahdetnt risimurot', '28%', 'risi', 'sokeri', 'suola', 'ohramallas,niasini', 'rauta', 'b6-vitamiini', 'riboflaviini', 'tiamiini', 'foolihappo', 'd-vitamini', 'b12-vitamiini', 'sokeroitu maito', 'soken', 'kasviölyt', 'palmu', 'palmuydin', 'kaokos', ' vaihtelevassa suhteesa', 'glukoosisiirappi', 'tärkkelys', 'invertisokerisirappi', 'rasvaun pruktosi', 'kosteudensäilytajä ', 'glyseroli', 'sorbitol', 'kalsiumkarbonaatti', 'maidon herajauhe', 'emulgointiaine', 'soijalesitin', 'hapetumisenestoaineet/askon at', 'aoma', 'd-viamini', ' alertadedoc katso lihavoidit ainsasat', ' r μπαράκια δημητφιακν από ξεροψημάνους κόκκουςριίού και γολ *****']","['Huile de palme', 'Non végétalien']",?,413,1728 kj(413 kcal),11,"8,5",73,29,"5,1","0,55","0,22",,"[""kellogg's""]",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['mixed plastic-packet'],,"['E422 - Glycérol', 'E420 - Sorbitol', 'E307 - Alphatocophérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,,
29,60% protein - Weider,4044782309483,,['France'],[],[],?,370,1548 kj(370 kcal),10,"6,1",13,"0,7",60,"0,61","0,244",,['Weider'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lindt Lindor (Milch) - Lindt & Sprüngli,4000539102523,,['France'],[],[],?,617,2582 kj(617 kcal),47,35,43,43,"4,6","0,15","0,06",,['Lindt & Sprüngli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Saveurs attitudes banane,3299430034373,"['Commerce équitable', 'Max Havelaar']",['France'],[],[],?,225,941 kj(225 kcal),"0,2","0,1","54,9","51,8","0,8","1,9","0,76",,['Saveurs attitudes'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",0.2 g,en faible quantité,0.1 g,en faible quantité,51.8 g,en quantité élevée,1.9 g,en quantité élevée,,+1%,+1%,-24%,+101%,+3%,+1%,+55%,+8090%,+8090%,15,+61%,D,+61%,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
32,Biskrem,6223003800147,,['France'],[],[],?,220,920 kj(220 kcal),"24,5",11,"67,5","29,5","4,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,butter chicken cooking sauce - Lidl,,,['France'],"['Y Cooking sauce Wiun Onlons', 'cream', 'tomatoes Auter and a spice cap containing seasoning for chicken ingredients 97% Curry Cooking Sauce ', 'Water', '12% Onions', '118 Single Cream ', 'Milk', '5% Tomatoes', '4% Tomato Paste', 'Sugar', '3% Butter ', 'Milk', 'Rapeseed Oil', 'Modified Maize Starch', 'Ginger Purée', 'Garlic Purée', 'Salt', 'Ground Coriander Seed', 'Ginger Powder', 'Paprika Powder', 'Ground Cumin Seed Acid: Lactic Acid', ' Acidity Regulator: Citric Acid', ' Dried Fenugreek Leaves', 'Ground Black Pepper', 'Cinnamon Powder', 'Cardamom Powder', 'Colour: Paprika Extract', ' Smoked Paprika Powder', 'Chilli Powder', '3% Spice Cap Seasoning ', 'Rice Flour', 'Paprika Powder', 'Ground Cumin Seed', 'Sugar', 'Ground Coriander Seed', 'Cardamom Powder', 'Cinnamon Powder', 'Anticaking Agent: Silicon Dioxide', ' Ground Cloves', 'Ground Fenugreek Seed', 'Colour: Paprika Extract', ' Alergy Advice For allergens', 'see ingredients in bold', ' May also contoin Doanuts']",['Non végétalien'],?,125,523 kj(125 kcal),"8,3","3,1",10,"5,6","1,8","0,73","0,292",,['Lidl'],,['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E270 - Acide lactique', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E551 - Dioxyde de silicium']",,,,,
34,Dientes de ajo negro ecológico,8437000271109,['Bio'],['France'],[],[],?,206,862 kj(206 kcal),0,0,54,12,10,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cacahuètes coques grillées,3760239182225,,['France'],[],[],?,613,2565 kj(613 kcal),"49,7","7,7","12,9","4,9","24,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Baguette bio u,,['Bio'],['France'],[],[],?,256,1071 kj(256 kcal),"0,8","0,2",51,14,"9,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Éclair café - carrefour - 2x75g,0202289015748,,['France'],"['Eau', 'sucre', 'ŒUFS entiers', 'farine de BLÉ', 'sirop de glucose', 'amidon', 'huile de colza', 'poudre de LAIT entier', 'BEURRE', 'arôme naturel de café 1', '4%', 'LACTOSÉRUM', 'huiles et graisses végétales palmiste', 'palme et karité', 'dextrose', 'poudre de jaune d’œufs', 'extrait de café 0', '48%', 'crème de LAIT', 'poudre de blancs d’ Œufs', 'LAIT écrémé', 'café soluble 0', '14%', 'protéines de LAIT', 'gélatine de POISSON', 'sel', 'arômes', 'curcuma', 'huiles de palmiste et coco totalement hydrogénées', 'émulsifiants E471-E322 - E472a', 'gélifiants : E450 - E407', 'stabilisant : E340', 'colorant : E160aiii']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1116,266,1116 kj(266 kcal),"10,8","4,3","37,1","27,2",5,"0,3","0,12",2x75g,['Carrefour'],"['Carrefour market', 'Carrefour']","['Œufs', 'Poisson', 'Gluten', 'Lait']",4,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",10.8 g,en quantité modérée,4.3 g,en quantité modérée,27.2 g,en quantité élevée,0.3 g,en quantité modérée,,+7%,+7%,-3%,-25%,+16%,+37%,+22%,-22%,-22%,14,+9%,D,+9%,,D,75.9%,13.5%,4.8%,3.3%,2.5%,0.0%,64,éclair au café,['Plastique'],,"['E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E160aiii - Bêta-carotène issu de blakeslea trispora']",,,,,
38,Haricot Mungo Cassé Non Décortiqué,3379140603493,,['France'],[],[],?,30,126 kj(30 kcal),0,0,6,4,3,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Huile extra vierge Minti,8033100323917,,['France'],[],[],?,822,3439 kj(822 kcal),"91,3",13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Extreme cookies,8000350005689,,['France'],[],[],?,527,2205 kj(527 kcal),"30,1","12,7","57,2",36,"0,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,chakchouka,3770012827052,,['France'],[],[],?,213,891 kj(213 kcal),"22,34","2,07","1,71",0,"1,45","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ravioli,3021690029444,,['France'],[],[],?,98,410 kj(98 kcal),"2,2","0,5",14,"2,8","3,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Jambonneau à la gelée,3397131020111,['Sans conservateurs'],['France'],[],[],?,185,774 kj(185 kcal),12,"3,9","0,1","0,1",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Poulet jaune fermier des Landes - Thiriet - 1,2à 1,8kg",3292590851316,['IGP'],['France'],['Poulet'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,141,590 kj(141 kcal),"6,5","2,3",0,0,20,"0,17","0,068","1,2 à 1,8 kg",['Thiriet'],['Thiriet'],,1,,"['Viandes', 'Volailles', 'Poulets']",6.5 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,0.17 g,en faible quantité,,-7%,-6%,+12%,+53%,-100%,-100%,-2%,-80%,-80%,-2,-242%,A,-242%,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,"https://livraison.thiriet.com/produits/viandes_volailles/volailles/poulet_jaune_fermier_des_landes,163,1139.html?&args=Y29tcF9pZD0xNTUmYWN0aW9uPWZpY2hlJmlkPSZ8&vars=ZmFtaWxsZV9pZD1TRkFNMS0xMS0xMiZwcm9kdWl0X2lkPTkyMDMyJmZpbHRyZV9wcm9kdWl0cz1hJTNBMCUzQSU3QiU3RA%3D%3D",,,,
45,Huile d'olive vierge extra,3760053000644,,['France'],[],[],?,823,3443 kj(823 kcal),92,12,0,0,0,0,0,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",92 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-3%,-12%,,,,,,6,-1%,C,-1%,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
46,Salchichas ibéricas de cerdo sin gluten,8433329009324,,['France'],[],[],?,196,820 kj(196 kcal),14,5,0,0,17,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Peppermint chewing gum,0200030184774,,['France'],[],[],?,179,749 kj(179 kcal),0,0,74,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bottarga Di Muggine GR40 - 40g,8021129004009,,['France'],[],[],?,415,1736 kj(415 kcal),28,"7,9",1,0,"39,7","2,3","0,92",40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Chanterelles Sachet,3417960032984,,['France'],[],[],?,324,1356 kj(324 kcal),"4,1","1,2",56,"3,4",16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Burger Buns - Americana - 250g,5037173101710,,['France'],[],[],?,270,1130 kj(270 kcal),"5,5",2,"44,7","3,7","8,8","0,89","0,356",250g,['Americana'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",5.5 g,en quantité modérée,2 g,en quantité modérée,3.7 g,en faible quantité,0.89 g,en quantité modérée,,-18%,-18%,-10%,+71%,-18%,-6%,-8%,-30%,-30%,0,-100%,B,-100%,,,,,,,,,,,['Plastique'],,,,,,,
51,Bruno sport - 500g,3328400830025,,['France'],[],[],?,253,1059 kj(253 kcal),"0,2","0,1","52,3","37,9","2,4",0,0,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Rhäzünser , Bergamotte - 1.5l",7610287003606,,"['France', 'Allemagne']",[],[],?,35,146 kj(35 kcal),0,0,9,8,0,,,1.5l,['Rhäzünser'],,,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,,,,-38%,-39%,-100%,-100%,-20%,-15%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
53,Integrale Spirali - Tegut - 500g,4305720053951,,"['France', 'Allemagne']",[],[],?,0,0 kj(0 kcal),"1,9","0,6",65,"4,3",13,,,500 g,['Tegut'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles de blé complet']",1.9 g,en faible quantité,0.6 g,en faible quantité,4.3 g,en faible quantité,,,,-100%,-100%,-72%,-80%,+33%,+108%,+71%,,,,,,,,,,,,,,,,,['Tüte'],,,,,,,
54,Riz pour sushi,3760239854085,,['France'],[],[],?,346,1448 kj(346 kcal),0,0,78,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Crémeux noisette - Tresors De Chefs,3663327002361,,['France'],[],[],?,554,2318 kj(554 kcal),33,"5,8",61,61,"3,3","0,15","0,06",,['Tresors De Chefs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Luengo Alubia Blanca Granja,8410505021066,,"['France', 'Espagne']",[],[],?,292,1222 kj(292 kcal),"2,1","0,3",38,"5,3",21,0,0,,['Luengo'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', ""Haricots d'Espagne""]",2.1 g,en faible quantité,0.3 g,en faible quantité,5.3 g,en quantité modérée,0 g,en faible quantité,,+101%,+106%,+104%,+24%,+120%,+345%,+132%,-100%,-100%,-1,,A,,,,,,,,,,,,,,,,,,,
57,Thunfisch mit getrockneten Tomaten - Hawesta,4006922007550,"['Pêche durable', 'Pêche durable MSC']","['France', 'Allemagne']",[],[],?,192,803 kj(192 kcal),10,"1,5","2,2","1,7",23,1,"0,4",,['Hawesta'],,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",10 g,en quantité modérée,1.5 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,,-10%,-9%,-29%,-47%,+170%,+326%,+14%,0%,0%,2,-54%,B,-54%,['MSC-C-51057'],,,,,,,,,,['Dosen'],,,,,,,
