,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,packaging,labels,manufacturing,traceability_code,additives,nova_score,markets,generic_name,link,ingredients_origins,palm_ingredients,brand_owner,origin_detail,producer_info
376,Ashoka Dal Palak (280G),8901552022040,,,['Ashoka'],,['France'],"['Eau', 'pois chiche', 'épinards', 'oignons', 'tomates', 'soja vert coupé', 'ail', 'huile de tournesol', 'gingembre', 'piment vert', 'sel', 'poudre de curcuma', 'cumin', 'épices ', 'anis étoilé', 'cardamome noire', 'poivre noir', 'carvi', 'cassia', 'piment', 'clous de girofle', 'coriandre', 'cumin', 'gingembre en poudre', 'graines de fenouil', 'coriandre en poudre', 'piment rouge en poudre', 'poudre de poivre noir', 'Asafoetida ', 'blé', 'cannelle en poudre']",[],,,,,,,,,?,,68,,285 kj(68 kcal),,"2,4",,"0,2",,"12,2",,0,,3,,"0,398",,"0,159",,,,,,,,,,,,,['Gluten'],,"[""À l'huile de tournesol""]",,,,,,,,,,,,
377,Haldiram Khatta Meetha Mix 400 GM - Haldiram’s,8904004401134,,,"['Haldiram’s', 'Haldiram']",,['France'],"['Refined Rice Flakes ', '22%', 'Bengal Gram Flour ', 'Besan', ' ', '21%/ Split Pulse Bengal Gram ', 'Chana Dal', ' ', '7%', 'Groundnut ', 'Peanuts', ' ', '5%', 'Sago ', '4%', 'Refined Sugar ', '4%', 'Red Lentils ', 'Masur Whole', ' ', '2', '5%', 'Green Peas ', '2%', 'Iodised Salt', 'Blac Red Chilli', 'Acidity Regulator & Antioxidant ', 'E 330', ' and Turmeric', ' Allergy Advice : Contains Peanut May Contain Tree nuts', 'Gluten', 'Sesame Seed', 'Milk', 'Soya & Mustard Seed']",[],,,,,,,,,?,,530,,2218 kj(530 kcal),,"29,25",,"12,48",,"57,38",,"4,26",,"9,26",,"0,36",,"0,144",,,,,,,,,,,,,"['Gluten', 'Lait', 'Arachides', 'Graines de sésame']",,,,,"['E406 - Agar-agar', 'E330 - Acide citrique']",4,,,,,,,,
378,Haldiram's,8904004405422,,,"[""Haldiram's""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Huile De Coco Bio - 250 G - Khadi - 250ml,8906026911110,,250 ml,['Khadi'],['Matières grasses'],['France'],"['Cocos Nucifera ', 'Coconut oil', '*', '* certifié biologique']",[],99.4 g,en quantité élevée,93.9 g,en quantité élevée,0 g,en faible quantité,0.1 g,en faible quantité,?,,904,+12%,3782 kj(904 kcal),+13%,"99,4",+12%,"93,9",+312%,"0,1",-55%,0,-100%,"0,6",+239%,"0,1",-49%,"0,04",-49%,20,+77%,E,+77%,,,,,,,,,['Verre'],['Bio'],,,,,,,,,,,,
380,Oh! Ricey Rice Noodles,8934563207014,,,,['en:Rice Noodles'],['France'],[],[],0.6 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,1 g,en quantité modérée,?,,305,,1276 kj(305 kcal),,"0,6",,"0,2",,"67,6",,3,,"6,4",,1,,"0,4",,4,,C,,,,,,,,,,,,,,,,,,,,,,,
381,Farine pour ravioli crevette - Vĩnh Thuận - 400g,8934734072038,,400 g,['Vĩnh Thuận'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Amidons', 'Amidons de céréales']",['France'],"['amidon de riz', 'amidon de tapioca']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.19 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,"1491,88",+0%,356.91,+1%,"1491,88 kj(356 kcal)",+0%,"0,19",-48%,0,-100%,"88,63",+2%,0,-100%,"0,17",-54%,0,-100%,0,-100%,4,+4%,C,+4%,,,,,,,,,"['Sachet', 'Plastique']",['ISO 9001'],['Vietnam'],,,3,,,,,,,,
382,Beignets De Crevette Sa Giang -,8934746016327,C,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de manioc', 'Chips de manioc à la crevette']",['France'],[],[],0.2 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,2.4 g,en quantité élevée,?,,350,-30%,1464 kj(350 kcal),-30%,"0,2",-99%,"0,1",-96%,86,+33%,11,+42%,"1,5",-11%,"2,4",+21%,"0,96",+21%,16,-3%,D,-3%,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,,,,,,,,,,,,,,,
383,Sauce Soja épaise Maggi 700ML Vietnam - 700ml,8934804020402,B,700 ml,['Maggi'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0.37 g,en faible quantité,0.15 g,en faible quantité,?,,2,-98%,8 kj(2 kcal),-98%,0,-100%,0,-100%,"0,37",-98%,"0,37",-97%,"0,12",-98%,"0,15",-99%,"0,06",-99%,0,-100%,B,-100%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,['Soja'],['bouteille plastique'],,['Viet Nam'],,,,['Paristore'],,,['Viêt Nam'],,,,
384,Sweet potato Vermicelli,8934863374126,,,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,"0,3",,0,,85,,8,,"0,4",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,
385,"Galettes De Riz 22cm, 200g -  - 200g",8935000900406,,200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",['France'],[],[],0.39 g,en faible quantité,0.12 g,en faible quantité,0 g,en faible quantité,1.98 g,en quantité élevée,?,,341,+4%,1427 kj(341 kcal),+4%,"0,39",+29%,"0,12",+65%,"83,8",+11%,0,-100%,"0,51",-72%,"1,98",+115%,"0,792",+115%,12,+85%,D,+85%,,,,,,,,,,,,,,,,,,,,,,
386,Noix de cajou - Vinawang,8935000900710,E,,['Vinawang'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],[],[],45.7 g,en quantité élevée,36.6 g,en quantité élevée,1.9 g,en faible quantité,0 g,en faible quantité,?,,567.29998779297,-5%,2374 kj(567 kcal),-5%,"45,7",-1%,"36,56",+330%,19,-26%,"1,9",-71%,20,+7%,0,-100%,0,-100%,7,-8%,C,-8%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,,
387,Nougat Chinois - Vinawang - 250g,8935000904510,E,250 g,['Vinawang'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats chinois']",['France'],"['Farine de Tapioca', 'Cacahuètes', 'Sésame', 'Malte', 'Sucre', 'Eau']",[],0.14 g,en faible quantité,0 g,en faible quantité,42.6 g,en quantité élevée,0 g,en faible quantité,?,,173,-61%,724 kj(173 kcal),-61%,"0,14",-99%,0,-100%,"42,6",-35%,"42,6",-22%,"0,5",-93%,0,-100%,0,-100%,11,-31%,D,-31%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,"['Arachides', 'Graines de sésame']",['Plastique'],,,,,3,['Paris Store'],,,,,,,
388,Oreo Choco Sandwich Cookies 32.5G,8992760121014,,,['Oreo'],,['France'],"['wheat flour', 'sugar', 'non hydrogenated vegetable oil ', 'palm - contains antioxidant tbhq', 'cocoa powder', 'fructose syrup', 'leavening agents/raising agents ', 'sodium bicarbonate ', 'es00ii', 'ammonium bicarbonate ', 'e503ii', 'cornstarch', 'salt', 'emulsifier ', 'soy lecithin ', 'e322', 'flavor ', 'vanillin', 'contains permitteld food conditioners', 'contains permitted flavor', 'ollergen information: contains wheat and soy,']",['Huile de palme'],,,,,,,,,?,,491,,2060 kj(491 kcal),,"20,6",,"11,8",,"70,6",,"38,2",,"2,94",,"1,32",,"0,526",,,,,,,,,,,,,"['Gluten', 'Soja']",,,,,"['E319 - Butylhydroquinone tertiaire', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine', 'E322 - Lécithines']",4,,,,,,,,
389,Crevettes décortiquées,8994822000107,,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,1,,0,,14,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Nouilles Kaldu Ayam,8995188601861,,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,11,,5,,0,,0,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Tomaten Ketchup - Felix - 450g (400ml),9000295870792,B,450 g (400 ml),['Felix'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']","['Autriche', 'France', 'Allemagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,18 g,en quantité élevée,2.75 g,en quantité élevée,427,-0%,102,-4%,427 kj(102 kcal),-3%,"0,5",+105%,"0,1",+57%,22,-3%,18,-8%,"1,2",-8%,"2,75",+38%,"1,1",+38%,14,+16%,D,+16%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,"['Kunststoff', 'Flasche']","['Sans gluten', 'Sans colorants', 'Sans lactose', 'Sans conservateurs']",,,,,['Apriba'],,,,,,,
392,Manner Schnitten Original Neapolitaner 8er - 75g,9000331617114,,75 g,['Manner'],,"['Autriche', 'France']","['sugar', 'wheat four', 'vegetable fats ', 'coconut', 'palm', 'hazelnuts ', '12% in the cream', 'Iow fat cocoa powder', 'raising agent: sodium hydrogen carbonate', 'salt', 'emulsifier: soya lecithin', 'natural flavouring', ' May contain traces of Other nuts and milk solids', ' Keep cool and dry', '@Hrustljavi vaflji polnjeni z kremo ', '82%', ' ? Sestavine: sladkor', '$eniëna moka', 'rastlinska ma5ëoba ', 'kokosova', 'palmova', '12% v kremi', 'manj masten kakav v prahu', 'sredstvo za vzhajanje: natrijev hidrogenkarbonat', 'sol', 'emulgator: sojin lecitin', 'naravna aroma', ' Lahko vsebuje sledi drugih ore5ëkov in sestavin mleka', ' Hraniti na suhem pri sobni temperaturi', ' @ Kiupavé oplatky s krémovou oFGkovou néplni ', '82%', ' ? Sloieni: cukr', 'mouka', 'rostlinné tuky ', 'kokosovy', 'palmovj', 'liskové oiechy ', '12% v krému', 'nizkotuëny kakaovy pré5ek', 'kypiici létka: hydrogenuhliëitan sodny', 'sül', 'emulgitor: sojovj lecitin', 'piirodni aroma', ' Müie obsahovat stopy jinych suchYch skoüpkovych plodü a mléëné souüsti', ' Uchovivat pii pokojové teplotë a v suchu', ' @ Chrumkavé oplétky slieskovcovou népliou ', '82%', ' ? Zloienie: Cukor', '$eniëné müka', 'rastlinné tuky ', 'kokosovy', 'palmovj', 'lieskové ', '12% v kréme', 'odtuëneny kakaovy préSok', 'kypriaca létka: hydrogénuhliëitan sodny', ""sol'"", 'emulgitor: séjovj lecitin', 'prirodnâ ar6ma', ' Môle obsahovat stopy inych orechov a zloiiek mlieka', ' Skladujte v suchu', 'chrihte pred teplom', ' Krajina pôvodu: Raküsko', ' @ Mogyor6krémmel ', '82%', ' tôltôtt ropogés ostyaszeletek ? Osszetev6k: Cukor', 'büzaliszt', 'nôvényi zsirok ', 'kékusz', 'palma', 'tôrôkmogyoré ', '12% a krémben', 'zsirszegény kakaépor', 'térfogatnôve16 szer ', 'nitrium - hidrogén-karbonét', 'étkezési s6', 'emulgeélészer ', 'széjalecitin', 'természetes aroma', ' Glutént', 'széjét', 'mogyorét tartalmaz', ' A termék nyomokban diéféléket és tejôsszetev6ket tartalmazhat', ' Széraz', 'hüvôs helyen tirolandé', ' Szirmazési orszig: Ausztria', ' @Chrupiqce wafle z nadzieniem orzechowym ', '82%', ' ? Sktadniki: cukier', 'mqka pszenna', 't}uszcze roSlinne ', 'kokosowy', 'palmowy', 'orzechy laskowe ', '12% w nadzieniu', 'kakao w proszku o obniionej zawartoSci ttuszczu', 'substancja spulchniajqca: wodoroweglan sodu', 's61', 'emulgator: lecytyna sojowa', 'aromat', ' Alergeny: gluten', 'orzechy laskowe', 'soja', ' Moie zawieraé Sladowe iloSci innych orzechéw i mleka', ' Przechowywaé w temperaturze pokojowej w suchym miejscu']",['Huile de palme'],,,,,,,,,?,,485,,2029 kj(485 kcal),,"21,6",,"13,3",,"65,3",,"45,9",,"5,6",,"0,1",,"0,04",,,,,,,,,,,,,"['Fruits à coque', 'Soja']",,"['Agriculture durable', 'en:UTZ Certified']",,,['E500ii - Carbonate acide de sodium'],4,,,,,,,,
393,Smoothie cerise cassis rose - Pago,9001400102678,,,['Pago'],,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,14,,13,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,"D'arbo Naturrein Fruchtreich 70 %, Rosen Marille - 200g",9001432029424,B,200g,"[""D'arbo""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['France', 'Espagne']","['70% albaricoques', 'azúcar', 'zumo de limón concentrado', 'gelificante pectina Puede contener parte de huesos']",[],0 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,0.02 g,en faible quantité,?,,162,-26%,678 kj(162 kcal),-26%,0,-100%,0,-100%,39,-27%,39,-23%,"0,8",+59%,"0,02",-9%,"0,008",-9%,8,-11%,C,-11%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,['Glad'],,,,,3,['Carrefour'],,,,,,,
395,Darbo Brombeere-schwarze Ribisel Marmelade - 1pieces,9001432031656,D,1pieces,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']","['France', 'Allemagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0.01 g,en faible quantité,?,,220,-5%,920 kj(220 kcal),-5%,0,-100%,0,-100%,53,-4%,53,+0%,"0,5",-16%,"0,01",-71%,"0,004",-71%,7,-29%,C,-29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,
396,Feiner Pfirsich Konfitüre - Darbo,9001432045042,,,['Darbo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0.02 g,en faible quantité,?,,225,-17%,941 kj(225 kcal),-16%,0,-100%,0,-100%,55,+30%,55,+44%,"0,5",-78%,"0,02",-90%,"0,008",-90%,12,+29%,D,+29%,,,,,,,,,,,,,,,,,,,,,,
397,Roestis au lard,9001442221900,,,,,['France'],[],[],,,,,,,,,?,,168,,703 kj(168 kcal),,7,,"1,1",,21,,"0,6",,"3,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Redbull Blue Edition - Goût Myrtille - Red Bull,9002490235253,,,['Red Bull'],"['Boissons', 'Boissons énergisantes']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,?,,46,+28%,192 kj(46 kcal),+29%,0,-100%,0,-100%,11,+37%,11,+52%,0,-100%,"0,1",-13%,"0,04",-13%,15,+39%,E,+39%,,,,,,,,,,,,,,,,,,,,,,
399,Cranberry - Pago,9002515428417,C,,['Pago'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']","['France', 'Italie']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,?,,60,+33%,251 kj(60 kcal),+34%,"0,5",+216%,"0,1",+276%,14,+35%,14,+46%,"0,5",+48%,0,-100%,0,-100%,19,+181%,E,+181%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,,,,,
400,Pago fraise,9002515600875,,,['Pago'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['eau', 'purée de fraise ', '31%', 'sucre', 'jus à base de concentrés de : fraise ', '5,5%', 'citron', 'cassis', 'aronia', 'sureau ', ' arôme naturel']",['Sans huile de palme'],0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,50,-41%,209 kj(50 kcal),-44%,"0,5",+33%,"0,1",-40%,12,-39%,11,-40%,"0,5",-7%,0,-100%,0,-100%,15,+26%,E,+26%,,,,,,,,,,,,,,4,['Magasins U'],,,,,,,
401,Cracker-biscuits salés - 300g,9002859043383,,300 g,,,['France'],[],[],,,,,,,,,?,,700,,2929 kj(700 kcal),,30,,29,,12,,10,,12,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Zitronenlimonade XXL Mit Süßungsmitteln 3001ML Pet Flasche,9002859045431,,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"Schmackhafter, Milder Ketchup In Der 900g Flasche Von Niko",9002859047909,,,['NiKo'],,['France'],"['eau', 'concentré de tomates 34%', ""vinaigre d'alcool"", 'sucre', 'amidon de maïs modifié', 'sel de table', 'épaississant: E415', 'E412', ' conservateur: E210i E200', 'acidifiant: E330', ' épices', 'édulcorant: E955']",[],,,,,,,,,?,,53,,222 kj(53 kcal),,"0,1",,0,,12,,7,,"0,7",,"2,75",,"1,1",,,,,,,,,,,,,,,"[""Fabriqué dans l'UE""]",,,"['E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E955 - Sucralose']",4,,,,,,,,
404,Vis Don Fernando Sardientjes In Tomatensaus,9002859051777,,,['Don Fernando'],,['France'],[],[],,,,,,,,,?,,174,,728 kj(174 kcal),,12,,"3,6",,0,,0,,"16,4",,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Pesto Genovese,9002859058417,C,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']","['France', 'Allemagne', 'Espagne']","['slunečnico olej', 'bazalka 37%', 'kešu 7%', 'bramborovy dleph směs tvrdých sýrů 2% ', 'mleko,ja sl', 'syřidlo', 'lysozym', 'česnek ', 'ohsahir sIncitany', ' jedlá sül', 'piniove orisky 1egulátor kyselosti: E270', 'Müže ohsaonat KOOy inych ořechu', 'hořčice', 'korýšů b', 'celeru a mèkkýšů', 'Nahrwertdeklaration per,']","['Non végétalien', 'Non végétarien']",41 g,en quantité élevée,4.7 g,en quantité modérée,2.7 g,en faible quantité,3.2 g,en quantité élevée,?,,417,-7%,1745 kj(417 kcal),-7%,41,-7%,"4,7",-28%,"5,4",-8%,"2,7",+18%,"3,5",-26%,"3,2",+30%,"1,28",+30%,19,-3%,E,-3%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,['Moutarde'],['Glas'],,,,"['E1105 - Lysozyme', 'E270 - Acide lactique']",,,,,,,,,
406,"Woogie Mint-bonbons ""fine Drops"" In Der Wiederverschließbaren 200g Dose - 200g",9002859064104,E,200 g,['Woogie'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['glucosestroop', 'suiker', ""natuurlijke aroma's"", ' Kan sporen van melk bevatten', ' Geproduceerd in EU']",[],0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0 g,en faible quantité,?,,392,+10%,1640 kj(392 kcal),+9%,0,-100%,0,-100%,98,+18%,70,+21%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,4,,,,,,,,
407,Butter cookies,9002859067532,,,,,['France'],[],[],,,,,,,,,?,,509,,2130 kj(509 kcal),,26,,14,,62,,23,,"5,5",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Bruschetta Tomate - Stiratini,9002859080333,,,['Stiratini'],['en:Salted snacks'],"['France', 'États-Unis']","['Wheat flour', 'refined palm fat', 'olive oil,sugar', 'tomato powder ', '2', '8%', 'salt ', 'skimmed milk powder yeast', 'oregano ', '0', '9%', ' barley malt extract', 'emulsifiers ', 'mono-and diglycerides of fatty acids', 'wheat gluten', 'malted wheat flour', 'acidity regulator ', 'calcium carbonate', 'flour treatment agent ', 'ascorbic acid', 'enzymes', 'cayenne pepper']","[""Pourrait contenir de l'huile de palme""]",15 g,en quantité modérée,7.52 g,en quantité élevée,7.52 g,en quantité modérée,1.1 g,en quantité modérée,?,,422,+287%,1766 kj(422 kcal),+287%,"15,04",+181%,"7,52",+715%,"62,41",+369%,"7,52",+5%,"11,28",+761%,"1,102",-46%,"0,441",-46%,12,+42%,D,+42%,,,,,,,,['Gluten'],,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E170i - Carbonate de calcium', 'E300 - Acide ascorbique']",4,,,,,,STIRATINI,,
409,Zitronenkuchen 400g Packung Meister Moulin - 400g,9002859087233,,400 g,,,['France'],[],[],,,,,,,,,?,,414,,1732 kj(414 kcal),,20,,"1,9",,52,,22,,"5,8",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Haffer oaties,9002859100635,,,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,21,,"9,2",,64,,25,,"8,2",,"0,81",,"0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"Pago Ace Orange-karotte-zitrone, Einweg, Glasflasche - 0.2L",9003100406681,,,['Pago'],,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"0,5",,"0,1",,"9,2",,"9,2",,"0,5",,0,,0,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
412,Bio Haferkleie - Verival,9004617063527,,,['Verival'],,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,7,,"1,7",,63,,1,,13,,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
413,Spaghetti bolognese - M-Classic - 400g,9005545001674,,400 g,"['M-Classic', 'Migros']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires']","['France', 'Suisse']","['Pâtes cuites 45% ', 'eau', 'amidon de blé modifié', 'semoule de blé dur', 'gluten de blé', 'sel de cuisine iodé', '[sel de cuisine', 'iodate de potassium]', 'huile de colza', 'épices', 'eau', 'viande de bœuf 13% ', 'Autriche', 'tomates 8%', 'tomates séchées 4% ', 'tomates', 'huile de tournesol', 'vinaigre de vin blanc', 'sel de cuisine', 'épices', ""correcteur d'acidité: E330"", 'antioxydant: E300', 'concentré de tomate 4%', 'parmigiano reggiano 4%', 'huile de colza', 'oignons', 'carottes', 'céleri', 'amidon modifié', 'sel de cuisine iodé ', 'sel de cuisine', 'iodate de potassium', 'herbes aromatiques', 'sucre', 'épices', 'extrait de levure', 'extrait de viande de bœuf', 'caramel en poudre', 'concentré de vin rouge', 'arôme naturel', 'épaississants: E415 et E412', 'exhausteurs de goût: E621', 'E631 et E627', 'arôme']","['Non végétalien', 'Non végétarien']",3 g,en quantité modérée,1.5 g,en quantité modérée,1.5 g,en faible quantité,0.86 g,en quantité modérée,505,-28%,?,,505 kj(121 kcal),-32%,3,-52%,"1,5",-38%,15,-28%,"1,5",-38%,7,-5%,"0,86",-5%,"0,344",-5%,-1,-127%,A,-127%,,,,,,,,"['Céleri', 'Gluten', 'Lait']","['Carton', 'Barquette plastique']",,['Autriche'],,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']",4,['Migros'],Spaghetti à la bolognaise,,,,,,
414,"Weightwatchers Hähnchenbrustfilet Provencal, Mit P... - Weight Watchers - 350g",9005545002138,D,350 g,"['Weight Watchers', 'WW']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']","['France', 'Allemagne']",[],[],0.7 g,en faible quantité,0.2 g,en faible quantité,1.6 g,en faible quantité,0.85 g,en quantité modérée,376,-35%,89,-40%,376 kj(89 kcal),-39%,"0,7",-88%,"0,2",-88%,"12,6",-8%,"1,6",-18%,"7,3",-9%,"0,85",+1%,"0,34",+1%,-1,-170%,A,-170%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Œufs', 'Gluten']","['05 PP', '♷', '21 PAP']","['Sans arômes artificiels', 'Riche en protéines', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",['Österreich'],['AT 80284 EC'],,,['tegut...'],,https://gastina.com/produktlinien/fertiggerichte/ww/mediterranes-haehnchenbrustfilet/,,,,,
415,Pineaple nectar - Pfanner,9006900010218,,,['Pfanner'],,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,"0,5",,"0,01",,"9,5",,"9,5",,"0,5",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Knabbernossi - 12.5g,90026751,,12.5 g,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,552,,2310 kj(552 kcal),,50,,18,,"1,6",,"0,8",,24,,4,,"1,6",,,,,,,,,,,,,,"['Stück', 'Stück', 'Stück', 'Stück', 'Stück']",,,,,,,,,,,,,
417,"Protein Creme, Chocolate - Women's Best",9010128000517,,,"[""Women's Best""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']","['France', 'Suisse']",[],[],39.9 g,en quantité élevée,6.6 g,en quantité élevée,2.2 g,en faible quantité,0.1 g,en faible quantité,?,,528,-3%,2209 kj(528 kcal),-3%,"39,9",+17%,"6,6",-15%,"31,7",-38%,"2,2",-95%,21,+219%,"0,1",-10%,"0,04",-10%,12,-42%,D,-42%,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,
