,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
0,Melon gourmand -,3569881102458,['Melons confits'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,71 g,en quantité élevée,0.65 g,en quantité modérée,?,360,1506 kj(360 kcal),0,0,88,71,0,"0,65","0,26",16,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cookie pistache,0295251022967,,['France'],[],[],,,,,,,,,?,509,2130 kj(509 kcal),32,15,44,28,10,"0,35","0,14",,,"['FR 75.107.007 CE', 'Paris 7e  Arrondissement (Paris, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Biologico farina riso - 500g,8009852021043,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",['France'],[],[],1.1 g,en faible quantité,0.24 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,?,354,1481 kj(354 kcal),"1,1","0,24",79,"0,3","6,5","0,1","0,04",0,B,,500 g,"['Bio', 'Bio européen', 'Sans gluten', 'IT-BIO-009']",,+2%,+2%,-37%,-22%,+13%,-79%,-38%,+228%,+228%,,,,,,,,,,,,,,,,,,,,,,,
3,Confiture extra coing - Les fermes de Gally - 375g,3770003257479,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de coings']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,54.3 g,en quantité élevée,2.75 g,en quantité élevée,?,236,987 kj(236 kcal),"0,2",0,"57,1","54,3","0,1","2,75","1,1",21,E,,375 g,,,+6%,+6%,-10%,-100%,+5%,+5%,-59%,+11311%,+11311%,+108%,+108%,B,['Les fermes de Gally'],38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
4,Fusilli aux fromages,3250392945619,,['France'],[],[],,,,,,,,,?,713,2983 kj(713 kcal),"8,5","5,9","14,1","0,9","8,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yssinbleu royal,2345532023461,,['France'],[],[],,,,,,,,,?,319,1335 kj(319 kcal),25,15,"2,4","0,1",21,"1,3","0,52",,,"['FR 43.007.001 CE', 'Araules (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Le béret Basque,3540190009157,,['France'],[],[],,,,,,,,,?,381,1594 kj(381 kcal),27,"9,9",44,31,29,"5,3","2,12",,,"['FR 64.484.001 CE', 'Saint-Jean-le-Vieux (Pyrénées-Atlantiques, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jambon en dés,2299008045467,,['France'],[],[],,,,,,,,,?,119,498 kj(119 kcal),4,"1,4","0,6","0,6",21,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pizza tradizionale Margherita,8003000510304,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas margherita']",['France'],[],[],6.8 g,en quantité modérée,3.1 g,en quantité modérée,3.2 g,en faible quantité,1.2 g,en quantité modérée,?,232,971 kj(232 kcal),"6,8","3,1",32,"3,2",10,"1,2","0,48",5,C,,,,,+2%,+2%,-9%,-12%,+10%,+19%,+6%,-6%,-6%,-30%,-30%,B,,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,,,,,,,,,,,,
9,Sushi daily verde thon mayo,3760199056581,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Roti cuit tranches fines X 8,2238077031292,,['France'],[],[],,,,,,,,,?,139,582 kj(139 kcal),"4,2","1,6","0,5","0,5",25,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chocochips,3701292400222,,['France'],[],[],,,,,,,,,?,551,2305 kj(551 kcal),37,16,41,13,"8,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,sauce sriracha,3760239856737,,['France'],[],[],,,,,,,,,?,104,435 kj(104 kcal),"0,7",0,"22,9","17,5","1,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chorizo fort,2889578009183,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Crème extra à la truffe d'été,3770012162160,,['France'],[],[],,,,,,,,,?,216,904 kj(216 kcal),"20,5","2,7","0,5","0,5","3,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Boeuf braisé,4032582004059,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Peanut Butter,2001023064688,,['France'],[],[],,,,,,,,,?,616,2577 kj(616 kcal),49,"6,7",12,"5,6",28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Kinder,5056086524225,,['France'],[],[],,,,,,,,,?,546,2284 kj(546 kcal),"32,5","20,2","57,1","53,2","5,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Oignons jaune,3180504301104,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,B,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,,,
19,Sirop d\'érable - Maple Joe,1088121700282,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,['Maple Joe'],,,,,,,,,,,,,,,,,,,
20,Loukoums rose,3760101391052,,['France'],[],[],,,,,,,,,?,370,1548 kj(370 kcal),0,0,72,72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cranberry sauce,0065912003235,"['Epicerie', 'Sauces', 'Sauces à la canneberge']",['France'],[],[],65 g,en quantité élevée,8 g,en quantité élevée,14 g,en quantité élevée,9 g,en quantité élevée,?,546,2284 kj(546 kcal),65,8,37,14,1,9,"3,6",26,E,,,,,+190%,+190%,+18471%,+8789%,-15%,-63%,+452%,+18728%,+18728%,+169%,+169%,,,,,,,,,,,,,,,,,,,,,
22,Popcorn au caramel,6111175001724,,['France'],[],[],,,,,,,,,?,325,1360 kj(325 kcal),"2,6","0,9",72,46,2,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Baies de goji séchées,2600328021251,,['France'],[],[],,,,,,,,,?,317,1326 kj(317 kcal),"2,7","0,3","53,9","53,1",13,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Mimolette,2240324044542,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),30,21,0,0,32,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Beurre,3700819800309,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",['France'],[],[],,,,,,,0 g,en faible quantité,?,?,,?,,?,,?,0,0,,,"['EMB 35239C', 'Retiers (Ille-et-Vilaine, France)']",,,,,,,,,,,-100%,-100%,,,E,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
26,Matcha & Red Bean Ice bar,4710122204779,,['France'],[],[],,,,,,,,,?,208,870 kj(208 kcal),"7,5","6,4","31,9","21,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,This is not greated cheese,8720165386765,,['France'],[],[],,,,,,,,,?,529,2213 kj(529 kcal),40,"6,84","29,8","6,82","20,2","2,29","0,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pates de fruits - Saveurs & nature,3760077180469,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,74.9 g,en quantité élevée,0.07 g,en faible quantité,?,314,1314 kj(314 kcal),"0,2",0,"77,4","74,9","0,4","0,07","0,028",8,C,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fabriqué en France', 'Sans colorants', 'AB Agriculture Biologique']",,-0%,-0%,-41%,-100%,+2%,+13%,-38%,-42%,-42%,-3%,-3%,C,['Saveurs & nature'],82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,
29,Croquant framboise,0203366024936,,['France'],[],[],,,,,,,,,?,290,1213 kj(290 kcal),18,11,27,22,"3,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Salade de fruits,2042219058258,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Calissons d'Aix - le Roy René,3102621012244,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",['France'],[],[],17 g,en quantité modérée,1.7 g,en quantité modérée,47 g,en quantité élevée,,,?,444,1858 kj(444 kcal),17,"1,7",63,47,8,,,,,,,,,-1%,-1%,-5%,-2%,+2%,-6%,+5%,,,,,B,['le Roy René'],43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,
32,Classic pancake mix,5000354909993,,['France'],[],[],,,,,,,,,?,156,653 kj(156 kcal),"1,9","0,5","27,7","0,9","6,4","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Crème légère 4% - Casino - 20cl,3222475977893,['Creme fraiche fluide'],['France'],"[""SPĘCIALITÉ LAITIERE A BASE DE CRÈME LÉGÈRE STÉRILISÉE UHT À 4% DE MATIÈRES GRASSES* *Contient 3 fois moins de matières grasses qu'une crème légère"", ' Lait écrémé ', 'origine : France', ' - crème légère 33% ', 'origine : France', ' - amidon transformé de maïs - émulsifiant : E472e - stabilisants : E440', 'E407 - arôme colorant: E160a', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', ' Conservation : avant ouverture', 'peut se conserver hors du réfrigérateur à température inférieure à • 18°C']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4 g,en quantité modérée,2.7 g,en quantité modérée,4.2 g,en faible quantité,0.12 g,en faible quantité,308,74,308 kj(74 kcal),4,"2,7","6,5","4,2","2,9","0,12","0,048",1,B,['FSC-C014047'],20cl,,,,,,,,,,,,,,,['Casino'],,,,,,,,"['par 3', 'Film en plastique', 'Brique en carton']",['Casino'],"['E14XX - Amidons modifiés', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",['Lait'],4,,,,,,,
34,Pain aux abricots et amandes,8437006555029,,['France'],[],[],,,,,,,,,?,303,1268 kj(303 kcal),"5,4","0,4","53,5","38,1","4,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Riz Thaï Long grain - Bio villages,356470708482604,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,['Bio villages'],,,,,,,,,,,,,,,,,,,
36,Freedent Chewing-gum Cerise-menthe x70,4009900409865,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Freedent'],,,,,,,,,,,,,,,,,,,
37,Yaourt à la fraise,3770005418700,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']",['France'],[],[],3.4 g,en quantité modérée,1.6 g,en quantité modérée,9 g,en quantité modérée,1 g,en quantité modérée,?,12,50 kj(12 kcal),"3,4","1,6",12,9,"2,7",1,"0,4",5,C,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,-88%,-88%,+14%,-16%,-9%,-27%,-26%,+835%,+835%,+86%,+86%,B,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,
38,Cashew Nuts,7711269020724,,['France'],[],[],,,,,,,,,?,595,2489 kj(595 kcal),"46,6","9,1","22,6","6,1","19,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CBD INFUSED COOKIE,5060705150795,,['France'],[],[],,,,,,,,,?,373,1561 kj(373 kcal),"9,9","4,8","48,8",21,20,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cocoa caramels,0200024010676,,['France'],[],[],,,,,,,,,?,416,1741 kj(416 kcal),11,8,58,2,"0,15","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Dragées aux amendes,3264021132585,,['France'],[],[],,,,,,,,,?,438,1833 kj(438 kcal),11,"0,9",78,77,"4,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,K’bichoo,3760256900024,,['France'],[],[],,,,,,,,,?,1392,5824 kj(1392 kcal),"0,5","0,3",77,60,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Figues Les Moelleux - 1kg,3665707000158,,['France'],[],[],,,,,,,,,?,262,1096 kj(262 kcal),"1,7","0,7",54,"39,1",3,"0,39","0,156",,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Biere,3770001887630,,['France'],[],[],,,,,,,,,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Crispy mango,8858358010491,,['France'],[],[],,,,,,,,,?,400,1674 kj(400 kcal),0,0,92,80,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Jus de pomme fermier,3760295520030,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,45,188 kj(45 kcal),0,0,"11,4",0,0,0,0,-3,B,,,,,-2%,-2%,-100%,-100%,+5%,-100%,-100%,-100%,-100%,-173%,-173%,C,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
47,Baked berry,9326666000545,,['France'],[],[],,,,,,,,,?,401,1678 kj(401 kcal),"11,2","1,6",63,"22,2",9,"6,4","2,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Crunch WAFER Snack,7613038760292,,['France'],[],[],,,,,,,,,?,506,2117 kj(506 kcal),24,13,65,46,"5,5","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Repas Complet Dègue Du Chili 900GR,3469980000528,,['France'],[],[],,,,,,,,,?,1,4 kj(1 kcal),2,1,1,1,"15,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Delical noisette,6146472,,['France'],[],[],,,,,,,,,?,226,946 kj(226 kcal),"0,5",0,20,"6,3","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Le truffé,7612464630568,,['France'],[],[],,,,,,,,,?,322,1347 kj(322 kcal),28,"18,2","0,5","0,5",17,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Fromage brebis chèvre,0285308026574,,['France'],[],[],,,,,,,,,?,450,1883 kj(450 kcal),"39,2",27,5,"0,5","24,2",18,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Confiture cerises,2324469990084,,['France'],[],[],,,,,,,,,?,184,770 kj(184 kcal),"0,3","0,1","44,6","44,6","0,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pain bio,0297145018049,,['France'],[],[],,,,,,,,,?,1,4 kj(1 kcal),"1,3","0,2",49,"1,4","8,4","1,1","0,44",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Confiture extra d’oranges ameres,3517830115103,,['France'],[],[],,,,,,,,,?,207,866 kj(207 kcal),0,0,49,49,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3770012785284,3770012785284,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Biscottes à la farine complète,19314587,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Miele millefiori con tappo dosatore - Selex,8003100890344,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,0 g,en faible quantité,?,314,1314 kj(314 kcal),0,0,78,78,"0,4",0,0,,,,,,,+6%,+5%,-100%,-100%,+1%,+12%,+18%,-100%,-100%,,,B,['Selex'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
59,0084898900178,0084898900178,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Dipping sauce,9319224800657,,['France'],[],[],,,,,,,,,?,221.7973,928 kj(221 kcal),"9,68","1,68","29,4","21,12",4,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Panetonne,8058180153476,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],14 g,en quantité modérée,9 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en quantité modérée,?,374,1565 kj(374 kcal),14,9,54,25,7,"0,5","0,2",19,E,,,,,0%,+0%,-7%,+0%,+5%,-3%,+2%,+13%,+13%,+2%,+2%,C,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
62,Croissant,2030500434768,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Croustillants framboise,3555140004342,,['France'],[],[],,,,,,,,,?,590,2469 kj(590 kcal),42,18,40,21,13,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Croissants,2009000001084,,['France'],[],[],,,,,,,,,?,507,2121 kj(507 kcal),28,20,63,"9,2","9,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Miel-Apiculteur,3760037760144,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5 fruits pressés & Eau d’érable,3289196600080,,['France'],[],[],,,,,,,,,?,29,121 kj(29 kcal),0,0,73,72,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Hojicha,7613039581681,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Masala chai,05005638219,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Farine Complete D'epeautre,3380390133203,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Miel du Vert du Thines,3770017678109,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
71,Beurre demi-sel - MEALK - 250g,3760250050367,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",['France'],[],[],80 g,en quantité élevée,55 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,726,3038 kj(726 kcal),80,55,"0,6","0,5","0,8","1,5","0,6",25,E,,250 g,,,+1%,+1%,+1%,+2%,-19%,-19%,+18%,-27%,-27%,-6%,-6%,E,['MEALK'],91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
72,Ricoré,9615951541239,,['France'],[],[],,,,,,,,,?,126,527 kj(126 kcal),"0,1","0,1","9,4","9,4","3,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Dessert de fruits : pommes, orange",3469676612202,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bocal en verre'],,,,,,,,,,,
74,Biscottes,6210180197863,,['France'],[],[],,,,,,,,,?,405,1695 kj(405 kcal),10,"1,2",61,4,14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Maxi pépites de chocolat,2256203668990,,['France'],[],[],,,,,,,,,?,493,2063 kj(493 kcal),24,"8,9",62,37,"5,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Sauce tomante pimentee,8033891013882,,['France'],[],[],,,,,,,,,?,68,285 kj(68 kcal),"5,3","0,8","3,7","3,5",1,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Trio de quinoa,3329488115004,,['France'],[],[],,,,,,,,,?,381,1594 kj(381 kcal),6,"0,7",64,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,,
78,Confiture de mirabelles - Sicoly,3398281002484,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,,,?,191,799 kj(191 kcal),"0,5","0,1","0,5","0,5","0,5",,,,,,,,,-14%,-15%,+127%,+107%,-99%,-99%,+29%,,,,,B,['Sicoly'],38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
79,Hammer hit black IPA,3770013920226,,['France'],[],[],,,,,,,,,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Méli-mélo châtaigne - pomme - Domaine de Rapatel,3760306120099,,['France'],[],[],,,,,,,,,?,189,791 kj(189 kcal),"0,8","0,2",44,"16,7","1,1",0,0,,,,,,,,,,,,,,,,,,,['Domaine de Rapatel'],,,,,,,,,,,,,,,,,,,
81,Riz à Risotto,3760294960707,,['France'],[],[],,,,,,,,,?,347,1452 kj(347 kcal),1,"0,4",77,"0,2","6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Tapenade,5204401010018,,['France'],[],[],,,,,,,,,?,27,113 kj(27 kcal),"2,7","0,27","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Flageolets Bio,3398240247499,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Melimelo de canard,3280950105957,,['France'],[],[],,,,,,,,,?,122,510 kj(122 kcal),"6,9","3,3","3,3","1,7",50,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Framboise à la violette,3760029943470,,['France'],[],[],,,,,,,,,?,176,736 kj(176 kcal),"0,5","0,1",40,39,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,chocolune - Grillon d'or,0113421557920568,,['France'],[],[],,,,,,,,,?,373,1561 kj(373 kcal),"3,7","1,8",70,19,10,"0,5","0,2",,,,,['Bio'],,,,,,,,,,,,,,"[""Grillon d'or""]",,,,,,,,['Vrac'],['Biomonde'],,,,"['France', 'Bretagne']",,,,,,
87,Confiture Mangue Rhum -,3701247400093,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de mangues']",['France'],[],"['Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,55 g,en quantité élevée,0.01 g,en faible quantité,?,254,1063 kj(254 kcal),"0,5","0,1",57,55,"0,5","0,01","0,004",12,D,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09']",,+22%,+22%,+68%,+162%,+10%,+9%,+26%,-66%,-66%,+23%,+23%,C,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
88,Saucisson sec de porc,2866655047757,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
