,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,brand,categories,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,ingredients_origins,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,labels,palm_ingredients
0,Pain au raisins,0205639020997,['France'],[],[],?,0,0 kj(0 kcal),16,10,65,26,"8,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden 108,5033931603809,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sauce soja assaisonnée,4903065241004,['France'],[],[],?,42,176 kj(42 kcal),0,0,"7,5","7,5","3,1",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ecrasé de pomme de terre à la truffe noire 1% - Picard - 450g,,['France'],"['Pomme de terre cuite 56,8% [pomme de terre ', 'France', 'sel]', 'purée de pomme de terre 28%', 'crème 8,2% ', 'lait', 'échalote rissolée [beurre ', 'lait', 'échalote 1,3%', ""huile d'olive vierge extra]"", 'brisures de truffes noires ', 'truffe Tuber melanosporum 1%', 'jus de truffe', 'sel', 'sel', 'arôme truffe 0,1%', 'poivre']",['Non végétalien'],582,139,582 kj(139 kcal),"7,3","4,5",15,2,2,"0,36","0,144","Écrasé de pomme de terre cuisiné à la crème, aux échalotes et à la truffe noire aromatisé 1%, surgelé",450 g,['Surgelé'],['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre']",['France'],https://www.picard.fr/produits/ecrase-pomme-terre-truffe-noire-1-000000000000059027.html,['Picard'],['Lait'],4,7.3 g,en quantité modérée,4.5 g,en quantité modérée,2 g,en faible quantité,0.36 g,en quantité modérée,-40%,-43%,-44%,+196%,+233%,-68%,-10%,-64%,-40%,-40%,3,+108%,C,+108%,,,,,,,,,,,,,
4,Mélange de champignons forestiers à la crème - Picard - 450g,,['France'],"['Cèpe 20,4% ', 'Boletus aereus', 'Boletus edulis', 'Boletus pinicola', 'Boletus reticulatus', 'pholiote 20% ', 'Kuehneromyces mutabilis', 'crème fraîche liquide pasteurisée ', 'lait', ' 17,5% ', 'bolet jaune 13% ', 'Boletus luteus', 'brisure de morille 12% ', 'Morchella esculenta', 'Morchella conica', 'Morchella rotunda', 'morille entière 8% ', 'Morchella esculenta', 'Morchella conica', 'Morchella rotunda', 'eau', 'échalote confite 2,5% ', 'échalote 1,4%', 'sucre', 'huile de tournesol', 'oignon', 'sel', 'persil 1,2%,sel']",['Non végétalien'],331,80,331 kj(80 kcal),"6,5","4,5",3,"1,6","1,8","0,3","0,12","Mélange de champignons forestiers (53,4%), sauce à base de crème, échalote confite et persil (46,5%), surgelés",450 g,['Surgelé'],['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons']",['France'],https://www.picard.fr/produits/melange-champignons-forestiers-creme-000000000000059326.html,['Picard'],['Lait'],3,6.5 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,0.3 g,en quantité modérée,+157%,+95%,+108%,+731%,+2695%,+53%,+207%,-33%,-42%,-42%,-2,,A,,B,['Champignons origine UE et non-UE.'],56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,
5,Lentilles corail - 2kg,4260335834763,['France'],[],[],?,323,1351 kj(323 kcal),"1,6","0,2",42,"2,3",26,,,,2 kg,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",,,,,,1.6 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,,,,-4%,-4%,-1%,-19%,-13%,+28%,+4%,,,,,,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,
6,Fleur D'oranger,3760034625330,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 38133', 'Coublevie (Isère, France)']",,,
7,"10 mini-pains au chocolat, pur beurre - Picard - 250g",,['France'],"['Farine de blé* 41,9% [farine de blé ', 'gluten', 'gluten de blé]', 'eau*', 'beurre* ', 'lait', ' 16%', 'chocolat 11% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines de soja', 'sucre* 3,8%', 'levure*', 'oeuf* entier sucré issu de poule élevée en plein air ', 'liquide', 'pasteurisé', 'sel*', 'gluten de blé*', 'améliorant [farine de blé ', 'gluten', 'acérola en poudre', 'enzymes]']",['Non végétalien'],1466,350,1466 kj(350 kcal),16,9,"4,2","9,2","8,2","0,87","0,348","10 mini pains au chocolat, pur beurre, prêt à cuire, surgelés",250 g,['Surgelé'],['Picard'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],https://www.picard.fr/produits/10-mini-pains-chocolat-pur-beurre-000000000000082225.html,['Picard'],"['Gluten', 'Lait']",4,16 g,en quantité modérée,9 g,en quantité élevée,9.2 g,en quantité modérée,0.87 g,en quantité modérée,-13%,-12%,-12%,-27%,-32%,-90%,-23%,+14%,-4%,-4%,15,-24%,D,-24%,C,"['France', 'Belgique']",81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,['E322i - Lécithine'],,
8,Cavatappi - Bonneterre - 500g,3396411241734,['France'],[],[],?,353,1477 kj(353 kcal),"1,2","0,2",72,"2,5",12,0,0,,500 g,,['Bonneterre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,,,,,1.2 g,en faible quantité,0.2 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,0%,-0%,-33%,-47%,+3%,-21%,-3%,-100%,-100%,-1,,A,,B,['Italie'],65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,"['Bio', 'Bio européen', 'IT-BIO-009']",
9,Tradition Ambrée - La Soyeuse - 75cl,3770001439228,['France'],"['Eau', ""malts d'orge"", 'sucre de canne', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,75 cl,"['Bouteille', 'Verre']",['La Soyeuse'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales', 'Bières bio']",['France'],,,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,B,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Déconseillé aux femmes enceintes']",
10,Bananes Plantain en tronçons préfrits surgelés,3700248100230,['France'],[],[],?,200,837 kj(200 kcal),2,"0,5",44,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bob Barley - Brewheart - 33cl,4260605280344,['France'],"['eau', ""malt d'orge "", 'Munich', 'Pilsner', 'Cara', 'Chocolate', 'Black', ""malt d'avoine"", 'orge rôti', 'houblon ', 'East Kent Golding', 'levure']",[],?,?,,?,,?,,?,,,,33 cl,['Canette'],['Brewheart'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières noires', 'Bières artisanales', 'Russian Imperial Stout']",,,,"['Gluten', 'Avoine']",,,,,,,,,,,,,,,,,,,,,,,,C,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,['Déconseillé aux femmes enceintes'],
12,Salade d'algue,3760275629777,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lierac - 5ML,3508240001780,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,5 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Garbanzos de fuentesaúco cocidos tierra de sabor,8437006101073,['France'],[],[],?,65,272 kj(65 kcal),"1,6","0,2","12,7","1,5","8,9","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Graine de tournesol,8682665828193,['France'],[],[],?,650,2720 kj(650 kcal),55,10,"6,6","0,5",31,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,,,,,55 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,,,,+14%,+14%,+20%,+102%,-50%,-79%,+41%,,,,,,,C,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,
16,Pimenta blanca,8423018398129,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Olives vertes,5412535002520,['France'],[],[],?,142,594 kj(142 kcal),14,2,"2,4","0,5","0,6","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Rasberries in dark,9421903370273,['France'],[],[],?,555.5,2324 kj(555 kcal),38,23,45,"38,5",5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'CH-BIO-006']",
19,Semi-skimmes Milk,5099869043131,['France'],[],[],?,48,201 kj(48 kcal),"1,5",1,"4,9","4,9","3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pain suisse chocolat,0210731022305,['France'],[],[],?,340,1423 kj(340 kcal),17,11,40,17,"6,6","0,94","0,376",,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",,,,,,17 g,en quantité modérée,11 g,en quantité élevée,17 g,en quantité élevée,0.94 g,en quantité modérée,,-7%,-7%,+9%,+26%,-17%,+6%,-10%,+19%,+19%,21,+22%,E,+22%,,,,,,,,,,,,,
21,Pâte à pizza,0675451100045,['France'],[],[],?,191.4894,801 kj(191 kcal),"7,979","0,532","27,128","2,128","4,787","1,21","0,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pain complet,0204087010048,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0062273555601,0062273555601,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Over Blast instant energie,3700225605192,['France'],[],[],?,64,268 kj(64 kcal),0,0,16,7,0,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pomme du sud ouest,3760211820817,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,11,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Salade de fruits,0207267043232,['France'],[],[],?,37,155 kj(37 kcal),0,0,10,"5,7","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pain Drakkar,0208016009714,['France'],[],[],?,229,958 kj(229 kcal),"7,6","2,7",31,1,"9,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,La Tartinée Amande Chocolat,3770012006808,['France'],[],[],?,611,2556 kj(611 kcal),"51,2","9,1","13,7","13,7","19,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Prince de lu lot de 4,7622210554536,['France'],[],[],?,465,1946 kj(465 kcal),17,5,69,32,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Confiture extra myrtilles sauvages,3535710001612,['France'],[],[],?,254,1063 kj(254 kcal),"0,24","0,24",62,62,"0,24",0,0,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,,,,0.24 g,en faible quantité,0.24 g,en faible quantité,62 g,en quantité élevée,0 g,en faible quantité,,+16%,+16%,-8%,+442%,+16%,+22%,-38%,-100%,-100%,12,+30%,D,+30%,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,
31,Sablés chocolat noisettes,3335440226107,['France'],[],[],?,514,2151 kj(514 kcal),28,17,56,33,"7,1","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Impernal Malbec Cahors AOC,3242160100191,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Avoine gourmand,2615698018305,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Poulet,2255977020607,['France'],[],[],?,?,,?,,?,,?,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hipro,3033491604911,['France'],[],[],?,53,222 kj(53 kcal),"0,2","0,1",5,"4,8","7,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE HE-001 EG'],,,
36,Kruidnoten,8710482532778,['France'],[],[],?,440,1841 kj(440 kcal),11,"5,1",77,32,"6,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BLEDINA DOUCEUR AU FROMAGE BLANC Vanille de Madagascar 4x100g Dès 6 mois - 400g,3041091620415,['France'],"['Lait entier 41 % ', 'LAIT', ' - Eau - Fromage blanc 12,5 % ', 'LAIT', ' - Lait écrémé reconstitué 7 % ', 'LAIT', ' - Sucre 4,5 % - Amidons - Crème ', 'LAIT', ' - Epaississants : farine de graine de caroube', 'pectine - Acidifiant : acide citrique - Arôme naturel de vanille de Madagascar']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",313,74,313 kj(74 kcal),"2,2","1,1","11,1","7,4","2,4","0,1","0,04","Dessert lacté à la vanille, aromatisé, adapté à bébé",400 g,,['Blédina'],,,,,['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E410 - Gomme de caroube', 'E440 - Pectines', 'E330 - Acide citrique']",,
38,Filet de poulet,2860145021913,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['Nutriscore', 'Nutriscore A']",
39,Confit de canar,3380241007158,['France'],[],[],?,303,1268 kj(303 kcal),23,"7,8","0,5","0,5",24,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Banane,2803326004336,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Grande bière Ambrée d’Alsace écumée à l’ancienne,13397311,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Bio selectionné par nos bouchers,3266110902406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],
43,Vinaigre blanc balsamique,5204158000744,['France'],[],[],?,113,473 kj(113 kcal),0,0,24,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Chouquette,2071184000009,['France'],[],[],?,202,845 kj(202 kcal),12,"6,3",18,"3,6","5,7","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Escalopes de canard,2487838027948,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Escalope de dinde,2600281014178,['France'],[],[],?,109,456 kj(109 kcal),"0,8","0,4","0,5","0,5",25,"0,1","0,04",,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,0.8 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-10%,-10%,-39%,-1%,-83%,-35%,+9%,-82%,-82%,-4,,A,,D,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,
47,Caffè crema,5900420080116,"['Autriche', 'France']",[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Poireaux à la crème,0328069021577,['France'],[],[],?,70,293 kj(70 kcal),"3,7","1,5","6,2","4,1",2,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,La pastina la fattoria,8001040101483,['France'],[],[],?,349,1460 kj(349 kcal),"1,3","0,3",72,3,"10,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Novalac AR,3518073073014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Carottes râpées,3700009273050,['France'],[],[],?,60,251 kj(60 kcal),"2,6","0,2","6,6","6,6",1,1,"0,4",,,,,"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",,,,,,2.6 g,en faible quantité,0.2 g,en faible quantité,6.6 g,en quantité modérée,1 g,en quantité modérée,,-22%,-21%,-44%,-51%,+10%,+35%,+14%,+62%,+62%,5,+817%,C,+817%,B,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,
52,Ceinture fraise acide halal - El Morjane,3700640601977,['France'],[],[],?,369.79,1547 kj(369 kcal),"0,74","0,34","88,05","52,91","3,57",,,,,,['El Morjane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Terrine de campagne,3180940089284,['France'],[],[],?,313,1310 kj(313 kcal),"9,7","2,7","3,5","0,7",14,"1,7","0,68",,,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,,9.7 g,en quantité modérée,2.7 g,en quantité modérée,0.7 g,en faible quantité,1.7 g,en quantité élevée,,-3%,-3%,-66%,-75%,+53%,-19%,0%,+6%,+6%,12,-38%,D,-38%,,,,,,,,,,,,,
54,Ravioli D'esturgeon Et Caviar,8008693003690,['France'],[],[],?,225,941 kj(225 kcal),7,"2,9",28,"1,5",11,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tripes à la mode de Caen,3379670016220,['France'],[],[],?,?,,?,,?,,?,1,"0,4",,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Spécialités à base de tripes', 'Tripes à la mode de Caen']",,,,,,,,,,,,1 g,en quantité modérée,,,,,,,,,-15%,-15%,,,,,E,,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",
56,Filets de poulet,2276746026040,['France'],[],[],?,95,397 kj(95 kcal),"0,6",0,"1,2",0,21,0,0,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-27%,-27%,-79%,-100%,+151%,-100%,-8%,-100%,-100%,-4,,A,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
57,Framboise,3760105310752,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4 saucisses de Francfort,2289137025256,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Levure de bière,0208084035684,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Additifs alimentaires', 'Levures de bière']",,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,
60,Comte AOP Finesse 6 mois,2672944023094,['France'],[],[],?,428,1791 kj(428 kcal),35,23,"1,2",0,27,"0,81","0,324",,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.81 g,en quantité modérée,,+2%,+2%,+1%,+1%,+160%,-100%,+0%,-3%,-3%,13,0%,D,0%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,
61,pain campagnard campaniere,0260650011812,['France'],[],[],?,287,1201 kj(287 kcal),"1,3","0,2",59,"1,7","8,8","1,61","0,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sablés - Bonne Maman,6118540420319,['France'],[],[],?,518,2167 kj(518 kcal),26,13,63,33,"6,6","0,55","0,22",,,,['Bonne Maman'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tome noire des Pyrénées,0204377013841,['France'],[],[],?,350,1464 kj(350 kcal),29,20,"1,8",0,20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Confiture Sangria : orange, Bourgueuil, cannelle",3770013348204,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sous vide nature filets maquereaux,2429658023090,['France'],[],[],?,199,833 kj(199 kcal),"12,8","3,3","0,1",0,"20,8","1,7","0,68",,,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,,,,12.8 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,,-10%,-10%,-22%,-11%,-91%,-100%,+27%,+53%,+53%,12,+93%,D,+93%,D,,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,
66,Sirop de fleur de sureau,3760081670697,['France'],[],[],?,343.2,1436 kj(343 kcal),0,0,83,83,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Pettegole al tartufo,8033406267618,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Croquant sesame chocolat,8141681176683,['France'],[],[],?,572,2393 kj(572 kcal),39,11,42,38,11,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Vinaigre de cidre de l’Avesnois,3575540000409,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Vinaigres', 'Vinaigres de cidre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,
70,Filets de poulet,0213311074060,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
71,sirop,5450184100808,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5","0,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Cantal entre-deux,0210853025253,['France'],[],[],?,369,1544 kj(369 kcal),29,"20,6","0,8","0,5",26,2,"0,8",,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 15.162.001 CE', 'Riom-ès-Montagnes (Cantal, France)']",,,
73,Pâte feuilletée,8680211720021,['France'],[],[],?,348,1456 kj(348 kcal),"18,96",10,"36,42","8,03",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Pâté au foie gras,3700116102274,['France'],[],[],?,?,,?,,?,,?,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Pic saint loup,3186128028366,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Proteines petit poids,4260335833735,['France'],[],[],?,356.4,1491 kj(356 kcal),8,"4,2","3,2",0,81,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Georgia Sweet Heat,0052500083243,['France'],[],[],?,60,251 kj(60 kcal),0,0,13,12,0,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Levure de Bière,15138590,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,"['Additifs alimentaires', 'Levures de bière']",,,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,C,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,
79,Coeur de couenne,0209082022638,['France'],[],[],?,141,590 kj(141 kcal),"6,2","2,2","0,5","0,5","20,7","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Stoumf,2600901014694,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Piment Fort,8480017436788,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
