,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
0,Goran tee,4021209000123,['Fabriqué en Allemagne'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cranberrys - 100g,4058172241246,"['Bio', 'en:EG-Öko-Verordnung']",['France'],[],[],?,322,1,74,"0,8",100 g,1347 kj(322 kcal),"0,2",60,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bière IPA,3484703000272,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Le Petit baton,8410843122708,,['France'],[],[],?,435,35,7,23,,1820 kj(435 kcal),12,"5,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Semoule d’orge - Zamia - 1kg,5420038402914,,['France'],[],[],?,?,?,?,?,1 kg,,,,,,['Zamia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Diamanti al basilico bio,8007303014231,"['Bio', 'Bio européen', 'IT-BIO-014']",['France'],[],[],?,220,"7,9",30,"6,5",,920 kj(220 kcal),"3,5","0,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lomo des pyrenees - Delpeyrat,3067163641492,['Sans colorants'],['France'],[],[],?,198,"4,9","4,6",34,,828 kj(198 kcal),2,0,"1,5","0,6",['Delpeyrat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pastèques,8412276585976,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cerises de Provence - Bigarreau - 750g,3700587600095,,['France'],[],[],?,?,?,?,?,750g,,,,,,['Bigarreau'],,,,,,,"['EMB 84031X', 'Carpentras (Vaucluse, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tomate Cerise Allongée,3770008780385,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,"['EMB 66133B', 'Palau-del-Vidre (Pyrénées-Orientales, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Coulis tomates filière française herbes de Provence - Alpins Savoie - 350g,3252970010245,,"['France', 'Suisse']","['purée de tomates de Provence 99%', 'sel de Camargue', 'herbes de Provence 0,3%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,44,"0,41","8,6","1,5",350 g,184 kj(44 kcal),"0,04","6,6","0,8","0,32",['Alpins Savoie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,-15%,-62%,+49%,-5%,,A,['Bocal en verre'],['France'],['France'],http://accueil@alpina-savoie.com,['Leclerc'],3,0.41 g,en faible quantité,0.04 g,en faible quantité,6.6 g,en quantité modérée,0.8 g,en quantité modérée,-10%,-71%,+47%,+80%,+80%,-2,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,
11,citronnade artisanale - Lorina,3551720042773,,['France'],[],[],?,30,"0,5","7,6","0,5",,126 kj(30 kcal),"0,1","7,6","0,1","0,04",['Lorina'],"['Boissons', 'Citronnades']",,-6%,+557%,-5%,+291%,,,,,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,7.6 g,en quantité élevée,0.1 g,en faible quantité,-7%,+890%,+1%,+1556%,+1556%,11,+9%,E,+9%,,,,,,,,,,,,,,
12,Mélange d'epices pour lasagne - Knorr,8712423023185,,"['Belgique', 'France']",[],[],?,164,"8,9",12,"8,5",,686 kj(164 kcal),"4,1","2,4","0,68","0,272",['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,-27%,+71%,-61%,+14%,,B,['Barquette'],,,,,,8.9 g,en quantité modérée,4.1 g,en quantité modérée,2.4 g,en faible quantité,0.68 g,en quantité modérée,-28%,+460%,-79%,-95%,-95%,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,
13,Pomme mangue,3486061586085,['Sans sucre ajouté'],['France'],[],[],?,61,"0,5",14,"0,5",,255 kj(61 kcal),"0,1",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,velouté de cresson. - liebig - 1l,112407510,"['Végétarien', 'Union Végétarienne Européenne', 'en:FSC', 'Fabriqué en France', 'Sans conservateurs']",['France'],"['Eau,pomme de terre 18%', 'cresson de jardin 4,8%,crème fraîche 2,2%', 'oignon,amidons transformé de maïs', 'petits pois', 'sel,arômes ', ' contient lait', ' extrait naturel de poivre', ' peut contenir des traces de céleri', 'blé ', ' gluten ', ' et œuf']","['Non végétalien', 'Végétarien']",?,29,"0,7","4,5","0,8",1l,121 kj(29 kcal),"0,4","0,3","0,67","0,268",['Liebig'],"['Plats préparés', 'Soupes', 'Veloutés']",,-28%,-56%,-6%,-9%,['FSC C020428'],,['Brick'],['France'],['Vaucluse'],,['intermarché'],4,0.7 g,en faible quantité,0.4 g,en faible quantité,0.3 g,en faible quantité,0.67 g,en quantité modérée,-28%,-37%,-84%,+4%,+4%,2,+60%,B,+60%,,,,,,,,['E14XX - Amidons modifiés'],['Lait'],,,,,
15,BLEDICHEF 2x230g Petits Spaghetti et Crème de Légumes Dès 12 mois - Bledina - 460g,3041091436504,,['France'],"['Eau de cuisson - Carottes 17,3 % - Pâtes cuites 15,0 % - ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf "", 'OEUFS', ' - Petits pois - Oignons - Pommes de terre - Haricots verts - Amidon de maïs - Céleri ', 'CELERI', ' - Crème 2,00 % ', 'LAIT', ' - Champignons 1,60 % - Huiles végétales ', 'colza', 'tournesol', ' - Navets - Persil - Sel - Ail - Muscade - Clou de girofle - poivre noir']","['Sans huile de palme', 'Non végétalien']",270,65,"2,4","8,4","1,7",460 g,270 kj(65 kcal),"0,6","1,1","0,24","0,096","['Bledina', 'Bledichef']",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,"['Céleri', 'Œufs', 'Gluten', 'Lait']",Plat à base de légumes adapté à bébé.,,,,
16,Purée de fruits et legumes,3700653800046,"['Bio', 'Sans colorants']",['France'],[],[],?,62,"0,3","12,7","0,6",,259 kj(62 kcal),"0,2","10,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Beurre de cacahuette - yum yum - 800g,6001069033606,,['France'],[],[],?,550,"44,1",28,"20,3",800g,2301 kj(550 kcal),"7,5","13,2","3,42","1,368",['yum yum'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,-8%,-8%,+94%,-17%,,C,['Plastic'],['Afrique du Sud'],['South Africa'],,,,44.1 g,en quantité élevée,7.5 g,en quantité élevée,13.2 g,en quantité élevée,3.42 g,en quantité élevée,-8%,-10%,+108%,+542%,+542%,25,+127%,E,+127%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,
18,REGAÑÁS - Alba,8430777020161,,"['France', 'Espagne']",[],[],?,398,"4,2",78,"10,7",,1665 kj(398 kcal),"0,4","0,9","2,8","1,12",['Alba'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins', 'es:Picos de pan']",,+4%,+2%,+8%,+1%,,B,,,,,,,4.2 g,en quantité modérée,0.4 g,en faible quantité,0.9 g,en faible quantité,2.8 g,en quantité élevée,+4%,-42%,-59%,+32%,+32%,14,+13%,D,+13%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,
19,Kerastase Densifique - 250ml,3474636403912,,['France'],[],[],?,?,?,?,?,250 ml,,,,,,['Kerastase'],['Shampoing'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Champagne J.Contet Père et Fils,3347343901029,,['France'],[],[],?,?,?,?,?,,,,,0,0,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,D,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,
21,Bière artisanale du mont Ventoux,3760275850027,,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Domaine de la Bosse,3701172702187,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jackfruit - bio - 200g,4061458052115,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006', 'Point Vert']","['France', 'Allemagne']","['Jakobsfrucht ', 'Jackfruit', ' 60 %', 'Wasser', 'Sojasoße ', 'Wasser', 'Sojabohnen', 'Meersalz', 'Weizenmehl 10 %', 'Zucker', 'Kokosnussöl', 'Orangensaftkonzentrat', 'Maisstärke', 'Kokosblütenzucker', 'Sesamöl', 'Tomatenmark doppelt konzentriert', 'Sesamsaat 0,2%', 'Ingwerpulver', 'Zwiebelpulver', 'Knoblauchpulver', 'Kardamom']","['Végétalien', 'Végétarien']",?,77,2,"9,5","2,1",200 g,322 kj(77 kcal),"1,9","6,4","1,32","0,528","['Bio', '(Eigenmarke Aldi Süd)']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Substituts de viande']",,+12%,+987%,-37%,+441%,,,"['Karton', 'Kunststoffbeutel']",,['Südostasien'],https://aldi.in/91bc,['Aldi'],3,2 g,en faible quantité,1.9 g,en quantité modérée,6.4 g,en quantité modérée,1.32 g,en quantité modérée,+13%,+5746%,-53%,+6997%,+6997%,-4,,A,,,,,,,,,,"['Gluten', 'Graines de sésame', 'Soja']",Jackfrucht (Jakobsfrucht) in Soße,,,,
24,ferment lactique - alsa - 8g,17189208,,['France'],[],[],?,65,"3,5",4,"3,5",8g,272 kj(65 kcal),"2,5",4,"0,13","0,052",['Alsa'],['Desserts'],,-63%,-48%,-83%,+11%,['L90851AH91'],,['Paquet'],['Unilever france'],['France'],,['Intermarche'],,3.5 g,en quantité modérée,2.5 g,en quantité modérée,4 g,en faible quantité,0.13 g,en faible quantité,-63%,-31%,-78%,-2%,-2%,0,-100%,B,-100%,,,,,,,,,,,,,,
25,Coulommiers bio nature - Nature Bio,3257986286370,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,287,23,1,19,,1201 kj(287 kcal),16,"0,5","1,3","0,52",['Nature Bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers', 'Coulomniers']",,+3%,+3%,+96%,+1%,,C,,,,,,,23 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,+4%,+3%,+92%,-13%,-13%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
26,Mister Corn XL maíz gigante frito bolsa 85 g - Grefusa,8413164003497,,['France'],[],[],?,476,21,65,"5,5",,1992 kj(476 kcal),"2,6","0,7",2,"0,8",['Grefusa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bakehuset - 8STK,7041614004049,,"['France', 'Norvège']",[],[],?,271,"4,8","43,5","9,5",8 STK,1134 kj(271 kcal),"0,7","3,9","0,8","0,32",['Bakehuset'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Hot Dog']",,-10%,-28%,-13%,+9%,,B,['Sachet'],,,,['Joker'],,4.8 g,en quantité modérée,0.7 g,en faible quantité,3.9 g,en faible quantité,0.8 g,en quantité modérée,-10%,-45%,-47%,-32%,-32%,-4,-169%,A,-169%,72.6%,15.0%,7.8%,4.1%,0.5%,0.0%,81,,,,,,,
28,600g,21517778,,['France'],[],[],?,?,?,?,?,600 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cidre brut - Kerisac,3260425313018,,['France'],[],[],?,?,?,?,?,,,,,0,0,['Kerisac'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,D,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,
30,Cotes de provence,3262850046103,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Mejillón En Salsa Gallega 12-16 P. -,8410698024653,,"['France', 'Espagne']",[],[],?,197,15,"4,5",10,,824 kj(197 kcal),"1,7",1,"1,5","0,6",,"['Produits de la mer', 'Mollusques', 'Moules']",,+30%,+81%,+17%,-31%,,C,,,,,,,15 g,en quantité modérée,1.7 g,en quantité modérée,1 g,en faible quantité,1.5 g,en quantité modérée,+31%,+9%,+199%,+26%,+26%,4,+24%,C,+24%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,
32,Gesiers de volaille en gelee - Les Bories - 375g,3416952403016,,['France'],[],[],423,101,"2,3",0,20,375 g,423 kj(101 kcal),"0,8",0,"0,72","0,288",['Les Bories'],"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de poulet', 'Gesiers de volaille']",,-36%,-69%,-100%,-6%,,B,,,,,,,2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.72 g,en quantité modérée,-36%,-65%,-100%,-42%,-42%,-1,-118%,A,-118%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,Gesiers de volaille,,,,
33,Duo de riz Chou kale & cranberries,3289476000104,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],[],[],?,160,"8,8",16,3,,669 kj(160 kcal),"1,3","1,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Boulettes au mouton en tajine - Paul & Louise,3379670017340,"['Nutriscore', 'Nutriscore C']",['France'],"['Boulettes au mouton 30% ', 'viande de mouton ', 'origine non UE', ' 14,3%', 'protéines de soja réhydratées 9%', 'gras de mouton', 'eau', 'épices sel', 'fécule de manioc', 'arôme', 'plantes aromatiques', 'fécule de pomme de terre', 'betterave rouge déshydratée', 'tomates concassées ', 'tomates', 'jus de tomates', 'acidifiant: acide citrique', 'affermissant: chlorure de calcium', 'eau', 'courgettes 6,2%', 'poivrons 6,2%', 'concentré de tomates', 'raisins secs 2,7%', 'oignons', 'pois chiches réhydratés 2,5%', ""huile d'olive vierge"", 'miel', 'épices et plantes aromatiques', 'amidon transformé de mais', 'sel', 'jus de citron', ' Traces éventuelles de crustacés', 'poisson', 'céleri', 'lait', 'moutarde et céréales contenant du gluten']","['Non végétalien', 'Non végétarien']",?,114,6,"8,1","6,4",,477 kj(114 kcal),"2,2","4,8","0,8","0,32",['Paul & Louise'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au mouton']",,-9%,+29%,+124%,-51%,,,['Conserve'],,,,,4,6 g,en quantité modérée,2.2 g,en quantité modérée,4.8 g,en faible quantité,0.8 g,en quantité modérée,-9%,+55%,+738%,-12%,-12%,4,+1242%,C,+1242%,,,,,,,,"['E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E14XX - Amidons modifiés']",,,,,,
35,Blanche perle et les sept grains - 33cl,3760188960226,,['France'],"['Eau', ""Malt d'Orge"", 'Malt de Blé', 'Seigle', 'Avoine', 'Épeautre', 'Maïs', 'Orge', 'Houblon', 'Levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,33 cl,,,,,,['Perle'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blanches']",,,,,,,C,['Verre'],,"['Strasbourg', 'France']",,['E. Leclerc'],3,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Gluten', 'Avoine']",,,,,
36,Thé  vert infusé bio - Leader Price,8050327390270,['Bio'],['France'],[],[],?,24,0,"5,9",0,,100 kj(24 kcal),0,"5,9",0,0,['Leader Price'],,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Crack Crock,3760226470014,,['France'],[],[],?,500,25,68,7,,2092 kj(500 kcal),14,0,"0,175","0,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bishop Pale Ale -  - 33cl,3770001905198,,['France'],[],[],?,?,?,?,?,33 cl,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Pale Ale']",,,,,,,C,"['Bouteille', 'Verre']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
39,Sprite,5449000263070,,['France'],[],[],?,?,?,?,?,,,,,,,['Sprite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Marsh Mallow -,8712767505262,,['France'],[],[],?,323,0,79,"3,5",,1351 kj(323 kcal),0,64,0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,-9%,-100%,-5%,+65%,,E,,,,,,,0 g,en faible quantité,0 g,en faible quantité,64 g,en quantité élevée,0 g,en faible quantité,-10%,-100%,+10%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
41,"Bâtonnets smoothie orange, pomme et carotte - franprix - 4x70ml",3263858402113,,['France'],"[""Jus ď'orange à base de concentré 43% - jus de pomme à base de concentré 20% - jus de pomme concentré 15% - purée de carotte 15% - purée de pomme à base de purée concentrée 6%-stabilisant : farine de graine de caroube""]",[],?,78,0,18,"0,5",4x70 ml,326 kj(78 kcal),0,17,"0,03","0,012",['Franprix'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",,-61%,-100%,-36%,-80%,,,,,,,['Franprix'],4,0 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0.03 g,en faible quantité,-62%,-100%,-28%,-75%,-75%,2,-82%,B,-82%,,,,,,,,['E410 - Gomme de caroube'],,,,,,
42,Daim ice cream,4007993026259,,['France'],[],[],?,264,13,34,"2,6",,1105 kj(264 kcal),"7,9",30,"0,28","0,112",['Daim'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Zuivelspread Naturel Kuipje 200 Gram,8718265500808,,['France'],[],[],?,250,25,3,45,,1046 kj(250 kcal),16,3,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Thon blanc au naturel - Petit Navire - 160g,01906325,,['France'],[],[],?,519,3,0,24,160g,2171 kj(519 kcal),"0,8",0,1,"0,4",['Petit Navire'],"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",,+351%,+99%,-100%,-4%,,E,,,,,,,3 g,en quantité modérée,0.8 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,+351%,+71%,-100%,-4%,-4%,5,+1745%,C,+1745%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,,,,,
45,Compote de prune - Materne,5410046019068,,['France'],[],[],?,114,"0,5","27,5",0,,477 kj(114 kcal),"0,5",26,"0,02","0,008",['Materne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Dole,0038900028589,,['France'],[],[],?,61,0,14,"0,7",,255 kj(61 kcal),0,13,0,0,['Dole'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Kub Or - Bouillon déshydraté - Maggi - 128g,7613036052979,,['France'],"['Sel', 'sirop de glucose', 'arômes ', 'blé,céleri', 'exhausteurs de goût ', 'glutamate monosodique E621', 'guanylate et inosinate disodiques', 'huile de palme non hydrogénée', 'sucre', 'oignon', 'huile de tournesol', 'acidifiant ', 'acide citrique', 'ail', 'sucre caramélisé', 'graines de coriandre', 'extraits naturels de poivre et de céleri', ' Peut contenir: lait', 'œuf', 'moutarde']",['Huile de palme'],?,168,"7,6",18,"6,4",128 g,703 kj(168 kcal),"4,2","6,2","62,8","25,12",['Maggi'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes']",,+1%,-4%,+3%,+13%,,,"['Boite en carton', 'Cubes']",,['Fabriqué en France'],,,4,,,,,,,,,-2%,+8%,+28%,+128%,+128%,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Céleri', 'Gluten', 'Glutamate monosodique']",Bouillon déshydraté,['Huile de palme'],,,
48,Filtres à café bruns n°4 x80 - Marque Repère - 144g,3564700158166,,['France'],[],[],?,?,?,?,?,144 g,,,,,,"['Marque Repère', 'Plantation']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Feed sport banane - 2.55,3665069000957,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France', 'Sans lactose']",['France'],[],"['Végétalien', 'Végétarien']",?,682,24,59,50,2.55,2853 kj(682 kcal),"2,3","6,5","1,7","0,68",['Feed'],"['Plats préparés', 'Substituts de repas']",,+109%,+154%,+80%,+143%,,B,,,,,,,24 g,en quantité élevée,2.3 g,en quantité modérée,6.5 g,en quantité modérée,1.7 g,en quantité élevée,+115%,+12%,-53%,+113%,+113%,,,,,62.5%,17.1%,9.5%,6.2%,3.7%,1.0%,84,,,,,,,
50,PETITS MERLUS BLANCS CRUS SURGELES - 3x 500g,3586410316117,,['France'],[],[],?,0,"0,4","1,7",16,3 x 500 g,0 kj(0 kcal),"0,3",0,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ma p'tite salade  penne légumes confits  & mozzarella - la compagnie arctique - 250g,3289476000098,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],"['Pâtes Penne* cuites 40% ', 'eau', 'semoule de blé dur de qualité supérieure', 'aubergine préfrite* 21,2% ', ""aubergine'"", 'huile de tournesol', 'poivron rouge* 8,8%', 'mozzarella* 8% ', ""contient lait'"", 'poivron vert* 7%', 'jus de citron* à base de concentré ', 'eau', 'jus de citron* concentre', 'poivron jaune* 5,3%', ""huile d'olive vierge extra* 219%"", ""amidon de mais'"", ""ail'"", 'sel', 'basilic* 0,3%,herbes de Provence* 0,04%', 'anis vert* moulu', 'poivre blanc* moulu', "" '"", ""Matiere première issue de l'agriculture biologique UE ou non UE"", ' Présence éventuelle de moutarde']",['Non végétalien'],?,?,?,?,?,250g,,,,,,['la compagnie arctique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Plats préparés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Plats à base de pâtes', 'Salades', 'Légumes surgelés', 'Salades composées', 'Salades de pâtes']",,,,,,"['EMB 29188A', 'Plougasnou (Finistère, France)', 'FR 29.188.020 CE', 'Plougasnou (Finistère, France)']",,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,
52,HP Sauce -,5000111047760,,"['France', 'Royaume-Uni']","['tomatoes', 'malt vinegar ', 'from barley', 'molasses', 'glucose-fructose syrup', 'spirit vinegar', 'sugar', 'dates', 'modified cornflour', 'rye flour', 'salt', 'spices', 'flavourings', 'tamarind']",['Sans huile de palme'],?,122,"0,1","28,3","0,9",,510 kj(122 kcal),"0,1","23,1","1,2","0,48",,,,,,,,,,"['Bottle', 'bottle(s)']",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,
53,Crespelle al prosciutto - Beretta - 300g,8032413000355,,['France'],[],[],?,165,"9,1",13,"7,7",300g,690 kj(165 kcal),"6,3","2,9","0,54","0,216",['Beretta'],"['Plats préparés', 'Crêpes et galettes', 'Crêpes', 'Crêpes au fromage']",,-4%,+31%,-29%,+7%,,B,,,,,,,9.1 g,en quantité modérée,6.3 g,en quantité élevée,2.9 g,en faible quantité,0.54 g,en quantité modérée,-2%,+140%,-13%,-45%,-45%,6,+40%,C,+40%,57.1%,15.7%,5.5%,6.6%,3.2%,11.9%,79,,,,,,,
54,3517360012514,3517360012514,"['Sans colorants', 'Fabriqué en France', 'Sans additifs']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Knoblauchsauce mild - Kania - 300ml,20422455,,"['France', 'Allemagne']",[],[],?,?,?,?,?,300 ml,,,,,,['Kania'],"['Epicerie', 'Sauces']",,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
