,name,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,allergens,link,traceability_code,palm_ingredients,bar_code,brand_owner
0,Ylanté - Sagy - 2g,A,Thé noir pur Ceylan,2 g,['Sachet'],['Sagy'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés de ceylan']",['Point Vert'],['Ceylan'],['http://www.episaveurs.fr/produit/epicerie/produit_0004596.html'],"['RCIR', 'Armée de Terre']",['France'],['100% thé noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,"0,01",-51%,"0,01",+118%,"0,5",+155%,"0,5",+225%,"0,5",+156%,"0,01",+1189%,"0,004",+1189%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,
1,i-Twist 2hot4u - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Krunchy sauce burger - KFC,,,,,['KFC'],"['Epicerie', 'Sauces']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Twister® Poulet cuit au four - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The B.O.S.S® Bacon - KFC,,,,,['KFC'],"['Sandwichs', 'Hamburgers']",,,,,['France'],[],[],,?,,259,+4%,13,+4%,4,-15%,19,-7%,2,-37%,15,+15%,2,+71%,"0,8",+71%,,,,,,,,13 g,en quantité modérée,4 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,1084 kj(259 kcal),+3%,11,+10%,D,+10%,,,,,,,
5,Tower® Zinger - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Boxmaster® Fish - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Double Stacker Zinger - KFC,,,,,['KFC'],"['Sandwichs', 'Hamburgers']",,,,,['France'],[],[],,1070,+2%,?,,"12,8",+2%,"2,75",-41%,"19,6",-4%,"3,67",+17%,"14,4",+10%,"1,53",+31%,"0,612",+31%,,,,,,,,12.8 g,en quantité modérée,2.75 g,en quantité modérée,3.67 g,en faible quantité,1.53 g,en quantité élevée,1070 kj(256 kcal),+2%,9,-10%,C,-10%,,,,,,,
8,Duo Mix* + Pièces Hot (Pièces et Wings Hot) - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Big Mix * - KFC,,,,,['KFC'],['Fast food'],,,,,['France'],[],[],,1040,,?,,"14,1",,"3,14",,"12,9",,0,,"17,1",,"1,57",,"0,627",,,,,,,,,14.1 g,en quantité modérée,3.14 g,en quantité modérée,0 g,en faible quantité,1.57 g,en quantité élevée,1040 kj(249 kcal),,12,,D,,,,,,,,
10,Bucket Super Pilons & Tenders 1 - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wings Hot 3 - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pièces Hot 2 - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fish 2 - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4 Tomates cerises - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Frites petites salées - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Petite salade (sans sauce) - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sundae nature - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sundae Fraise - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tiramisu - KFC,E,,,,['KFC'],"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,,,,,,,,,,,,,,,,,,,,
20,Kream Ball® Fraise - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kream Ball® caramel - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sweet Imperial - KFC,,,,,['KFC'],,['Fabriqué en France'],,,,['France'],[],[],,661,,?,,0,,"< 4,35",,"34,8",,,,"< 4,35",,0,,0,,,,,,,,,,,,,,,,,661 kj(158 kcal),,,,,,,,,,,,
23,Salade - Nature (allégée) - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Salade - Balsamique - KFC,,,,,['KFC'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Salade - Caesar - KFC,,,,,['KFC'],,['Fabriqué en France'],,,,['France'],"['Eau', 'huile de colza', 'vinaigre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant : E33?', 'antioxydant : E224', 'sucre', 'sel', 'amidon modifié de pomme de terre', ""jaune d'œuf issu de poules élevées en plein air"", 'poudre de fromage ', 'lait', 'arôme naturel ', 'lait', 'acidifiant : acide lactique', 'épaississant : gomme xanthane', 'poivre', 'ail déshydraté']",['Non végétalien'],4,247,,1018,,24,,"2,3",,"5,4",,"3,3",,1,,"2,7",,"1,08",,,,,,,,,,,,,,,,,247 kj(1018 kcal),,,,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E415 - Gomme xanthane']","['Lait', 'Moutarde']",,,,,
26,Chinese Style Chicken Wings - Marks & Spencer - 350g,C,Ailes de poulet cuites dans une marinade au soja et aux cinq épices,350 g,"['Frais', 'Plastique']",['Marks & Spencer'],"['Viandes', 'Plats préparés', 'Frais', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Poulets', 'Plats préparés frais', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes', 'Ailes de poulet']","['Point Vert', 'Congelable']","['Royaume-Uni', 'Angleterre']","['Angleterre', 'Royaume-Uni']",['Marks & Spencer'],"['France', 'Royaume-Uni']","['Ailes de poulet ', '88%', ' - Sucre roux - Sucre - Vinaigre de vin blanc - Fécule de maïs - Sel - Cinq épices moulues ', 'anis étoilé - Clous de girofle - Cannelle - Graines de fenouil - Poivre noir', "" - Vinaigre - Purée d'ail - Purée de tomates - Colorant :  Anthocyanes "", 'issus de radis', 'Extrait de paprika - Purée de gingembre - Persil - Fèves de soja - Blé torréﬁé ', 'contient Gluten', ' - Sel de mer - Oignons déshydratés - Poudre de piment - Piment de la Jamaïque,']",[],4,926,+17%,?,,13,+8%,"10,2",+209%,?,,"3,09",+261%,?,,"0,903",-33%,"0,361",-33%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,13 g,en quantité modérée,10.2 g,en quantité élevée,3.09 g,en faible quantité,0.903 g,en quantité modérée,926 kj(221 kcal),+13%,,,,,"['E163 - Anthocyanes', 'E160c - Extrait de paprika']","['Gluten', 'Soja']",,,,,
27,Beef Stroganoff - Marks & Spencer - 600g,,Lanières de bœuf britannique marinées avec des champignons de Paris blancs et bruns et un sachet de sauce stroganoff onctueuse à l'eau-de-vie.,600 g,"['Frais', 'Plastique', 'Barquette', 'Atmosphère protectrice']",['Marks & Spencer'],"['Plats préparés', 'Frais', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés frais', 'Beef Stroganoff', 'Boeuf Stroganoff', 'Plats à cuisiner']",['Point Vert'],,"['Royaume-Uni', 'Angleterre']",['Marks & Spencer'],"['France', 'Royaume-Uni']","['Bœuf ', '25%', ' • Champignons de Paris blancs ', '17%', ' • Eau • Champignons de Paris bruns ', '12%', ' • Crème ', 'Lait', ' ', '9%', ' • Eau-de-vie ', '4%', ' • Huile de colza • Bouillon de bœuf ', ""Eau • Os de bœuf • Oignons • Purée de tomate • Carottes • Poireaux • Purée d'ail • Persil • Romarin déshydraté • Thym déshydraté • Feuilles de laurier moulues"", ' • Oignons • Fécule de maïs • Crème aigre légère ', 'Lait', "" • Purée de tomate • Paprika moulu • Cassonade brune • Sel • Vinaigre de xérès • Purée d'ail • Persil • Farine de moutarde • Vinaigre • Cosse de moutarde • Poivre noir concassé • Jus de citron • Poivre noir grossièrement moulu • Piments moulus • Curcuma moulu""]","['Non végétalien', 'Non végétarien']",3,491,-34%,118,-36%,"7,8",-6%,"2,9",+15%,"2,9",-83%,"2,3",+2%,"8,5",+13%,"0,68",-33%,"0,272",-33%,,,,,,,,7.8 g,en quantité modérée,2.9 g,en quantité modérée,2.3 g,en faible quantité,0.68 g,en quantité modérée,491 kj(118 kcal),-35%,0,-100%,B,-100%,,"['Lait', 'Moutarde']",,,,,
28,Chocolat au lait à croquer à la noix de coco râpée - La Vie Claire - 100g,D,Tablette de chocolat au lait à la noix de coco,100 g,"['Papier', 'Aluminium']",['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['Amérique Latine'],['France'],['La Vie Claire'],['France'],"['Sucre de canne roux', 'beurre de cacao', 'poudre de lait entier 18,5%', 'noix de coco râpée 12%', 'pâte de cacao']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2424,+6%,?,,42,+22%,30,+53%,42,-19%,34,-31%,8,+12%,"2,2",+844%,"0,88",+844%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,42 g,en quantité élevée,30 g,en quantité élevée,34 g,en quantité élevée,2.2 g,en quantité élevée,2424 kj(579 kcal),+5%,29,+14%,E,+14%,,,http://www.lavieclaire.com,,,,
29,Étui XXL - Jeff de Bruges - 400g,,5 Tablettes de Chocolat,400 g,"['Carton', 'Papier métallisé']",['Jeff de Bruges'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']","['Point Vert', 'Fabriqué en France', 'Triman']",['Variable'],['France'],['Jeff de Bruges'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.jeff-de-bruges.com/fr/collections/tablettes/etui-xxl-5-tablettes,,,,
30,Protéine whey hydrolisée -,,Hydrolysed whey protein,,,,,,,,,['France'],[],[],,?,,367,,"1,67",,,,"5,33",,,,85,,,,,,,,,,,,,,,,,,,,,1530 kj(367 kcal),,,,,,,,,,,,
31,X-Tra Long Chili Cheese - Burger King,E,,,,['Burger King'],"['Sandwichs', 'Cheeseburgers']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/xtralong-chili-cheese,,,,
32,Double Cheeseburger - Burger King,E,,,,['Burger King'],"['Sandwichs', 'Cheeseburgers']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,,,,,,,,,,,,,,,,,,,,,
33,Chili Cheese Burger - Burger King,E,,,,['Burger King'],"['Sandwichs', 'Cheeseburgers']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,,,,,,,,,,,,,,,,,,,,,
34,Bacon Cheeseburger - Burger King,E,,,,['Burger King'],"['Sandwichs', 'Cheeseburgers']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,,,,,,,,,,,,,,,,,,,,,
35,Cheeseburger - Burger King - 115g,E,,115 g,,['Burger King'],"['Sandwichs', 'Cheeseburgers']",,,,,['France'],[],[],,?,,245,-6%,"11,4",-8%,"4,43",-15%,"22,5",-3%,"0,174",-96%,"12,5",-6%,"1,22",-7%,"0,487",-7%,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,11.4 g,en quantité modérée,4.43 g,en quantité modérée,0.174 g,en faible quantité,1.22 g,en quantité modérée,1030 kj(245 kcal),-6%,12,-6%,D,-6%,,,https://www.burgerking.fr/produit/cheeseburger,,,,
36,Chicken Nugget Burger - Burger King,D,,,,['Burger King'],"['Sandwichs', 'Burger au poulet']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,73.8%,12.6%,3.0%,3.4%,1.5%,5.7%,47,,,,,,,,,,,,,,,,,,,,,
37,Frites (petite) - Burger King,,,,,['Burger King'],"['Chips et frites', 'Frites']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/frites,,,,
38,Frites (grande) - Burger King,,,,,['Burger King'],"['Chips et frites', 'Frites']",,,,,['France'],[],[],,?,,251,+60%,10,+88%,"3,8",+423%,"34,9",+49%,"0,2",-65%,"3,4",+33%,"0,9",+203%,"0,36",+203%,,,,,,,,10 g,en quantité modérée,3.8 g,en quantité modérée,0.2 g,en faible quantité,0.9 g,en quantité modérée,1050 kj(251 kcal),+57%,7,,C,,,,https://www.burgerking.fr/produit/frites,,,,
39,King Wings (ailes de poulet – petite) - Burger King,D,,,,['Burger King'],"['Viandes', 'Volailles', 'Poulets', 'Ailes de poulet']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/king-wings,,,,
40,King Wings (moyenne) - Burger King,D,,,,['Burger King'],"['Viandes', 'Volailles', 'Poulets', 'Ailes de poulet']",,,,,['France'],[],[],,?,,223,+13%,"13,8",+15%,"4,15",+26%,"2,63",+1%,"0,526",-39%,"21,9",+16%,"1,99",+49%,"0,795",+49%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,13.8 g,en quantité modérée,4.15 g,en quantité modérée,0.526 g,en faible quantité,1.99 g,en quantité élevée,935 kj(223 kcal),+14%,14,+95%,D,+95%,,,https://www.burgerking.fr/produit/king-wings,,,,
41,King Nuggets (petite) - Burger King,D,,,,['Burger King'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/king-nuggets,,,,
42,King Nuggets (grande) - Burger King,D,,,,['Burger King'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/king-nuggets,,,,
43,King Nuggets (très grande) - Burger King,D,,,,['Burger King'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/king-nuggets,,,,
44,Chili Cheese Nuggets (petite) - Burger King,,,,,['Burger King'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,X-Cream Sunday - Burger King,,,,,['Burger King'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/x-cream,,,,
46,Glace en cornet - Burger King,,,,,['Burger King'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Donut - Burger King,B,,,,['Burger King'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,,https://www.burgerking.fr/produit/donut,,,,
48,BOISSON CACAOTEE - Mama Inés - 20g,D,Boisson cacaotée instantanée lactée,20 g,"['Sachet', 'Plastique']",['Mama Inés'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Boissons chaudes', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']","['en:gluten-free', 'Point Vert']",,['Espagne'],"['RCIR', 'Armée de Terre']",['France'],"['Sucre', 'cacao en poudre dégraissé ', '15,5%', 'lactose', 'protéine de lait', 'anti-agglomérant ', 'E341', 'sel', 'stabilisant ', 'E340', 'émulsifiant ', 'E471', 'arôme : Vanilline']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,"1613,5",+9%,386,+16%,2,-53%,"1,04",-59%,87,+37%,61,+8%,5,-21%,"< 0,012",-94%,"0,005",-94%,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,,"1613,5 kj(386 kcal)",+13%,,,,,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Lait'],http://www.jomipsa.com/fr,,,,
49,Miel de Fleurs Liquide - Famille Michaud - 20g,B,Miel de fleurs liquide en coupelle,20 g,['Coupelle métal'],['Famille Michaud'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels liquides']",['100% naturel'],,['France'],"['Armée de Terre', 'Hôtels']",['France'],['Miel de fleurs 100%'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,?,,?,,?,,,,?,,,,?,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,http://www.mieuxsucrer.com/miels/miels-toutes-fleurs/miels-pratiques/miel-de-fleurs-liquide-coupelle.html,,,,
50,Semoule au lait saveur Vanille - Ursi - 460g - ( 4 × 115g ),A,Semoule au lait aromatisé vanille,460 g - ( 4 × 115 g ),"['Pot', 'Plastique', 'Opercule', 'Papier']",['Ursi'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Semoules au lait']",['en:lait-francais-french-milk'],,,['Leclerc'],['France'],"['Lait entier ', '61%', 'eau', 'sucre', 'semoule de blé ', '6,2%', 'crème', 'poudre de lait écrémé', 'amidon de maïs', 'arôme naturel de vanille', 'concentré de carotte']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,492,-4%,?,,"2,9",-27%,"1,8",-29%,"19,4",+10%,"13,9",+8%,"3,1",-8%,"0,09",-18%,"0,036",-18%,57.6%,19.3%,8.9%,7.9%,4.9%,1.3%,91,2.9 g,en faible quantité,1.8 g,en quantité modérée,13.9 g,en quantité élevée,0.09 g,en faible quantité,492 kj(118 kcal),-4%,4,+2%,C,+2%,,"['Gluten', 'Lait']",,"['FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)', 'EMB 44212L', 'Vallet (Loire-Atlantique, France)']",,,
51,Cream & Onion - KFC,,,,,['KFC'],,['Fabriqué en France'],,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ratatouille Cuisinée - Freshona,B,,,"['Surgelé', 'Sachet', 'Plastique']",['Freshona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Surgelés', 'Plats préparés', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Plats préparés surgelés', 'Ratatouilles']",,,,['Lidl'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,,,,,,,,,,,,,,
53,Palets bretons pur beurre à la fleur de sel de Guérande - La Biscuiterie du Léon - 600g,C,Palets Bretons Pur Beurre à la Fleur de Sel de Guérande,600 g,"['Sachet', 'Plastique']",['La Biscuiterie du Léon'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']","['Pur beurre', 'Au sel de Guérande']",,['France'],,['France'],"['Farine de blé', 'sucre', 'beurre concentré reconstitué 23%', 'œufs entiers frais', 'amidon de blé', 'poudre à lever ', 'pyrophosphate et bicarbonate de sodium', ""bicarbonate d'ammonium"", 'Fleur de sel de Guérande 0', '5%', 'dextrose']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,,505,+1%,"24,8",-2%,"16,4",0%,"64,5",+7%,"25,6",-1%,"5,1",-13%,1,+14%,"0,4",+14%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,24.8 g,en quantité élevée,16.4 g,en quantité élevée,25.6 g,en quantité élevée,1 g,en quantité modérée,2113 kj(505 kcal),+2%,25,+4%,E,+4%,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Lait']",,"['EMB 56260E', 'Vannes (Morbihan, France)']",,,
54,Le Crémeux du Mont-St-Michel au lait cru - Fromagerie de Pain d'Avaine - 220g,D,,220 g,['Plastique'],"[""Fromagerie de Pain d'Avaine""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",,,['France'],['Netto'],['France'],['Fromage au lait cru'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,,?,,23,-16%,,,?,,,,?,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,23 g,en quantité élevée,,,,,,,,,,,,,,['Lait'],,"['FR 50.256.003 CE', 'Isigny-le-Buat (Manche, France)']",,,
55,La Feuilletée - Marie - 460g,C,Pâte feuilletée 100% ingrédients naturels,460 g,"['Etui', 'Carton']",['Marie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",['Nutriscore'],,,['Carrefour'],['France'],"['farine de blé française', 'eau', 'beurre pâtissier 22%', 'vinaigre', 'sel,']",['Non végétalien'],3,1557,-3%,?,,"21,2",-2%,"14,6",+29%,38,-1%,"0,9",-40%,"6,6",+13%,"1,15",+14%,"0,46",+14%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,21.2 g,en quantité élevée,14.6 g,en quantité élevée,0.9 g,en faible quantité,1.15 g,en quantité modérée,1557 kj(372 kcal),-2%,18,+9%,D,+9%,,['Lait'],,,,,
56,cancoillotte -,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,,,,,,,,,,,,,,,,,,,
57,Feed. Reasy-to-use - 150g,,Préparation en poudre pour boissons saveur chocolat,150g,['Bouteille plastique'],['Feed.'],['Substitution de repas'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France', 'Sans OGM', 'Sans lactose', 'Sans noix']",['France'],['France'],,['France'],"[""Farine d'avoine,huile"", ' huile de colza', 'maltodextrine', 'isomaltulose', 'protéine de soja', 'minéraux ', 'phosphate tricalcique', 'phosphate de potassium', 'citrate de magnésium', 'gluconate de cuivre', 'gluconate de zinc', 'chlorure de chrome', 'molybdate de sodium', 'iodure de potassium', 'sélénite de sodium', 'cacao en poudre', ""fibre d'acacia"", 'arômes', 'épaississants ', 'gomme du guar', 'gomme de xanthane', 'maltodextrine', 'vitamines ', 'A', 'B1', 'B2', 'B3,B5', 'B6', 'B8', 'B9', 'B12', 'C', 'D', 'E', 'K']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,652,,"25,2",,"3,1",,"83,1",,"30,2",,"18,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,2728 kj(652 kcal),,,,,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",['Avoine'],https://www.feedsmartfood.com/products/feed-ready-to-use-chocolat,,,,
58,Curry Mango Sauce - Heinz - 25g (23ml),B,,25 g (23 ml),"['Plastique', 'Barquette']","['Heinz', 'Burger King']","['Epicerie', 'Sauces', 'Sauces au curry']",,,,['Burger King'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,,,,,,,,,,,,,,,,,,,,,
