,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,allergens,nova_score,quantity,packaging,traceability_code,generic_name,ingredients_origins,manufacturing,link,brand_owner,palm_ingredients
0,Cerises maraschino - Delhaize,5400111030111,['Delhaize'],['Delhaize'],['France'],[],[],?,170,711 kj(170 kcal),"0,5",0,42,"37,7","0,5","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Terrine de Canard aux oranges,3760164970089,,,['France'],[],[],?,173,724 kj(173 kcal),11,"2,4","7,7","0,9",14,"1,4","0,56",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",11 g,en quantité modérée,2.4 g,en quantité modérée,0.9 g,en faible quantité,1.4 g,en quantité modérée,,-43%,-43%,-58%,-75%,+348%,+45%,-1%,-8%,-8%,5,-72%,C,-72%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,
2,Sauce poivre,3700952001526,,,['France'],[],[],?,615,2573 kj(615 kcal),"65,9","5,2",3,"0,2","2,6","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
3,Pieces chocolate candy - Reese's,0034000996612,"[""Reese's""]",,['France'],"['sugar', 'partially defatted peanuts', 'hydrogenated vegetable oil ', 'palm kernel oil: soybean oil', 'corn syrup solids dextrose: contains 2% or less of: corn syrup', ""palm kernel oil: salt: confectioner's glaze: modified cornstarch"", 'lecithin ', 'sq artificial color iyellow 6 lake', 'yellow 5 lake', 'red 40 lake', 'blue 1 lakej: vanillin', 'artificial flavor: carnauba wax', 'milk', 'od']","['Huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E102 - Tartrazine', 'E129 - Rouge allura AC', 'E903 - Cire de carnauba']",['Lait'],4,,,,,,,,,
4,Cueillette en sologne,3760184163089,,,['France'],[],[],?,384,1607 kj(384 kcal),0,0,91,91,5,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ROMANIN - I.G.P. ALPILLES.,3531840150077,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andouillettes de jargeau,0211997042441,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Boissonz El-Bouhaira,6194024400152,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pale ale,3770010526070,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Salsa tartufata,3760241940127,,,['France'],[],"['Végétalien', 'Végétarien']",?,225,941 kj(225 kcal),23,"2,3","3,2","0,9",1,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en Italie']",,,,,,,,,,,,
10,Bio Polnozrnati rezanci - 250g,3831001822660,,,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,250 g,,,,,,,,
11,Purée Noix de Cajou,7364321444084,,,['France'],[],[],?,601,2515 kj(601 kcal),"43,1","8,7",26,"7,4","21,2","0,03","0,012",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', 'Purées de noix de cajou']",43.1 g,en quantité élevée,8.7 g,en quantité élevée,7.4 g,en quantité modérée,0.03 g,en faible quantité,,+0%,+0%,-9%,-9%,+10%,+34%,+15%,-36%,-36%,16,+43%,D,+43%,,,,,,,,,,,,,,,,,,,,
12,Jus de tomate,50413935,,,['France'],[],[],?,21,88 kj(21 kcal),0,0,"3,7","3,7",1,"0,65","0,26",,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",0 g,en faible quantité,0 g,en faible quantité,3.7 g,en quantité modérée,0.65 g,en quantité modérée,,+5%,+7%,-100%,-100%,+0%,+15%,+34%,+53%,+53%,-2,,B,,,,,,,,,,,,,,,,,,,,,
13,Frutti di bosco,8007111002048,,,['France'],[],[],?,378,1582 kj(378 kcal),"14,3","2,8","57,4","33,7","4,1","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Irn bru,5000382005537,,,['France'],[],[],?,20,84 kj(20 kcal),0,0,"4,8","4,7","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Rhubarb crush,5029212001426,,,['France'],[],[],?,24,100 kj(24 kcal),"0,1",0,"4,9","4,9","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Poulet Fermier,0253066082132,,,['France'],[],[],?,182,761 kj(182 kcal),"1,63","0,37",0,0,"22,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
17,"""Blle 1L Cidre De Table Doux 4.5 ° Duche De Longueville"" -",3256550221182,,,['France'],[],[],?,36,151 kj(36 kcal),"5,7",,"5,7","1,57",0,0,0,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,+24%,+22%,+551%,,+22%,-52%,-100%,-100%,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,
18,Halva parfum vanille,20508869,,,['France'],[],[],?,549,2297 kj(549 kcal),"33,2","6,6","45,7",38,"14,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vin,3760068130350,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pom'en Jus,3562147035323,,,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Le ptit may apero,3669985458724,,,['France'],[],[],?,406,1699 kj(406 kcal),"21,11","14,58","46,4",4,"6,11","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mousseline de carpe sauce oseille,3760184271678,,,['France'],[],[],?,55.5,232 kj(55 kcal),"1,89","1,15","5,69","1,15","3,6","0,424","0,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
23,Fuet extra herbes,8437000999607,,,['France'],[],[],?,462,1933 kj(462 kcal),38,14,"5,4","2,6",26,"4,2","1,68",,['ca:Fuet'],38 g,en quantité élevée,14 g,en quantité élevée,2.6 g,en faible quantité,4.2 g,en quantité élevée,,+4%,+3%,+7%,+7%,+29%,+12%,-3%,+6%,+6%,25,+1%,E,+1%,,,,,,,,,,,,,,,,,,,,
24,Viande de boeuf séchée,2309637002967,,,['France'],[],[],?,206,862 kj(206 kcal),5,"1,2","0,7","0,6","38,8","4,52","1,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Soupe oursinade,3296941210029,,,['France'],[],[],?,30,126 kj(30 kcal),1,"0,5",3,"0,5","2,2","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
26,Delifrance Mini Pains au Chocolat,3291810024783,,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,
27,Flan Bio 6 parts,3478920017601,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,"['EMB 24550A', 'Thenon (Dordogne, France)']",,,,,,
28,"Gamma Labs G Fuel Dietary Supplement, Fruit Punch, 280 Gram",0713757867320,,,['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Rib ‘n’ Saucy - Maryland - 200g,0072417136177,"['Maryland', 'Nik Naks']",,['France'],[],[],?,487,2038 kj(487 kcal),"22,9","11,6","62,9","34,2","5,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,['mixed plastic film-bag'],,,,,,,
30,Crab Crusher - 12x 60g,5056281161980,,,['France'],[],[],?,362,1515 kj(362 kcal),16,5,27,2,25,"0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 x 60 g,,,,,,,,
31,Confiture Corse Du Vigneron Marque Charles Antona,3425472302198,['Charles Antona'],,['France'],[],[],?,261,1092 kj(261 kcal),"0,3",0,64,0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fresubin - Fresenius Kabi,4051895016665,['Fresenius Kabi'],,['France'],[],[],?,63,264 kj(63 kcal),0,0,3,1,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Nectar d'abricot,3662117000013,,,['France'],[],[],?,38,159 kj(38 kcal),"0,5","0,1",11,"7,8","0,5",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",0.5 g,en faible quantité,0.1 g,en faible quantité,7.8 g,en quantité élevée,0 g,en faible quantité,,-28%,-28%,+159%,+168%,-11%,-34%,+34%,-100%,-100%,12,-21%,E,-21%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
34,Flavoured sparkling water - Hema,8716618571161,['Hema'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Tablette de chocolat au lait - Le Comptoir de Mathilde,3760170098302,['Le Comptoir de Mathilde'],,['France'],[],[],?,567,2372 kj(567 kcal),37,22,51,50,"7,1","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,poulet du perigord fermier - Monoprix Gourmet,0206815070195,['Monoprix Gourmet'],['Monoprix'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['IGP'],,,,,,,,,,,,
37,Pain au chocolat,0261306025580,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5 gésiers de canard gras - Le Vieux Chêne,3563480002744,['Le Vieux Chêne'],,['France'],[],[],?,161,674 kj(161 kcal),3,"1,2","0,5","0,5","33,5","0,86","0,344",,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,0.86 g,en quantité modérée,,-13%,-13%,-52%,-41%,+97%,+186%,+16%,-41%,-41%,1,-84%,B,-84%,,,,,,,,,,,,,,,,,,,,
39,Savoureux pepites de chocolat,3286636600006,,,['France'],[],[],?,461,1929 kj(461 kcal),28,5,47,20,"5,26","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
40,choco mix,2600263027943,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sushi Escal,3261080087030,['Escal'],,['France'],[],[],?,140,586 kj(140 kcal),2,0,26,1,6,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cacao En Poudre 22-24,5410522033793,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pur jus de pomme et kiwi du Haut Berry,3245130126016,,,['France'],[],[],?,44,184 kj(44 kcal),"0,1",0,"9,89",0,"0,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Aragostines crème noisettes,3760193360110,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Miel De Bourdaine - Ballot-Hurin,3760016582675,['Ballot-Hurin'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0226997045392,0226997045392,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Préparation culinaire à base d'Huile d'olive arôme Basilic - A'ROM - 25cl,3700389708593,"[""A'ROM""]",,['France'],"[""Huile d'Olive "", '98,9% ', 'provenance U', 'E', ""issue de l'agriculture biologique"", 'arôme naturel de basilic ', '1,1%']",[],3480,?,3480 kj(832 kcal),"92,5",13,0,0,0,0,0,,"[""HUILE D'OLIVE BIO""]",92.5 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,15,,D,,,,,,,,,"['Bio', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",,['NON RENSEIGNE'],4,25 cl,"['BOUTEILLE', 'PLASTIQUE', 'EMBOUT PRO']","['EMB 13119B', 'Carnoux-en-Provence (Bouches-du-Rhône, France)']",Préparation culinaire à base d'Huile d'olive arôme Basilic,"['France', 'Espagne']",['FRANCE'],,,
48,Fritons d'Auvergne,3303700000385,,,['France'],[],[],?,294,1230 kj(294 kcal),23,"0,5","0,9","0,1",20,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Les Petits Anis Reglisse - Les Anis De Flavigny,3360101890106,['Les Anis De Flavigny'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Smoothie,4337185644344,,,['France'],[],[],?,59,247 kj(59 kcal),"0,5","0,1",12,12,"0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Poulet Carrefour bio,0287567051625,['Carrefour'],['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
52,Volaille,0226997047624,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Miel de tournesol - 250g,3900001658903,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,
54,Calissons de Provence,3391860008068,,,['France'],[],[],?,449,1879 kj(449 kcal),20,"1,5",58,54,"8,7","0,03","0,012",B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', 'Calissons de provence']",20 g,en quantité modérée,1.5 g,en quantité modérée,54 g,en quantité élevée,0.03 g,en faible quantité,,+2%,+2%,+12%,-7%,-5%,+9%,+13%,-41%,-41%,16,+10%,D,+10%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,
55,"Inkospor Active Pro 80, cerise",4260057663511,['Inkospor'],,['France'],[],[],?,365,1527 kj(365 kcal),"0,87","0,54",8,"1,8",80,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,
56,Tranche de poulet roti,0217594022831,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
57,Vinaigre à la pulpe de citron,3760224580623,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Tonno in olio di oliva,8010110980422,,,['France'],[],[],?,202,845 kj(202 kcal),"11,1",2,0,0,"25,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Chorizo tacos spicy,8436045040336,,,['France'],[],[],?,410,1715 kj(410 kcal),"35,5","13,2","2,7","1,5",20,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Poulet recette tomates origan - Maître Coq,0215711019948,['Maître Coq'],,['France'],[],[],?,107,448 kj(107 kcal),"1,5","0,5","1,1","0,6",22,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Punch rhum arrangé à l'ananas,3559019050003,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Seleccion de productos tradicionales,8410267003317,,,['France'],[],[],?,480,2008 kj(480 kcal),25,10,55,20,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Filets de poulet - Carrefour - 283g,0219967023094,['Carrefour'],['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Point Vert', 'Volaille-francaise']",,,,283g,"['Frais', 'Sous vide']","['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,['France'],,,
64,Dentelles - 500g,9900000063009,,,['France'],[],[],?,373,1561 kj(373 kcal),"2,8",0,72,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,
65,Pizza fromage - 170g,3662191030708,,,['France'],[],[],?,264,1105 kj(264 kcal),"13,9","6,1","22,9","0,9","11,3","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,170 g,,,,,,,,
66,Carciofi tagliati marinati,8007830115111,,,['France'],[],[],?,36,151 kj(36 kcal),"1,8","0,3","1,4","0,1","1,9","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Pave 3 meuniers,0200827005251,,,['France'],[],[],?,309,1293 kj(309 kcal),"2,4","0,6",58,"2,2",10,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
68,Raisin yogourt coated - Asda,5054070231845,['Asda'],,['France'],[],[],?,422,1766 kj(422 kcal),16,"9,7",67,65,"2,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Pain au chocolat de Leclerc ×8,0204024025258,,,['France'],[],[],?,0,0 kj(0 kcal),20,13,36,11,6,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Merguez,2814126059563,,,['France'],[],[],?,299,1251 kj(299 kcal),26,13,"2,8","1,8",12,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Merguez forte,2676356027350,,,['France'],[],[],?,203,849 kj(203 kcal),15,"5,9","2,4","1,8",14,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Cafe moulu costa rica - 250g,3434380003745,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,
73,Jersey Butter Galettes,5060205851598,,,['France'],[],[],?,445,1862 kj(445 kcal),13,8,74,31,7,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Confiture cerise griotte - Maison Perrotte,3701090800187,['Maison Perrotte'],,['France'],"['Griotte Oblascinska 62%', 'sucre jus de citron', 'gélifiant : pectine de fruits']",[],?,192,803 kj(192 kcal),"0,6","0,6",46,45,"0,6","0,125","0,05",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",0.6 g,en faible quantité,0.6 g,en faible quantité,45 g,en quantité élevée,0.125 g,en faible quantité,,-14%,-14%,+146%,+1233%,-15%,-13%,-6%,+373%,+373%,9,-9%,C,-9%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,['E440 - Pectines'],,4,,,,,,,,,
75,Echines mexicaines a griller,2461371021069,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Abricots,3700969098274,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Bonbons à la Mirabelle,3492171121504,,,['France'],[],[],?,387,1619 kj(387 kcal),"0,01",0,96,86,"0,02","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Chocolat - Max Vauché,3760268915023,['Max Vauché'],,['France'],[],[],?,546,2284 kj(546 kcal),36,22,44,41,"5,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Vol de nuit,3760258930111,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Ahmad Tea Black Tea Peach & Passion Fruit,0054881004299,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Agneau,2222381046516,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,"['FR 81.065.001 CE', 'Castres (Tarn, France)']",,,,,,
82,Bethmale,2488037024479,,,['France'],[],[],?,371,1552 kj(371 kcal),31,22,0,0,22,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Gouda Holland,0239920014693,,,['France'],[],[],?,364,1523 kj(364 kcal),30,21,"0,5","0,5",23,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,LES MINIS BLINIS aux zestes de citron et à l'aneth - La Grande Epicerie de Paris,3346040138516,['La Grande Epicerie de Paris'],,['France'],[],[],?,294,1230 kj(294 kcal),17,"2,5",28,"4,3","6,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
85,Giuseppe Giusti - Biologico - Champagnotta - 250ML,8006911003361,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
86,Saucisson sec au sanglier,2639693041397,,,['France'],[],[],?,338,1414 kj(338 kcal),"38,8","15,73","1,28",0,"23,7","3,25","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Sauce barbecue,3700662734295,,,['France'],[],[],?,110,460 kj(110 kcal),"1,51","0,13","28,1","26,9","2,4","1,84","0,736",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",1.51 g,en faible quantité,0.13 g,en faible quantité,26.9 g,en quantité élevée,1.84 g,en quantité élevée,,-29%,-30%,+58%,-4%,-10%,+3%,+168%,-9%,-9%,14,-3%,D,-3%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,['Fabriqué en France'],,,,,,,,,,,,
88,Bière Blanche,3760032530025,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Raviolis au confit de canard,3696750002202,,,['France'],[],[],?,259,1084 kj(259 kcal),4,1,41,1,14,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Fruits rouges - Aperitif sans alcool,3114460110135,,,['France'],[],[],?,66,276 kj(66 kcal),1,1,16,12,1,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Tomme noire Pyrénées,0243341017195,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
