,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,ingredients_origins,labels,generic_name,manufacturing,traceability_code,link,additives,palm_ingredients,origin_detail,producer_info,brand_owner
0,3363790808056,3363790808056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Calissons carrés déclassés - Fruidoraix - 400g,3364474445376,['France'],"['Melons confits ', 'melons', 'sucre', 'sirop de glucose', 'amandes', 'sucre', 'sucre glace', ""écorces d'oranges confites "", ""écorces d'orange"", 'sucre', 'sirop de glucose', 'pain azyme ', 'fécule de pomme de terre', 'eau', 'sirop de glucose', ""blancs d'oeufs"", 'arôme vanille', "" Traces éventuelles d'autres fruits à coque"", 'de gluten et sulfite']","['Sans huile de palme', 'Non végétalien']",?,441,18,61,7,B,400 g,['Fruidoraix'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']","['Œufs', 'Fruits à coque']",4,18 g,en quantité modérée,1.5 g,en quantité modérée,59 g,en quantité élevée,0.03 g,en faible quantité,,-0%,1845 kj(441 kcal),-0%,+1%,"1,5",-7%,+0%,59,+19%,-9%,"0,03",-41%,"0,012",-41%,13,-11%,D,-11%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,
2,Sirop de banane - couleur provence - 70cl,3365340000125,['France'],[],[],?,300,0,75,"0,1",,70cl,['couleur provence'],['Sirops'],,,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,,+17%,1255 kj(300 kcal),+14%,-100%,0,-100%,+15%,75,+22%,+2%,0,-100%,0,-100%,13,+6%,D,+6%,,,,,,,,['bouteille verre 70cl'],,,,,,,,,,,,
3,oeufs frais - Leclerc - 6,3368170010128,['France'],['oeufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,D,6,"['Leclerc', 'Système U']","[""Produits d'élevages"", 'Œufs', '1']",['Œufs'],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['boîte'],['Leclerc'],,,,,,,,,,,
4,"Filet De Saumon Sauvage Rose, 2 Fois 250 Grammes - Oceaner - 2x500gr",3373807500088,['France'],['filet de saumon sauvage'],[],?,139,"4,4",0,25,,2x500gr,['Oceaner'],,,,,,,,,,,,,,582 kj(139 kcal),,,"0,7",,,0,,,"0,22",,"0,088",,,,,,,,,,,,,,,['Chine'],,,,,,,,,,
5,Cafe bio et equitable des Caraibes Kalinda LOBODIS,3376221113070,['France'],[],[],?,?,?,?,?,,,['Lobodis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
6,3378262900060,3378262900060,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Duc d'arcillac - Bergerac - 750ml,3326262233930,['France'],[],[],?,?,?,?,?,,750 ml,['Bergerac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jambonneau - 350g,3380241012411,['France'],[],[],?,259,21,"0,5",17,,350 g,,"['Viandes', 'Charcuteries', 'Charcuteries cuites']",,,21 g,en quantité élevée,7.2 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+55%,1084 kj(259 kcal),+61%,+148%,"7,2",+123%,-64%,"0,5",-31%,-9%,"1,8",-5%,"0,72",-5%,17,+77%,D,+77%,,,,,,,,,,,,,,,,,,,,
9,Les Carrés du Cantal - Apiflor,3380842606019,['France'],[],[],?,473,"15,1","77,5","6,3",,,['Apiflor'],,,,,,,,,,,,,,1979 kj(473 kcal),,,"9,9",,,"35,7",,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,
10,Miel de corse - Maquis de printemps - 500,3381680101032,['France'],[],[],?,?,?,?,?,B,500,['Maquis de printemps'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de Corse', 'Miels de Printemps']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,
11,Caramel beurre salé,3384079073033,['France'],[],[],?,150,"6,5",20,"4,3",,,,,,,,,,,,,,,,,628 kj(150 kcal),,,"3,4",,,20,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
12,Hibiscus Bio - Romon nature - 20,3388742800148,['France'],[],[],?,?,?,?,?,,20,['Romon nature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
13,Munster Gerome AOP (200g Stück) - Val de Weiss - 200g,3390951402051,['France'],[],[],?,334,28,"1,5",19,D,200 g,['Val de Weiss'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée', 'Munsters', 'Munsters au lait pasteurisé']",,,28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+3%,1397 kj(334 kcal),+3%,+4%,19,+2%,+163%,"0,5",+1%,-5%,"1,7",-3%,"0,68",-3%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Frais'],,,"['Concours général agricole', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2017""]",,,,,,,,,
14,Napopizza,3394560202514,['France'],[],[],?,54,"1,5","8,7","1,5",,,,,,,,,,,,,,,,,226 kj(54 kcal),,,"0,2",,,"4,9",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
15,3394700012300,3394700012300,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Chips artisanales cuisson au chaudron - Sibell,3396116001329,['France'],[],[],?,512,29,55,6,B,,['Sibell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",,,29 g,en quantité élevée,2.9 g,en quantité modérée,0.4 g,en faible quantité,1.25 g,en quantité modérée,,-4%,2142 kj(512 kcal),-4%,-13%,"2,9",-2%,+8%,"0,4",-69%,+2%,"1,25",-5%,"0,5",-5%,13,+19%,D,+19%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,,
17,apaisyl - merck - 1,3401521212748,['France'],[],[],?,?,?,?,?,,1,['Merck'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Hair activ - Arkopharma,3401525673088,['France'],[],[],?,?,?,?,?,,,['Arkopharma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Talc - Gefrer - Venise,3401551848788,['France'],[],[],?,?,?,?,?,,Venise,['Gefrer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tisane allaitement,3401560062779,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,
21,3401560573084,3401560573084,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3401562070505,3401562070505,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,
23,Miel de fleurs - Danton - 1kg,3413410800004,['France'],[],[],?,?,?,?,?,B,1 kg,['Danton'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
24,Barre bretonne aux œufs -,3413910007033,['France'],[],[],?,449,"23,7","53,8","5,7",,,,,,,,,,,,,,,,,1879 kj(449 kcal),,,2,,,"24,7",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
25,Oeufs Dates Gros B.coques - BABY COQUE - 12,3414280040125,['France'],['oeuf'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,0,"9,83","0,27","12,7",C,12,['BABY COQUE'],"[""Produits d'élevages"", 'Œufs']",['Œufs'],1,9.83 g,en quantité modérée,2.64 g,en quantité modérée,,,0.31 g,en quantité modérée,,-100%,0 kj(0 kcal),-100%,+5%,"2,64",+10%,-60%,,,+3%,"0,31",+18%,"0,124",+18%,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['Carton'],,,,Oeufs datés du jour de ponte de poules élevées au SOL,['Rhône-Alpes'],,,,,,,
26,Ravioli chèvre miel,3416310301305,['France'],[],[],?,256,"6,41","39,23","10,33",,,,,,,,,,,,,,,,,1071 kj(256 kcal),,,"4,08",,,"7,38",,,"0,422",,"0,169",,,,,,,,,,,,,,,,,,,,,,,,,
27,Agar Agar - COOK - 55G,3417960033905,['France'],[],[],?,?,?,?,?,D,55 G,['COOK'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues"", 'Agar-agar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,"['Bio', 'Bio européen', 'en:gluten-free']",,,,,,,,,
28,filets de thon - odyssée,3418352893077,['France'],[],[],?,?,?,?,?,D,,['odyssée'],"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,
29,2 Petits Pavé campagne BIO - Biofournil - 2x 60g,3419390041208,['France'],"['farine de blé* type 65 ', '50%', 'eau', 'levain*', 'farine de blé*', 'eau', 'sel marin non traité', 'levure*', 'farine de blé malté*', ""extrait d'acérola*"", 'gluten de blé*']",['Sans huile de palme'],?,300,"1,2",62,"8,3",,2 x 60 g,['Biofournil'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['Gluten'],4,1.2 g,en faible quantité,0.2 g,en faible quantité,2.8 g,en faible quantité,1.5 g,en quantité modérée,,-9%,1255 kj(300 kcal),-9%,-80%,"0,2",-83%,+13%,"2,8",-29%,-13%,"1,5",+17%,"0,6",+17%,0,-100%,B,-100%,,,,,,,,['sachet papier/plastique'],,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,,,,,,,,
30,Miel de lavande maritime et gelée royale - Miel Crétet,3425601534988,['France'],[],[],?,327,0,81,0,,,['Miel Crétet'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel', 'Préparations à base de miel et gelée royale']",,,0 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0 g,en faible quantité,,+1%,1368 kj(327 kcal),+1%,-100%,0,-100%,+1%,79,+8%,-100%,0,-100%,0,-100%,14,+4%,D,+4%,,,,,,,,,,,,,,,,,,,,
31,Lactel Lait écrémé Bouteille 10x1l Maxi Promo,3428271090044,['France'],[],[],?,33,"0,13","4,8","3,2",D,,['Lactel'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits écrémés']",,,0.13 g,en faible quantité,0.03 g,en faible quantité,1.32 g,en faible quantité,0 g,en faible quantité,,-51%,138 kj(33 kcal),-55%,-67%,"0,03",-83%,-52%,"1,32",-86%,-49%,0,-100%,0,-100%,-1,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,['Enrichi en vitamines'],,,,,,,,,
32,Super diet,3428881229001,['France'],[],[],?,?,?,?,?,,,['Super diet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
33,quatuor vision - super diet - 300ml,3428881231004,['France'],['Euphraise - Cassis - Myrtille - Carotte'],[],?,?,?,?,?,,300 ml,['super diet'],['Compléments alimentaires'],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['boite en carton'],,,,,['Denain'],"['EMB 59172', 'Denain (Nord, France)']",http://www.superdiet.fr,,,,,
34,"Le Bonifieur, Dosettes souples, cafe Colombie 100% arabica - 224g",3429733222430,['France'],[],[],?,?,?,?,?,,224 g,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Nicaragua BIO - café le bonifleur,3429739322240,['France'],[],[],?,?,?,?,?,,,['café le bonifleur'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['dosettes x32'],,['Nicaragua'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
36,3433330068056,3433330068056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Breakfast - comptoir Richard - 80g,3434380021848,['France'],"['thé noir de Sri Lanka  peut contenir des traces de fruits à coque', 'de lait et de soja']",[],?,?,?,?,?,,80 g,['comptoir Richard'],,['Fruits à coque'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,
38,Miel de fleurs - Miel de Fleurs de Normandie - 500g,3436530000024,['France'],['production artisanalemiel'],[],?,?,?,?,?,,500 g,['Miel de Fleurs de Normandie'],['Miel de la Baie du Mont-Saint-Michel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['pot en verre'],['Leclerc'],['France'],,,['50540 MONTGOTHIER'],,,,,,,
39,Stanley Servante Mobile Xl,3436530004275,['France'],[],[],?,498,24,61,8,,,,,,,,,,,,,,,,,2084 kj(498 kcal),,,11,,,38,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
40,Véritables gaufres fines - La Dunkerquoise spécialité du nord - 500gr,3438351359770,['France'],"['Farine de blé', 'sucre', 'beurre 22%', 'lait', 'oeufs', 'sel,colorant : béta-carotène', "" Peut contenir des traces d'amandes""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,471,"17,9","69,8","6,7",,500gr,['La Dunkerquoise spécialité du nord'],,"['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,1971 kj(471 kcal),,,"11,8",,,29,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,['E160ai - Bêta-carotène'],,,,
41,"100% fruits sans sucres ajoutés - Cerise, mirabelle, pomme - Minute fruitee gourmande - 100g",3442450000860,['France'],"['cerise ', '49,9%', 'mirabelle ', '33,3%', 'pomme ', '16,6%', 'acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,71,"< 0,5","16,4","0,8",A,100g,['Minute fruitee gourmande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",,1,0.5 g,en faible quantité,0.5 g,en faible quantité,12.5 g,en quantité modérée,0.1 g,en faible quantité,,+15%,297 kj(71 kcal),+12%,+37%,"< 0,5",+282%,+21%,"12,5",0%,+97%,"< 0,1",+971%,"0,04",+971%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['Gourde'],,['France'],"['Sans sucre ajouté', 'Sans arômes ajoutés']",,['54210 Saint Nicolas de Port'],,,,,,,
42,cibadies - bonfils - 75cl,3443660001722,['France'],['chardonnay'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,0,0,?,,75cl,['Bonfils'],,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,['bouteille 75cl'],,['Pays doc'],,,['capestang 34310'],,,,,,,
43,Cuisse de canard - Clos Saint Sozy - Excellence - 180g,3443705002646,['France'],"['Cuisses de canard', 'graisse de canard', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,323,24,"2,1",27,C,180 g,['Clos Saint Sozy - Excellence'],"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,3,24 g,en quantité élevée,8.1 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,+36%,1351 kj(323 kcal),+36%,+45%,"8,1",+52%,+364%,"0,5",+196%,+26%,2,+45%,"0,8",+45%,20,+89%,E,+89%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,['Plastique Conditionnement sous vide'],"[""Les halles de l'Aveyron - St Gratien""]",['France'],['Origine-certifiee-sud-ouest'],,['Gramat - France'],,http://www.laquercynoise.com,,,,,
44,Delice de canard - Maison Occitane - 180g,3443705057745,['France'],[],[],?,203,17,"0,6",12,,180 g,['Maison Occitane'],,,,,,,,,,,,,,849 kj(203 kcal),,,"6,1",,,"0,6",,,"1,8",,"0,72",,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,
45,Fleur De Sel Au Poivre De Sichuan (125 GR),3445850071546,['France'],[],[],?,?,?,?,?,B,,,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,
46,"Lessive poudre ECO+ - 3,3Kg / 60 lavages - 3,3kg",3450970167215,['France'],[],[],?,?,?,?,?,,"3,3 kg",['Eco+'],"['DPH', 'Lessive']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Baril'],['E.Leclerc'],,['Premier prix'],Lessive poudre 60 lavages,,,,,,,,
47,Fromage frais faisselle - GAEC du Buissonet - 100g,3456570000044,['France'],[],[],?,?,?,?,?,D,100 g,['GAEC du Buissonet'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,,
48,Milkshake frappé saveur chocolat - Monbana,3474340019089,['France'],[],[],?,386,"6,9",69,"6,2",,,['Monbana'],,,,,,,,,,,,,,1615 kj(386 kcal),,,"4,3",,,63,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
49,Petit croc' - Monbana,3474340024939,['France'],[],[],?,519,28,59,"6,8",,,['Monbana'],,,,,,,,,,,,,,2171 kj(519 kcal),,,17,,,47,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
50,Vin bourru -,3478881105003,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Jus de pomme reinette - Le soleil du conflent - 1litre,3481440006505,['France'],[],[],?,?,?,?,?,,1 litre,['Le soleil du conflent'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Maca Femme - 30 Comprimés - Laboratoire Phytoceutic,3492270070093,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Chipolatas natures,3497800200360,['France'],[],[],?,226,17,"1,8",16,E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,17 g,en quantité modérée,7 g,en quantité élevée,0.8 g,en faible quantité,1.9 g,en quantité élevée,,-5%,946 kj(226 kcal),-5%,-10%,7,-3%,+54%,"0,8",+27%,+4%,"1,9",+6%,"0,76",+6%,16,-4%,D,-4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,['Sans colorants'],,,,,,,,,
54,Saucisse artisanale  d'Ardèche -,3498301003375,['France'],[],[],?,441,35,"2,2","27,8",,,,,,,,,,,,,,,,,1845 kj(441 kcal),,,15,,,"0,6",,,"4,4",,"1,76",,,,,,,,,,,,,,,,,,,,,,,,,
55,Escalopes de poulet,3499150343162,['France'],[],[],?,111,3,"1,2",20,D,,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",,,3 g,en quantité modérée,0.8 g,en faible quantité,0.5 g,en faible quantité,1.43 g,en quantité modérée,,-16%,464 kj(111 kcal),-16%,+11%,"0,8",+10%,-66%,"0,5",-7%,-8%,"1,43",+226%,"0,572",+226%,2,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
56,Vitasoy Calci-plus 1L,4891028166535,['France'],"['Extrait de soja 68%', 'eau', 'sucre', 'phosphate tricalcique', 'stabilisants ', 'E460', 'E466', 'sel', 'vitamines ', 'Niacinamide ', 'B3', 'calcium-D-pantothénate ', 'B5', 'D', 'B12', 'A', 'B2', 'B6 and B1']",[],?,37,"1,2","4,7","1,8",A,,"['Vitasoy', 'Calci-plus', '維他奶', '鈣思寶']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja']",['Soja'],4,1.2 g,en faible quantité,0.2 g,en faible quantité,4.5 g,en quantité modérée,0.1 g,en faible quantité,,-26%,155 kj(37 kcal),-27%,-38%,"0,2",-44%,-1%,"4,5",+11%,-45%,"0,1",+13%,"0,04",+13%,-1,,A,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,['Carton'],,['Hong Kong'],"['Peu ou pas de sucre', 'Peu de sucre']",,['Tuen Mun'],,,"['E460 - Cellulose', 'E466 - Carboxyméthylcellulose']",,,,
57,"Pierre Chanau Brouilly 12,5°",3254560536975,['France'],[],[],?,68,0,"0,2","0,1",,,['Pierre Chanau'],,,,,,,,,,,,,,285 kj(68 kcal),,,0,,,"0,05",,,0,,0,,,,,,,,,,,,,,,,,,,"['EMB 71084A', 'Chânes (Saône-et-Loire, France)']",,,,,,
58,3507101651003,3507101651003,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sirop de grenadine - Clovis Reymond - un litre,3510324100371,['France'],['pur sucre\rarôme grenadine\racidifiant E330\rcolorant E102 E124'],"['Non végétalien', 'Non végétarien']",?,?,?,?,?,A,un litre,['Clovis Reymond'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['bouteille en verre'],['la périgourdine'],,,,"['Villamblard', 'Périgord']",,,"['E330 - Acide citrique', 'E102 - Tartrazine', 'E124 - Ponceau 4R']",,,,
60,Confitures ardechoises fruits de la forer - Soppreg,3511284001166,['France'],"['fruits en proportion variable 55% ', 'airelles rouges', 'myrtilles', 'mûres et fraises des bois ', 'UE et hors UE', 'sucre de canne', 'gélifiant ', 'pectine de fruit', 'acidifiant ', 'jus de citron', ' Fabriquée dans un atelier qui utilise du lait et des amandes']",[],?,205,"0,14",49,"0,48",D,,['Soppreg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']",,4,0.14 g,en faible quantité,0.02 g,en faible quantité,48 g,en quantité élevée,0.15 g,en faible quantité,,-6%,858 kj(205 kcal),-6%,-45%,"0,02",-56%,-6%,48,-5%,-12%,"0,15",+628%,"0,06",+628%,10,+5%,C,+5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,['E440 - Pectines'],,,,
61,Tagliatelles aux saint jacques et crevettes -  - Ange gardien,3512031500093,['France'],[],[],?,89,"2,1",11,"6,3",,Ange gardien,,,,,,,,,,,,,,,372 kj(89 kcal),,,"0,3",,,"2,1",,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,"['EMB 29188A', 'Plougasnou (Finistère, France)']",,,,,,
62,Drainage - Bio conseils - 20,3515457397506,['France'],[],[],?,?,?,?,?,,20,['Bio conseils'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,
63,Coppa - Les hurles cassées - 150g,3517738662013,['France'],[],[],?,252,17,0,25,,150g,['Les hurles cassées'],,,,,,,,,,,,,,1054 kj(252 kcal),,,"7,3",,,0,,,"4,3",,"1,72",,,,,,,,,,,,,,,,['Point Vert'],,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,,,,
64,pain probody - carrefour - 300g,3523680334328,['France'],[],[],?,?,?,?,?,,300 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,['carrefour auch'],,,,,,,
65,dysmecalm,3525722021456,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
