,name,bar_code,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,generic_name,eco_score,packaging,labels,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,link,producer_info,palm_ingredients,brand_owner,origin_detail
0,Pan de pasas tostado - Carrefour,8431876145168,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['Carrefour'],"['France', 'Espagne']","['Harina de trigo', 'agua', 'pasas ', '20%', 'levadura', 'azúcar', 'mantequilla ', 'mantequilla y colorante: caroteno', 'sal', 'emulgente: ésteres mono y diacetiltartáricos de los mono y diglicéridos de ácidos grasos', 'antioxidante: ácido ascórbico y enzimas']",['E160 - Caroténoïdes'],"['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,3 g,en quantité modérée,1.2 g,en faible quantité,20 g,en quantité élevée,1.1 g,en quantité modérée,1524,+12%,360,+10%,1524 kj(360 kcal),+10%,3,-51%,"1,2",+3%,72,+31%,20,+410%,"8,6",-10%,"1,1",-14%,"0,44",-14%,9,+76%,C,+76%,,,,,,,,,,,,,,,,,,,,
1,Tortas de aceite - Carrefour - 180g,8431876226898,['Carrefour'],"['Biscuits et gâteaux', 'Pâtisseries', 'es:Torta sevillana']",['Carrefour'],"['France', 'Espagne']",[],,"['Gluten', 'Graines de sésame']",[],,21 g,en quantité élevée,3.2 g,en quantité modérée,21 g,en quantité élevée,0.18 g,en faible quantité,2024,,483,-4%,2024 kj(483 kcal),-4%,21,-18%,"3,2",-24%,64,+7%,21,+53%,"8,1",+20%,"0,18",-68%,"0,072",-68%,11,-16%,D,-16%,180 g,,,,,,,,,,,,,,,,,,,
2,Impact Whey Isolate Chocolate Karamell - myprotein - 1kg,5055534355985,['Myprotein'],,,['France'],[],,,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,"0,5",,0,,"3,4",,"3,2",,88,,"0,5",,"0,2",,,,,,1kg,,,,,,,,,,,,,,,,,,,
3,Lonely god,6905734301482,,,,['France'],[],,,[],,,,,,,,,,?,,357.54998779297,,1496 kj(357 kcal),,"19,1",,0,,"42,9",,19,,"2,5",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,
4,Corail d'oursin - Comtesse du Barry - 50g,3660806507300,['Comtesse du Barry'],,,['France'],[],,,[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"6,2",,0,,0,,0,,13,,"1,1",,"0,44",,,,,,50 g,"['FR 78.439.004 CE', 'Mulcent (Yvelines, France)']",,,,,,,,,,,,,,,,,,
5,Farfalles multicolores - Casino - 200g,3222477000261,['Casino'],,['Casino'],['France'],"['Semoule de blé dur de qualité supérieure 93% - jus de betterave rouge concentré 2% - épinard en poudre 1,5% - paprika en poudre 1,5% - curcuma 1% - encre de seiche ', 'mollusques', ' 0,4% - sel', 'traces de poisson et crustacés']",,"['Gluten', 'Mollusques']","['Non végétalien', 'Non végétarien']",,,,,,,,,,1520,,359,,1520 kj(359 kcal),,"1,6",,"0,3",,72,,"2,2",,12,,"0,02",,"0,008",,,,,,200 g,,"""Pâtes alimentaires aromatisées aux jus de betterave concentré, épinard et paprika en poudre, curcuma et encre de seiche.""",,,,,,,,,,,,,,,,,
6,Comté AOP au lait cru affiné 14 mois minimum dans le massif du Jura 35% de matière grasse Saveurs - U - 250g,3368952495426,['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Magasins U'],['France'],"['LAIT cru de vache', 'sel', 'ferments ', 'dont LAIT', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.76 g,en quantité modérée,1771,+18%,427,+8%,1771 kj(427 kcal),+7%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,"0,76",-22%,"0,304",-22%,13,-3%,D,-3%,250 g,,,D,['Frais'],['AOP'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
7,Stracchino - Granarolo,8002670003062,['Granarolo'],,,['France'],[],,,[],,,,,,,,,,?,,18,,75 kj(18 kcal),,12,,8,,"2,7",,"1,4",,16,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
8,Pain d'épices,3760019912646,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,['France'],[],,,[],,4.3 g,en quantité modérée,2.4 g,en quantité modérée,28.4 g,en quantité élevée,0.6 g,en quantité modérée,?,,340,+1%,1423 kj(340 kcal),+0%,"4,3",+23%,"2,4",+94%,"67,5",-5%,"28,4",-30%,"5,2",+20%,"0,6",+38%,"0,24",+38%,14,-1%,D,-1%,,,,B,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,
9,Piment doux moulu - SPIGOL - 45g,3102870044201,['SPIGOL'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments']",,['France'],['Piment doux moulu'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,235,,84,,,,"4,05",,,,"7,26",,,,"3,04",,,,,,,,,,45 g,,Piment doux,B,['Verre'],,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,,,,,,,
10,pain complet - Leclerc - 410g,3461181370936,['Leclerc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['Leclerc'],['France'],"['Farine ', 'BLÉ,BLÉ malté', ',eau,son de_blé_,levure', 'GLUTEN DE_BLÉ_', 'sel', 'sucre', 'émulsifiant ', 'E472e', ' enzymes', 'agent de traitement de la farine ', ' acide ascorbique,', 'levure désactivée', ' \rTraces éventuelles de lait', ' fruits à coque et graines de sésame']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,1.6 g,en faible quantité,0.4 g,en faible quantité,2 g,en faible quantité,1.1 g,en quantité modérée,932,-10%,221,-12%,932 kj(221 kcal),-11%,"1,6",-53%,"0,4",-26%,40,-6%,2,-45%,"8,5",-3%,"1,1",-6%,"0,44",-6%,1,+51%,B,+51%,410g,,,,,,,,,,,,,,,,,,,
11,Vinaigre balsamique arôme truffe - Le jardin des gourmets - 25cl,,['Le jardin des gourmets'],,,['France'],[],,,[],,,,,,,,,,?,,129.30000305176,,541 kj(129 kcal),,"0,1",,"0,1",,27,,"23,3",,1,,"0,1",,"0,04",,,,,,25 cl,,,,,,,,,,,,,,,,,,,
12,Fromage frais a la creme ciboulette,20292201,,,,['France'],[],,,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,26,,16,,5,,"0,5",,"0,81",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gateau breton ( à la framboise),3561773000002,,,,['France'],[],,,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,25,,"13,9",,"53,5",,"30,01",,"5,5",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,,,,,
14,Crème fraîche de Normandie BIO - Marie Harel - 200g,3267031501020,['Marie Harel'],['en:Produits laitiers  Produits fermentés  Crèmes  Produits laitiers fermentés  Crèmes épaisses  Crèmes fraîches'],['Intermarche'],['France'],"['crème de lait pasteurisé', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,38 g,en quantité élevée,25.5 g,en quantité élevée,2.6 g,en faible quantité,0.08 g,en faible quantité,?,,363,,1519 kj(363 kcal),,38,,"25,5",,"3,1",,"2,6",,"2,1",,"0,08",,"0,032",,14,,D,,200g,,,,['Verre  Frais'],"['Bio', 'en:OrganicEU Organicab-agriculture-biologiqueFR-BIO-10']",,,,,,,,['saint hilaire de briouz'],,,,,,
15,Miel las hurdes,8413464000028,,,,['France'],[],,,[],,,,,,,,,,?,,330,,1381 kj(330 kcal),,0,,0,,"82,45",,"76,15",,"0,2",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,
16,La Chispa,8413402002138,,,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,
17,Morilles Saveurs - U - 150g,3368951152306,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",['Magasins U'],['France'],"['Morilles entières ', 'morchella conica', 'esculenta', 'rotonda', 'importuna', 'elata']",,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.05 g,en faible quantité,190,+11%,45,-2%,190 kj(45 kcal),+1%,"0,5",-53%,"0,1",-63%,"4,8",+3%,"0,6",-72%,4,+76%,"0,05",-70%,"0,02",-70%,-9,,A,,150 g,,,,"['Sachet', 'Surgelés']",,,,,,,,,,,,,,,
18,Pâté de campagne de volaille au piment - creolay - 150gr,3416510000251,['Creolay'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,['France'],"['Viande et Peau de Volaile', 'Foie de Volaille', 'Eau', 'Abats', 'Sel', 'Piment vert 1%', 'Epices et aromates', 'Conservateur ', 'E325', 'E250', 'Stabilisant ', 'E451', 'E450', 'Dextrose', 'Antioxydant ', 'E3 6', ' Arôme naturel Ce produit est susceptible de contenir des traces de : céréales ', 'gluten', 'lait et dérivés', 'moutarde', 'beuf', 'fruit à coques', 'soja', 'arachides']","['E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,17.3 g,en quantité modérée,6.3 g,en quantité élevée,0.4 g,en faible quantité,2.35 g,en quantité élevée,?,,228,-27%,954 kj(228 kcal),-27%,"17,3",-36%,"6,3",-38%,2,-17%,"0,4",-57%,16,+13%,"2,35",+42%,"0,94",+42%,18,-5%,D,-5%,150gr,,,D,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
19,Herbal Drops,20782245,,,,['France'],[],,,[],,,,,,,,,,?,,236,,987 kj(236 kcal),,"0,5",,"0,1",,97,,"0,5",,"0,5",,"0,01",,"0,004",,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,
20,Emela Eggplant Spread 350g - 350g,4260007240151,,,,['France'],[],,,[],,,,,,,,,,?,,164,,686 kj(164 kcal),,7,,2,,"22,3",,"7,9",,"1,5",,"0,96",,"0,384",,,,,,350 g,,,,,,,,,,,,,,,,,,,
21,Vega One French Van Large,0838766105246,['Vega'],,,['France'],[],,,[],,,,,,,,,,?,,390.24390243902,,1633 kj(390 kcal),,"12,195",,"1,22",,"24,39",,"2,439",,"48,78",,"1,463",,"0,585",,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,
22,8 mini nems - Auchan,3596710460809,['Auchan'],"['Plats préparés', 'Nems']",['Auchan'],['France'],[],,,[],,7.6 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en faible quantité,1.2 g,en quantité modérée,?,,131,-35%,548 kj(131 kcal),-35%,"7,6",-15%,"0,8",-51%,13,-42%,"1,8",-36%,"2,4",-65%,"1,2",-8%,"0,48",-8%,5,-5%,C,-5%,,"['EMB 27701E', 'Val-de-Reuil (Eure, France)']",,C,,"['Nutriscore', 'Produit en braille', 'Nutriscore C']",62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,
23,Fromage pasteurisé repas raclette truffe d'été 26% de matière grasse - U - 200g,3256227139451,['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Magasins U'],['France'],"['Lait pasteurisé de vache ', 'origine: france', ""truffe blanche d'été 2% "", 'tuber aestivum vitt', 'jus de truffe ', ""huile d'olive"", 'ail', 'sel', 'poivre', 'ferments ', 'dont lait', 'coagulant', 'conservateur de surface: natamycine', 'colorant de la croûte: rocou', 'arômes']","['E235 - Natamycine', 'E160b - Rocou']",['Lait'],['Non végétalien'],4,26 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,2.4 g,en quantité élevée,1392,+11%,335,+2%,1392 kj(335 kcal),+2%,26,-2%,17,-4%,"1,3",+7%,"0,5",-33%,24,+18%,"2,4",+85%,"0,96",+85%,19,+39%,E,+39%,200 g,,,B,['Frais'],"['Lait Français', 'Transformé en France']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
24,CÂPRES Bio - masseria del vicario - 110g,8033954330703,['masseria del vicario'],"['Capre', 'Capres-au-sel']",['Naturalia'],['France'],"['Câpres', 'eau', 'sel de mer']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.75 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,2.58 g,en quantité élevée,?,,38,,159 kj(38 kcal),,"0,75",,"0,2",,"2,12",,"0,2",,"2,12",,"2,577",,"1,031",,6,,C,,110g,,,,['bocal en verre'],"['Bio', 'Bio européen']",,,,,,,,['Italie'],"['Italie', 'Les Pouilles']",,,,,
25,Pan rallado - Spar,8480013217022,['Spar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",['Spar'],"['France', 'Espagne']",[],,,[],,14 g,en quantité modérée,0.3 g,en faible quantité,2.3 g,en faible quantité,0.77 g,en quantité modérée,?,,371,+1%,1552 kj(371 kcal),+0%,14,+292%,"0,3",-60%,78,+10%,"2,3",-49%,"9,7",-13%,"0,77",-43%,"0,308",-43%,2,-68%,B,-68%,,,,,,,,,,,,,,,,,,,,
26,Tartare de saumon marinade citronnée,3250392717643,,,,['France'],[],,,[],,,,,,,,,,?,,203,,849 kj(203 kcal),,13,,"1,8",,1,,"0,8",,20,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
27,Mini préfous chorizo - Justin Bridou - 136g,3449865296406,['Justin Bridou'],,,['France'],[],,,[],,,,,,,,,,?,,289,,1209 kj(289 kcal),,14,,"6,5",,33,,"1,4",,"8,7",,"1,1",,"0,44",,,,,,136 g,"['EMB 85233A', 'Saint-Jean-de-Beugné (Vendée, France)']",,,,['Fabriqué en France'],,,,,,,,,,,,,,
28,Le batistou,3521831402421,['Le Batistou'],,,['France'],[],,,[],,,,,,,,,,?,,428,,1791 kj(428 kcal),,33,,13,,"2,7",,"1,8",,29,,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,,,
29,Foie gras - Delpeyrat,3067163631899,['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,['France'],"['Foie Gras de Canard de Gascogne ', 'Origine France', 'sel', 'poivre ', '0,5%', 'conservateur: nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,[],3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,56,+3%,24,+4%,"2,2",-9%,"0,9",-33%,"7,5",-1%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,,,,B,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
30,PÂTE À SUCRE,8718781587864,,,,['France'],[],,,[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,"2,9",,"0,8",,"89,6",,"81,1",,"0,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
31,Bouquet garni entier - U - 15g,3256226398675,['U'],['Epicerie'],['Magasins U'],['France'],"['Thym', 'laurier']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,15 g,,,,['Sachet'],,,,,,,,,,,,,,,
32,Günther Feinste Markklösschen - 100g,4017251800101,,,,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,100 g,['DE RP-24001 EG'],,,,,,,,,,,,,,,,,,
33,Pâtes : linguine nº13 - Delhaize - 500g,5400113531173,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Linguine']",['Delhaize'],"['Belgique', 'France']",['Semoule de blé dur'],,,[],,1.3 g,en faible quantité,0.3 g,en faible quantité,3.2 g,en faible quantité,0.001 g,en faible quantité,?,,360,+4%,1506 kj(360 kcal),+5%,"1,3",-23%,"0,3",-18%,73,+8%,"3,2",+16%,13,+4%,"< 0,001",-95%,0,-95%,-3,,A,,500 g,,,C,['Paquet'],,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,
34,Surimi - Almare seafood - 200g,4099200034133,['Almare seafood'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']",,"['France', 'Suisse']","['poisson 39% ', ""Colin d'Alaska "", 'Theragra chalcogramma', ' et/ou merlan du Pacifique ', 'Merluccius productus', 'et/ou Hoki ', 'Macruronus magellanicus', 'de poule', 'amidon ', 'pommes de terre', 'huile de colza', 'sucre', 'amidon ', 'froment', ' stabilisants: sorbitol', 'E450', 'E451', 'E452', ' arôme naturel de crabe ', 'contient rustacés', 'sel', 'colorant: extrait de paprika', ' Zone de pêche: FAO 41,67 ', 'Sud-Ouest de locéan Atlantique', 'océan Padifique', ' Methode de pêche: chalutage', 'chalut ', 'semi-', ' pélagique', ' eau', ""blancd'oeuf Referenzmenge füreinen durchschnit Erwachsenen "", '8400 kJ/']","['E420 - Sorbitol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']","['Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,0.3 g,en faible quantité,3.1 g,en faible quantité,1.8 g,en quantité élevée,?,,123,+3%,515 kj(123 kcal),+4%,"4,9",+4%,"0,3",-54%,12,+5%,"3,1",+8%,"7,6",+2%,"1,8",+5%,"0,72",+5%,4,-9%,C,-9%,200 g,,,B,['Barquette'],,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,
35,P'tite pom',20231927,,,,['France'],[],,,[],,,,,,,,,,?,,65,,272 kj(65 kcal),,"0,2",,0,,15,,15,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chorizo,8421395004060,,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,['France'],[],,,[],,45 g,en quantité élevée,18 g,en quantité élevée,2 g,en faible quantité,3.8 g,en quantité élevée,?,,489,+20%,2046 kj(489 kcal),+20%,45,+32%,18,+40%,3,+3%,2,+12%,18,-21%,"3,8",+1%,"1,52",+1%,26,+9%,E,+9%,,,,D,,,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,,,
37,Delhaize - Vinaigre de cidre aromatisé au miel - 25cl,5400113022145,['Delhaize'],"['Vinaigres', 'Vinaigres de cidre']",['Delhaize'],"['Belgique', 'France']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,17,+13%,71 kj(17 kcal),+18%,0,-100%,0,-100%,"0,5",-67%,"0,5",-33%,0,-100%,0,-100%,0,-100%,,,,,25 cl,,,B,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,
38,"Bols de carottes et veau sans morceaux U_TOUT_PETITS Bio - 6mois,2x 200g",3256226761967,"['U Tout Petits', 'U']","['Aliments pour bébé', 'Plats principaux pour bébé', 'Petits pots pour bébé']",['Magasins U'],['France'],"['Carotte* 48%', 'eau', 'pomme de terre * 18%', 'viande de veau* ', 'origine : France', ' 8%', 'oignon*', 'huile de tournesol*', 'huile de colza*', 'persil*', "" *Ingrédients issus de l'Agriculture Biologique""]",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,,,,,,,,,212,-9%,51,-7%,212 kj(51 kcal),-8%,"1,8",+25%,"0,4",+31%,"5,4",-27%,"2,7",+22%,"2,3",+19%,"0,07",-33%,"0,028",-33%,,,,,"6 mois,2 x 200 g",,,,"['BIO', 'dès']","['Bio', 'Viande Française', 'Transformé en France', 'Viande de veau français']",,,,,,,,,,,,,,
39,Croissant x2 pur beurre - Auchan - 90g,2030500377119,['Auchan'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['Auchan'],['France'],"['Farine de BLE', 'BEURRE 21,5%', 'eau', 'sucre', 'levure', 'poudre de LAIT entier', 'GLUTEN de BLÉ', 'sel', 'OEUF', ""levain de BLE d'EPEAUTRE sèche"", ""farine d'ORGE maltée"", ""extrait de malt d'ORGE"", 'agent de traitement de la farine: E300', 'enzymes']",['E300 - Acide ascorbique'],"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90 g,,Viennoiserie au beurre,C,['Plastique'],['Pur beurre'],78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,
40,Chocolat,3645200000008,,,,['France'],[],,,[],,,,,,,,,,?,,453,,1895 kj(453 kcal),,23,,14,,55,,33,,"6,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
41,Testyuka,3760261181364,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,['France'],[],,,[],,10 g,en quantité modérée,1.75 g,en quantité modérée,4 g,en faible quantité,2.2 g,en quantité élevée,?,,206,+26%,862 kj(206 kcal),+26%,10,+28%,"1,75",+8%,"4,8",+1054%,4,+1261%,22,-3%,"2,2",-20%,"0,88",-20%,12,+2%,D,+2%,,"['FR 62.160.011 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,E,,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,
42,Thé vert citron,8008155504352,,,,['France'],[],,,[],,,,,,,,,,?,,23.60000038147,,99 kj(23 kcal),,0,,0,,"5,9",,"5,9",,0,,0,,0,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,,,,,
43,Divin chocolat - Rose & Cacao - 100g,3701283500108,['Rose & Cacao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats crus']",,['France'],"['beurre de cacao cru*', 'cacao cru*', 'Sucre de coco*', 'sarrasin', 'cannelle', 'mélange 5 épices*', ' ""Ingrédients issus de l\'agriculture biologique']",,,[],3,41.7 g,en quantité élevée,25.9 g,en quantité élevée,23.7 g,en quantité élevée,0.1 g,en faible quantité,?,,583,-2%,2439 kj(583 kcal),-2%,"41,7",-11%,"25,9",-10%,"43,6",+44%,"23,7",+45%,"7,4",-14%,"0,1",+63%,"0,04",+63%,22,+15%,E,+15%,100 g,,,D,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
44,Basil pesto - Tesco,5057373870902,['Tesco'],"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,['France'],"['ingredients sunflower oil', 'basil ', '37%', 'tofu ', '5%', 'cashew nuts ', '5%', 'glucose syrup', 'water', 'potato flakes', 'pine nuts', 'salt', 'acidity pesto na and th', ' store nt regulator ', 'lactic acid', ' tofu contains: soya bean', 'water', 'firming agent ', 'magnesium chloride', ' date sou ahable epans allergy advice for allergens', 'see ingredients in bold also', 'may contain peanuts and öther nuts', 'regdy jar-gu ater of ontains free from gluten', 'wheat', 'milk', ' suitable for vegans nutrition label r quarter of a jar contains 190 100g']","['E270 - Acide lactique', 'E511 - Chlorure de magnésium', '', 'Risque modéré de sur-exposition']",['Soja'],['Non végétalien'],4,39.7 g,en quantité élevée,4.1 g,en quantité modérée,2.8 g,en faible quantité,1.1 g,en quantité modérée,?,,422,-6%,1766 kj(422 kcal),-6%,"39,7",-10%,"4,1",-37%,"11,6",+97%,"2,8",+22%,"3,7",-22%,"1,1",-55%,"0,44",-55%,13,-33%,D,-33%,,,,C,"['glass-jar', 'steel-lid']","[""À l'huile de tournesol""]",77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,
45,Jus d'orange sanguines - Selex - 1L,8003100834768,['Selex'],,,['France'],[],,,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,0,,0,,12,,12,,"0,5",,0,,0,,,,,,1L,,,,,['en:gluten-free'],,,,,,,,,,,,,,
