,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
0,Charbonnel et Walker Original The Chocolate Drink,5019960012300,['France'],[],[],?,546,2284 kj(546 kcal),"35,8","21,5","46,1","43,4","5,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cassolette Créole,3503361463141,['France'],[],[],?,479,2004 kj(479 kcal),"3,5","1,1",8,"0,7","7,2","0,8","0,32",['Fabriqué en France'],"['EMB 22225', ""Ploumagoar (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Miel de Fleurs Crémeux d'Alsace - Le Rucher de l'Ill - 500g,3760114100047,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Certifié par Certipaq'],,B,500 g,['Bocal'],"[""Le Rucher de l'Ill""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', ""Miels d'Alsace"", ""Miels de fleurs d'Alsace""]",['France'],http://www.le-rucher-de-l-ill.fr,['Super U'],2,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,
3,Barre fruitée bio aux amandes et à la banane - Nature Active Bio,4099200208282,['France'],[],[],?,411,1720 kj(411 kcal),16,"1,4",55,42,9,"0,02","0,008","['Bio', 'Bio européen', 'DE-ÖKO-013', 'Agriculture UE/Non UE']",,,,,['Nature Active Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abocar 3 fruits,3605265010572,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75CL Beaujolais Village Fleuri,3245414857261,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pain nordique - Carrefour,3123456027067,['France'],[],[],?,338,1414 kj(338 kcal),"4,5","0,6",58,"1,9",14,1,"0,4",,,,,,['Carrefour'],,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saussice de morteau IGP,3760050793013,['France'],[],[],?,351,1469 kj(351 kcal),25,"9,7",1,"0,1",20,"2,6","1,04",,"['FR 25.240.005 CE', 'Fins (Doubs, France)']",E,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,,,,,+11%,-9%,+81%,+19%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,25 g,en quantité élevée,9.7 g,en quantité élevée,0.1 g,en faible quantité,2.6 g,en quantité élevée,+10%,-8%,-74%,+17%,+17%,23,+6%,E,+6%,,,,,,,
8,Confit. Figue au Vinaigre balsamique - Saveurs A - 210g,3760280042219,['France'],"['Figues 45 %', 'sucre de canne', 'oignons', ""vinaigre d'alcool"", 'vinaigre balsamique 6%', 'sel', ""huile d'olive"", 'herbes de Provence', 'pectine', ' *ingrédients allergènes : vinaigre: traces de sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,473.23,1980 kj(473 kcal),"0,96","0,12","31,56","30,77","0,63","0,12","0,048",,,,210 g,,['Saveurs A'],"['Epicerie', 'Sauces']",,,,4,,+99%,-95%,+218%,-77%,,,,,,,,0.96 g,en faible quantité,0.12 g,en faible quantité,30.8 g,en quantité élevée,0.12 g,en faible quantité,+101%,-94%,+376%,-95%,-95%,10,-14%,C,-14%,['E440 - Pectines'],,,,,,
9,Oignon rouge,3306540010507,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hej protein bar coockie & milk,4260446581167,['France'],[],[],?,343,1435 kj(343 kcal),"14,4",7,"5,9","3,1","33,1","0,95","0,38",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dorade royale,2232110004922,['France'],[],[],?,128,536 kj(128 kcal),"4,8","1,16","0,5",0,"20,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,saucisson breton - l'uzelaise - 106g,2869027018966,['France'],[],[],?,?,,?,,?,,?,,,,"['FR 22.300.001 CE', ""Saint-Hervé (Côtes-d'Armor, France)""]",,106g,,"[""l'uzelaise""]",['Saucisson breton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mr pizza,3398572650103,['France'],[],[],?,25,105 kj(25 kcal),9,1,4,0,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Farine de blé noir - Ferme du chat blanc - 0,750kg",3760259010096,['France'],['FARINE SARRASIN'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,A,"0,750kg",['sac papier'],['Ferme du chat blanc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",['41150 Maves'],,['Boulangerie Gaveau'],1,,,,,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,
15,Pita breaks - ALFA - 90g,5208056471088,['France'],"['Farine de blé ', 'gluten', 'huile de tournesol riche en acide oléique', 'aróme naturel de pesto 3% ', 'contient du lait', ',sel', ""huile d'olive 0"", '8%', 'levure', ' Peut contenir des traces de graines de sésame']",[],1696,397,1696 kj(397 kcal),9,"3,4","74,8","3,1",6,"2,11","0,844",,,B,90 g,['sachet plastique'],['ALFA'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pains Pita']",,http://www.facebooks.com/petabreaks,['Noz'],4,+53%,+58%,+500%,+52%,-28%,49.6%,26.4%,15.7%,7.2%,1.0%,0.0%,95,9 g,en quantité modérée,3.4 g,en quantité modérée,3.1 g,en faible quantité,2.11 g,en quantité élevée,+60%,+1398%,+19%,+95%,+95%,16,+1637%,D,+1637%,,Pain Pita,"['Gluten', 'Lait', 'Graines de sésame']",,,,
16,Bratkartoffeln - 2x 500g,4006034116546,['France'],[],[],?,387,1619 kj(387 kcal),"2,4","0,4","14,2","1,4","2,4","0,85","0,34",,,,2 x 500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Oeuf - Auchan,3596710479481,['France'],[],[],?,584,2443 kj(584 kcal),"9,8","2,6","0,5","0,5",13,"0,31","0,124",['Nutriscore'],"['FR 51.237.002 CE', 'Esternay (Marne, France)']",C,,['Film en plastique'],"['Auchan', 'Auchan Production']","[""Produits d'élevages"", 'Œufs']",,,['Auchan'],,,+342%,+4%,-26%,+6%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,0.31 g,en quantité modérée,+339%,+8%,+3%,+18%,+18%,5,,C,,,,,,,,
18,Fa Men,3178040650282,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tortilla de pomme de terre et oignon - Benis Food - 650g,8436578331192,['France'],"['Pomme de terre ', '53%', 'Oeuf pasteurisé ', '30%', ' ', 'ouf', 'sel', 'conservateur: E211 acidulant: acide citrique', 'Oignan frit ', '13%', ' ', 'oignon', ""huile d'olive et sel"", ""Huile de tournesol et Huile d'olive vierge "", '1,5%']",['Non végétalien'],?,158,661 kj(158 kcal),"9,2","1,6",13,1,"5,3","1,3","0,52",['en:gluten-free'],,B,650 g,['Film en plastique'],['Benis Food'],"['Plats préparés', 'Omelettes de pommes de terre']",,,,3,,-1%,-2%,+10%,+1%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,9.2 g,en quantité modérée,1.6 g,en quantité modérée,1 g,en faible quantité,1.3 g,en quantité modérée,-0%,-9%,+6%,+21%,+21%,4,+6%,C,+6%,"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,
20,Classico decaffeinato - 125g,3245678172834,['France'],[],[],?,?,,?,,?,,?,0,0,,,,125 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés décaféinés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,
21,Snack Spar Tortilha Wraps,8710671005359,['France'],[],[],?,1400,5858 kj(1400 kcal),8,"3,3","54,2","1,3","9,3","1,3","0,52",,,,,,['Spar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Burger du chef - Socopa,3039050351999,['France'],[],[],?,204,854 kj(204 kcal),15,7,"4,2","0,8",13,"0,68","0,272",,,,,,['Socopa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Crevettes décortiquées - Miti,3760070016055,['France'],[],[],?,78,326 kj(78 kcal),"0,7","0,1","0,5","0,5",18,"1,2","0,48",['Sans colorants'],,,,,['Miti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Miel et gelée royale bio - Famille Mary,3760115098428,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['Famille Mary'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel', 'Préparations à base de miel et gelée royale']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Préparation à base de miel et gelée royale bio,,,,,
25,Gingembre moulu - Portland,27069806,['France'],[],[],?,?,,?,,?,,?,,,,,B,,,['Portland'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",,,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,,,,,,,,,,,,,,,,,,,,
26,Olives vertes dénoyautées - Philia,3520832130876,['France'],[],[],?,149,623 kj(149 kcal),15,"2,6","0,5","0,5","1,2","2,4","0,96",,,,,,['Philia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Carpaccio fumé,3440432019169,['France'],[],[],?,185,774 kj(185 kcal),"12,1","2,5",1,"0,5",19,"2,7","1,08",,,,,['Barquette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,DÉODORANT SOLIDE BIO - CEST MOI QUI LAI FAIT - 28g,3401579510865,['France'],"['butyrospermum parkii butter', 'hydrogenated soybean oil oil', 'stearic acid', 'cetearyl wheat straw glycosides', 'candelilla wax', 'kaolin', 'citrus limon ', 'citron', ' oil', 'cymabopogon martinii var', ' Motia', 'cetearyl alcohol', 'theobroma ca - cao seed butter* ', 'limonene*', 'citral*', 'linolool', "" *Composés naturels présents dans les huiles essentielles et pouvant présenter un risque d'allergie"", ' Produit entièrement biodégradable : Carton', 'sac en coton', 'cordelette en jute et bâtonnet en bois sont tous compostables', "" Utilisation d'encre éco-responsable"", "" Fabrication artisanale réalisée en France avec 100% des ingrédients d'origine naturelle"", ' Ne contient pas de paraben', ' Le sac en coton peut servir ponctuellement de pochon pour votre produit', 'mais sa naturalité lui donnera tendance à se rigidifier avec le temps', "" Le format de ce produit vous autorise à l'emporter en cabine lors de transports aériens"", ' SLOW COSMÉTIQUE crueltyfree TESTÉ SOUS CONTRÔLE DERMATOLOGIQUE - DERMATOLOGICALLY TESTED / TENIR HORS DE PORTÉE DES ENFANTS - KEEP OUT OF REACH OF CHILDREN / ÉVITER LE CONTACT AVEC LES YEUX AVOID EYES CONTACT / NE PAS INGÉRER - DO NOT INGEST FABRIQUÉ EN FRANCE www', 'cestmoiquilaifaitpourvous', 'fr - www', 'dietworld', ""eu 6M 401579 510865 C'EST MOI QUI L'AI FAIT/DIETWORLD Tél : 01"", '46', '66', '28', '05-Fax : 01', '46', '68', '70', '17 12-14', 'Rond Point des Champs Elysées - 75008 PARIS Vente réservée aux distributeurs agréés', "" C'est moi qui l'ai fait Poaheronel""]",[],?,?,,?,,?,,?,,,"['Bio', 'Fabriqué en France']",,,28g,,['CEST MOI QUI LAI FAIT'],"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E570 - Acide stéarique', 'E902 - Cire de Candelilla', ""E559 - Silicate d'aluminium""]",,,,,,
29,Chili sin carne,8414532059153,['France'],[],[],?,108,452 kj(108 kcal),"2,3","0,3",16,"2,1","4,7","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,La magie de la forêt - Galka - 100g,95553665,"['France', 'Ukraine', 'États-Unis']",[],[],?,301,1259 kj(301 kcal),?,,?,,?,,,,,A,100 g,['sachet plastiqur'],['Galka'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']","['Liv', 'Ukraine']",,['Noz'],,,+14950%,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,+20883%,,,,,,,,,,,,['Ukraine'],,,
31,Czekolada gorzka o smaku expresso,5901588018423,['France'],[],[],?,530,2218 kj(530 kcal),33,16,49,47,"5,9","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Thé Eglantine - Galga - 40g, 20x 2g",95553672,"['France', 'Ukraine', 'États-Unis']","[""Les fruits d'églantier"", ""les fleurs d'hibiscus"", "" Ne pas utiliser chez les personnes intolérantes à l'un des ingrédients de la tisane"", "" Préparation: Versez de l'eau chaude sur le sachet de tisane "", '200ml', ' et laisser infuser 4 à 7 min', ' ajoutez du sucre ou du miel suivant le goút', ' A utiliser sous forme de boisson', "" Ștockage: Stockez dans un endroit sec où T'humidité relative de l'air ne dépasse pas 75%"", ' Utilisation avant le: 01', '09', '19 Attention: La date présente sur le produit est la dațe production', ' 20 sachets de tisane', ' Poids net: 40g ', '20 sachetsx2g', ' Fabricant: SIA GALKA-CAJ', '18 rue général Yunakiva', 'Lviv', ' 79039', 'Ukraine', "" Adreșse de l'ușine: la rue Ozemaya"", 'malechkovichy', 'région de Pustomyty', 'canton de Lviv', "" Importateur et distributeur: Frade house '"", ""GALKA'"", ' Llc', '12 rue Melnychuka', 'Lviv', 'Ukraiņe-79019', ' E-mail: office@th', 'galca', 'ua boutique en ligne: www', 'galac - shop', 'com', 'ua']",[],?,?,,?,,?,,?,,,,,A,"40 g, 20 x 2 g",['boite carton'],"['Galga', 'ГАЛГА']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",['Ukraine'],,['Noz'],,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,['Ukraine'],,,
33,Infusion Lavande fleur - Herbier de France - 30g,3417960000310,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Biopartenaire']",,B,30 g,,['Herbier de France'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions']",,,,,,-100%,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,-100%,,,,,,,,,,,,,,,
34,"Petit pois, champignons et lardons - Saint Eloi",3250392888312,['France'],[],[],?,59,247 kj(59 kcal),"1,1","0,4","4,5",1,"5,3","0,52","0,208",,,,,,['Saint Eloi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Céréales fourrées au lait,3250392783334,['France'],[],[],?,443,1854 kj(443 kcal),"15,3",3,"65,1",35,"8,2","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Rancho la rosa,8717931904032,['France'],[],[],?,38,159 kj(38 kcal),"0,1","0,1",8,"4,2","0,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Peanut butter,9352042000151,['France'],[],[],?,515,2155 kj(515 kcal),37,7,"15,7","15,4","17,4",0,0,,,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,,,,,-14%,-23%,+9%,-29%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,37 g,en quantité élevée,7 g,en quantité élevée,15.4 g,en quantité élevée,0 g,en faible quantité,-14%,-16%,+143%,-100%,-100%,15,+36%,D,+36%,,,,,,,
38,Céréales cacao,3760030723450,['France'],[],[],?,351,1469 kj(351 kcal),2,"0,5",73,"0,3",11,"0,03","0,012","['Bio', 'en:gluten-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Torta caprese - logistimax - 600g,3760074794638,['France'],"[""Blanc d'OEUF "", ""blanc d'OEUF"", 'stabilisant : E415', 'épaississant: E412', 'chocolat 20% ', 'pâte de cacao', 'sucre', 'émulsifiant: lécithine de SOJA', 'arôme naturel de vanille', ""jaune d'OEUF"", 'BEURRE doux', ""poudre d'AMANDE"", 'sucre', 'AMANDES grillées 4%', 'acidifiant : E500', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,421,1761 kj(421 kcal),"32,7","14,5",20,"18,6","10,5","0,24","0,096",,"['EMB 22084A', ""Jugon-les-Lacs (Côtes-d'Armor, France)"", 'FR 22.084.018 CE', ""Jugon-les-Lacs (Côtes-d'Armor, France)""]",D,600 g,"['étui plastique', 'moule papier']",['Logistimax'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,,4,,-4%,+39%,-59%,+82%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,32.7 g,en quantité élevée,14.5 g,en quantité élevée,18.6 g,en quantité élevée,0.24 g,en faible quantité,-4%,+83%,-40%,-54%,-54%,19,+3%,E,+3%,"['E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E322i - Lécithine', 'E500 - Carbonates de sodium']",,"['Œufs', 'Lait', 'Fruits à coque', 'Soja']",,,,
40,Le vinaigre de cidre - Casino,3222477370050,['France'],[],[],?,?,,?,,?,,?,,,,"['EMB 51454', 'Reims (Marne, France)']",B,,,['Casino'],"['Vinaigres', 'Vinaigres de cidre']",,,['Casino'],,,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,,,,,,,,,,,,,,,,,,
41,fromage râpé pour Fondue aux 4 fromages de Savoie - Chabert - 1kg,3414170013383,['France'],[],[],?,406,1699 kj(406 kcal),32,20,"0,4","0,2",29,"0,8","0,32",,"['FR 74.289.050 CE', 'Vallières (Haute-Savoie, France)']",,1 kg,['Sachet en plastique'],['Chabert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tablette lave-vaisselle Carrefour - 13.5g,3560071152697,['France'],[],[],?,?,,?,,?,,?,,,,,,13.5 g,"['Packet', 'boîte', 'paquet', 'tablette']",['Carrefour'],,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Saucisses Super U,2466252034244,['France'],[],[],?,1195,5000 kj(1195 kcal),25,10,1,1,15,"1,6","0,64","['Viande Française', 'Viande Porcine Française', 'Sans colorants']","['FR 53.107.002 CE', 'Gorron (Mayenne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Canard-Duchêne Rosé,3113934004192,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pfeffer schwarz gemahlen - HES,4002624030162,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,B,,['Kunststoff'],['HES'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,
46,Mousse pur canard - Carrefour,2227152015289,['France'],[],[],?,375,1569 kj(375 kcal),36,12,"4,2","4,2",9,"1,7","0,68",,,D,,,['Carrefour'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",,,['Carrefour'],,,-7%,-7%,+32%,-3%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,36 g,en quantité élevée,12 g,en quantité élevée,4.2 g,en faible quantité,1.7 g,en quantité élevée,-6%,-15%,+118%,+16%,+16%,21,+3%,E,+3%,,,,,,,
47,La Fleur de Lussac,3423290200832,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,mini tablette noir sans sucre - maison Mercier - 150g,3395250203408,['France'],"['[Pate de cacao', 'edylcorant: maltitol', 'beurte de cacao', 'emulsifiant lecithine de SOJA', 'arome naiurel de vanille', ' Couverture noir 65% mjn', ' de cacao Traces possibles de fruits a coque', 'lait et sesame']",[],?,457,1912 kj(457 kcal),35,1,"21,4","0,3","5,5",0,0,,,,150g,['150g'],['maison Mercier'],['Tablette chocolat'],['Baugy'],,['Carrefour'],4,,,,,,,,,,,,,35 g,en quantité élevée,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,,,,,,2,,B,,['E965 - Maltitol'],,['Soja'],,,,
49,Thai Noodle - 400g,8809429080073,['France'],[],[],?,350,1464 kj(350 kcal),1,0,78,0,7,"0,03","0,012",,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pesto al basilico con tartufo estivo,8031026409111,['France'],[],[],?,357,1494 kj(357 kcal),"33,5","6,8","7,1",2,"5,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Champignon de Paris,8713021211127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pâté de tête aux cornichons - Mainjole - 260g,3561650002143,['France'],"['maigre de tête de porc', 'eau', 'couenne', 'gélatine de porc', 'sel', 'acidifiants E325', 'E262', 'E331', 'E330', 'cornichons ', '2,2%', 'sucres', 'stabilisants: E450 E452 E451', 'ail', 'persii', 'arômes naturels', 'amidon de mais', 'sirop de glucose', 'antioxygenes: E316', 'conservateur: E250', 'épices', ""extraits d'épices""]",[],?,231,967 kj(231 kcal),19,"6,8",0,0,15,"2,4","0,96",['Arômes naturels'],"['FR 66.172.001 CE', 'Saint-Estève (Pyrénées-Orientales, France)']",,260g,,['Mainjole'],"['Produits à la viande', 'Terrines', 'Terrines de porc']",,,,4,,-25%,-28%,-100%,+3%,,,,,,,,19 g,en quantité modérée,6.8 g,en quantité élevée,0 g,en faible quantité,2.4 g,en quantité élevée,-24%,-31%,-100%,+56%,+56%,18,-3%,D,-3%,"['E325 - Lactate de sodium', 'E262 - Acétates de sodium', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
53,Coulant Bio au chocolat - 8x 100g,3452280070551,['France'],[],[],?,368,1540 kj(368 kcal),22,13,36,31,"5,3","0,09","0,036","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France']",,,8 x 100 g,,,"['Biscuits et gâteaux', 'Gâteaux']",,,,,,-9%,+13%,-28%,-3%,,,,,,,,22 g,en quantité élevée,13 g,en quantité élevée,31 g,en quantité élevée,0.09 g,en faible quantité,-8%,+70%,+11%,-85%,-85%,20,+12%,E,+12%,,,,,,,
54,Vin de Bourgogne,4056489114185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pulpe d'ail,3760105891688,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,VEG&CROCK - Noberasco,8005120219426,['France'],[],[],?,369,1544 kj(369 kcal),"5,4","1,8",66,40,"6,2","0,3","0,12",['Sans conservateurs'],,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,QNT Créatine (200 Comprimés),5425002401689,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gallia AC Transit,3041091474711,['France'],[],[],?,?,,?,,?,,?,,,,,,,,['Gallia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oeufs de poules élevées en plein air,3760067750016,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,D,,,,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",,,,,,-100%,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,-100%,,,,,,,,,,,,,,,
