,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,packaging,categories,ingredients_origins,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,allergens,nova_score,labels,producer_info,traceability_code,additives,link,generic_name,palm_ingredients,origin_detail,brand_owner
0,Iso Whey Zero - BiotechUSA,5999076222902,['BiotechUSA'],['France'],[],[],?,5,21 kj(5 kcal),"1,6",1,"5,2","0,5",84,"0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yahoury - Yoplait,6091002011051,['Yoplait'],['France'],[],[],?,108,452 kj(108 kcal),"3,2",0,16,0,"3,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Clever Naturjoghurt 3,6% - 250g",9003740094361,,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PINK LADY® POMMES BARQ 6 PIECES,46473783,['Pink lady'],['France'],[],[],?,62,259 kj(62 kcal),"< 0,5","< 0,01","13,8","12,3","< 0,5","< 0,01","0,004",6,B,['6'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Pomme-pink-lady']",['France'],['Cavaillon'],0.5 g,en faible quantité,0.01 g,en faible quantité,12.3 g,en quantité modérée,0.01 g,en faible quantité,,+32%,+36%,+70%,-88%,+30%,+51%,+38%,-75%,-75%,-3,,A,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,
4,Bourgogne pinot noir A.O.C. 2016 - Antoine Barrier - 75cl,3564700804773,"['Antoine Barrier', 'Marque Repère']",['France'],['Contient des Sulfites'],[],?,?,,?,,?,,?,,,75 cl,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Leclerc'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,
5,Lait démaquillant - Cattier - 200ml,3283950911481,['Cattier'],['France'],[],[],?,?,,?,,?,,?,,,200ml,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gourmandises de volaille figue entière et poitrine fumée - Maître Coq - 380g,3230890878619,['Maître Coq'],['France'],"['Cuisse de poulet désossée 70%* ', 'origine : france', 'poitrine de porc fumée 8%* ', 'poitrine de porc ', 'origine : france', 'sel', 'acidifiants : lactate de potassium - acétates de sodium', 'dextrose', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'figue 4%*', 'eau', 'sucre caramélisé', '* pourcentages minimums']","['Non végétalien', 'Non végétarien']",882,?,882 kj(211 kcal),14,"4,3",5,4,16,"0,4","0,16",380 g,C,['Frais'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille']",,,14 g,en quantité modérée,4.3 g,en quantité modérée,4 g,en faible quantité,0.4 g,en quantité modérée,+40%,,+24%,+61%,+55%,-51%,+163%,+55%,-57%,-57%,2,-45%,B,-45%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,4,"['Viande Française', 'Sans arômes artificiels', 'Volaille-francaise']",ARRIVE Chavagnes,"['EMB 85065B', 'Chavagnes-en-Paillers (Vendée, France)']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
7,Noix de coco Aldi,26061931,,['France'],[],[],?,415,1736 kj(415 kcal),38,35,7,2,4,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,President,6191513501147,['President'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Panettone artisanal - Ciro,3760014290091,['Ciro'],['France'],[],[],?,354,1481 kj(354 kcal),13,"7,7",53,28,"6,6","0,46","0,184",,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,13 g,en quantité modérée,7.7 g,en quantité élevée,28 g,en quantité élevée,0.46 g,en quantité modérée,,-5%,-5%,-13%,-14%,+3%,+8%,-3%,+4%,+4%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,['Fabriqué en Italie'],,,,,,,,
10,Infusion Thym Menthe - BiOrigine,3286010047984,['BiOrigine'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,,
11,Oeufs Le Must Date x 6 Corsoeuf,3273026570063,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bulk Deal 24 X QNT 10% Off Carbo Load Lemon Lime 700ML,5425002406981,,['France'],[],[],?,29,121 kj(29 kcal),0,0,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Telephone Brand Sat-isabgol,8904013071007,,['France'],[],[],?,20,84 kj(20 kcal),0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Noix de Saint-Jaques - Ronde des Mers,3564706553200,"['Ronde des Mers', 'Marque Repère']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,
15,Thé noir coco cacao - U - 100g,3368952508270,"['U', 'U Saveurs']",['France'],"['Thé noir 78', '5 %', 'écorces de fèves de cacao 14 %', 'noix de coco rôtie sucrée 3 % ', 'noix de coco', 'sucre', 'arôme naturel chocolat noir', 'arôme naturel']",[],?,?,,?,,?,,?,,,100 g,A,['boite en métal'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Magasins U'],,4,,,,,,,,,
16,Cracker bread,9400553453932,,['France'],[],[],?,402,1682 kj(402 kcal),"15,7","1,6","64,2",3,"10,9","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Miel De Lavande - 350g,3770002216088,,['France'],[],[],?,?,,?,,?,,?,,,350 g,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
18,Cookies pomme-caramel - La Mère Poulard - 400g,3472860405535,['La Mère Poulard'],['France'],"['Farine de froment ', 'France', 'beurre ', '19%', 'cassonade', 'pépites de pomme ', '8%', ' ', 'fruits ', 'purée concentrée de pomme', 'jus concentré de pomme', 'sirop de fructose', 'sucre', 'farine de riz', 'beurre de cacao', 'agent gélifiant: pectine', 'arômes naturels', 'acidifiant: acide citrique', ""fibres d'agrumes"", 'éclats de caramel au beurre sale ', '5%', ' ', 'sucre', 'sirop de glucose', 'crème fraiche de Normandie', 'beurre demi-sel ', '4,1%', 'lait écrémé en poudre', 'fleur de sel de Guérande ', '1,6%', 'colorant caramel ordinaire', 'œufs ', '5%', 'poudre à lever ', 'diphosphates carbonate de sodium', 'amidon de blé', 'arôme naturel de pomme ', '0,4%', 'sel', 'émulsifiant: lécithine de tournesol', ' Contient: gluten', 'lait et œufs', ' Peut contenir des traces de soja', 'sésame et fruits à coque']",['Non végétalien'],?,444,1858 kj(444 kcal),"4,6","3,2",15,"6,6","1,3","0,18","0,072",400 g,C,['Boîte métallique'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,['35460 Maen Roch'],4.6 g,en quantité modérée,3.2 g,en quantité modérée,6.6 g,en quantité modérée,0.18 g,en faible quantité,,-6%,-7%,-78%,-68%,-77%,-78%,-80%,-69%,-69%,9,-55%,C,-55%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Auchan'],"['Œufs', 'Gluten', 'Lait']",4,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E150a - Caramel E150a', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",http://www.biscuiterie-mere-poulard.com,,,,
19,Oeuf - Bonval,3760099536985,['Bonval'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
20,scaldasole,8010795002556,['Scaldasole'],['France'],[],[],?,99,414 kj(99 kcal),"2,4","0,5",15,"12,7","4,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans gluten'],,,,,,,,
21,Ma Bûche glacée Bio - Crème glacée chocolat noir - L'Angélys - 330g,3760039984814,"[""L'Angélys"", ""L'Angélys bio""]",['France'],"['Crème glacée Chocolat noir 59,6% : Eau', 'sucre', 'poudre de cacao ', '4,7%', 'crème', 'poudre de lait écrémé', 'sirop de glucose', 'pâte de cacao ', '2%', 'beurre concentré', 'sirop de sucre inverti', 'stabilisants : farine de graines de guar et farine de graines de caroube', ' \rSorbet Plein Fruit Mangue Passion 39,8% : Purée de mangue ', '14,9%', 'eau', 'sirop de glucose', 'purée de fruit de la passion ', '4,9%', 'sirop de sucre inverti', 'sucre', 'jus de citron', 'stabilisants : farine de graines de caroube et pectine', ' \rDécor 0,6% : Coulis fruit de la passion ', '0,6%', ' ', 'fruit de la passion ', '0,3%', 'sucre', 'eau', 'stabilisant : pectine', 'jus de citron']",['Non végétalien'],?,174,728 kj(174 kcal),"5,4","2,9",27,22,"3,1","0,07","0,028",330 g,C,"['Plastique', 'Carton', 'Surgelé']","['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,"['Charente-Maritime', 'France']",5.4 g,en quantité modérée,2.9 g,en quantité modérée,22 g,en quantité élevée,0.07 g,en faible quantité,,-13%,-12%,-33%,-46%,-6%,-11%,+34%,-44%,-44%,7,-38%,C,-38%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,['Lait'],4,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'Point Vert', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'PEFC', 'AB Agriculture Biologique', ""Imprim'Vert"", 'Triman']",,"['FR 17.164.003 CE', 'Fontcouverte (Charente-Maritime, France)']","['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E440 - Pectines']",,Dessert glacé composé d'une crème glacée chocolat noir et d'un sorbet plein fruit mangue passion issu de l'agriculture biologique,,,
22,Mignardises patisseries,3286790108660,,['France'],[],[],?,500,2092 kj(500 kcal),32,16,42,31,9,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Faisselle - 450g,3508472137202,,['France'],[],[],?,94,393 kj(94 kcal),6,0,5,0,5,0,0,450 g,D,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,,6 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+9%,+9%,+13%,-100%,+14%,-100%,+13%,-100%,-100%,-2,-236%,A,-236%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,
24,BCAAs,0181030000168,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,"55,91","1,59","0,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Minuten Frites Mc Cain - 140g,8710438107227,['Mc Cain'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Paella,40891293,,"['Belgique', 'France']",[],[],?,97,406 kj(97 kcal),"2,5","0,8","12,1","1,6",6,"0,71","0,284",,C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Paëllas']",,,2.5 g,en faible quantité,0.8 g,en faible quantité,1.6 g,en faible quantité,0.71 g,en quantité modérée,,-31%,-31%,-47%,-25%,-26%,+40%,-17%,-22%,-22%,1,+9%,B,+9%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,,,,,,,,,,,,
27,Glace - Vanille - Stick -,5450007611238,,"['France', 'Luxembourg']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Saint Nicolas en chocolat - Rohan,3273071001116,['Rohan'],['France'],[],[],?,542,2268 kj(542 kcal),32,20,57,56,6,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Chips Honey Roast Ham,00722704,,['France'],"['Pommes de terre Huile da tournesol Suere Extrait de levure déshydratée ', 'contient Orge', 'Levure eshydratée Matodextrine Sel de r er Arôme Persil hydraté Feuilles laurier déshydratées el déshydraté Sel fumé Acidifiant Acide trique Colorant : Extrait de paprika Clous de airofle moulus Piment de la Jamaïque Gingembre moulu Extrait de poivre noir', 'Pour les allergènes', 'voir les ingrédients indiqués en gras', 'CONSERVATION']",[],?,495,2071 kj(495 kcal),"25,4",2,"57,5","2,4","6,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,,,['E160c - Extrait de paprika'],,,,,
30,Foie gras de canard entier du Sud-Ouest cuit au torchon - MONOPRIX GORMET - 100g,3350030177249,['MONOPRIX GORMET'],['France'],"['foie gras de canard du Sud-Ouest - sel 1,1% - Armagnac - poivre blanc - sucre - conservateur : nitrite de sodium', ' Bouillon de cuisson: eau - gélatine de volaille - Armagnac - jus de truffes - sel - conservateur : nitrite de sodium', ' Traces de céréales contenant du gluten', 'crustacés', 'oeufs', 'poissons', 'soja', 'lait', 'moutarde', 'céleri', 'sésame mollusques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2153,522,2153 kj(522 kcal),54,22,"1,9","1,5","7,2",1,"0,4",100 g,B,"['film plastique', 'sac tissu', 'lien', 'à jeter']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,54 g,en quantité élevée,22 g,en quantité élevée,1.5 g,en faible quantité,1 g,en quantité modérée,-3%,-1%,-3%,-1%,-5%,-20%,+14%,-4%,-17%,-17%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Monoprix'],,4,,,"['EMB 40261A', 'Saint-Geours-de-Maremne (Landes, France)', 'FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine']",,,,,
31,Gingen,8850316010109,,['France'],[],[],?,73,305 kj(73 kcal),"0,1",0,"99,2",96,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,coca cola zero sugar,5449000239662,"['Coca-Cola', 'Carex']",['France'],"['carbonated water', 'colour ', 'caramel e150d', 'phosphoric acid', 'sweeteners ', 'aspartame', 'acesulfame k', 'natural flavourings including caffeine', 'p', 'sa acidity regulator ', 'sodium citrate', '- contains a source of phenylalanine', 'best before end: see side of cap or bottle *re neck for date', 'store cool and dry', '84']",[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,02","0,008",,,"['mixed plastic-sleeve', 'pet-bottle']","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,+29%,+29%,0,-100%,B,-100%,,,,,,,,,,4,['Contient une source de phénylalanine'],,,"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E331 - Citrates de sodium']",,,,,
33,Mijote Du Terroir,8001220135819,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,
34,Soy sauce,6955019991136,,['France'],[],[],?,36,151 kj(36 kcal),0,0,"3,6",1,"5,4","16,9","6,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Norwegischer Räucherlachs - TiP - 200g,4335718154858,['TiP'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,200 g,E,['Kunststoff'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]",,,,,,,,
36,Gelée de fraises belges - Materne,54038455,['Materne'],"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Confiture en Trièves,3770003001041,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Nr 1 vitality - Lactel - 1l,3428271180011,['Lactel'],['France'],"['lait avec 1,4% de matières grasses ', '92%', 'cacao en poudre ', '4,5%', ' ', 'sucre', 'cacao', 'sucre ', '1,5%', 'amidon modifié', 'stabilisant: gomme de gellane', 'minéraux phosphate de calcium', 'arômes', 'vitamines ', 'D', '81 82,83', 'B5', 'B6', 'H', 'M', 'B12', 'E', 'K']",[],?,73,305 kj(73 kcal),"1,4","0,8","11,3","9,5","3,5","0,1","0,04",1l,D,,"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés au chocolat']",,,1.4 g,en faible quantité,0.8 g,en quantité modérée,9.5 g,en quantité élevée,0.1 g,en faible quantité,,0%,-2%,-18%,-28%,+3%,-9%,+8%,-22%,-22%,17,+37%,E,+37%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,,,4,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs', 'Entrepreneurs + Engagés']",,,"['E14XX - Amidons modifiés', 'E418 - Gomme gellane']",,,,,
39,Beurre fin doux - Belle France - 125g,3258561423050,['Belle France'],['France'],"['crème de lait pasteurisé', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,744,3113 kj(744 kcal),82,57,"0,9","0,9","0,7","0,05","0,02",125 g,D,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",['France'],,82 g,en quantité élevée,57 g,en quantité élevée,0.9 g,en faible quantité,0.05 g,en faible quantité,,+2%,+2%,+1%,+3%,+21%,+32%,+2%,-19%,-19%,19,+2%,E,+2%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Lait'],2,,,,,,,,,
40,Haribo Pinkie & Lilly 200G,4001686474549,['Haribo'],"['France', 'Allemagne']",[],[],?,336,1406 kj(336 kcal),"0,5","0,2",78,55,"4,7","0,05","0,02",200g,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,,0.5 g,en faible quantité,0.2 g,en faible quantité,55 g,en quantité élevée,0.05 g,en faible quantité,,-20%,-20%,-97%,-97%,+17%,+11%,+12%,-66%,-66%,14,-23%,D,-23%,,,,,,,,,,,,,,,,,,,
41,Crunchy peanut butter,4088600008127,,['France'],[],[],?,628,2628 kj(628 kcal),50,"9,3",12,"3,6",29,"0,01","0,004",,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']",,,50 g,en quantité élevée,9.3 g,en quantité élevée,3.6 g,en faible quantité,0.01 g,en faible quantité,,+11%,+11%,+10%,+18%,-9%,-40%,+26%,-98%,-98%,16,+18%,D,+18%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
42,Foie gras de canard entier du Sud-Ouest - Larnaudie - 125g,3113010144910,['Larnaudie'],['France'],"['Foie gras de canard', 'Sauternes ', '1,8%', 'sel', 'poivre vert du Kérala ', '0,2%', 'sucre']","['Non végétalien', 'Non végétarien']",?,458,1916 kj(458 kcal),"48,4","22,3","3,9","2,6","8,5","0,77","0,308",125 g,B,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,48.4 g,en quantité élevée,22.3 g,en quantité élevée,2.6 g,en faible quantité,0.77 g,en quantité modérée,,-13%,-13%,-11%,-3%,+61%,+93%,+13%,-36%,-36%,18,-13%,D,-13%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,3,"['IGP', 'Sans nitrite de sodium']",,,,,,,,
43,6046000003027,6046000003027,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,La Chanterelle Vin blanc de Dordogne -,3162391000063,,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', 'Côtes de Bergerac', 'Vins moelleux']",['France'],,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,
45,Risotto alle verdure - Cascina Belvedere - 250g,8032542740122,['Cascina Belvedere'],['France'],[],[],?,338,1414 kj(338 kcal),"0,9","0,2",74,"2,9","7,5","1,6","0,64",250g,C,['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,['Italie'],0.9 g,en faible quantité,0.2 g,en faible quantité,2.9 g,en faible quantité,1.6 g,en quantité élevée,,+1%,-0%,-25%,-26%,+2%,+736%,+4%,+5269%,+5269%,11,,D,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,['Pizzeria'],,,,,,,8032542740122,,,,
46,Palets tout chocolat - La Mère Poulard - 500g,3472860405450,['La Mère Poulard'],['France'],[],[],?,490,2050 kj(490 kcal),"23,6","15,6","59,3","27,3","1,3","0,18","0,072",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Salate. Balkansalat . Fürstenkrone - 400g,4316268493925,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Ma soupe gourmande aux légumes et lait de coco, gingembre citronnelle coriandre - Casino - 350g",3222476866110,['Casino'],['France'],"['Eau - lait de coco 10', '5% ', 'extrait de noix de coco - eau', ' - pommes de terre 10', '2% - carottes 6% - purée de tomates double concentrée 3', '4% - poivrons rouges 3% - oignons 2', '5% - gingembre 2% - fécule de manioc - sucre - ail - huile de colza - sel - citronnelle 0', '2% - graines de coriandre moulues 0', '1%', 'traces de gluten et moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",206,49,206 kj(49 kcal),"2,5","1,4","5,6","2,8","0,7","0,53","0,212",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,"Soupe aux légumes, au lait de coco, au gingembre, à la citronnelle et à la coriandre - Porage prêt à consommer.",,,
49,Petites galettes - Goulibeur,3481718121114,['Goulibeur'],['France'],"['farine de blé', '26% beurre pâtissier', ' sucre', 'oeuf frais', 'sel de mer', ' Traces de fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,513,2146 kj(513 kcal),25,16,65,24,"5,9","0,57","0,228",,,['enveloppe plastique'],"['Biscuits et gâteaux', 'Gâteaux']",,,25 g,en quantité élevée,16 g,en quantité élevée,24 g,en quantité élevée,0.57 g,en quantité modérée,,+27%,+28%,+28%,+110%,+31%,-14%,+8%,-6%,-6%,23,+28%,E,+28%,,,,,,,,,"['Œufs', 'Gluten']",3,,,,,,,,,
50,Chocolat noistte façon pate à tartiner - Nestlé,7613036619981,['Nestlé'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Schokowürfel, Gemischt - Ritter Sport",4000417651204,['Ritter Sport'],['France'],[],[],?,583,2439 kj(583 kcal),39,21,50,47,"6,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
