,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,ingredients_origins,manufacturing,link,allergens,nova_score,generic_name,origin_detail,brand_owner,palm_ingredients,producer_info
0,Black garlic ail noir,5060199660008,['France'],[],[],?,231,967 kj(231 kcal),0,0,44,32,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Radis Bio - Top Légumes,760118128207,['France'],[],[],?,?,,?,,?,,?,,,['Top Légumes'],"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,La quiche lorraine - Franprix - 400g,3263858052615,['France'],[],[],?,254,1063 kj(254 kcal),16,"9,1",18,"1,7","9,2","0,97","0,388",['Franprix'],"['Nutriscore', 'Nutriscore D']",D,400 g,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",16 g,en quantité modérée,9.1 g,en quantité élevée,1.7 g,en faible quantité,0.97 g,en quantité modérée,,-4%,-3%,-2%,+4%,-7%,-26%,-1%,-7%,-7%,16,+13%,D,+13%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,,,
3,Radis équetés,3222477680708,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],"['EMB 33073A', 'Braud-et-Saint-Louis (Gironde, France)']",,,,,,,,,,,,
4,Ricola,7610700901083,['France'],[],[],?,984,4117 kj(984 kcal),0,0,98,0,0,0,0,['Ricola'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bio village,3564707178181,['France'],[],[],?,?,,?,,?,,?,,,['Bio Village'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,
6,Galettes aux céréales - Casino Bio,3222477708297,['France'],[],[],?,229,958 kj(229 kcal),11,"2,8",24,0,"7,2","1,1","0,44",['Casino Bio'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,panés au colin d\'Alaska - Cité Marine,9422100076258,['France'],[],[],?,?,,?,,?,,?,,,['Cité Marine'],"['Nutriscore', 'Nutriscore A', 'Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-50004'],,,,,,,,,,,,
8,fourré Pomme Cassis - Gerblé,3175681270749,['France'],[],[],?,371,1552 kj(371 kcal),13,1,66,"3,7","5,1","0,34","0,136",['Gerblé'],"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ossau Iraty AOP,0219746035096,['France'],[],[],?,?,,?,,?,,?,,,,,E,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,,,,,,,,,,,,,,,,,,,,,,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,,,,,
10,Magrets Canard Mariné Fleur de sel - 3,2256926104430,['France'],[],[],?,?,,?,,?,,?,,,,,E,3,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"['FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",,,,,,,,,,,,
11,Lait Demi écrémé - Marque Repère,356470000555210,['France'],[],[],?,?,,?,,?,,?,,,['Marque Repère'],,D,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,,,,,,,,,,,,,,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['Leclerc'],,,,,,,,,,,
12,Ballot-Flurin,3760016580978,['France'],[],[],?,?,,?,,?,,?,,,['Ballot-Flurin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Penne bolognaise,3181580282387,['France'],[],[],?,156,653 kj(156 kcal),"7,3","1,7",15,"2,7",7,"0,77","0,308",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 19121', 'Lubersac (Corrèze, France)']",,,,,,,,,,,,
14,Sauce crudités,3660603081935,['France'],[],[],?,153,640 kj(153 kcal),"13,9","1,1","5,8","3,5",1,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Escargots - Auchan,3596710441891,['France'],[],[],?,386,1615 kj(386 kcal),38,27,1,"0,5","8,3","1,4","0,56",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,
16,Crakers bio - Germinal,8001091001954,"['France', 'Italie']",[],[],?,399,1669 kj(399 kcal),"5,5","0,9",78,"5,1","6,5",2,"0,8",['Germinal'],,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",5.5 g,en quantité modérée,0.9 g,en faible quantité,5.1 g,en quantité modérée,2 g,en quantité élevée,,-14%,-15%,-72%,-83%,+31%,+30%,-34%,0%,0%,8,-48%,C,-48%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,,,,,
17,Spelt épeautre,03393864,['France'],[],[],?,372,1556 kj(372 kcal),"2,8","0,6",70,"2,5",12,"0,25","0,1",,"['Bio', 'Bio européen', 'BE-BIO-02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Infusion Détente sommeil,3456300013733,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Magret de canard fume,3067163653617,['France'],[],[],?,349,1460 kj(349 kcal),30,11,"0,7","0,6",20,"3,7","1,48",,,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",30 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,3.7 g,en quantité élevée,,+3%,+3%,+2%,+10%,-44%,-10%,+12%,+124%,+124%,24,+30%,E,+30%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
20,Aperitivo di mare wasabi,3276170016494,['France'],[],[],?,112,469 kj(112 kcal),"4,2","0,3",10,"2,3","8,2","1,5","0,6",,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-50183'],,,,,,,,,,,,
21,Detox intégrale,3770019359020,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cocoa,4088600294063,['France'],['cocoa powder acidity regulatorpotassium carbonates'],[],?,339,1418 kj(339 kcal),22,13,12,"0,5",19,"2,4","0,96",,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E501 - Carbonates de potassium'],,,,,,,,,,
23,Huile vierge de noix,3770017947007,['France'],[],[],?,900,3766 kj(900 kcal),9,9,"0,1","0,1","0,1","0,1","0,04",,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix', 'Huile vierge de noix']",9 g,en quantité modérée,9 g,en quantité élevée,0.1 g,en faible quantité,0.1 g,en faible quantité,,+2%,+3%,-91%,-5%,+1114%,+2790%,+1495%,+6797%,+6797%,15,+180%,D,+180%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,,,
24,Crousti moelleuse - Marie,3248830001027,['France'],[],[],?,?,,?,,?,,?,,,['Marie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ail Violet,3770013085024,['France'],[],[],?,?,,?,,?,,?,,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail violet']",,,,,,,,,,,,,,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,
26,Sel de guerande piment d’espelette - Le Comptoir de Mathilde,3700961309002,['France'],[],[],?,?,,?,,?,,?,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Huile d'Olive Vierge Extra Sans Résidus de Pesticides - Tramier - 75cl,8410179018393,['France'],"[""Huile d'olive de catégorie supérieure obtenue directement des olives et uniquement par procédés mécaniques""]",[],3700,900,3700 kj(900 kcal),100,18,0,0,0,0,0,['Tramier'],['Sans résidus de pesticides'],C,75cl,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+5%,+3%,+5%,+29%,,,,-100%,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,"['BOUTEILLE', 'VERRE', 'RECYCLABLE']",,,,['Tunisie'],,,,,,,,,
28,Cancoillotte Nature 400g,3370011610305,['France'],[],[],?,151,632 kj(151 kcal),"7,5","4,9","0,5","0,5",15,"1,6","0,64",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",7.5 g,en quantité modérée,4.9 g,en quantité modérée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,-1%,-0%,-26%,-26%,-28%,+43%,+3%,+15%,+15%,7,-11%,C,-11%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,,,,,,,,,,,,
29,Sandwich triangle poulet bacon,3700841701810,['France'],[],[],?,423,1770 kj(423 kcal),23,3,34,4,17,1,"0,4",,,C,,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",23 g,en quantité élevée,3 g,en quantité modérée,4 g,en faible quantité,1 g,en quantité modérée,,+90%,+89%,+174%,+107%,+32%,+22%,+68%,-17%,-17%,11,+307%,D,+307%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,,,
30,Chips de coco,3609060005801,['France'],[],[],?,693,2900 kj(693 kcal),66,61,11,"9,1","6,4",,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sève de bouleau - Raymond Olivier - 3l,3770019923009,['France'],['sève de bouleau pure'],[],?,?,,?,,"0,4",,?,"< 0,01","0,004",['Raymond Olivier'],"['Bio', 'Bio européen', 'FR-BIO-01']",,3l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,['France'],['Le vernet'],http://sevedebouleaudesahp@gmail.com,,,,,,,
32,Réglisse menthe,3109850018849,['France'],[],[],?,47,197 kj(47 kcal),"0,8","0,5","10,5",3,"1,1","0,5","0,2",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jambon Serrano grandes tranches,3067163639499,['France'],[],[],?,265,1109 kj(265 kcal),16,"6,3","0,7",0,29,"4,2","1,68",,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,La baceda olio extravergine di oliva,8000201000566,['France'],[],[],?,750,3138 kj(750 kcal),100,14,0,0,0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'it:Olio extravergine di oliva']",100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-13%,-12%,+5%,0%,,,,-100%,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
35,Verre de vin rosé,3760026486703,['France'],[],[],?,?,,?,0,?,0,?,,,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,-100%,,-100%,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,
36,Mayonnaise Bénédicta comme à la maison,3660603081904,['France'],"['Huile de colza 77', 'moutarde de Dijon 8,2% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', "" jaunes d'oeufs de poules elevées en plein air pasteurisés 6,9%"", 'vinaigres ', ""vinaigre d'alcool"", 'vinaigre de vin blanc', 'sel 0,9%', 'jus de citronabase de concentre', 'epices 0,3% ', 'poivre blanc', 'Curcuma', 'paprika']",['Non végétalien'],?,731,3059 kj(731 kcal),"80,1",6,"0,8","0,1","1,6","1,3","0,52",['Bénédicta'],['Sans conservateurs'],D,,"['Epicerie', 'Sauces', 'Mayonnaises']",80.1 g,en quantité élevée,6 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,+19%,+19%,+21%,-3%,-70%,-93%,+30%,-2%,-2%,19,+6%,E,+6%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,['Moutarde'],3,,,,,
37,Lait entier sterilise UHT VERNEUIL,3173980044085,['France'],[],[],?,64,268 kj(64 kcal),"3,6","2,4","4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Chipolatas aux herbes,2600173035298,['France'],[],[],?,?,,?,,?,,?,,,,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
39,Panettone - Giusto,8032758704376,['France'],[],[],1404,?,1404 kj(336 kcal),15,8,45,18,"3,9","0,46","0,184",['Giusto'],"['Sans gluten', 'Sans lactose']",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",15 g,en quantité modérée,8 g,en quantité élevée,18 g,en quantité élevée,0.46 g,en quantité modérée,-9%,,-10%,0%,-11%,-13%,-31%,-43%,+4%,+4%,14,-25%,D,-25%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
40,The vert menthe bio,3760278863925,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tartinable artichaud - Hénaff - 90g,3537580708318,['France'],[],[],640,153,640 kj(153 kcal),14,"5,1",4,"2,5","2,8","1,7","0,68",['Hénaff'],"['100% naturel', 'Produit en Bretagne']",,90 g,"['Produits à tartiner', 'Produits à tartiner salés']",14 g,en quantité modérée,5.1 g,en quantité élevée,2.5 g,en faible quantité,1.7 g,en quantité élevée,-48%,-48%,-48%,-47%,-34%,+14%,+97%,-68%,+29%,+29%,13,+4%,D,+4%,,,,,,,,['Verrine'],,,,,"['Finistère', 'Bretagne', 'Pouldreuzic']",,,,,,,,
42,Pur jus de pomme,3760230730319,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Soyavit Tofu Harbal Bio 200GR,3800226120196,['France'],[],[],?,143.8,602 kj(143 kcal),"7,8","1,5","1,5","0,2","16,9","1,8","0,72",,"['Bio', 'Bio européen', 'BG-BIO-02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Roti filet de porc facon orloff,0290217068614,['France'],[],[],?,161,674 kj(161 kcal),"7,5",4,"0,5","0,5",23,"0,4","0,16",,,E,,"['Viandes', 'Porc', 'Rôtis de porc']",7.5 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,0.4 g,en quantité modérée,,+12%,+13%,+49%,+91%,-39%,-20%,+3%,-77%,-77%,1,-86%,B,-86%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
45,Pasta box pâtes fraiches bolognaises,3242272270157,['France'],[],[],?,118,494 kj(118 kcal),"2,8","0,6",16,"2,3","6,2","0,65","0,26",,['Nutriscore'],,,"['Plats préparés', 'Plats à base de pâtes']",2.8 g,en faible quantité,0.6 g,en faible quantité,2.3 g,en faible quantité,0.65 g,en quantité modérée,,-34%,-34%,-56%,-75%,-23%,-5%,-16%,-28%,-28%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,
46,Graine de courge,1000000000223,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ma tablettes de fruits à l’ananas Bio,3770006576072,['France'],[],[],?,602,2519 kj(602 kcal),"43,3",28,"54,2",41,"0,4","0,1","0,04",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Coeurs feuilletés bio,3700125816117,['France'],[],[],?,501,2096 kj(501 kcal),27,16,59,48,"5,4",,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Naturalmente senza lattosio crostatine bio all'albicocca,3175681196827,['France'],[],[],?,431,1803 kj(431 kcal),14,"1,6",69,37,"5,4","0,13","0,052",,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Purée d\'amandes complète - Elibio,7147009192091,['France'],[],[],?,?,,?,,?,,?,,,['Elibio'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3760116420013,3760116420013,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bio bonta di frutta albicocche,8051770852223,['France'],[],[],?,158,661 kj(158 kcal),0,0,38,38,"0,6",,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Magret de Canard au Piment d' Espelette,0275920090923,['France'],[],[],?,289,1209 kj(289 kcal),25,"8,3","2,6","1,4",13,"1,5","0,6",,,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",25 g,en quantité élevée,8.3 g,en quantité élevée,1.4 g,en faible quantité,1.5 g,en quantité modérée,,-15%,-15%,-15%,-17%,+108%,+109%,-27%,-9%,-9%,17,-8%,D,-8%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"['FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",,,,,,,,,,,,
54,Magret de canard au piment d'Espelette,2249067045526,['France'],[],[],?,315,1318 kj(315 kcal),27,"8,2","3,5","1,4",15,"1,5","0,6",,,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",27 g,en quantité élevée,8.2 g,en quantité élevée,1.4 g,en faible quantité,1.5 g,en quantité modérée,,-7%,-7%,-8%,-18%,+180%,+109%,-16%,-9%,-9%,17,-8%,D,-8%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
55,Farine de lin,3329486185009,['France'],[],[],?,500,2092 kj(500 kcal),40,"3,7",1,1,20,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,,,,
56,KA’RE FOURRÉ CHOCOLAT NOISETTES,0113421557501989,['France'],[],[],?,427,1787 kj(427 kcal),13,"2,7",65,27,"8,9","0,64","0,256",,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Potatoes à l'huile de tournesol,3564707143950,['France'],[],[],?,129,540 kj(129 kcal),3,"0,6",22,"0,5","2,4",,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Moutarde  miel bolets et cepes,3760087486421,['France'],[],[],?,230.97,966 kj(230 kcal),"14,1",1,"16,67","10,93","9,22","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Chocolat noir a la fleur de sel,3477730446465,['France'],[],[],?,576,2410 kj(576 kcal),42,26,36,31,"8,3","0,5","0,2",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Atelier bio,7613287142948,['France'],[],[],?,558,2335 kj(558 kcal),"35,8","18,5","50,2","47,6","7,2","0,14","0,056",,"['Bio', 'Bio européen', 'CH-BIO-004', 'Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Funghetti di méringa,8026424111162,['France'],[],[],?,536,2243 kj(536 kcal),34,20,46,37,"7,2",,,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saucisson Sec 100% porc,3275010162070,['France'],[],[],?,532,2226 kj(532 kcal),47,18,"0,1","0,1",27,5,2,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chipolatas,3039050631831,['France'],[],[],?,220,920 kj(220 kcal),17,"7,4","0,7","0,7",16,"1,7","0,68",,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",17 g,en quantité modérée,7.4 g,en quantité élevée,0.7 g,en faible quantité,1.7 g,en quantité élevée,,-8%,-8%,-10%,+2%,-40%,+11%,+4%,-6%,-6%,16,-4%,D,-4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
64,Cure de jus de légumes - Voelkel,4015533028830,['France'],[],[],?,?,,?,,?,,?,,,['Voelkel'],"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'AB Agriculture Biologique']",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Compléments alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Côtes du Rhône,3700689908006,['France'],[],[],?,?,,?,,?,,?,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,,,,,,,,,,,,,,,-100%,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,
66,Magret de canard seché,3018252626005,['France'],[],[],?,356,1490 kj(356 kcal),29,"8,7","0,9","0,7",23,"3,3","1,32",,,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",29 g,en quantité élevée,8.7 g,en quantité élevée,0.7 g,en faible quantité,3.3 g,en quantité élevée,,+5%,+5%,-1%,-13%,-28%,+4%,+28%,+100%,+100%,22,+20%,E,+20%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
67,Lays barbecue - Lay's,3168930163695,['France'],[],[],?,727.2727,3043 kj(727 kcal),"11,636","10,182","19,636","1,018","2,254","0,769","0,308","[""Lay's""]","['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Vin rouge de bordeaux,3576711312215,['France'],[],[],?,?,,?,0,?,0,?,,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,-100%,,-100%,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,['France'],,,,,,,,,
69,Chewing-gum Macédoine,3700105200073,['France'],[],[],?,1411,5904 kj(1411 kcal),0,0,83,74,0,"0,2","0,08",,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Dark coconut bouchees,3760077188397,['France'],[],[],?,560,2343 kj(560 kcal),"39,8","28,6","45,1","42,5","4,6",6,"2,4",,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mochi - Bamboo House - 210g,4714221130953,['France'],[],[],"1480,9",?,"1480,9 kj(354 kcal)",5,"2,5","73,9","31,8","2,9","0,1","0,04",['Bamboo House'],,,210 g,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Mochi']",5 g,en quantité modérée,2.5 g,en quantité modérée,31.8 g,en quantité élevée,0.1 g,en faible quantité,,,+15%,+24%,+77%,+13%,+7%,+14%,-44%,-44%,13,+27%,D,+27%,,,,,,,,,,,,,,,,,,,,,
