,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
0,Lion 5 White - Brasserie Lion - 330ml,5430000213035,C,Bière belge blanche,330 ml,"['Bouteille', 'Capsule', 'métal']",['Brasserie Lion'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières belges', 'Bières artisanales', 'Bières blanches']","['Bio', 'Bio européen', 'BE-BIO-02']","['Belgique', 'Waterloo']",https://www.brasserielion.com/fr/les-bieres-brasserie-lion/lion-5-biere-blanche,['Carrefour Market'],['France'],"[""MALT D'ORGE* & BLÉ*"", 'HOUBLON*', 'EPICES*', 'LEVURE\r* Agriculture biologique']",['Gluten'],[],3,?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Café royal,7617014188001,,,,,['Café Royal'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Creme glacée  ""Caramel au beurre salé"" - Metro Chef",3439496404622,,,,['Surgele'],['Metro Chef'],"['Desserts', 'Surgelés', 'Desserts glacés']",['Fabriqué en France'],,,['Metro'],['France'],[],,[],,?,,184,-9%,"8,3",-2%,25,-11%,"1,4",-42%,,,,,,,,"['EMB 29181', 'Plouédern (Finistère, France)', 'FR 29.181.090 CE', 'Plouédern (Finistère, France)']",8.3 g,en quantité modérée,6.2 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en quantité modérée,770 kj(184 kcal),-9%,"6,2",+13%,22,-7%,"0,5",+317%,"0,2",+317%,14,+24%,D,+24%,,,,,,
3,Samosas au boeuf,5999885801015,E,,,,,"['Plats préparés', 'Samoussas']",,,,,['France'],[],,[],,?,,212,0%,"5,6",-42%,"33,3",+44%,"7,1",-3%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,5.6 g,en quantité modérée,2.4 g,en quantité modérée,6 g,en quantité modérée,1 g,en quantité modérée,887 kj(212 kcal),-0%,"2,4",+24%,6,+63%,1,-7%,"0,4",-7%,5,-2%,C,-2%,,,,,,
4,Saucisses de Strasbourg x20,3211330061754,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,,,['France'],[],,[],,?,,289,+5%,"26,4",+9%,"1,9",+33%,11,-13%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",26.4 g,en quantité élevée,10.1 g,en quantité élevée,1.9 g,en faible quantité,2.01 g,en quantité élevée,1209 kj(289 kcal),+5%,"10,1",+10%,"1,9",+68%,"2,01",+4%,"0,804",+4%,21,+10%,E,+10%,,,,,,
5,Hookie Noodles,8850643066978,,,,,,,,,,,['France'],[],,[],,?,,158,,"4,7",,24,,"4,9",,,,,,,,,,,,,,,,,,661 kj(158 kcal),,"0,9",,"2,9",,"0,94",,"0,376",,,,,,,,,,,
6,Pâtes demi complètes spirale bio - Castagno,8013885020010,B,,,,['Castagno'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']","['Bio', 'Bio européen', 'IT-BIO-007']",,,,['France'],[],,[],,?,,348,-2%,"1,8",-10%,69,-1%,12,-4%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,1.8 g,en faible quantité,1.4 g,en faible quantité,3.8 g,en faible quantité,0 g,en faible quantité,1456 kj(348 kcal),-3%,"1,4",+216%,"3,8",+22%,0,-100%,0,-100%,0,,B,,,,,,,
7,Mango,5281034012497,,,,,,,,,,,['France'],[],,[],,?,,59,,0,,15,,0,,,,,,,,,,,,,,,,,,247 kj(59 kcal),,0,,15,,0,,0,,,,,,,,,,,
8,Beignet parfum chocolat noisette,2012400005071,,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['en:palm-oil-free'],,,,['France'],[],,['Sans huile de palme'],,?,,385,+8%,18,+14%,47,+4%,"6,5",+3%,,,,,,,,,18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,1611 kj(385 kcal),+8%,2,-42%,19,+17%,"0,7",-5%,"0,28",-5%,12,0%,D,0%,,,,,,
9,Cocer sabor manzana - Wild Panther,8480000665614,D,,,,['Wild Panther'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,"['France', 'Espagne']","['Agua carbonatada', 'mosto de manzana ', 'agua', 'jarabe de glucosa', 'zumo de manzana a partir de concentrado', 'azúcar', 'acidulante: ácido cítrico', ' azúcar caramelizado', 'aroma', 'conservador: sorbato potásico', ' antioxidante: ácido ascórbico']",,[],4,?,,47,+62%,"0,11",-87%,"11,68",+150%,"0,06",+45%,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,197 kj(47 kcal),+59%,"0,019",-83%,"10,9",+234%,"0,003",-8%,"0,001",-8%,,,,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,,,,
10,Leberwurst - Die Thüringer - 130g,4019252050516,E,,130g,"['stück', 'stück', 'stück']",['Die Thüringer'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de foie']",,,,,"['France', 'Allemagne']",[],,[],,?,,?,,"33,5",+18%,"2,3",-14%,"12,5",-19%,88.6%,4.9%,1.5%,1.3%,0.8%,2.9%,27,,33.5 g,en quantité élevée,,,2.3 g,en faible quantité,,,361 kj(86 kcal),-74%,,,"2,3",+64%,,,,,,,,,,,,,,
11,Explosive Gum,3588400259473,,,,,,,['Sans gluten'],,,,['France'],[],,[],,?,,246,,"1,18",,"85,2",,"0,18",,,,,,,,,,,,,,,,,,1029 kj(246 kcal),,"1,18",,"85,14",,"0,01",,"0,004",,,,,,,,,,,
12,Pain rustique,26014135,,,,,,,,,,,['France'],[],,[],,?,,259,,"1,1",,53,,"8,2",,,,,,,,,,,,,,,,,,1084 kj(259 kcal),,"0,2",,3,,"1,3",,"0,52",,,,,,,,,,,
13,Haché  de  boeuf 100%  pur boeuf 20%mg - Bigard,3273230050368,,,,,['Bigard'],"['Viandes', 'Bœuf']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Margarine - Vita d'or,20244897,C,,,,"[""Vita d'or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",,,,,['France'],[],,[],,?,,541,+16%,60,+17%,1,+95%,0,-100%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,60 g,en quantité élevée,15 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,2264 kj(541 kcal),+17%,15,+2%,1,+280%,0,-100%,0,-100%,9,-18%,C,-18%,,,,,,
15,Pipas - Eroski,8480010166996,C,,,['Bolsa'],['Eroski'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Fruits à coques et dérivés', 'Fruits à coques', 'Graines de tournesol et dérivés', 'Graines de tournesol', 'Graines de tournesol grillées']",['en:gluten-free'],,,,"['France', 'Espagne']","['Pipas y sal,']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,612,+21%,50,+23%,"3,5",-72%,31,+57%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,50 g,en quantité élevée,5.2 g,en quantité élevée,3.5 g,en faible quantité,2 g,en quantité élevée,2561 kj(612 kcal),+20%,"5,2",+29%,"3,5",+64%,2,-44%,"0,8",-44%,20,+47%,E,+47%,,,,,,
16,Kahina tursusu - Marmara - 650g,4012625410610,,,650 g,,['Marmara'],,,,,,['France'],[],,[],,?,,59,,"0,07",,"2,74",,"0,6",,,,,,,,,,,,,,,,,,247 kj(59 kcal),,"0,05",,"0,14",,"3,5",,"1,4",,,,,,,,,,,
17,CR7 Drive - Herbalife - 13.5g,1473,,,13.5g,"['plástico', 'Barattolo']",['Herbalife'],"['Boissons', 'Epicerie', 'Boissons chaudes', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'en:Sports', 'en:Supplement']",,"['Estados Unidos', 'Italia', 'AUSTRIA', 'FRANCE', 'Argentina - Español', 'Aruba - Español', 'Bolivia - Español', 'Brazil - Português', 'Canada - English', 'Canada - Français', 'Chile - Español', 'Colombia - Español', 'Costa Rica - Español', 'Ecuador - Español', 'El Salvador - Español', 'Guatemala - Español', 'Honduras - Español', 'Jamaica - English', 'Mexico - Español', 'Nicaragua - Español', 'Panamá - Español', 'Paraguay - Español', 'Perú - Español', 'Puerto Rico - Español', 'República Dominicana - Español', 'Trinidad & Tobago - English', 'United States - English', 'United States - Español', 'Uruguay - Español', 'Venezuela - Español', 'Europe', 'Armenia - Pyсский', 'Austria - Deutsch', 'Azerbaijan - Русский', 'Belarus - Pyсский', 'Belgium - Français', 'Belgium - Nederlands', 'Bosnia i Hercegovina - Bosnian', 'Bulgaria - български', 'Croatia - Hrvatski', 'Cyprus - Ελληνικά', 'Czech Republic - Čeština', 'Denmark - Dansk', 'Estonia - Eesti', 'Finland - Suomi', 'France - Français', 'Georgia - ქართული', 'Germany - Deutsch', 'Greece - Ελληνικά', 'Hungary - Magyar', 'Iceland - Íslenska', 'Ireland - English', 'Italy - Italiano', 'Kazakhstan - Pyсский', 'Kyrgyzstan - Русский', 'Latvia - Latviešu', 'Lithuania - lietuvių', 'Moldova - Român', 'Mongolia - Монгол хэл', 'Netherlands - Nederlands', 'North Macedonia - македонски јазик', 'Norway - Norsk', 'Poland - Polski', 'Portugal - Português', 'Romania - Română', 'Russia - Русский', 'Serbia - Srpski', 'Slovak Republic - Slovenčina', 'Slovenia - Slovene', 'Spain - Español', 'Sweden - Svenska', 'Switzerland - Deutsch', 'Switzerland - Français', 'Ukraine - Yкраї́нська', 'United Kingdom - English', 'Middle East & Africa', 'Botswana - English', 'Ghana - English', 'Israel - עברית', 'Lebanon - English', 'Lesotho - English', 'Namibia - English', 'South Africa -English', 'Swaziland - English', 'Turkey - Türkçe', 'Zambia - English', 'Asia Pacific', 'Australia - English', 'Cambodia - English', 'Cambodia - ភាសាខ្មែរ', 'China - 中文', 'Hong Kong - 粵語', 'India - English', 'Indonesia - Bahasa Indonesia', 'Japan - 日本語', 'Korea - 한국어', 'Macau - 中文', 'Malaysia - Bahasa Melayu', 'Malaysia - English', 'Malaysia - 中文', 'New Zealand - English', 'Philippines - English', 'Singapore - English', 'Taiwan - 中文', 'Thailand - ไทย', 'Vietnam - Tiếng Việt']",https://supplements-online.ecwid.com/United-States-English-Instructions-for-discounts-on-herbalife-products-p210923881,['https://stefania.goherbalife.com/Catalog/Home/Index/es-US/'],"['Brésil', 'France', 'Italie', 'Mexique', 'Espagne', 'Suisse', 'Royaume-Uni', 'États-Unis', 'en:Argentina - Español', 'en:Armenia - Pyсский', 'en:Aruba - Español', 'en:Asia Pacific', 'en:Australia - English', 'en:Austria - Deutsch', 'en:Azerbaijan - Русский', 'en:Belarus - Pyсский', 'en:Belgium - Français', 'en:Belgium - Nederlands', 'en:Bolivia - Español', 'en:Bosnia i Hercegovina - Bosnian', 'en:Botswana - English', 'en:Brazil - Português', 'en:Bulgaria - български', 'en:Cambodia - English', 'en:Cambodia - ភាសាខ្មែរ', 'en:Canada - English', 'en:Canada - Français', 'en:Chile - Español', 'en:China - 中文', 'en:Colombia - Español', 'en:Costa Rica - Español', 'en:Croatia - Hrvatski', 'en:Cyprus - Ελληνικά', 'en:Czech Republic - Čeština', 'en:Denmark - Dansk', 'en:Ecuador - Español', 'en:El Salvador - Español', 'en:Estonia - Eesti', 'en:Europe', 'en:Finland - Suomi', 'en:France - Français', 'en:Georgia - ქართული', 'en:Germany - Deutsch', 'en:Ghana - English', 'en:Greece - Ελληνικά', 'en:Guatemala - Español', 'en:Honduras - Español', 'en:Hong Kong - 粵語', 'en:Hungary - Magyar', 'en:Iceland - Íslenska', 'en:India - English', 'en:Indonesia - Bahasa Indonesia', 'en:Ireland - English', 'en:Israel - עברית', 'en:Italy - Italiano', 'en:Jamaica - English', 'en:Japan - 日本語', 'en:Kazakhstan - Pyсский', 'en:Korea - 한국어', 'en:Kyrgyzstan - Русский', 'en:Latvia - Latviešu', 'en:Lebanon - English', 'en:Lesotho - English', 'en:Lithuania - lietuvių', 'en:Macau - 中文', 'en:Malaysia - Bahasa Melayu', 'en:Malaysia - English', 'en:Malaysia - 中文', 'en:Mexico - Español', 'en:Middle East & Africa', 'en:Moldova - Român', 'en:Mongolia - Монгол хэл', 'en:Namibia - English', 'en:Netherlands - Nederlands', 'en:New Zealand - English', 'en:Nicaragua - Español', 'en:North Macedonia - македонски јазик', 'en:Norway - Norsk', 'en:Panamá - Español', 'en:Paraguay - Español', 'en:Perú - Español', 'en:Philippines - English', 'en:Poland - Polski', 'en:Portugal - Português', 'en:Puerto Rico - Español', 'en:República Dominicana - Español', 'en:Romania - Română', 'en:Russia - Русский', 'en:Serbia - Srpski', 'en:Singapore - English', 'en:Slovak Republic - Slovenčina', 'en:Slovenia - Slovene', 'en:South Africa -English', 'en:Spain - Español', 'en:Swaziland - English', 'en:Sweden - Svenska', 'en:Switzerland - Deutsch', 'en:Switzerland - Français', 'en:Taiwan - 中文', 'en:Thailand - ไทย', 'en:Trinidad & Tobago - English', 'en:Turkey - Türkçe', 'en:Ukraine - Yкраї́нська', 'en:United Kingdom - English', 'en:United States - English', 'en:United States - Español', 'en:Uruguay - Español', 'en:Venezuela - Español', 'en:Vietnam - Tiếng Việt', 'en:Zambia - English']","['dextrosa', 'azúcar', 'maltodextrina', 'citrato de sodio', 'isomaltulosa en polvo ', '3,92 g/100 g', 'ácido cítrico', 'citrato de magnesio', 'fosfato de potasio', 'cloruro de potasio', 'saborizante natural de ponche de frutas', 'saborizante natural de acai', 'mora azul y granada', 'color natural de uva', 'color natural de zanahoria morada', 'mononitrato de tiamina y metilcobalamina']",,[],4,?,,385,+2%,0,-100%,"96,3",+197%,0,-100%,,,,,,,,['CE'],0 g,en faible quantité,0 g,en faible quantité,66.7 g,en quantité élevée,1.04 g,en quantité élevée,1610 kj(385 kcal),+2%,0,-100%,"66,7",+215%,"1,04",-4%,"0,415",-4%,21,,E,,"['E331 - Citrates de sodium', 'E330 - Acide citrique', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition']","['États-Unis', 'es:mondo']",,,,
18,"Beer Waterloo Triple, 8%, 0,33 L, Bottle",5410218004199,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,melange canadien,2600706029329,,,,,,,,,,,['France'],[],,[],,?,,472,,29,,38,,10,,,,,,,,,,,,,,,,,,1975 kj(472 kcal),,"2,6",,36,,3,,"1,2",,,,,,,,,,,
20,Yves Rocher,3660005824901,,,,,['Yves Rocher'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Exomega - A-derma - 200ml,3282770074697,,,200 ml,,['A-derma'],,['Fabriqué en France'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cookie sarrasin - chocolat noir - La Trinitaine,3260260240036,,,,,['La Trinitaine'],,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,['France'],[],,[],,?,,498,,23,,62,,"7,6",,,,,,,,,,,,,,,,,,2084 kj(498 kcal),,15,,33,,"0,86",,"0,344",,,,,,,,,,,
23,Cocktail de fruit au sirop léger - Del Monte - 227g,0024000040095,,,227 g,['Cinserve'],['Del Monte'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",,,,['Colruyt'],"['Belgique', 'France', 'Allemagne']","['FRUITS EN PROPORTION VARIABLE ', 'PECHES POIRES', 'ANANAS', 'RAISINS', 'CERISES AVEC COLORANT E 127', ' EAU,SIROP DE GLUCOSE-FRUCTOSE', 'SUCRE', ""CORRECTEUR D'ACIDITE: ACIDE CITRIQUE""]",,[],4,?,,61,-16%,0,-100%,14,-9%,"0,2",-49%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0.03 g,en faible quantité,255 kj(61 kcal),-14%,0,-100%,10,-29%,"0,03",+67%,"0,012",+67%,-3,,A,,['E330 - Acide citrique'],,,,,
24,Miel bio de mimosa - Famille Mary,3760115098060,B,,,,['Famille Mary'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,['France'],['Miel'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bio Edelweiss Nature,7612464713513,,,,['Fresh'],['Edelweiss'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['Bio', 'Bio européen', 'CH-BIO-006']",,,,['France'],[],,[],,?,,320,+248%,"3,7",+13%,6,-45%,5,+33%,,,,,,,,,3.7 g,en quantité modérée,2.7 g,en quantité modérée,6 g,en quantité modérée,0.1 g,en faible quantité,1339 kj(320 kcal),+249%,"2,7",+32%,6,-41%,"0,1",-13%,"0,04",-13%,3,-2%,C,-2%,,['Swiss'],,,,
26,Edam kasari - Fulya - 150g,4027394008043,D,,150 g,,['Fulya'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,['France'],[],,[],,?,,298,-9%,22,-17%,0,-100%,25,+23%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,22 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,1247 kj(298 kcal),-9%,14,-21%,0,-100%,"1,6",+23%,"0,64",+23%,15,+9%,D,+9%,,,,,,
27,Miel,3335440122904,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Altramuces - Frit Ravich,8410564028044,,,,,['Frit Ravich'],,,,,,['France'],[],,[],,?,,104,,"1,9",,11,,"9,6",,,,,,,,,,,,,,,,,,435 kj(104 kcal),,"0,2",,"0,5",,"4,3",,"1,72",,,,,,,,,,,
29,Coctelo tropical,8410564011503,,,,,,,,,,,['France'],[],,[],,?,,329,,"7,2",,63,,"1,2",,,,,,,,,,,,,,,,,,1377 kj(329 kcal),,"6,2",,44,,"0,12",,"0,048",,,,,,,,,,,
30,"Salade Verte - Pâtes, Thon & Œuf - Delhaize",5400119518833,,,,,['Delhaize'],"['Plats préparés', 'Plats à base de pâtes', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades de pâtes', 'Salades au thon', 'Salades de légumes']","['Pêche durable', 'Pêche durable MSC']",,,,['France'],[],,[],,?,,137,-9%,"7,9",-5%,"8,6",+10%,"7,3",-9%,,,,,,,,,7.9 g,en quantité modérée,1 g,en faible quantité,2.2 g,en faible quantité,0.5 g,en quantité modérée,573 kj(137 kcal),-6%,1,+11%,"2,2",+9%,"0,5",-49%,"0,2",-49%,-1,-349%,A,-349%,,,,,,
31,Confiture,3517830000508,,,,,,,['Bio'],,,,['France'],[],,[],,?,,46,,0,,11,,"0,7",,,,,,,,,,,,,,,,,,192 kj(46 kcal),,0,,7,,0,,0,,,,,,,,,,,
32,Coupe duo profiteroles - Auchan - 315g,2030503021255,C,,315g,,['Auchan'],"['Biscuits et gâteaux', 'Pâtisseries', 'Profiteroles']",,,,['Auchan'],['France'],"['CREME legere 74%', 'CREME patissiere', ' eau', ' sucre', ' LAIT ecreme en poudre', 'amidon de mais', 'amidon modifie colorant: E160a', 'arome', 'sel', ' colorant issu dextraits vegetaux', ' UF', 'chantilly', 'CREME', 'CREME', 'proteines de LAIT', ' stabilisant: E407', ' sucre cristal', ' arome vanille', 'sirop de ', 'chouquettes 9%', 'OEUF', ' eau', ' sucre grain', ' farine de BLE', 'BEURRE sucre', ' polidre a lever: E450i', ' E500i', 'E341', 'amidon de FROMENT,sel', ' GLUTEN de BLE', ' nappage', 'pate a glacer brune', 'sucre', ' graisse vegetale hydrogenee', 'cacao maigre en poudre', ' LACTOSE emulsifiant: E322', 'SOJA', ' arome vaniline', ' CREME', 'stabilisant: E407', ' sirop', 'eau', ' sucre', ',couverturenoire 61%', 'pate de cacao', 'sucre', ' heurre de cacao', ' emulsifiant: E322', 'SOJA', ' arome', ' vanille', 'sirop de glucose', 'sirop de glucose', 'conservateur: E223', 'SULFITES', ' genoise 4%', 'farine de BlE sucre', 'eau', 'OEUF', ' stabilisant E420 22 dextrose sitop de glucose deshyd ate', ' emulsifiant E472b E477', 'LAIT', 'poudre a lever E450 0oLLT', ' Spre', 'CaujA ccChtre O ct4 Coontiene un ing carric Decongele ne pas recongeler']","['Œufs', 'Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,?,,?,,?,,?,,74.4%,15.8%,4.8%,2.5%,2.6%,0.0%,65,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E160a - Carotènes mélangés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E477 - Esters du propylène-glycol d'acide gras"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,,
33,Jus mangue,5603493000929,D,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de mangue']",,,,,['France'],[],,[],,?,,67,+37%,"0,5",+400%,16,+29%,"0,5",+176%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0.5 g,en faible quantité,0.06 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,280 kj(67 kcal),+37%,"0,06",+245%,14,+33%,"0,01",+17%,"0,004",+17%,10,+114%,E,+114%,,,,,,
34,Split,7610041076204,,,,,,,,,,,['France'],[],,[],,?,,573,,39,,49,,7,,,,,,,,,,,,,,,,,,2397 kj(573 kcal),,16,,42,,"0,05",,"0,02",,,,,,,,,,,
35,Petit Beure Sans gluten,44490966,,,,,,,['en:gluten-free'],,,,['France'],[],,[],,?,,455,,14,,79,,"3,8",,,,,,,,,,,,,,,,,,1904 kj(455 kcal),,"8,5",,21,,"1,2",,"0,48",,,,,,,,,,,
36,Sardines à l'huile de tournesol,5400141020168,D,,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,,,,['France'],[],,[],,?,,250,+15%,16,+15%,0,-100%,26,+21%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,16 g,en quantité modérée,4.9 g,en quantité modérée,0 g,en faible quantité,0.75 g,en quantité modérée,1046 kj(250 kcal),+15%,"4,9",+49%,0,-100%,"0,75",-18%,"0,3",-18%,5,+36%,C,+36%,,,,,,
37,Polly Pask,7310350119004,,,,,,,,,,,['France'],[],,[],,?,,466,,19,,70,,"3,8",,,,,,,,,,,,,,,,,,1950 kj(466 kcal),,12,,67,,"0,1",,"0,04",,,,,,,,,,,
38,Yakitori - Bret's,3497917001782,,,,,"[""Bret's""]",,['en:produced-in-bretagne'],,,,['France'],[],,[],,?,,525,,31,,53,,6,,,,,,,,,,,,,,,,,,2197 kj(525 kcal),,"2,6",,3,,"1,4",,"0,56",,,,,,,,,,,
39,Pizza tre formaggi - Boni,5400141115116,C,,,,"['Boni', 'Boni Selection']","['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas aux trois fromages']","['Nutriscore', 'Nutriscore D']",,,,['France'],"['Pâte à pizza ', 'farine de BLÉ', 'eau', ""huile d'olive"", 'semoule de BLÉ dur', 'sel', 'levain de BLÉ', 'farine de BLÉ malté', 'dextrose', 'levure', '19 % mozzarella ', 'LAIT', 'sel', 'ferments lactiques', 'coagulants microbiens', '18 % sauce tomate ', 'purée de tomates', 'sel', 'basilic', 'poivre blanc', '6 % provola fumé ', 'LAIT', 'sel', 'coagulants microbiens', '3 % fromage à pâte dure râpé ', 'LAIT', 'sel', 'coagulants microbiens', 'amidon', 'origan déshydraté', ' PEUT CONTENIR DES TRACES DE CRUSTACÉS', 'DE POISSON ET DE SOJA:']","['Crustacés', 'Gluten', 'Lait']",['Non végétalien'],4,?,,248,+0%,9,-6%,29,+5%,12,+7%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,9 g,en quantité modérée,5 g,en quantité modérée,2.4 g,en faible quantité,1.4 g,en quantité modérée,1038 kj(248 kcal),+1%,5,-1%,"2,4",-4%,"1,4",+13%,"0,56",+13%,13,+26%,D,+26%,,,,,,
40,King's crown,27020715,,,,,,,,,,,['France'],[],,[],,?,,107,,"1,6",,14,,"6,6",,,,,,,,,,,,,,,,,,448 kj(107 kcal),,"0,2",,"0,4",,"0,3",,"0,12",,,,,,,,,,,
41,La brique du capitole - 500g,3700589950150,,,500 g,,,,,,,,['France'],[],,[],,?,,437,,"5,3",,88,,"3,43",,,,,,,,,,,,,,,,,,1828 kj(437 kcal),,"0,6",,84,,0,,0,,,,,,,,,,,
42,Pain de Campagne long,,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
