,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,additives,generic_name,link,palm_ingredients,origin_detail
355,Salade choux rouge,3596710484256,['France'],[],[],?,64,"4,2","4,7","0,9",268 kj(64 kcal),"0,3","4,3",1,"0,4",,,,,,,"['Salade de choux', 'Salade de choux rouge']",,,,,4.2 g,en quantité modérée,1 g,en quantité modérée,,,,,,,,,,,,,,,0.3 g,en faible quantité,4.3 g,en faible quantité,,,,4,,C,,,,,,,
356,Triphala,8908008374241,['France'],[],[],?,353,"1,2","80,3","5,2",1477 kj(353 kcal),"0,1",2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,XL S MEDICAL,3595890250415,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Country Fruits et Fibres,3700496302592,['France'],[],[],?,376,"6,3","66,8","8,6",1573 kj(376 kcal),"3,8","23,9","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Chunks,8437017032304,['France'],[],[],?,136,3,"1,8","19,7",569 kj(136 kcal),"0,5",0,"1,4","0,56",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Pavé d'isigny,0209966013127,['France'],[],[],?,349,20,0,20,1460 kj(349 kcal),19,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Fettuccine,8009385025747,['France'],[],[],?,357,"1,5",71,13,1494 kj(357 kcal),"0,2","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Poulet tikka massala,3248830002307,['France'],[],[],?,121,"2,8",15,"8,6",506 kj(121 kcal),"1,6","2,1","0,66","0,264",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Taboulé - Marque Repère,356470033075305,['France'],[],[],?,?,?,?,?,,,,,,,,B,,,['Marque Repère'],"['Plats préparés', 'Taboulés']",,,,,,,,,,,,,,,,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,,,,,,,
364,Granola crunchy classic,4260697373009,['France'],[],[],?,434,"14,9","59,8","11,4",1816 kj(434 kcal),"6,4","10,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Chipouillettes,2295776029784,['France'],[],[],?,255,20,"0,8",18,1067 kj(255 kcal),"7,7","0,7","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Albal Film Fraîcheur très adhérent - 30m,4008871200907,['France'],[],[],?,?,?,?,?,,,,,,,,,30m,['Carton'],['Albal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Palet de chocolat 75% de cacao à la Spiruline des Bauges -  - 150g,0085382672526,['France'],[],[],?,?,?,?,?,,,,,,,,,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Purée de fruits pommes-figues,3760216035452,['France'],[],[],?,57,"0,34","12,8","0,42",238 kj(57 kcal),0,"11,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Cantal,0299194019480,['France'],[],[],?,364,29,"1,7",24,1523 kj(364 kcal),20,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,00435411801721005709,00435411801721005709,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2030500021173,2030500021173,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Energy crunch bar,5600499504390,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Sel fin de Guérande au Piment d’Espelette,3578410002176,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Glace facon cannelé - Picard - 370g,3270160849093,['France'],[],[],990,236,12,28,"4,1",990 kj(236 kcal),"7,8",22,"0,1","0,04","['FR 32.056.040 CE', 'Blanquefort (Gers, France)']","['Nutriscore', 'Nutriscore D']",B,370 g,,['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glace en bac']",,,,,12 g,en quantité modérée,0.1 g,en faible quantité,,+27%,+87%,-3%,+67%,-42%,-42%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,7.8 g,en quantité élevée,22 g,en quantité élevée,+25%,+90%,-14%,13,+18%,D,+18%,,,,,,
375,filet boeuf - cora - 1filet 600g,3257987487998,['France'],"['94345 CONSIGNE POUVANT VARIER LOCALEMENT >wWW', 'CONSIGNESDETRI', 'FR VALABLE UNIQUEMENT POUR LA FRANCE 66906 cora FR 87', '085', '006 CE PENSEZ ustation GARANTIE QUALITÉ SUPÉRIEURE BARQUETTE ET FILM PLASTIQUE VÍANDE FRANÇAISE 3NIAO8 À JETER Caractéristiques certifiées : Viande bovine issue de race Limousine', ' Elevage traditionnel respectant une durée minimum de 6 mois de pâturage par an', ' LIMOUSIN PROMOTION Pôle de Lanaud 87220 Boisseuil Distribué par cora France 1 rue du Chenil CS 30175 Croissy-Beaubourg 77435 Marne-la-Vallée Cedex 2 • www', 'cora', 'fr Homologation n° LA 22/88']",[],?,?,?,?,?,,,,,,"['FR 87.085.006 CE', 'Limoges (Haute-Vienne, France)']","['Viande Française', 'Viande Bovine Française', 'Label Rouge']",,1 filet 600g,"['1 piece', 'Barquette', 'Film en plastique']",['Cora'],['Bœuf limousine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... boeuf à rôtir,,,
376,Gout cola qui piquent,3256228054708,['France'],[],[],?,221,"0,5",81,"4,9",925 kj(221 kcal),"0,1",38,0,0,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Bio kokos nilk,4251680805188,['France'],[],[],?,38,"2,5","3,9","0,3",159 kj(38 kcal),"2,4","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Figues confiture,3560003430053,['France'],[],[],?,142,"0,29",33,"1,2",594 kj(142 kcal),0,"29,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Kheer vermicelli,5028217002742,['France'],[],[],?,355,0,83,3,1485 kj(355 kcal),0,55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Brownie aux éclats de noisette - Leader price,3263852662568,['France'],[],[],?,476,28,47,"7,1",1992 kj(476 kcal),"4,3",32,"0,52","0,208",,,D,,,['Leader price'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,,28 g,en quantité élevée,0.52 g,en quantité modérée,,+5%,+9%,-2%,+20%,+36%,+36%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,4.3 g,en quantité modérée,32 g,en quantité élevée,+5%,-48%,-6%,18,-6%,D,-6%,,,,,,
381,Sel fin de Guérande au Curry,3578410002145,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Sel fin de Guérande aux Epices Grillées,3578410002633,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Tree of tea organically brown,4260188788350,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Jambon cuit a l’ancienne,2470526048677,['France'],[],[],?,129,"3,1","0,5",23,540 kj(129 kcal),"1,4","0,5",2,"0,8","['FR 80.798.003 CE', 'Villers-Bocage (Somme, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Sel fin de Guérande aux Herbes Spécial Barbecue,3578410002121,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Tree of tea,4260188788343,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Eau de coco,3760184321304,['France'],[],[],?,26,1,9,0,109 kj(26 kcal),0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Moutarde aux olives noires et miel,3760171280928,['France'],[],[],?,191,"13,6",7,"6,9",799 kj(191 kcal),"1,1","5,6","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Sel Fin de Guérande au Poivre de Madagascar,3578410002169,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Scamorza des pouilles blanche,2485657025527,['France'],[],[],?,287,23,2,13,1201 kj(287 kcal),13,"0,9","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Espirales De Kamut 500GR Finestra,8437010509254,['France'],[],[],?,344,"0,9",70,"14,3",1439 kj(344 kcal),"0,2","3,9","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Sel fin de Guérande aux Herbes Spécial Poisson,3578410002138,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Sel fin de Guérande à l’Ail et aux fines Herbes,3578410002190,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Sel fin de Guérande au Curcuma Poivre,3578410002183,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Cafe mocha ice coffee,8693440010443,['France'],[],[],?,55,"1,3","8,6","1,8",230 kj(55 kcal),"0,8","8,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Noir ginbembre,3770011572045,['France'],[],[],?,49,29,49,6,205 kj(49 kcal),20,45,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Carbonnades de porc, marinés au piment d'Espelette -",3437590000559,['France'],[],[],?,160,"9,1","0,3","19,2",669 kj(160 kcal),3,"0,2","1,63","0,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carbonnades de porc, marinés au piment d'Espelette",,,
398,Sel fin de de Guérande au Paprika Fou,3578410002664,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Sel fin de Guérande aux 3 Baies,3578410002251,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Sel fin de Guérande Viking,3578410002657,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Sel fin de Guérande aux 4 Epices,3578410002213,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Amande grillees enrobees de sucre,2600118039756,['France'],[],[],?,532,28,55,15,2226 kj(532 kcal),19,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Meringue vanille,3286790115354,['France'],[],[],?,396,"0,5",95,"4,1",1657 kj(396 kcal),"0,1",95,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Sel fin de Guérande Rosé à la Betterave,3578410002640,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Monster Java Monster Coffee + Energy Mean Bean,0070847813064,['France'],[],[],?,51.801801801802,"1,126","8,108","2,252",217 kj(51 kcal),"0,676","7,883","0,253","0,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Classica mentho eucalyptus,8009600000016,['France'],[],[],?,388,"0,2",96,"0,43",1623 kj(388 kcal),0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Sel fin de Guérande Naturel,3578410002282,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Hayat,6291003305986,['France'],[],[],?,900,100,0,0,3766 kj(900 kcal),50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Cookie man,7290000311401,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,mijn moment,5410063038509,['France'],[],[],?,449,15,70,"7,2",1879 kj(449 kcal),2,"2,9","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Galettes bretonnes - ker cadelac - 300g,3259426041389,['France'],[],[],?,478,19,69,7,2000 kj(478 kcal),12,26,1,"0,4",,['Produit en Bretagne'],C,300g,['Plastique'],['ker cadelac'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Gateaux secs']",['Farine de ble et oeufs francais'],['Loudéac'],['Intermarche'],,19 g,en quantité modérée,1 g,en quantité modérée,,+1%,0%,+5%,+10%,+61%,+61%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,12 g,en quantité élevée,26 g,en quantité élevée,+2%,+25%,-5%,24,+17%,E,+17%,,,,http://kercadelac.fr,,
412,Riz au lait,3760261830293,['France'],[],[],?,188,"7,1",27,"4,1",787 kj(188 kcal),"4,9",13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Pastilles D'huiles Essentielles Bio - Digestion Transit,3700446405878,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,4 Gaufres,0225001019350,['France'],[],[],?,382,27,25,"8,2",1598 kj(382 kcal),"2,2","2,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,La gâche tranchée,3583224445132,['France'],[],[],?,345,13,48,8,1443 kj(345 kcal),"8,8",12,"1,09","0,436",,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Confiture de lait - fr:Confiture de lait,3324498004232,['France'],[],[],?,329,"7,2",59,"6,9",1377 kj(329 kcal),"4,4",50,0,0,,,B,,,['Confiture de lait'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,7.2 g,en quantité modérée,0 g,en faible quantité,,+11%,+30%,+7%,+6%,-100%,-100%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,4.4 g,en quantité modérée,50 g,en quantité élevée,+11%,+36%,-2%,18,+8%,D,+8%,,,,,,
417,Saucisse sèche de pastou,2462773044151,['France'],[],[],?,361,"28,8","4,1","22,7",1510 kj(361 kcal),14,"3,9",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Pain au chocolat,0260229010505,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,3600550616064,3600550616064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Chipos végétarienne,3770016162296,['France'],[],[],?,236,18,"3,3",13,987 kj(236 kcal),2,"0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Color Star Candy,6091224120968,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Chipolatas longues au piment d'espelette,3245415935296,['France'],[],[],?,287,25,"0,5",16,1201 kj(287 kcal),9,"0,5","1,8","0,72",,,E,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,25 g,en quantité élevée,1.8 g,en quantité élevée,,+20%,+32%,-57%,+4%,0%,0%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,9 g,en quantité élevée,0.5 g,en faible quantité,+20%,+25%,-21%,18,+8%,D,+8%,,,,,,
423,Limonade Artisanale,2334476175084,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Burger de poulet,2010008450019,['France'],[],[],?,181,"11,8",8,"10,8",757 kj(181 kcal),"4,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,4 baguettes viennoises,3760049716672,['France'],[],[],?,325,"9,5",44,13,1360 kj(325 kcal),"1,3","8,1","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Cookie nuts,3770009606479,['France'],[],[],?,375,"9,9","29,7","40,3",1569 kj(375 kcal),"2,8","9,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Mini Beignets ×2 décongelés,2644811026118,['France'],[],[],?,428,24,44,"6,8",1791 kj(428 kcal),9,18,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Sauce cuisinée basquaise,16400100166162,['France'],[],[],?,?,?,?,?,,,,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Infusion  menthe caféinée american buzz,0636046700743,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,La Bretonne,3497917002789,['France'],[],[],?,525,31,53,6,2197 kj(525 kcal),"2,6",1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,El vino,8437016881088,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Lays Vį Tào Biên Nori,8936079120115,['France'],[],[],?,160,16,18,2,669 kj(160 kcal),4,2,"0,312","0,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,The good life,0194961000916,['France'],[],[],?,39,"3,3","2,1","0,1",163 kj(39 kcal),"3,2","1,8","0,275","0,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Peanut butter cup boostball burners,0794712227984,['France'],[],[],?,617.5,"53,75","10,75","15,25",2584 kj(617 kcal),37,5,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Batons de reglisse fourres,3518161004111,['France'],[],[],?,365,"3,4",79,"4,3",1527 kj(365 kcal),"1,5",52,"1,159","0,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
