,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,markets,additives,allergens,nova_score,palm_ingredients,link,producer_info
0,Moules du Pacifique - Odyssée - 500g,3250391101580,C,500g,"['Odyssée', 'Odyssée']","['Produits de la mer', 'Mollusques', 'Moules', 'Moules du Pacifique']",['France'],"['100% chairs de moules* ', 'Mytilus cbilensis', ' Elevées en Océan Pacifique Sud-Est', ' Origine : Chili', ' *Mollusques']",[],2.2 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,0.93 g,en quantité modérée,?,,99,-15%,414 kj(99 kcal),-16%,"2,2",-53%,"0,6",-60%,"4,9",+38%,"0,5",+4%,"14,4",+2%,"0,93",+6%,"0,372",+6%,0,-100%,B,-100%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,,,,,,,
1,Sandwich au jambon fumé fromage frais ciboulette - Monique Ranou - 135g,3250391101733,C,135 g,['Monique Ranou'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Fromage', 'Sandwichs polaires']",['France'],"['Garniture 55,8% : jambon cuit standard fumé 53,1% ', 'jambon de porc origine France', 'eau', 'sel', 'sirop de glucose', 'arôme', 'émulsifiant : E451', 'antioxydant : E316', 'conservateur : E250', 'fromage frais 26,6% ', 'lait de vache pasteurisé', 'crème pasteurisée ', 'lait', 'sel', 'ferments lactiques', 'salade', 'mayonnaise allégée ', 'eau', 'huile de colza', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur : E222', 'sucre', ""vinaigre d'alcool"", ""jaune d'œuf"", 'amidons modifiés', 'sel', 'épaississant : E415', 'ciboulette décongelée 0,4%', '\r Pain suédois décongelé 44,2% : farine de blé', 'eau', 'sucre', 'farine de seigle', 'levure', 'sel', 'huile de colza', 'levain de seigle dévitalisé', ' émulsifiants : E471 - E472e', ' poudre levante : E503', 'agent de traitement de la farine : E300']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",6.8 g,en quantité modérée,3.1 g,en quantité modérée,3.7 g,en faible quantité,1.43 g,en quantité modérée,?,,226,-4%,946 kj(226 kcal),-6%,"6,8",-27%,"3,1",+10%,"30,7",+10%,"3,7",-24%,"9,5",-8%,"1,43",+4%,"0,572",+4%,11,+48%,D,+48%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,"Sandwichs au jambon cuit standard fumé, fromage frais et ciboulette sur pain suédois","['Barquette', 'Plastique']","['Labels de distributeurs', 'Viande-francaise', 'Sélection Intermarché', 'Viande-porcine-francaise']",['France'],['France'],"['EMB 56251C', 'Theix (Morbihan, France)']",['Intermarché'],"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", ""E503 - Carbonates d'ammonium"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Moutarde']",4,,,
2,10 petits Chèvres Doux - Netto - 200g,3250391102174,E,200 g,['Netto'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages pasteurisés']",['France'],"['Lait de chèvre pasteurisé', 'sel', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",20 g,en quantité modérée,14 g,en quantité élevée,1.5 g,en faible quantité,1.4 g,en quantité modérée,?,,252,-11%,1054 kj(252 kcal),-11%,20,-12%,14,-12%,2,+20%,"1,5",+55%,16,-8%,"1,4",+4%,"0,56",+4%,14,+5%,D,+5%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,Fromage de chèvre au lait pasteurisé,"['Plastique', 'Carton']",,,['France'],"['FR 79.299.001 CE', 'Saint-Varent (Deux-Sèvres, France)']",['Netto'],,['Lait'],3,,,
3,Sauce Poivre Vert - Netto - 29g,3250391102549,,29 g,['Netto'],"['Produits déshydratés', 'Sauces au poivre déshydratées']",['France'],"['Farine de blé', 'huile de tournesol en poudre ', 'huile de tournesol', 'sirop de glucose', 'protéines de lait', 'protéines végétales hydrolysées', 'arômes', 'sel', 'oignon', 'poivre vert en grains 3 %', 'extrait de levure', 'exhausteur de goût : glutamate monosodique', 'colorant : caramel', 'épaississant : gomme xanthane', 'ail', 'curcuma']",['Non végétalien'],21 g,en quantité élevée,3.6 g,en quantité modérée,5.5 g,en quantité modérée,14.2 g,en quantité élevée,1697,+41%,?,,1697 kj(406 kcal),+39%,21,+237%,"3,6",+73%,40,-14%,"5,5",-79%,"11,3",+120%,"14,224",+855%,"5,69",+855%,14,+206%,D,+206%,,,,,,,,Préparation déshydratée pour sauce au poivre vert,"['Sachet', 'Papier']",,,['Italie'],,['Netto'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E150 - Caramel', 'E415 - Gomme xanthane']","['Gluten', 'Lait']",4,,,
4,Sauce Béchamel - Netto - 55g,3250391102587,,55 g,['Netto'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']",['France'],"['Farine de blé', 'huile de tournesol en poudre ', 'huile de tournesol', 'sirop de glucose', 'protéines de lait', 'amidon modifié de tapioca', 'sel', 'fromage fondu en poudre ', 'fromage', 'lactosérum ', 'lait', 'sel', 'exhausteur de goût : glutamate monosodique', 'protéines végétales hydrolysées', 'oignon']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,1807,+47%,?,,1807 kj(432 kcal),+64%,"18,9",+306%,3,+107%,"55,5",+23%,"2,4",-72%,"8,6",+11%,"7,6",-31%,"3,04",-31%,,,,,,,,,,,,Préparation déshydratée pour sauce béchamel,"['Sachet', 'Plastique']",,,['Espagne'],,['Netto'],"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,,
5,Glace Menthe avec Morceaux de Chocolat - Netto - 1000ml (511g),3250391102624,B,1000 ml (511 g),['Netto'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],"['Eau', 'sucre', 'lactose et protéines de lait', 'matière grasse végétale ', 'coprah', 'sirop de glucose', 'morceaux de chocolat ', '3,5 %', ' ', 'cacao 40 % min', ' ', 'sucre', 'pâte et beurre de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel menthe', 'émulsifiant : E471', 'stabilisants : gomme guar', 'farine de graines de caroube', 'colorants : E141', 'E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",7.7 g,en quantité modérée,6.2 g,en quantité élevée,22.2 g,en quantité élevée,0.17 g,en faible quantité,764,-22%,?,,764 kj(183 kcal),-21%,"7,7",-34%,"6,2",-18%,"25,6",-8%,"22,2",-5%,"1,3",-59%,"0,17",+13%,"0,068",+13%,10,-25%,C,-25%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Plastique', 'Surgelé']",,,,"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",['Netto'],"['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E160a - Carotènes mélangés']","['Lait', 'Soja']",4,,,
6,"Picodon Chèvre Aop, La Barquette De 2 - 120g",3250391103997,E,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Picodon']",['France'],[],[],26 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,?,,318,-2%,1331 kj(318 kcal),-1%,26,+1%,20,+12%,1,-30%,1,+24%,20,+3%,"1,2",-11%,"0,48",-11%,13,-4%,D,-4%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,,
7,Sainte Maure de Touraine Appellation d'Origine Protégée - FE - 250g,3250391104017,E,250 g,['FE'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Sainte-Maure de Touraine']",['France'],"['Lait cru entier de chèvre', 'sel', ""ferments lactiques et d'affinage"", 'présure', 'colorant : charbon végétal', ' Paille de céréale ', 'non consommable']",[],22 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,1139,,?,,1139 kj(272 kcal),-3%,22,-4%,17,0%,"1,1",+11%,0,-100%,18,+1%,"1,3",-7%,"0,52",-7%,13,-4%,D,-4%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,"['FR 37.186.031 CE', 'Pont-de-Ruan (Indre-et-Loire, France)']",['Intermarché'],['E153 - Charbon végétal médicinal'],['Lait'],4,,,
8,Quenelles de veau sauce financière - Netto - 400g,3250391108985,D,400 g,['Netto'],"['Plats préparés', 'Quenelles', 'Quenelles de veau']",['France'],"['Eau', 'quenelles 37% [farine de blé ', 'graisse de bœuf ', 'eau', 'viande de veau 4', '8%', ""blancs d'œufs "", 'sel', 'gluten de blé ', 'lactose ', 'dont _lait', '_ et protéines de lait ', 'extrait naturel de poivre]', 'champignons 3', '1% ', 'champignons', 'eau', 'sel,acidifiant: acide citrique', 'antioxydant: acide ascorbique', ']', 'olives dénoyautées 3', '1% ', 'olives', 'eau', 'sel', 'acidifiant: acide citrique', 'acide lactique', 'concentré de tomates', 'farine de blé ', 'huile de tournesol', 'amidons transformé de maïs et natif de riz', 'arômes ', 'dont blé ', 'vin blanc', 'agent crémeux ', 'huile de tournesol', 'sirop de glucose', 'protéines de lait ', 'épices et aromates']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",10.5 g,en quantité modérée,5.4 g,en quantité élevée,1.1 g,en faible quantité,1.12 g,en quantité modérée,657,,158,+5%,657 kj(158 kcal),+3%,"10,5",+2%,"5,4",0%,"11,4",+6%,"1,1",+35%,4,-4%,"1,12",+21%,"0,448",+21%,7,-17%,C,-17%,83.4%,6.0%,2.8%,2.0%,1.2%,4.6%,40,,,,,,,['Netto'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E270 - Acide lactique', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten', 'Lait']",4,,,
9,Langue De boeuf  410 g - Netto,3250391109043,E,,['Netto'],"['Viandes', 'Bœuf', 'Langues de bœuf']",['France'],"['de bœuf en tranches 50%', ' Sauce piquante 50% : eau', 'arômes', 'oignons 5%', 'cornichons farine de blé', 'amidon modifié de pomme de terre', 'vin blanc ', 'contient des sulfites', 'vinaigre', 'saindoux', 'épaississant : gomme xanthane', 'exhausteur de goût : glutamate monosodique', 'persil', ' ', '*Pourcentages exprimés sur la sauce', ' Traces éventuelles dloeuf', 'moutarde', 'sulfite et céleri', ' poids net ']","['Non végétalien', 'Non végétarien']",9.02 g,en quantité modérée,4 g,en quantité modérée,1.6 g,en faible quantité,1.15 g,en quantité modérée,?,,146,-5%,611 kj(146 kcal),-5%,"9,02",-12%,4,-4%,"5,1",+27%,"1,6",+10%,"10,7",-1%,"1,15",+17%,"0,46",+17%,4,-17%,C,-17%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,,,,,['Netto'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],4,,,
10,Soupe Savoyarde - Netto - 1000g,3250391110322,A,1000 g,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['France'],"['Eau', 'pommes de terre 15%', 'lait écrémé reconstitué', 'oignons réhydratés 9,9%', 'fromage fondu 3% ', 'fromage frais', 'crème', 'eau', 'protéines de lait ', 'sel', 'émulsifiants : E415 et E410', 'potiron 3%', 'lardons fumés 2% ', 'poitrine de porc', 'eau', 'sel', 'dextrose de blé ', 'acidifiant : acétate de sodium', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'amidon modifié de maïs', 'concentré salin liquide', 'sel', 'exhausteur de goût : glutamate monosodique', 'arôme', ' extraits de levure']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1.7 g,en faible quantité,1 g,en faible quantité,0.8 g,en faible quantité,0.6 g,en quantité modérée,162,-5%,39,-5%,162 kj(39 kcal),-6%,"1,7",-2%,1,+78%,"3,7",-19%,"0,8",-59%,"1,6",+72%,"0,6",-8%,"0,24",-8%,2,+41%,B,+41%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"Mouliné de légumes, fromage fondu et lardons (potage prêt à consommer)","['Brique', 'Carton']",,,['France'],"['EMB 29209D', 'Plouvien (Finistère, France)', 'FR 29.209.090 CE', 'Plouvien (Finistère, France)']",['Netto'],"['E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Lait', 'Anhydride sulfureux et sulfites']",4,,,
11,Mouliné 9 légumes - Netto,3250391110353,,,['Netto'],,['France'],"['Légumes 70% ', 'pomme de terre 36', '2%', 'oignon 8,3%', 'carotte 7,7%', 'haricot blanc 6%', 'céleri-rave 5', '3%', 'navet 3,3%', 'tomate 2%', 'poireau 0,7%', 'haricot vert 0,5%', 'maltodextrine', 'fécule de pomme de terre', 'sel', 'graisse de poule ', 'dont antioxydant : extraits de romarin', 'curcuma', 'arôme', 'arôme de fumée', 'persil', 'antiagglomérant: dioxyde de silicium', 'acidifiant : acide citrique', 'conservateur : E223', 'antioxydant : E320', 'colorant: E160c', ' Traces éventuelles de blé', 'orge', 'lait', 'moutarde', 'oeufs', 'poissons et soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,356,,1490 kj(356 kcal),,"3,3",,"1,1",,"69,8",,9,,"6,6",,"7,32",,"2,928",,,,,,,,,,,,,,,,,,,['Netto'],"['E392 - Extrait de romarin', 'E551 - Dioxyde de silicium', 'E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E320 - Butylhydroxyanisol', 'E160c - Extrait de paprika']",['Céleri'],4,,,
12,Velouté  poireaux pommes de terre - Netto - 1000ml,3250391110360,,1000 ml,['Netto'],,['France'],"['Eau', 'poireaux 17%', 'pommes de terre 15%', 'oignons et oignons réhydratés', ' lait écrémé reconstitué', 'amidon modifié de maïs', 'épinards', 'crème* fraîche', 'beurre*', 'sels minéraux ', 'chlorure de sodium', 'chlorure de potassium', 'sulfate de magnésium', 'traces de minéraux', 'sel', 'extraits de levure', 'persil', 'arôme naturel', 'arôme naturel de poivre', ' * dont _ lait']",['Non végétalien'],,,,,,,,,130,,?,,130 kj(31 kcal),,"0,6",,"0,5",,"5,3",,"1,3",,"0,6",,"0,62",,"0,248",,,,,,,,,,,,,,,['Sans colorants'],,,,['Netto'],['E14XX - Amidons modifiés'],['Lait'],4,,,
13,Potage Gratinée Oignon Emmental - Contrées Gourmandes,3250391110384,,,['Contrées Gourmandes'],['Boissons'],['France'],"['Oignon 48,60%', 'fécule de pomme de terre', 'sirop de glucose', 'sel', 'arômes preparation fromagère 3,5% ', 'poudre de fromages dont emmental 0,6%', 'pcudrede sérum', 'poudre de crème', 'sel', 'arômes', 'hydrolysat de protéines végétales ', 'blé', 'soja', 'huiles végétales ', 'colza', 'tournesol', 'maltodextrine', 'colorant : oléoresine de paprika', 'acidifiant : acide citrique', ' Traces éventuelles de céleri', 'crustaces', 'œuf', 'poisson et sulfites']",['Non végétalien'],0.33 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,1.01 g,en quantité élevée,?,,33,-41%,138 kj(33 kcal),-43%,"0,33",-5%,"0,2",+69%,"6,79",-40%,2,-79%,"0,5",+1%,"1,01",+2334%,"0,404",+2334%,9,+17%,D,+17%,,,,,,,,,,,,,,,"['E160c - Extrait de paprika', 'E330 - Acide citrique']","['Gluten', 'Soja']",4,,,
14,Thon sauce mayonnaise - Netto - 252g,3250391110636,D,252 g,['Netto'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve']",['France'],"['Thon 30%', 'huile végétale 23%', 'eau', 'cornichons ', 'cornichons', 'eau', ""vinaigre d'alcool"", 'sel', 'metabisulfite de sodium', 'chlorure de calcium', 'poivrons', 'carottes', ""vinaigre d'alcool"", 'sucre', 'amidon transformé de maïs', 'moutarde 0', '6%', 'épaississants : gomme xanthane - gomme guar', ""jaune d'œuf 0"", '2%', 'épice', 'colorant : lutéine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",21.4 g,en quantité élevée,0 g,en faible quantité,0.63 g,en faible quantité,0 g,en faible quantité,?,,242,+23%,1013 kj(242 kcal),+25%,"21,4",+93%,0,-100%,"2,3",+261%,"0,63",+75%,"10,6",-53%,0,-100%,0,-100%,-2,-168%,A,-168%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,Thon en sauce mayonnaise,['Conserve'],,,"['Capitaine Cook S.A.S. - ZA de Keranna - 29360 Clohars-Carnoët', 'France', 'Bretagne']","['FR 29.215.500 CE', 'Plozévet (Finistère, France)']",['Netto'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E161b - Lutéine']","['Œufs', 'Poisson', 'Moutarde']",4,,,
15,Salade au Thon Piémontaise - Netto - 280g,3250391110643,C,280 g,['Netto'],"['Conserves', 'Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Plats à base de pommes de terre', 'Salades au thon', 'Plats préparés en conserve', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades de légumes', 'Piémontaise au thon']",['France'],"['Pommes de terre 26%', 'eau', 'thon ', 'poisson', ' 20%', 'huile de colza', 'carottes 11%', 'cornichons saumurés 4,4% [cornichons', 'eau', 'vinaigre', 'sel]', 'vinaigre', ""jaune d'œuf"", 'moutarde de Dijon [eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant : acide citrique', 'conservateur : E224]', 'sel', 'sucre', 'amidon modifié de maïs', 'épaississants : gomme guar - cellulose microcristalline - gomme de cellulose - gomme xanthane', 'curcuma']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",11.6 g,en quantité modérée,0.9 g,en faible quantité,1 g,en faible quantité,0.89 g,en quantité modérée,?,,152,+1%,636 kj(152 kcal),+3%,"11,6",+8%,"0,9",-15%,"4,7",-42%,1,+24%,"6,7",+59%,"0,89",-10%,"0,356",-10%,0,-100%,B,-100%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,Salade de pommes de terre au thon,"['Boîte', 'Conserve', 'Acier recyclable']","['Point Vert', 'Acier recyclable', 'Eco-Emballages']",,"['VIF Argent - VIF Very Innovative Food (Filiale Gendreau) - 40 Route de la Roche sur Yon - ZI de la Bégaudière - 85800 Saint-Gilles-Croix-de-Vie', 'Vendée', 'Pays de la Loire', 'France']","['FR 85.222.009 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']",['Netto'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E460i - Cellulose microcristalline', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane']","['Œufs', 'Poisson', 'Moutarde']",4,,,
16,Mon filet de poulet doré au four - Monique Ranou - 140g,3250391112494,D,140g,['Monique Ranou'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",['France'],"['Filet de poulet ', '87%', ' eau', 'dextrose', 'sel', 'stabilisants : polyphosphates', ' arômes', 'conservateur : nitrite de sodium', ' Colorant : caramel ordinaire']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.9 g,en faible quantité,0.7 g,en faible quantité,1.5 g,en faible quantité,1.4 g,en quantité modérée,428,-3%,98,-8%,428 kj(98 kcal),-4%,"0,9",-56%,"0,7",+16%,"1,5",+39%,"1,5",+76%,"20,9",+1%,"1,4",-24%,"0,56",-24%,2,-55%,B,-55%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,Filet de poulet,"['Barquette', 'Plastique']","['Peu ou pas de sel', 'Peu de sel', 'Allégé en sel', 'Moins 25% de sel']",,"['Quimper', 'France']","['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",['Intermarché'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",,4,,,
17,Mini Fourrés à la Fraise,3250391112951,,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,16,,"2,33",,"58,67",,35,,"5,33",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
18,Mini-Choux saveur Bleu-Noix - Netto - 60g,3250391113385,B,60 g,['Netto'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs fourrés au fromage']",['France'],"['Huiles végétales hydrogénées et non hydrogénées ', 'coco', 'colza', 'tournesol', 'œufs entiers pasteurisés', 'fromages fondus en poudre* 10,5%', 'chapelure ', 'farine de blé ', 'sel', 'levure', 'colorants : curcumine - rocou', 'fromage* 4%', 'farine de riz', 'farine de blé ', 'stabilisant : sorbitols', 'arômes*', 'amidon de blé ', 'amidon de pomme de terre', ""émulsifiant : mono - et diglycérides d'acides gras"", 'poudres à lever : glucono-delta-lactone - carbonate acide de sodium', 'épaississant : gomme xanthane', 'antioxydant : extrait riche en tocophérols', 'colorant : rocou', ' * dont lait ']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",56.4 g,en quantité élevée,36 g,en quantité élevée,1.1 g,en faible quantité,1.33 g,en quantité modérée,2745,+23%,?,,2745 kj(656 kcal),+24%,"56,4",+75%,36,+85%,"27,1",-41%,"1,1",-83%,"11,1",+12%,"1,33",-27%,"0,532",-27%,22,-3%,E,-3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Mini-choux fourrés au fromage saveur bleu et noix,"['Carton', 'Sachet', 'Plastique']",,,['Pays-Bas'],,['Netto'],"['E100 - Curcumine', 'E160b - Rocou', 'E420 - Sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E575 - Glucono-delta-lactone', 'E500ii - Carbonate acide de sodium', 'E415 - Gomme xanthane', 'E306 - Extrait riche en tocophérols']","['Œufs', 'Poisson', 'Gluten', 'Lait', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",4,,,
19,"Merlu sauce citronnée et riz safrane - Netto - ,300g",3250391113736,,",300g",['Netto'],"['Plats préparés', 'Plats préparés au poisson', 'Plats à base de riz', 'Plats-au-merlu']",['France'],"['Riz cuisiné précuit 43% ', 'riz blanc', 'eau', 'sel', 'huile de colza', 'acidifiant : acide citrique', 'curcuma', 'colorant : curcumine', 'coriandre', 'piment de Jamaïque', 'girofle', 'poivre noir', 'macis', 'safran', 'merlu blanc ', 'poissons', ' 30%', 'eau', 'crème fraiche 4,6%', 'carottes 4%', 'courgettes', 'jus de citron 2%', 'huile de colza', 'amidon modifié de maïs', 'sel', 'ail déshydraté', 'protéines de lait', 'épaississants : gomme xanthane et gomme guar', 'fumet de poissons ', 'arôme', 'maltodextnne de pomme de terre', 'fécule de pomme de terre', 'épices et aromates', 'sel', 'poissons déshydraté', 'acidifiant : acide citrique', 'persil', 'arôme naturel de citron', 'piment doux', 'poivre', 'colorants : curcumine et extrait de paprika', ' dont lait']","['Non végétalien', 'Non végétarien']",3.1 g,en quantité modérée,1 g,en faible quantité,0.6 g,en faible quantité,0.61 g,en quantité modérée,?,,125,+11%,523 kj(125 kcal),+11%,"3,1",+8%,1,+3%,"17,3",+34%,"0,6",-37%,"6,6",+0%,"0,61",-6%,"0,244",-6%,-1,,A,,,,,,,,,,,,,,,['Netto'],"['E330 - Acide citrique', 'E100 - Curcumine', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E160c - Extrait de paprika']","['Poisson', 'Lait']",4,,,
20,Café Espresso Collection - Netto,3250391117062,,,['Netto'],,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,['Netto'],,,,,,
21,Vinaigrette Moutarde à l'Ancienne Allégée - Netto - 500ml,3250391119066,D,500 ml,['Netto'],"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'Vinaigrettes allégées en matières grasses']",['France'],"['Eau', 'huile de colza 25%', ""vinaigre d'alcool"", ""moutarde à l'ancienne 4,5% "", 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'vinaigre de vin blanc', 'sel', 'sucre', 'conservateur : disulfite de potassuim ', 'E224', 'acidifiant : acide citrique ', 'E330', 'sel', 'amidon modifié de maïs', 'sucre', 'épaississant : gomme xanthane', 'arôme', 'colorants : béta-carotène ', 'E160a', 'caramel ', 'E150c']","[""Pourrait contenir de l'huile de palme""]",25.8 g,en quantité élevée,1.9 g,en quantité modérée,3.8 g,en faible quantité,3.08 g,en quantité élevée,1061,-3%,257,-3%,1061 kj(257 kcal),-4%,"25,8",-5%,"1,9",-22%,"4,8",+15%,"3,8",+57%,"0,9",+65%,"3,075",+69%,"1,23",+69%,14,+17%,D,+17%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,Vinaigrette à la moutarde à l'ancienne allégée en matières grasses,"['Bouteille', 'Plastique']",,,,,['Netto'],"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène', 'E160a - Carotènes mélangés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']","['Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,,,
