,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
0,Domaćica,3850102314218,['France'],[],[],?,475,1987 kj(475 kcal),22,11,57,24,"7,5","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mushroom Cream Soup,8690804312250,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tropic acid - Auchan - 175g,3596710459827,['France'],[],[],?,326,1364 kj(326 kcal),"0,5","0,1",71,39,5,"0,01","0,004",E,175 g,['Auchan'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']","['Sans colorants', 'Nutriscore', 'Nutriscore C']",['Auchan'],0.5 g,en faible quantité,0.1 g,en faible quantité,39 g,en quantité élevée,0.01 g,en faible quantité,,-6%,-6%,+3%,-58%,-12%,-35%,+53%,-95%,-95%,12,-17%,D,-17%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
3,Thé,4030582405128,['France'],[],[],?,395,1653 kj(395 kcal),0,0,"98,3","96,1","0,2","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Flora Plus Multi-Gyn,8714207452501,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,
5,Yogurt Panizzi ai mirtilli,8032774181274,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Guiot professionnel,3265262100166,['France'],[],[],?,323,1351 kj(323 kcal),0,0,"79,7","73,3","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Confiture ananas, mangue, passion, coco - Maison Perrotte",3701090800545,['France'],[],[],?,192,803 kj(192 kcal),"0,6","0,6",46,45,"0,6","0,125","0,05",,,['Maison Perrotte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Thé noir,3664788000750,['France'],[],[],?,1,4 kj(1 kcal),"0,5","0,1","0,1","0,02","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tapenade d'olives noires,3760171280164,['France'],[],[],?,?,,?,,?,,?,,,C,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,,,,,,,,,,,,,,,,,,,,,,,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,
10,Chardonnay 2017 Cépage de Loire - Guy Saget,3289850063350,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sauce Dessert Au Caramel - Ancel - 1kg,3506170012838,['France'],[],[],?,?,,?,,?,,?,,,,1 kg,['Ancel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Prana Chai Agave Blend,0680569424242,['France'],[],[],?,183,766 kj(183 kcal),"3,3",0,"32,6","29,3",2,"0,413","0,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Slim Body Shake (saveur tarte citron) - Women's Best,9010128011179,['France'],[],[],?,405,1695 kj(405 kcal),11,"2,2","32,1","3,2","41,2","2,4","0,96",,,"[""Women's Best""]",,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Iso tonic - BiotechUSA - 10x 40g,5999076221660,['France'],[],[],?,365,1527 kj(365 kcal),0,0,89,53,0,"1,6","0,64",,10 x 40 g,['BiotechUSA'],"['Boissons', 'Boissons avec sucre ajouté']",,,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,1.6 g,en quantité élevée,,+329%,+313%,-100%,-100%,+349%,+190%,-100%,+4178%,+4178%,27,+127%,E,+127%,,,,,,,,,,,,,,,,,
15,Chiffonade saucisson,2871723010236,['France'],[],[],?,302,1264 kj(302 kcal),20,"7,1","1,4","1,1",29,"4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 12063', 'Cavalerie (Aveyron, France)']",,,,,,,,
16,Confiture rhubarbe - Les Confitures du Clocher,3770001333052,['France'],[],[],?,220,920 kj(220 kcal),0,0,54,53,0,0,0,D,,['Les Confitures du Clocher'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",,,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,,-0%,-1%,-100%,-100%,-0%,+1%,-100%,-100%,-100%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
17,Mini donut au goût chocolat,,['France'],[],[],?,420,1757 kj(420 kcal),24,13,43,12,7,"1,1","0,44",B,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,,24 g,en quantité élevée,13 g,en quantité élevée,12 g,en quantité modérée,1.1 g,en quantité modérée,,-3%,-3%,-8%,+3%,+1%,-24%,+8%,+6%,+6%,21,-2%,E,-2%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,
18,Thé vert de chine,3700607000096,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,
19,Breakfast biscuits Gllden Oatsgo,0852704005979,"['France', 'États-Unis']","['Whole grain blend ', 'rolled oats', 'barley flakes', 'whole grain wheat flour', 'wheat flour', 'palm oil', 'sugar', 'malt syrup ', 'from corn & barley', 'invert sugar', 'baking soda', 'salt', 'soy lecithin', 'natural & artificial flavors', 'thiamin', 'riboflavin', 'niacin', 'reduced iron', 'and pyridoxine hydrochloride']",['Huile de palme'],?,460,1925 kj(460 kcal),16,1,70,22,8,"1,1","0,44",D,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,16 g,en quantité modérée,1 g,en faible quantité,22 g,en quantité élevée,1.1 g,en quantité modérée,,-3%,-3%,-23%,-90%,+9%,-25%,+23%,+87%,+87%,8,-60%,C,-60%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,Sobisk Foods LLC,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']","['Gluten', 'Soja']",4,,,,
20,lucky charms,65633150829,['France'],[],[],?,110,460 kj(110 kcal),1,"0,1",24,9,1,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Roobios et agrumes - 40g,3760041810743,['France'],[],[],?,6,25 kj(6 kcal),"0,5","0,01","0,5","0,5","0,16","0,004","0,002",,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Thé noir aromatisé - Comtesse du Barry,3660806509670,['France'],[],[],?,?,,?,,?,,?,,,,,['Comtesse du Barry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Haricot rouges sans gluten - 400g,3506070030321,['France'],[],[],?,?,,?,,?,,?,,,,400 g,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Grillades de porc à la mexicaine,2766162002945,['France'],[],[],?,167,699 kj(167 kcal),10,"3,7","1,3","0,6",18,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Café noisette,3760106720406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pad thai sauce - 250ml,5060460190098,['France'],[],[],?,121,506 kj(121 kcal),"0,4","0,1","27,1","24,1","2,1","4,3","1,72",,250 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fresh Tonic,3760186970876,['France'],[],[],?,31,130 kj(31 kcal),"0,5","0,5","7,8","7,8","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tom Yum Crisp,8859192500704,['France'],[],[],?,543,2272 kj(543 kcal),34,8,46,20,"14,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,bouteille d'eau,0786162005342,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,UltraDyn - 414g,5400433229972,['France'],[],[],?,?,,?,,?,,?,,,,414 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Abricot FLOPRIA - 1kg,3700551501045,['France'],[],[],?,?,,?,,?,,?,,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Saucisses fumées,2300000002089,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses fumées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,moutarde au miel,3000000002100,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,
34,2 Filets de poulet rotis - Maître Coq,0215779038318,['France'],[],[],?,148,619 kj(148 kcal),"5,8","1,4",0,0,24,"1,4","0,56",D,,['Maître Coq'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,+8%,+3%,-100%,-100%,+2%,+4%,+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
35,Le gruyere,2201227004804,['France'],[],[],?,?,,?,,?,,?,,,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",,,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
36,Olive noir,3574980094207,['France'],[],[],?,129,540 kj(129 kcal),13,"2,2",0,0,"0,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rôti cuit sup trad,0208997026373,['France'],[],[],?,123,515 kj(123 kcal),4,"1,7","0,9","0,8",21,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Wieckse rosé,8712000051211,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Elderflower & Apple Ice Tea,7350045063960,['France'],[],[],?,24,100 kj(24 kcal),0,0,"6,1","6,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chocolat lait caramel beurre salé - Alter Eco,30020242,['France'],[],[],?,560,2343 kj(560 kcal),34,20,56,54,"6,6","0,42","0,168",,,['Alter Eco'],,"['Bio', 'Commerce équitable', 'Fabriqué en Suisse', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pavé blanc,0208689008533,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cereales Crunchy fruits,3273120029092,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Suisse au chocolat,0210629021656,['France'],[],[],?,300,1255 kj(300 kcal),"8,4","4,9",49,21,"6,2","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pumpkin seed - Coles,9310645221144,['France'],[],[],?,?,,?,,?,,?,,,,,['Coles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sauce Béarnaise,3220440133800,['France'],[],[],?,129,540 kj(129 kcal),11,"4,6","6,3","0,8","0,8","1,01","0,404",D,,,"['Epicerie', 'Sauces', 'Sauces béarnaises']",,,11 g,en quantité modérée,4.6 g,en quantité modérée,0.8 g,en faible quantité,1.01 g,en quantité modérée,,-71%,-70%,-75%,-18%,+30%,-67%,-32%,-38%,-38%,9,-45%,C,-45%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,"['FR 56.151.001 CE', 'Noyal-Pontivy (Morbihan, France)']",,,,,,,,
46,Chorizo Extra,8421395047531,['France'],[],[],?,335,1402 kj(335 kcal),28,"9,3","3,1","1,49","21,9","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fromage blanc,0243204014569,['France'],[],[],?,120,502 kj(120 kcal),8,"6,4","4,2","4,2","7,7",0,0,C,,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",,,8 g,en quantité modérée,6.4 g,en quantité élevée,4.2 g,en faible quantité,0 g,en faible quantité,,+32%,+33%,+99%,+145%,-36%,-30%,+19%,-100%,-100%,3,+945%,C,+945%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,
48,Petits gateaux façon cheesecake,3575883003372,['France'],[],[],?,330,1381 kj(330 kcal),22,10,26,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Boisson baobab,3770003099680,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Baguette Tradition - 250g,3289668490201,['France'],[],[],?,?,,?,,?,,?,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Corsica brebis,0207905041392,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pâté basque,3275750017326,['France'],[],[],?,418,1749 kj(418 kcal),"42,9","15,9","0,7","0,7",8,"1,15","0,46",,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Sandwich Saumon Mariné, sauce aneth - 235g",80360545,['France'],[],[],?,226,946 kj(226 kcal),"10,5","3,34","30,9","3,3","10,9","1,27","0,508",,235 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Jelly Beans,5055256528100,['France'],[],[],?,374,1565 kj(374 kcal),"0,5","0,2",93,60,"0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cookies chocolat au lait,,['France'],[],[],?,398,1665 kj(398 kcal),"16,2","10,61","57,33","28,84","16,9","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Poissonnerie - Lamelles d’encornets - 680g,0208650035629,['France'],[],[],?,?,,?,,?,,?,,,,680 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Brebis chevre,0285308026307,['France'],[],[],?,450,1883 kj(450 kcal),"39,2",27,"0,5","0,5","24,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pâte à tartiner au cacao et noisettes,8751952236543,['France'],[],[],?,544,2276 kj(544 kcal),32,"5,7",54,51,"8,1","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Le pâté landais - Lartigue,3760067667314,['France'],[],[],?,409,1711 kj(409 kcal),39,16,3,"1,5","11,9","1,55","0,62",,,['Lartigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Onctueux de Caramel special Crêpes Suzettes,3760074419135,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22278K', ""Saint-Brieuc (Côtes-d'Armor, France)""]",,,,,,,,
61,Millefeuille glace par 2,3496531200182,['France'],[],[],?,234,979 kj(234 kcal),"6,3",4,"40,7",25,"2,5","0,2","0,08",B,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,,6.3 g,en quantité modérée,4 g,en quantité modérée,25 g,en quantité élevée,0.2 g,en faible quantité,,-25%,-25%,-58%,-60%,+2%,+26%,-35%,-58%,-58%,9,-47%,C,-47%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,
62,Gilbert Bonbons Tendres [sachet],3439495202304,['France'],[],[],?,?,,?,,?,,?,,,E,,['Gilbert'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
63,Tourtel Botanics,86846053066,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,8",6,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Farfalline 6 colori - 250g,8021241004710,['France'],[],[],?,?,,?,,?,,?,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Morbier,0278543014635,['France'],[],[],?,352,1473 kj(352 kcal),28,20,1,1,24,"1,2","0,48",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,28 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,,-1%,-0%,-3%,+3%,+29%,+141%,+6%,-16%,-16%,14,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,
66,Amandes grillées et salé,3260750586910,['France'],[],[],?,647,2707 kj(647 kcal),"56,5","5,7","4,2","3,3","25,5","0,7","0,28",E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",,,56.5 g,en quantité élevée,5.7 g,en quantité élevée,3.3 g,en faible quantité,0.7 g,en quantité modérée,,+3%,+3%,+8%,+30%,-67%,-41%,+17%,-17%,-17%,6,+40%,C,+40%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,
67,LAMELLES DE POULET ROTI TEX MEX TRANCHES AVS,3760258228263,['France'],[],[],?,109,456 kj(109 kcal),"1,3","0,3",4,"0,8",20,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Domaine Saparale Corse Sartene Blanc,3760026740034,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Steri stumpie,6001049067362,['France'],[],[],?,24,100 kj(24 kcal),"5,3","3,6",31,31,"10,5",17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Pur jus de citron - Carrefour,3560070483952,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pain brochettes - Auchan,2030502453033,['France'],[],[],?,?,,?,,?,,?,,,,,['Auchan'],,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Vitalite,3282770203851,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Gaufres de Liège au sucre perlé,5425035990389,['France'],[],[],?,416,1741 kj(416 kcal),20,9,51,23,"7,1","1,3","0,52",,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Larabar banana bread,0021908515472,"['France', 'États-Unis']","['Almonds', 'dates', 'unsweetened bananas']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,444,1858 kj(444 kcal),"22,22","2,22","53,33","37,78","11,11",0,0,,,['Larabar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Céréales et dérivés']","['Végétarien', 'en:gluten-free', 'Végétalien']",,22.2 g,en quantité élevée,2.22 g,en quantité modérée,37.8 g,en quantité élevée,0 g,en faible quantité,,+28%,+27%,+289%,+41%,-9%,+564%,+18%,-100%,-100%,10,+513%,C,+513%,,,,,,,,,,"Small Planet Foods, Inc.",,['Fruits à coque'],1,,,,
75,Green Earl Grey,3760247350111,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Huile d'olive vierge extra - Oliviers & Co,3547130093986,['France'],[],[],?,900,3766 kj(900 kcal),"99,8","15,1",0,0,0,0,0,D,,['Oliviers & Co'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+8%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
77,Poulet recette paprika - Maître Coq,0215970036274,['France'],[],[],?,713,2983 kj(713 kcal),10,"2,4","2,3","0,7",18,"1,2","0,48",,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Jägermeister,40677781,['France'],[],[],?,?,,?,,?,,?,,,,,['Jägermeister'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rice Drink Choco,5411778453250,['France'],[],"['Végétalien', 'Végétarien']",?,65,272 kj(65 kcal),"1,7","0,6","9,8",6,"1,8","0,08","0,032",,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Brochettes haut de cuisse au Colombo,2276443041650,['France'],[],[],?,229,958 kj(229 kcal),18,"5,6","0,6",0,17,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Cypressa Almonds,5000362002822,['France'],[],[],?,594,2485 kj(594 kcal),"54,6","4,5","2,1","2,1","24,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Caffè tostado - L'or,8711000388761,['France'],[],[],?,?,,?,,?,,?,,,,,"[""L'or""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Acidulos,5000177490524,['France'],[],[],?,300,1255 kj(300 kcal),0,0,3,3,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Pepsi J-Cola,4901777329560,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Alo comfort,75992293,['France'],[],[],?,0,0 kj(0 kcal),0,0,17,17,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Palets caramel beurre salé,5415312036015,['France'],[],[],?,455,1904 kj(455 kcal),23,15,57,33,4,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Lait de chèvre - Lactel,3428274960276,['France'],[],[],?,45,188 kj(45 kcal),"1,5",1,"4,5","4,5","3,3","0,18","0,072",,,['Lactel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Confiture 4 fruits rouges - Maison Herbin - 350g,3355430000401,['France'],"['FRAMBOISE', 'CASSIS', 'MÚRE GROSEILLE', 'SUCRE', 'PECTINE PREPAREE AVEC 52g DE FRUITS POUR 100g TENEUR TOTALE EN SUCRES 61g POUR 100g']",[],?,261,1092 kj(261 kcal),"0,2",0,"61,8","60,9","0,7",0,0,D,350 g,['Maison Herbin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']",,,0.2 g,en faible quantité,0 g,en faible quantité,60.9 g,en quantité élevée,0 g,en faible quantité,,+20%,+19%,-21%,-100%,+18%,+21%,+28%,-100%,-100%,12,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],,4,,,,
89,Olives cassées aux herbes de Provence,2609828013322,['France'],[],[],?,191,799 kj(191 kcal),"19,8","2,8","2,2","0,5","1,2","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Dessert de pruneaux cuit au chaudron,3452550000257,['France'],[],[],?,210,879 kj(210 kcal),"0,8","0,01","51,7","42,1","0,7","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
