,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
269,GALIUS,3192040514191,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Lait et noisettes,3700774302740,['France'],[],[],?,569,2381 kj(569 kcal),38,6,48,47,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,8437017753131,8437017753131,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Barre daily carotte - Vitaline - 52g,3701299421039,['France'],"['Céréales', 'noix et graines 45% ', ""flocons d'avoine 10%"", 'graines de courge', 'lin', 'amandes 8%', 'noix de cajou ', 'sarrasin grillé ', 'millet soufflé ', 'légumes 19% ', 'carottes 8%', 'patates douces 8%', 'oignons ', 'sirop de riz non raffiné', 'glycérine végétale ', 'protéines de pois', ""fibres d'acacia"", 'jus de citron ', 'maca ', 'curry', 'lithothamne', 'curcuma 0,2%', 'sel de Guérande', 'acérola', 'moringa', 'roucou ', 'son de riz ', 'feuilles de curry*', 'basilic* ', 'citrons* ', 'épinards', 'persil', 'amla', 'thé vert ', 'shiitake ', 'lichens ', 'extrait de pépins de raisin']","['Végétalien', 'Végétarien']",?,385,1610 kj(385 kcal),14,"1,92","42,3","10,6","13,1","0,192","0,077",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Barres', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",14 g,en quantité modérée,1.92 g,en quantité modérée,10.6 g,en quantité modérée,0.192 g,en faible quantité,,+4%,+4%,+8%,-67%,+29%,-20%,-55%,-61%,-61%,-3,-129%,A,-129%,,,,,,,,52 g,['Vitaline'],"['Sachet', 'Kraft', 'polyéthylène', 'mélange de métaux']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', '100% végétal', 'FR-BIO-01', 'Sans lactose', 'Nutriscore', 'Nutriscore A']",,"['E422 - Glycérol', 'E160b - Rocou']",4,Barre à la carotte,['Union Européenne et Non Union Européenne'],"['île-de-france', '77', 'France', 'Vaux-le-Penil', 'Seine-et-Marne']",https://vitaline.fr/products/daily-bar-carrots-organic,['Fruits à coque'],,,,,
273,Choux-fleurs en fleurettes - Picard - 1kg,3270160870301,['France'],['Choux-fleurs en fleurettes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,23,96 kj(23 kcal),0,0,2,"1,8",2,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Choux-fleurs', 'Choux-fleurs en fleurettes surgelés']",0 g,en faible quantité,0 g,en faible quantité,1.8 g,en faible quantité,,,,-4%,-4%,-100%,-100%,-7%,+13%,+1%,,,,,,,62.1%,0.0%,0.0%,15.3%,21.9%,0.7%,98,1 kg,['Picard'],"['Plastique', 'Film en plastique']",,,,1,,,,,,,['Picard'],,,
274,3760143830816,3760143830816,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Osvego -,8007465223069,"['France', 'Italie']",[],[],?,446,1866 kj(446 kcal),"12,7","5,5","72,6","22,5","2,7","0,2","0,08",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",12.7 g,en quantité modérée,5.5 g,en quantité élevée,22.5 g,en quantité élevée,0.2 g,en faible quantité,,-6%,-6%,-39%,-46%,+13%,-24%,-58%,-66%,-66%,14,-29%,D,-29%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,https://www.biscottigentilini.it/it/portfolio/osvego/,,,,,,
276,Boisson aromatisé à base de vin,3500610106194,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Bio Bergkäse,4046700048429,['France'],[],[],?,373,1561 kj(373 kcal),"28,5","18,7","0,1","0,1",29,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Crêpes natures x 6,0202993006568,['France'],[],[],?,220,920 kj(220 kcal),"6,2","3,3",34,15,"6,6","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Miel de Corse AOP,3770001871035,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,olips fire,7622210887610,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Beurre de cacahuete cremeux,3289194000035,['France'],"['Purée de cacahuètes* 94,6%', 'sucre*', 'sel marin', "" Produits issues de l'agriculture biologique"", ' Peut contenir des traces de fruits à coques et de sésame', "" MAREDIËNTEN: Gepureerde pinda's* 94,6%"", 'suikers*', 'zeezout Ingredianten afkomstig van biologische landbouw', ' Kan sporen bevatten van: noten', 'sesamzaad']",[],?,583,2439 kj(583 kcal),"47,4","10,6","10,3","7,5","24,8","0,82","0,328",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",47.4 g,en quantité élevée,10.6 g,en quantité élevée,7.5 g,en quantité modérée,0.82 g,en quantité modérée,,-3%,-2%,-1%,+28%,-28%,+18%,+1%,+54%,+54%,6,-45%,C,-45%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,['Bio'],,,,,,,,,,,,,
282,Nektarquell Gebirgsblüten Wabenecht,4028712312101,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Premium Datteln - Groß Und Fleischig - excellent mazafati,4260241280135,['France'],[],[],?,315,1318 kj(315 kcal),0,0,73,70,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Sandwitch poulet roti moutarde - bistrot vite - 135g,2006050007554,['France'],"['Pain spécial polaire 51,5% ', 'farine de blé', 'eau', 'farine de seigle', 'sucre', 'levure', 'huile de colza', 'sel', 'levain deseige devitalse gluten de ble poulet roti cuilt traité en salaison 23,3% [viande de poulet 18,1% ', 'origine:France', 'eau', 'huile de tourmesol', 'dextrose', 'amidon de pomme de teme', 'se aròmes naturels', 'sucre brun', ' salade 9,6%', ""mayonnaise allégée en matières grasses'8,6% [eau"", 'huile de colza 2,5%', ""vinaigre d'alcool"", 'jaune d euf', 'amidon transformé de mais Sucre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antiaxydant: E224', 'acidifiant: E330', 'sel', 'épaississant: E415', 'acidifiant: E330', 'conservateur: E202 colorants E161b', 'E160c', "" moutarde à l'ancienne 3,6% [eau"", ""vinaigre d'alcool"", 'graines de moutarde', 'téquments de graines de moutarde', 'sel', 'acidifiant: E330', 'arómes naturals antionydant: E224', 'epice', 'eau', 'épaississant: E415', ' Traces éventuelles de lait et de poissons']","['Non végétalien', 'Non végétarien']",?,203,849 kj(203 kcal),5,"0,6",29,"4,1","9,4","1,1","0,44",B,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet', 'Sandwich poulet moutarde salade']",5 g,en quantité modérée,0.6 g,en faible quantité,4.1 g,en faible quantité,1.1 g,en quantité modérée,,-9%,-9%,-40%,-59%,+13%,+25%,-7%,-9%,-9%,1,-63%,B,-63%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,135 g,['bistrot vite'],['Plastique'],['Atc'],"['FR 01.159.002 CE', 'Feillens (Ain, France)', 'EMB 01159B', 'Feillens (Ain, France)']","['E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",4,,['France'],['France'],,"['Gluten', 'Moutarde']",,['Aldi'],,,
285,BREIZ'ILE LES ARRANGES DU RHUM CARAMEL VANILLE,3760127533030,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Champignon,2868019009180,['France'],[],[],?,25,105 kj(25 kcal),"0,9","0,3","1,2","0,2","2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Fusilli No 29 - Delverde,8006680040291,['France'],[],[],?,358,1498 kj(358 kcal),"1,8","0,4",69,"3,3",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delverde'],,,,,,,,,,,,,,,
288,HEMP organic PROTEIN CHANVRE BIO,3525722021388,['France'],[],[],?,303,1268 kj(303 kcal),"0,6","0,31","1,5","1,01","62,3","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Skyr framboise siggis,9073190030547,['France'],[],[],?,88,368 kj(88 kcal),"1,9","1,4","8,9","8,4","8,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Thon Listao pêché a la canne,3257986909880,['France'],[],[],?,99,414 kj(99 kcal),"0,8","0,3","0,5","0,5",23,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Salam de porc,5941265011439,['France'],[],[],?,330,1381 kj(330 kcal),29,12,3,2,14,"2,35","0,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,"1,5 % Fett Fettarme H-milch",4100290004682,['France'],[],[],?,48,201 kj(48 kcal),"1,5","1,1",5,5,"3,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Vivi bene branfibres bastoncini di crusca di - Selex,8003100808332,['France'],[],[],?,313,1310 kj(313 kcal),3,"0,7",40,13,14,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Selex'],,,,,,,,,,,,,,,
294,Räucherlachs,4304218419521,['France'],[],[],?,193,808 kj(193 kcal),13,"2,6","0,5","0,5",19,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Olio extra vergine di oliva ottenuto a freddo,8007653051023,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","13,5",0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,13.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-4%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,
296,Bechamel,8018699010233,['France'],[],[],?,110,460 kj(110 kcal),8,"1,5",7,1,"2,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Miele di agrumi,8023797032902,['France'],[],[],?,322,1347 kj(322 kcal),0,0,80,80,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Souris d’agneau confite,2224658064483,['France'],[],[],?,125,523 kj(125 kcal),5,"1,9","1,9",0,18,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,,,,
299,Fitness Bread,0096453958203,['France'],[],[],?,120,502 kj(120 kcal),15,0,23,0,4,"0,725","0,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Rosette,3268750008852,['France'],[],[],?,315,1318 kj(315 kcal),"21,9","7,1","2,8","2,8","26,7","4,23","1,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Queues de gambas decortiquees cuites,3586410413618,['France'],[],[],?,85,356 kj(85 kcal),"1,3","0,5","0,5","0,5","20,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Olives cuisinées au cumin,2609804012202,['France'],[],[],?,192,803 kj(192 kcal),"19,8","2,8","2,2","0,5","1,2","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,No-xplode 3.0 BSN Nutrition (pastèque - 1 KG),5060245604413,['France'],[],[],?,325,1360 kj(325 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Fromages blanc fermiers,3760107460028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.014.004 CE', 'Aveize (Rhône, France)']",,,,,,,,,,,,
305,"Risotto mit Steinpilzen, Steinpilze - Rapunzel",4006040123699,['France'],[],[],?,340,1423 kj(340 kcal),"0,8","0,2",74,"0,9","7,9",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rapunzel'],,,,,,,,,,,,,,,
306,Primevère Bio doux - 250g,01277330,['France'],"['Huiles végétales biologiques non hydrogénées 54', '5% ', 'colza*', 'palme""', '""', 'eau', 'émulsifiant :lécithine de toumesol biologique*', 'sel', 'arômes naturels', 'jus de citron concentré biologique*', "" Ingrédients d'origine végétale"", ' 1 Ces huiles végétales donnent Pour un 100g à ce produit Primevère']",['Huile de palme'],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,['primevère'],['Plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['E322i - Lécithine'],4,,,,,,,,['Huile de palme'],,
307,330G Fenouil Entier Ducros,3275925007794,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Pâtes Plume 2 L'epi D'or,6194003310205,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Jacoby Apfelsaft Trüb Spitzenqualität,4004661066210,['France'],[],[],?,46,192 kj(46 kcal),0,0,11,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Preparato per pane,8032891202890,['France'],[],[],?,197,824 kj(197 kcal),"1,2","0,1",31,"0,8",12,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Le gusto,4061458209083,['France'],"['Für 3 Portionen: 150-200 g Blattsalate ', 'z', 'B', 'Endiviensalat', 'Kopfsalat', 'Radicchio', '3 El Wasser und 3 EL Olivenöl', 'Zutaten: Speisesalz', 'Zucker', 'Milchzucker', '8% Kräuter ', 'Petersilie', 'Schnittlauch', 'Säure - regulator Natriumacetate', 'modifizierte Stärke', 'Maltodextrine', '5 % Gewürze ', 'Senfmehl', 'Pfeffer', 'Curcuma', 'Säuerungsmittel Citronensäure', 'Gemüse in veränderlichen Gewichtsanteilen ', 'Zwiebeln', 'Spinatpulver', 'Rapsöl', 'Knoblauch', 'Kann Spuren von Milcheiweiß', 'Sellerie', 'Soja', 'Ei und Gluten enthalten', 'Zubereitung: Durc Brent Fett - dave Fett Kabl']",['Non végétalien'],?,433,1812 kj(433 kcal),45,"3,4",5,"3,9",0,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",4,,,,,"['Lait', 'Moutarde']",,,,,
312,Succo d’arancia ananas e fragola,8718096132704,['France'],[],[],?,43,180 kj(43 kcal),0,0,"9,8",0,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Gocce d’oro,8056040763575,['France'],[],[],?,112,469 kj(112 kcal),0,0,"22,1","22,1","1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Espadon fumé au bois de hêtre,3345100108247,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Kidz carrément gonflé,3259426041273,['France'],[],[],?,450,1883 kj(450 kcal),27,"4,2",47,24,"5,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Rebenthaler Rotwein,4311605491145,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Doucer Kokosringe,23069916,['France'],[],[],?,501,2096 kj(501 kcal),23,"13,6",67,"28,8",5,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Hamburge di chianina,8033520003581,['France'],[],[],?,132,552 kj(132 kcal),"5,1","2,9","2,2","0,13","19,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Hamburge di scottona,8033520522907,['France'],[],[],?,230,962 kj(230 kcal),"17,1",11,"1,4","0,13","17,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Spasmag magnesium levure,3400932369096,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Trumpf Edle Tropfen In Nuss Obstliköre,4000607432101,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Mitonne de volaille au poivre de timut,3701353301024,['France'],[],[],?,69,289 kj(69 kcal),"2,1","0,9","6,1","4,2","6,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Ginkgo Arkogélules - arkopharma - 150,3401572632632,['France'],"['Agent de charge : Cellulose - Extrait* de feuille de Ginkgo ', 'Ginkgo biloba', ' - Antiagglomérants: dioxyde de silicium et stéarate de magnésium', "" ENVÉLOPPE D'ORIGINE VÉGÉTALE : Hydroxypro - pylméthylcellulose"", ' *Extrait titré au minimum à 1,4 % en lactones terpéniques ', 'ginkgolides A', 'B et C+ biloba - lide', 'soit 0,56 mg par gélule']",[],?,?,,?,,?,,?,,,,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,['Arkopharma'],['gélules'],,,"['E460 - Cellulose', 'E551 - Dioxyde de silicium', 'E572 - Stéarate de magnésium']",4,,,['France'],,,,,,,
324,Balocco Ciambelle GR. 350,8001100067186,['France'],[],[],?,482,2017 kj(482 kcal),20,"3,2",68,20,"6,5","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,brassé au lait de chèvre - soignon - 125g,9573130032971,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,['Soignon'],,,,,,,,,,,,,,,
326,Chocolat joyeux anniversaire monbana,3474341101042,['France'],[],[],?,534,2234 kj(534 kcal),31,18,57,53,"6,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Pomme gala,3590920686400,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,ChocoDesign,3278584830048,['France'],[],[],?,564,2360 kj(564 kcal),"35,9","21,5","49,7","48,6","9,3","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Comté au lait cru,2200974035376,['France'],[],[],?,427,1787 kj(427 kcal),35,23,1,0,27,"0,76","0,304",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,-100%,+0%,-9%,-9%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,
330,6 Pommes panachés,3700337500170,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Tourtel - 6x27,5cl ttwist agru frbio-01 - 0.00 degre alcool - 1650ml",3080216057019,['France'],"['Eau', 'sucre de canne', ""MALT D'ORGE"", 'jus de pamplemousse rose à base de jus concentré ', '3%', 'dioxyde de carbone', 'acidifiant acide citrique', 'jus de sureau à base de jus concentré ', '0,1%', ""EXTRAIT DE MALT D'ORGE"", 'houblon', ""stabilisant : gomme d'acacia"", ""arôme naturel d'agrumes""]",[],137,33,137 kj(33 kcal),0,0,8,"5,3","0,2","0,01","0,004",B,"['Boissons', 'Boissons sans alcool', 'Bières sans alcool']",0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.01 g,en faible quantité,+11%,+14%,+14%,-100%,-100%,+24%,+35%,-22%,+10%,+10%,9,+15%,D,+15%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,1650 ml,"['Tourtel', 'Tourtel Twist']","['Bouteille', 'Etui en carton', 'Bouteille en verre', 'Bouchon']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans colorants', 'PEFC', 'AB Agriculture Biologique', 'Triman']",,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique', ""E414 - Gomme d'acacia""]",4,Boisson sans alcool à base de bière au jus de pamplemousse rose aromatisée pamplemousse rose et mandarine,,,,['Gluten'],,,,,
332,Tarte poire amande chocolat decongelé,,['France'],[],[],?,339,1418 kj(339 kcal),20,"9,5",33,15,"5,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Miele di cardo,8002762601350,['France'],[],[],?,370,1548 kj(370 kcal),0,0,80,80,"0,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Watch Dogs Jeu PS4,3307215732885,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Le Sultan d'Alep - 200g,3760099180027,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,,,,,,,,,,,,,,,,
336,Crème Cappuccino,4052700006581,['France'],[],[],?,40,167 kj(40 kcal),1,1,"6,33","5,73","0,9","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Vinaigre balsamique - Martin Pouret,3165351750480,['France'],[],[],?,?,,?,,?,,?,,,B,"['Vinaigres', 'Vinaigres balsamiques']",,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['Martin Pouret'],,,,,,,,,,,,,,,
338,Naschkätzchen Original Zuckerrübensirup,4000412017104,['France'],[],[],?,306,1280 kj(306 kcal),"0,5","0,5",70,66,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Caillé,3760284321815,['France'],[],[],?,397,1661 kj(397 kcal),7,"4,5","3,2","3,2","5,3","0,162","0,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,CREME DE CASSIS BIO CHERRY ROCHER,3032230100240,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2 filets poulet fermier loué,0217247060685,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
